Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
Kiwi Gold,Kiwi Gold,"€ 0,99",,"pro Einheit = 0,99","pro Einheit = 0,99",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/tegut/tegut_offer_045.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_whole_food",,,ref_000041,obs_0000019528|obs_0000027793|obs_0000021224|obs_0000010019|obs_0000009562|obs_0000026466|obs_0000008059|obs_0000028046|obs_0000027055|obs_0000020405|obs_0000008631|obs_0000028872|obs_0000010981|obs_0000005510|obs_0000002439|obs_0000005526|obs_0000005133|obs_0000031776|obs_0000010274|obs_0000011814|obs_0000034007|obs_0000023259|obs_0000012629|obs_0000011104|obs_0000012669|obs_0000013227|obs_0000015276|obs_0000031712|obs_0000010721,obs_0000019528|obs_0000027793|obs_0000021224|obs_0000010019|obs_0000009562|obs_0000026466|obs_0000008059|obs_0000028046|obs_0000027055|obs_0000020405|obs_0000008631,,
Orchideen Sonderformen,Orchideen Sonderformen,"€ 19,99",,"pro Einheit = 19,99","pro Einheit = 19,99",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/tegut/tegut_offer_046.jpg,cat_non_food,,,ref_000042,obs_0000026707|obs_0000032796|obs_0000027237,,,
Bio-Avocado,Bio-Avocado,"€ 2,49",,"pro Einheit = 2,49","pro Einheit = 2,49",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/tegut/tegut_offer_047.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000043,obs_0000033717|obs_0000034744|obs_0000028796|obs_0000030124|obs_0000030212|obs_0000030257|obs_0000030466|obs_0000030959|obs_0000032517|obs_0000000058|obs_0000008728|obs_0000000694|obs_0000017166|obs_0000001305|obs_0000034105|obs_0000034516|obs_0000018748|obs_0000027541|obs_0000027854|obs_0000020117|obs_0000029123|obs_0000020936|obs_0000029201|obs_0000014073|obs_0000030562|obs_0000000895,obs_0000033717|obs_0000034744|obs_0000028796|obs_0000030124|obs_0000030212|obs_0000030257|obs_0000030466|obs_0000030959|obs_0000032517,,
Mango,Mango,"€ 0,99",,"pro Einheit = 0,99","pro Einheit = 0,99",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/tegut/tegut_offer_048.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_whole_food",,BLS-F516100,ref_000044,obs_0000024112|obs_0000033713|obs_0000034740|obs_0000031322|obs_0000009349|obs_0000029722|obs_0000028316|obs_0000021278|obs_0000004393|obs_0000000306|obs_0000027322|obs_0000029883|obs_0000004820|obs_0000026453|obs_0000009816|obs_0000016865|obs_0000020459|obs_0000025584|obs_0000026739|obs_0000003966|obs_0000030475|obs_0000028050|obs_0000006424|obs_0000031148|obs_0000034121|obs_0000034389|obs_0000034531|obs_0000028656|obs_0000028539|obs_0000006276|obs_0000006280|obs_0000010640|obs_0000031632|obs_0000034579|obs_0000034046|obs_0000031158|obs_0000027838|obs_0000028870|obs_0000028628|obs_0000010971|obs_0000015714|obs_0000028514|obs_0000005129|obs_0000011787|obs_0000013333|obs_0000024470|obs_0000030870|obs_0000015282|obs_0000014421|obs_0000029526,obs_0000009349|obs_0000029722|obs_0000028316|obs_0000021278|obs_0000004393|obs_0000024112|obs_0000033713|obs_0000000306|obs_0000034740|obs_0000027322|obs_0000029883|obs_0000004820|obs_0000026453|obs_0000009816|obs_0000031322|obs_0000016865|obs_0000020459|obs_0000025584|obs_0000026739|obs_0000003966,,
Bio-Limetten,Bio-Limetten,"€ 2,00",,"pro Einheit = 2,00","pro Einheit = 2,00",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/tegut/tegut_offer_051.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,BLS-F602100,ref_000045,obs_0000034316|obs_0000014383|obs_0000029579,obs_0000034316|obs_0000030571|obs_0000032325,,
Bio-Heidelbeeren,Bio-Heidelbeeren,"€ 1,99",,"1 kg = 15,92","1 kg = 15,92",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/tegut/tegut_offer_052.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,,ref_000046,obs_0000034319|obs_0000030138|obs_0000030472|obs_0000022353|obs_0000030919|obs_0000005692|obs_0000006958|obs_0000000051|obs_0000016699|obs_0000000695|obs_0000025384|obs_0000000880|obs_0000033682|obs_0000033918|obs_0000025769|obs_0000034122|obs_0000001513|obs_0000026376|obs_0000026698|obs_0000034918|obs_0000019143|obs_0000002819|obs_0000027502|obs_0000003000|obs_0000003088|obs_0000027788|obs_0000028260|obs_0000029138|obs_0000030262|obs_0000030560|obs_0000031149|obs_0000007729|obs_0000032326|obs_0000032523,obs_0000034319|obs_0000030138|obs_0000030472|obs_0000022353|obs_0000030919,,
Bio-Putenschnitzel,Bio-Putenschnitzel,"€ 2,49",,"pro Einheit = 2,49","pro Einheit = 2,49",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/tegut/tegut_offer_053.jpg,"cat_fleisch_wurst,sub_gefluegel,sub_schwein",,,ref_000047,obs_0000034306|obs_0000034923|obs_0000031477|obs_0000002861|obs_0000003581|obs_0000028342|obs_0000028583|obs_0000028706|obs_0000030789|obs_0000032524,obs_0000034306|obs_0000034923|obs_0000031477,,
Maigriller,LandPrimus,"€ 2,99",,"1 kg = 11,96","1 kg = 11,96",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/tegut/tegut_offer_054.jpg,"cat_fleisch_wurst,tag_ultra_processed",,BLS-C346000,ref_000048,obs_0000033939|obs_0000034747,obs_0000033939|obs_0000034747,,
Rinderbraten,tegut LandPrimus,"€ 1,99",,"pro Einheit = 1,99","pro Einheit = 1,99",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/tegut/tegut_offer_055.jpg,"cat_fleisch_wurst,sub_rind,tag_ultra_processed,tag_whole_food",,,ref_000049,obs_0000009477|obs_0000033937|obs_0000009138|obs_0000028615|obs_0000028501|obs_0000009570|obs_0000034746|obs_0000009943|obs_0000034539|obs_0000030100|obs_0000019113|obs_0000031463|obs_0000029184|obs_0000014448|obs_0000014927|obs_0000010605|obs_0000012781|obs_0000012274|obs_0000014450,obs_0000009477|obs_0000033937|obs_0000009138|obs_0000034746|obs_0000028615|obs_0000028501|obs_0000009570|obs_0000034539,,
Kalbssteak,Kalbssteak,"€ 2,99",,"pro Einheit = 3,49","pro Einheit = 3,49",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/tegut/tegut_offer_056.jpg,"cat_fleisch_wurst,sub_rind",,,ref_000050,,,,
