Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
Schmortopf mit Deckel,Schmortopf mit Deckel,"€ 69,99",,"UVP
229,99 €",,Nein,,,,images_tegut/tegut_offer_001.jpg,"cat_non_food,tag_ultra_processed"
Erdbeeren,Erdbeeren,"€ 2,99",,"1 kg = 5,98 €",,Nein,,,,images_tegut/tegut_offer_002.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food"
Santoku-Messer,Santoku-Messer,"€ 11,99",,"UVP
49,99 €",,Nein,,,,images_tegut/tegut_offer_003.jpg,"cat_getraenke,diet_vegetarian"
Schweinefilet,Schweinefilet,"€ 0,89",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_004.jpg,"cat_fleisch_wurst,sub_schwein,tag_high_protein,tag_proteinreich"
Rahm Geschnetzeltes,Frosta,"€ 2,22",,1 kg = 5.92,,Nein,,,,images_tegut/tegut_offer_005.jpg,"cat_fleisch_wurst,sub_tk_fertiggerichte,tag_high_protein"
Gemüsemesser,Gemüsemesser,"€ 6,99",,"UVP
29,99 €",,Nein,,,,images_tegut/tegut_offer_006.jpg,"cat_tiefkuehl,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_tk_gemuese"
Brotmesser,Brotmesser,"€ 9,99",,"UVP
44,99 €",,Nein,,,,images_tegut/tegut_offer_007.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian"
Kalbsschnitzel,Kalbsschnitzel,"€ 1,99",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_008.jpg,"cat_fleisch_wurst,sub_rind,sub_schwein"
Victoriaseebarschfilet,Victoriaseebarschfilet,"€ 1,99",,"2,99 €",,Nein,,,,images_tegut/tegut_offer_009.jpg,"cat_fisch_meeresfruechte,diet_gluten_free,diet_lactose_free,tag_high_protein,tag_proteinreich"
Aperitif,Aperol,"€ 9,99",,"1 l = 14,27 €",,Nein,,,,images_tegut/tegut_offer_010.jpg,"cat_getraenke,sub_tk_fertiggerichte,tag_high_protein"
