Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis
Sekt Rosé,Geldermann,"€ 7,99",Kein vorheriger Preis,"€ 10,65 / l -","je 0,75-l-Fl.",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Hundenahrung,Pedigree,"€ 2,19",Kein vorheriger Preis,"€ 2,74 / kg -","3 Sorten Fleisch, je 800-g-Dose 3€ Rabatt zusätzlich beim Kauf von Produkten von Pedigree®/ Whiskas®...",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Delikatess-Sauce,Maggi,"€ 0,99",Kein vorheriger Preis,"€ 0,99 / Stk -","HINWEIS: MIT APP 0.20 € REWE BONUS versch. Sorten, ausreichend für 250 ml, je Pckg.",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Landbrot,Schär,"€ 2,79",Kein vorheriger Preis,"€ 10,14 / kg -",je 275-g-Pckg. oder Meisterbäckers Classic je 330-g-Pckg.,Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Brotmesser,Vivo,"€ 39,95",Kein vorheriger Preis,"€ 39,95 / Stk -",HINWEIS: MIT 70 TREUEPUNKTEN UND MIT REWE APP 1.00 Details im Prospekt.,Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Mexican Beer,Corona Extra,"€ 14,99",Kein vorheriger Preis,"€ 2,11 / l -","je 20 x 0,355-l-Fl.-Kasten zzgl. 3.10 Pfand",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Mühlen Mett Schinken-Zwiebelmettwurst,Rügenwalder Mühle,"€ 1,79",Kein vorheriger Preis,"€ 17,90 / kg -",Zwiebelmettwurst oder Mühlen Schinken Zarter Kochschinken je 100-g-Pckg.,Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Pilsner,Radeberger Pilsner,"€ 10,99",Kein vorheriger Preis,"€ 1,09 / l -","je 20 x 0,5-l-Fl.-Kasten zzgl. 3.10 Pfand",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Erdnüsse,ja!,"€ 0,99",Kein vorheriger Preis,"€ 4,95 / kg -","geröstet & gesalzen, je 200-g-Btl.",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Riesengarnelen Aioli,Keine Marke,"€ 2,99",Kein vorheriger Preis,"€ 29,90 / kg -",je 100 g,Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Damen Oversize Hoodie,Billie Eilish,"€ 29,99",Kein vorheriger Preis,"€ 29,99 / Stk -","Größen: XS-XL, versch. Motive und Farben je St.",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Forellen,Keine Marke,"€ 1,29",Kein vorheriger Preis,"€ 12,90 / kg -","ganz, ausgenommen, je 100 g",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Universalwaschmittel,Weißer Riese,"€ 13,99",Kein vorheriger Preis,"€ 0,16 / Stk -",Pulver je 90-WL-Pckg. oder Spee Colorwaschmittel je 100-WL-Pckg.,Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Grapefruit,Keine Marke,"€ 0,79",Kein vorheriger Preis,"€ 0,79 / Stk -","Sorte: siehe Etikett, Kl. I, je St",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Half Baked,Ben & Jerry's,"€ 3,79",Kein vorheriger Preis,"€ 8,15 / l -","versch. Sorten, je 465-ml-Becher",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Die Backfrische Mozzarella,Original Wagner,"€ 1,99",Kein vorheriger Preis,"€ 5,68 / kg -","tiefgefroren, je 350-g-Pckg. oder Big City Pizza Budapest tiefgefroren, je 400-g-Pckg.",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Excellence Premium Geschirrreiniger,Somat,"€ 7,99",Kein vorheriger Preis,"€ 0,19 / Stk -",je 42-Tab-Pckg. oder Excellence Geschirrreiniger je 47-Tab-Pckg.,Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Ochsen-Bäckchen,Rewe Feine Welt,"€ 6,99",Kein vorheriger Preis,"€ 18,39 / kg -","in Rotweinsauce, je 380-g-Pckg.",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Rinder-Rouladen,Metzgerei Landbauern,"€ 1,66",Kein vorheriger Preis,"€ 16,60 / kg -","oder -Braten oder -Gulasch aus der Keule, je 100 g",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
BayBio Bio Joghurt,Andechser Natur,"€ 1,59",Kein vorheriger Preis,"€ 3,18 / kg -","versch. Sorten, je 500-g-Glas zzgl. 0.15 Pfand",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Schweine-Minutenbauch,Rewe Regional,"€ 5,55",Kein vorheriger Preis,"€ 13,87 / kg -","mariniert, je 400-g-Pckg.",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Hartkäse,Anton-Käse,"€ 2,49",Kein vorheriger Preis,"€ 24,90 / kg -","oder Scharfe Anna Schweizer Hartkäse, mind. 50% Fett i.Tr., je 100 g",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Pils,Krombacher,"€ 10,99",Kein vorheriger Preis,"€ 1,09 / l -","oder alkoholfrei versch. Sorten, je 20 x 0,5-l-Fl.-Kasten, zzgl. 3.10 Pfand",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
5 Minuten Terrine Kartoffelbrei mit Röstzwiebeln & Croutons,Maggi,"€ 0,89",Kein vorheriger Preis,"€ 15,89 / kg -",je 56-g-Becher oder 5 Minuten Terrine Nudeln in Rahmsauce je 61-g-Becher,Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Saltletts Pausen Cracker,Lorenz,"€ 1,49",Kein vorheriger Preis,"€ 14,90 / kg -","je 100-g-Btl. oder Naturals Rosmarin, je 95-g-Btl.",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Spaghetteria Pasta Spinaci Käse,Knorr,"€ 1,49",Kein vorheriger Preis,"€ 8,37 / kg -",Käse je 178-g-Beutel,Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Kalbs-Hinterhaxe,Keine Marke,"€ 1,69",Kein vorheriger Preis,"€ 16,90 / kg -",je 100 g,Nein,29.09. - 04.10.,2025-09-29,2025-10-04
M&Ms Crispy,Mars,"€ 1,69",Kein vorheriger Preis,"€ 13,20 / kg -","Crispy, je 128-g-Pckg. oder m&m's Peanut, je 150-g-Btl.",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Weichspüler,Lenor,"€ 1,99",Kein vorheriger Preis,"€ 2,63 / l -","versch. Sorten, je 756-ml-Fl.",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Spanferkel-Keule,Beck,"€ 11,90",Kein vorheriger Preis,"€ 11,90 / kg -","gewürzt und gebraten, mit Soße, SB-verpackt, je 1 kg",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Baby-Dry Pants Maxi Pack,Pampers,"€ 24,99",Kein vorheriger Preis,"€ 0,33 / Stk -","Gr. 6 XL, je 74-St.-Pckg. oder Maxi Pack Windeln Junior Gr. 5, je 94-St.-Pckg.",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
