Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Aperol Aperitivo,Aperol,"€ 13,49",,19.27,,Nein,,,,images_aldi/aldi_offer_051.jpg
Pesto Genovese,Barilla,"€ 3,49",,kg-Preis 18.37,,Nein,,,,images_aldi/aldi_offer_052.jpg
Natur,Patros,"€ 3,29",,kg-Preis 21.93 bzw. 18.28,,Nein,,,,images_aldi/aldi_offer_053.jpg
Almighurt,Ehrmann,"€ 0,89",,kg-Preis 5.93,,Nein,,,,images_aldi/aldi_offer_054.jpg
Volvic,Volvic,"€ 1,19",,1 l = 0.79,,Nein,,,,images_aldi/aldi_offer_055.jpg
Schwarzer Tee Zitrone Lemongras,Fuze Tea,"€ 1,29",,1 l = 0.86,,Nein,,,,images_aldi/aldi_offer_056.jpg
Naturell Mierbachquelle,Quellbrunn,"€ 0,29",,1-Preis 0.19,,Nein,,,,images_aldi/aldi_offer_057.jpg
Kräuter,Bresso,"€ 2,39",,kg-Preis 15.93,,Nein,,,,images_aldi/aldi_offer_058.jpg
3-in-1-Bügelsägen 4er-Set,Workzone,"€ 3,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_059.jpg
VDE-Kombizange,WORKZONE,"€ 5,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_060.jpg
Elastische Fixierbänder,WORKZONE,"€ 1,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_061.jpg
Bit-Satz,WORKZONE,"€ 8,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_062.jpg
LED-Arbeitsstrahler,WORKZONE,"€ 24,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_063.jpg
SDS-Bohrerset XL,FERREX,"€ 9,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_064.jpg
Präzisionswerkzeug,Workzone,"€ 3,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_065.jpg
Heizlüfter,Ambiano,"€ 34,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_066.jpg
Organizer,JES COLLECTION,"€ 2,00",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_067.jpg
Arbeitshandschuhe,Topcraft,"€ 1,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_068.jpg
Multi-Spray,Workzone,"€ 1,99",,1 l = 3.98,,Nein,,,,images_aldi/aldi_offer_069.jpg
Digital-Multimeter,FERREX,"€ 8,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_070.jpg
LED-Arbeitsmütze,TOPCRAFT,"€ 4,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_071.jpg
