Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
pflanzlicher Bio-Drink,Berief,"€ 1,49",,"pro Einheit = 1,99",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/tegut/tegut_offer_092.jpg,"cat_getraenke,diet_lactose_free,diet_vegan,diet_vegetarian,sub_kaese",,,ref_000089,obs_0000018089|obs_0000020747|obs_0000021566|obs_0000021776|obs_0000026421,
Saure Sahne,tegut,"€ 0,69",,"pro Einheit = 0,79",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/tegut/tegut_offer_093.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_milchprodukte,sub_sahne_creme,tag_ultra_processed",,,ref_000090,obs_0000019970|obs_0000021107|obs_0000020288|obs_0000001869|obs_0000024961|obs_0000028739|obs_0000002822|obs_0000002341|obs_0000001841|obs_0000001492|obs_0000006113,obs_0000019970|obs_0000021107|obs_0000020288|obs_0000001869|obs_0000024961
Joghurtalternative auf Sojabasis,Alpro,"€ 1,49",,"pro Einheit = 2,19",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/tegut/tegut_offer_094.jpg,"cat_molkerei_kaese,diet_lactose_free,diet_vegan,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte",,,ref_000091,,
Activia Fruchtjoghurt,Danone,"€ 1,59",,"pro Einheit = 2,79",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/tegut/tegut_offer_095.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte,tag_ultra_processed",,,ref_000092,obs_0000015376|obs_0000028785|obs_0000010916|obs_0000026077|obs_0000002565|obs_0000023627|obs_0000021134|obs_0000014486|obs_0000000675|obs_0000023234|obs_0000002802|obs_0000011045|obs_0000020315|obs_0000009565|obs_0000010615|obs_0000034180|obs_0000010169|obs_0000012792,
Vegane Mini-Frikadellen,Greenforce,"€ 2,49",,"1 kg = 13,83",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/tegut/tegut_offer_096.jpg,"cat_knabbern_naschen,diet_lactose_free,diet_vegan,diet_vegetarian,sub_fleischersatz,tag_ultra_processed",,,ref_000093,obs_0000033985|obs_0000000734|obs_0000001877|obs_0000000708|obs_0000012295|obs_0000012328|obs_0000010281|obs_0000006379|obs_0000027292|obs_0000010932|obs_0000009115|obs_0000017530|obs_0000026024|obs_0000018128|obs_0000016216,obs_0000033985
Müllermilch,Müllermilch,"€ 0,79",,"pro Einheit = 1,49",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/tegut/tegut_offer_097.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_milchprodukte",,,ref_000094,obs_0000017154|obs_0000020777|obs_0000026666|obs_0000031787|obs_0000015795|obs_0000016180|obs_0000021950|obs_0000011465|obs_0000031450|obs_0000021596|obs_0000014942|obs_0000024685|obs_0000012795|obs_0000023291|obs_0000000031|obs_0000032546|obs_0000003758|obs_0000006614|obs_0000031972|obs_0000005162,obs_0000017154|obs_0000020777|obs_0000026666|obs_0000031787|obs_0000015795|obs_0000016180|obs_0000021950|obs_0000011465|obs_0000031450|obs_0000021596|obs_0000014942|obs_0000024685|obs_0000012795|obs_0000023291
Hinterkochschinken,Jeden Tag,"€ 1,49",,"1 kg = 7,45",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/tegut/tegut_offer_098.jpg,"cat_fleisch_wurst,sub_schwein,sub_wurst,tag_ultra_processed",,BLS-U681700,ref_000095,obs_0000034382|obs_0000033873|obs_0000005425,obs_0000034382|obs_0000033873
frische fettarme Milch,Jeden Tag,"€ 0,85",,"pro Einheit = 0,85",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/tegut/tegut_offer_099.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_fleischersatz,sub_milchprodukte,sub_tk_gemuese,tag_high_protein",,,ref_000096,obs_0000017214|obs_0000000188|obs_0000002860|obs_0000002896|obs_0000013187|obs_0000000992|obs_0000027928|obs_0000026371|obs_0000022533|obs_0000026965|obs_0000016783|obs_0000000664|obs_0000017142|obs_0000019205|obs_0000017221|obs_0000031717|obs_0000020025|obs_0000001632|obs_0000026520|obs_0000022513|obs_0000000796|obs_0000003614|obs_0000026178,obs_0000017214
Geflügel Mortadella,Wiesenhof,"€ 1,29",,"pro Einheit = 1,49",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/tegut/tegut_offer_101.jpg,"cat_fleisch_wurst,sub_gefluegel,sub_wurst,tag_ultra_processed",,BLS-V990100,ref_000097,obs_0000031798|obs_0000014185|obs_0000027148|obs_0000029860,obs_0000031798|obs_0000029860|obs_0000014185
Mini Babybel,Mini Babybel,"€ 1,69",,"pro Einheit = 2,69",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/tegut/tegut_offer_102.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,,ref_000098,obs_0000006792|obs_0000034182|obs_0000001648|obs_0000023295|obs_0000000803|obs_0000012328|obs_0000006379|obs_0000010932|obs_0000017530|obs_0000026024|obs_0000018128|obs_0000016216,obs_0000006792|obs_0000034182|obs_0000001648
