Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Einheit,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
MÜLLER,Joghurt mit der Ecke,0.35,0.89,1 kg = 2.34 - 3.10,-60%,je 113 - 150-g-Becher,Nein,Dieses Angebot findest du vom 24.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-24,2025-11-26,images_kaufland/kaufland_offer_01.jpg
BAUER,»Der Große Bauer« Fruchtjoghurt,0.44,0.99,1 kg = 1.76 - 1.96,-55%,je 225 - 250-g-Becher,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_02.jpg
HEINZ,Tomato Ketchup,2.99,6.49,1 l = 2.56 / 1 l = 2.39**,"-53%; 2.79€, mit Kaufland Card","je 1,17-l-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_03.jpg
,Niederl./dtsch. Rosenkohl,0.69,1.49,1 kg = 0.92,-53%,je 750-g-Netz,Nein,Dieses Angebot findest du vom 24.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-24,2025-11-26,images_kaufland/kaufland_offer_04.jpg
HOUDEK,Kabanos Klassik,1.11,2.29,,-51%,je 100 g,Nein,Dieses Angebot findest du vom 24.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-24,2025-11-26,images_kaufland/kaufland_offer_05.jpg
ALMA,Vorarlberger Bergkäse,1.49,2.99,,-50%,je 100 g,Nein,Dieses Angebot findest du vom 24.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-24,2025-11-26,images_kaufland/kaufland_offer_06.jpg
FROSTA,Gemüse,1.88,3.69,1 kg = 3.14 - 3.92,-49%,je 480 - 600-g-Packg.,Nein,Dieses Angebot findest du vom 24.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-24,2025-11-26,images_kaufland/kaufland_offer_07.jpg
GRANINI,Trinkgenuss,1.39,2.69,,-48%,je 1-l-PET-Fl.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_08.jpg
LINDT,Weihnachtsmann,2.22,3.99,1 kg = 31.72,-44%,je 70-g-Stück,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_09.jpg
FUNNY-FRISCH,Knuspersnack,1.11,1.99,1 kg = 11.10 - 14.80 / 1 kg = 9.90 - 13.20**,"-44%; 0.99€, mit Kaufland Card",je 75 - 100-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_10.jpg
