Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Stroh Original Rum,Keine Marke,"€ 12,99",,"1 l = 25,98 €","80 % Vol., 0,5 Liter Flasche, (1 l = 25,98 €)",Nein,Gültig vom 16.03.2026 bis zum 21.03.2026.,2026-03-16,2026-03-21,images_edeka/stroh-original-rum.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_tk_fertiggerichte,tag_high_protein,tag_ultra_processed,tag_whole_food",,ref_000157,obs_0000005239|obs_0000023536|obs_0000000092|obs_0000008537|obs_0000009514|obs_0000008223|obs_0000008352|obs_0000008780|obs_0000008971|obs_0000009433|obs_0000009563|obs_0000011869|obs_0000012774|obs_0000013576|obs_0000014027|obs_0000014692|obs_0000015909|obs_0000016158|obs_0000016324|obs_0000018030|obs_0000018706|obs_0000018823|obs_0000019136|obs_0000019525|obs_0000019642|obs_0000019955|obs_0000020283|obs_0000020393|obs_0000020709|obs_0000023130|obs_0000023674|obs_0000023832|obs_0000024162|obs_0000024899|obs_0000024959|obs_0000025132|obs_0000025175|obs_0000025697|obs_0000025918|obs_0000026556|obs_0000026643|obs_0000026757|obs_0000026857|obs_0000027023|obs_0000029264|obs_0000031227|obs_0000031439|obs_0000032025|obs_0000032039|obs_0000032341,obs_0000005239
Eckes Likör,Keine Marke,"€ 5,49",,"1 l = 10,98 €","verschiedene Sorten, 15-20 % Vol., 0,5 Liter Flasche, (1 l = 10,98 €)",Nein,Gültig vom 16.03.2026 bis zum 21.03.2026.,2026-03-16,2026-03-21,images_edeka/eckes-lik-r.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,ref_000158,obs_0000000247|obs_0000003253|obs_0000003658|obs_0000004085|obs_0000004512|obs_0000011864|obs_0000018572|obs_0000019391|obs_0000020973,
Echter Nordhäuser Reiche Ernte Spirituose,Keine Marke,"€ 4,99",,"1 l = 9,98 €","verschiedene Sorten, 30 % Vol., 0,5 Liter Flasche, (1 l = 9,98 €)",Nein,Gültig vom 16.03.2026 bis zum 21.03.2026.,2026-03-16,2026-03-21,images_edeka/echter-nordh-user-reiche-ernte-spirituose.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,ref_000159,obs_0000029075|obs_0000009044|obs_0000009061|obs_0000011873|obs_0000014189,
Tanqueray Gin oder Alkoholfrei,Keine Marke,"€ 13,99",,"1 l = 19,99 €","verschiedene Sorten, 0,00-43,1 % Vol. Je nach Verfügbarkeit des Marktes., 0,7 Liter Flasche, (1 l = 19,99 €)",Nein,Gültig vom 16.03.2026 bis zum 21.03.2026.,2026-03-16,2026-03-21,images_edeka/tanqueray-gin-oder-alkoholfrei.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",,ref_000160,obs_0000006911|obs_0000005051|obs_0000010596|obs_0000014222|obs_0000018140|obs_0000025056|obs_0000031689,
Gönrgy Energy,Keine Marke,"€ 0,99",,"1 l = 1,98 €","verschiedene Sorten, 0,5 Liter Dose + 0,25 Pfand, (1 l = 1,98 €)",Nein,Gültig vom 16.03.2026 bis zum 21.03.2026.,2026-03-16,2026-03-21,images_edeka/g-nrgy-energy.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,ref_000161,obs_0000028531|obs_0000030181|obs_0000031898|obs_0000025252,
true fruits Ingwer Shot,Keine Marke,"€ 1,99",,"1 l = 20,10 €","verschiedene Sorten, 99 ml Flasche, (1 l = 20,10 €)",Nein,Gültig vom 16.03.2026 bis zum 21.03.2026.,2026-03-16,2026-03-21,images_edeka/true-fruits-ingwer-shot.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,tag_ultra_processed,tag_whole_food",,ref_000162,obs_0000029659|obs_0000026314|obs_0000028640|obs_0000026589|obs_0000007438|obs_0000026186|obs_0000027286|obs_0000028286,obs_0000029659
Kapuziner Weißbier,Keine Marke,"€ 11,99",,"1 l = 1,20 €","verschiedene Sorten, 20 x 0,5 Liter Kasten + 4,50 Pfand, (1 l = 1,20 €)",Nein,Gültig vom 16.03.2026 bis zum 21.03.2026.,2026-03-16,2026-03-21,images_edeka/kapuziner-wei-bier.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,ref_000163,obs_0000030195|obs_0000005433|obs_0000025463|obs_0000026494|obs_0000027013|obs_0000027089|obs_0000027097|obs_0000029215|obs_0000029375|obs_0000031687|obs_0000032326,obs_0000005433|obs_0000030195
Budweiser Budvar Original Czech Imported Lager,Keine Marke,"€ 13,99",,"1 l = 1,40 €","20 x 0,5 Liter Kasten + 3,10 Pfand, (1 l = 1,40 €)",Nein,Gültig vom 16.03.2026 bis zum 21.03.2026.,2026-03-16,2026-03-21,images_edeka/budweiser-budvar-original-czech-imported-lager.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegetarian,tag_high_protein,tag_ultra_processed",,ref_000164,obs_0000006545|obs_0000005620|obs_0000032148|obs_0000010358,obs_0000005620|obs_0000006545
Franken Brunnen Rhön Sprudel oder Kondrauer Mineralwasser,Keine Marke,"€ 4,49",,"1 l = 0,53 €","verschiedene Sorten Je nach Verfügbarkeit des Marktes., 12 x 0,7 Liter Kasten + 3,30 Pfand, (1 l = 0,53 €)",Nein,Gültig vom 16.03.2026 bis zum 21.03.2026.,2026-03-16,2026-03-21,images_edeka/franken-brunnen-rh-n-sprudel-oder-kondrauer-mineralwasser.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",,ref_000165,obs_0000005412|obs_0000006698|obs_0000006699|obs_0000006921|obs_0000006922|obs_0000027140|obs_0000027539|obs_0000030179|obs_0000005230|obs_0000005231|obs_0000005787|obs_0000005788|obs_0000005040|obs_0000005991|obs_0000032117,obs_0000005412
EKU Bier,Keine Marke,"€ 9,99",,"1 l = 1,00 €","verschiedene Sorten, 20 x 0,5 Liter Kasten + 3,10 Pfand, (1 l = 1,00 €)",Nein,Gültig vom 16.03.2026 bis zum 21.03.2026.,2026-03-16,2026-03-21,images_edeka/eku-bier.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,ref_000166,obs_0000006923|obs_0000005618|obs_0000008636|obs_0000008805|obs_0000008849|obs_0000009214|obs_0000012581|obs_0000021840|obs_0000024924|obs_0000025453|obs_0000026415|obs_0000026619|obs_0000026729|obs_0000026932|obs_0000029291,obs_0000005618|obs_0000006923
