Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
Haribo Fruchtgummi,Keine Marke,"€ 3,7","€ 4,76",4.29 – 4.69 / kg,versch. Sorten Einzelpreis: 1.19 (6.80 – 7.44 / kg),Nein,"Wochenangebote gültig von Montag, 09.03.26 - Samstag, 14.03.26",09.03.26,14.03.26,images_netto/netto_offer_001.png,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food"
Rapso Rapsöl,Keine Marke,"€ 10,9","€ 14,97",4.44 / l,Einzelpreis: 4.99 (6.65 / l),Nein,"Wochenangebote gültig von Montag, 09.03.26 - Samstag, 14.03.26",09.03.26,14.03.26,images_netto/netto_offer_002.png,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food"
Eintöpfe,Keine Marke,"€ 7,4","€ 9,45",1.75 / kg,versch. Sorten Einzelpreis: 1.89 (2.36 / kg),Nein,"Wochenangebote gültig von Montag, 09.03.26 - Samstag, 14.03.26",09.03.26,14.03.26,images_netto/netto_offer_003.png,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_ultra_processed,tag_whole_food"
Gewürzgurken,Keine Marke,"€ 12,2","€ 14,28",2.78 / kg,Einzelpreis: 1.19 (3.31 / kg),Nein,"Wochenangebote gültig von Montag, 09.03.26 - Samstag, 14.03.26",09.03.26,14.03.26,images_netto/netto_offer_004.png,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food"
Chiquita Avocado,Keine Marke,"€ 0,88","€ 1,39",Kein Mengenpreis,"Israel/Marokko, Kl. I, Sorte: Hass",Nein,"Wochenangebote gültig von Montag, 09.03.26 - Samstag, 14.03.26",09.03.26,14.03.26,images_netto/netto_offer_005.png,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food"
Albi Saft oder Nektar,Keine Marke,"€ 1,49","€ 2,49",Kein Mengenpreis,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 09.03.26 - Samstag, 14.03.26",09.03.26,14.03.26,images_netto/netto_offer_006.png,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food"
Hähnchen-Brustfilet,Keine Marke,"€ 7,99","€ 9,99",Kein Mengenpreis,mager,Nein,"Wochenangebote gültig von Montag, 09.03.26 - Samstag, 14.03.26",09.03.26,14.03.26,images_netto/netto_offer_007.png,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,sub_gefluegel,tag_high_protein,tag_proteinreich,tag_whole_food"
Milchschnitte,Ferrero,"€ 1,99","€ 2,99",7.11 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 09.03.26 - Samstag, 14.03.26",09.03.26,14.03.26,images_netto/netto_offer_008.png,"cat_knabbern_naschen,diet_vegetarian,sub_milchprodukte,tag_ultra_processed"
Käsescheiben,Milram,"€ 1,49","€ 2,59",9.93 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 09.03.26 - Samstag, 14.03.26",09.03.26,14.03.26,images_netto/netto_offer_009.png,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte"
Premium Biere,Keine Marke,"€ 7,99","€ 9,99",0.80 / l,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 09.03.26 - Samstag, 14.03.26",09.03.26,14.03.26,images_netto/netto_offer_010.png,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food"
Schnittbrötchen,Keine Marke,"€ 1,3","€ 1,33",Kein Mengenpreis,Einzelpreis: 0.19 Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 09.03.26 - Samstag, 14.03.26",09.03.26,14.03.26,images_netto/netto_offer_011.png,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed,tag_whole_food"
Fix,Maggi,"€ 0,49","€ 1,09",5.33 - 18.85 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 09.03.26 - Samstag, 14.03.26",09.03.26,14.03.26,images_netto/netto_offer_012.png,"cat_grundnahrung,tag_ultra_processed"
