Produkt,Preis,Preis_kg,Hinweis,Gueltig_von,Gueltig_bis,Bildpfad
Landliebe Landkäse Scheiben,€ 1.49,"1 kg = 9,93 €","verschiedene Sorten und Fettstufen Je nach Verfügbarkeit des Marktes., 150 g Packung, (1 kg = 9,93 €)",2026-02-23,2026-02-28,images_edeka/landliebe-landk-se-scheiben.jpg
Zott Sahne Joghurt,€ 0.39,"1 kg = 2,79 €","verschiedene Sorten und Fettstufen, 140 g Becher, (1 kg = 2,79 €)",2026-02-23,2026-02-28,images_edeka/zott-sahne-joghurt.jpg
Ehrmann Almighurt oder Joghurt,€ 1.00,"1 kg = 2,00 €","verschiedene Sorten und Fettstufen *Je nach Verfügbarkeit des Marktes., 470*/500 g Glas + 0,15 Pfand, (1 kg = 2,00 €)",2026-02-23,2026-02-28,images_edeka/ehrmann-almighurt-oder-joghurt.jpg
Esko Kochkäse,€ 1.00,"1 kg = 5,00 €","mit Kümmel, verschiedene Fettstufen, 200 g Becher, (1 kg = 5,00 €)",2026-02-23,2026-02-28,images_edeka/esko-kochk-se.jpg
Westland Old Amsterdam,€ 2.29,,verschiedene Sorten und Fettstufen Je nach Verfügbarkeit des Marktes.,2026-02-23,2026-02-28,images_edeka/westland-old-amsterdam.jpg
Rougette Ofenkäse,€ 3.99,"1 kg = 12,47 €","verschiedene Sorten und Fettstufen, 320 g Packung, (1 kg = 12,47 €)",2026-02-23,2026-02-28,images_edeka/rougette-ofenk-se.jpg
Käse Rebellen Heublumen oder Bärlauch Rebell,€ 1.99,,"österreichischer Schnittkäse, mindestens 50 % Fett i. Tr., aus tagesfrischer Bergbauern Heumilch, auch als SB Stück erhältlich, 100 g",2026-02-23,2026-02-28,images_edeka/k-se-rebellen-heublumen-oder-b-rlauch-rebell.jpg
Switzerland Appenzeller,€ 1.99,,"schweizer Hartkäse mit Rohmilch, 48 % Fett i. Tr., mild würzig, auch als SB-Stück erhältlich, 100 g",2026-02-23,2026-02-28,images_edeka/switzerland-appenzeller.jpg
"Bergader Bavaria blu, Bonifaz",€ 1.79,,"deutscher Weichkäse oder -zubereitung, verschiedene Sorten und Fettstufen, 100 g",2026-02-23,2026-02-28,images_edeka/bergader-bavaria-blu-bonifaz.jpg
Schärdinger Kärntner Rahmlaib,€ 1.29,,"österreichischer Schnittkäse, 60 % Fett i. Tr., würzig-kräftig, 100 g",2026-02-23,2026-02-28,images_edeka/sch-rdinger-k-rntner-rahmlaib.jpg
Frico Gouda Jung,€ 0.88,,"holländischer Schnittkäse, 51 % Fett i. Tr., 4 Wochen gereift, sahnig-milder Geschmack und herrlich schmelzende Konsistenz, 100 g",2026-02-23,2026-02-28,images_edeka/frico-gouda-jung.jpg
