Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,source_market
Grüne Tafelbirnen,Keine Marke,"€ 2,49",Kein vorheriger Preis,Kein Mengenpreis,"»Xenia«, Kl. I, je 1 kg",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_001.jpg,bamberg
Knorr Salat Krönung,Keine Marke,"€ 0,79",Kein vorheriger Preis,Kein Mengenpreis,"versch. Sorten, ausreichend für 5 x 90 ml, je 5er-Pckg",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_131.jpg,bamberg
Mondamin Milchreis,Keine Marke,"€ 0,99",Kein vorheriger Preis,"1 kg = 7,92",je 125-g-Btl,Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_132.jpg,bamberg
Mondamin Grießbrei,Keine Marke,"€ 0,99",Kein vorheriger Preis,"1 kg = 11,12",je 89-g-Btl,Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_133.jpg,bamberg
Knorr Sauce Pur,Keine Marke,"€ 1,49",Kein vorheriger Preis,"1 kg = 13,30","Sauce zu Braten, je 4 x 28-g-Pckg",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_134.jpg,bamberg
REWE Bio vegan Soja Schnetzel,Keine Marke,"€ 1,29",Kein vorheriger Preis,"1 kg = 8,60","veganer Fleischersatz, je 150-g-Btl",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_135.jpg,bamberg
REWE Bio vegan Tomatensauce Vegane Bolognese,Keine Marke,"€ 1,49",Kein vorheriger Preis,"1 kg = 4,26",je 350-g-Glas,Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_136.jpg,bamberg
Ritter Sport Schokolade,Keine Marke,"€ 1,11",Kein vorheriger Preis,"1 kg = 11,10","versch. Sorten, je 100-g-Tafel",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_138.jpg,bamberg
Haribo Goldbären oder Color-Rado,Keine Marke,"€ 0,77",Kein vorheriger Preis,"1 kg = 4,40",je 175-g-Btl,Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_139.jpg,bamberg
Kinder Schokolade oder Yogurette,Keine Marke,"€ 1,19",Kein vorheriger Preis,"1 kg = 11,90","je 8 x 12,5-g-Tafel",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_140.jpg,bamberg
Storck Toffifee,Keine Marke,"€ 3,99",Kein vorheriger Preis,"1 kg = 9,98",je 400-g-Pckg,Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_141.jpg,bamberg
P E Wikinger Röllchen,Keine Marke,"€ 1,79",Kein vorheriger Preis,"1 kg = 8,95","Klassik, je 200-g-Pckg",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_142.jpg,bamberg
Elit Dubaischokolade Riegel,Keine Marke,"€ 1,99",Kein vorheriger Preis,"1 kg = 66,33",je 30-g-Riegel,Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_143.jpg,bamberg
Kinder Bueno,Keine Marke,"€ 2,22",Kein vorheriger Preis,"1 kg = 17,21","je 6 x 21,5-g-Pckg",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_144.jpg,bamberg
REWE Bio vegan Kekse Waffeln,Keine Marke,"€ 2,29",Kein vorheriger Preis,"1 kg = 9,16",je 250-g-Btl,Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_145.jpg,bamberg
