Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Einheit,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
PHILADELPHIA,Frischkäsezubereitung,,,1 kg = 11.75 - 22.90 / 1 kg = 5.70 - 11.10**,"-51%; 1.11€, mit Kaufland Card",je 100 - 195-g-Packg.,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_23.jpg
DOVGAN,Taschki Teigtaschen,,,1 kg = 7.98 - 9.98 / 1 kg = 3.58 - 4.48**,"-55%; 1.79€, mit Kaufland Card",je 400 - 500-g-Packg.,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_24.jpg
COPPENRATH & WIESE,Sahne-Rolle Erdbeere,2.79,3.99,1 kg = 6.98 / 1 kg = 6.23**,"-30%; 2.49€, mit Kaufland Card",je 400-g-Packg.,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_25.jpg
KNACK & BACK,Brötchen zum Selberbacken,,,1 kg = 6.23 - 10.38 / 1 kg = 3.73 - 6.21**,"-40%; 1.49€, mit Kaufland Card",je 6 - 8 St. = 240 - 400-g-Dose,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_26.jpg
ORO DI PARMA,"Tomaten, Pizzasauce oder Tomatenmark",,,1 kg = 4.98 - 9.95 / 1 kg = 2.48 - 4.95**,"-50%; 0.99€, mit Kaufland Card",je 200-g-Tube oder 400-g-Dose,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_27.jpg
KÜHNE,Rotkohl oder Apfelrotkohl,,,Abtropfgewicht 650 g 1 kg = 3.22 / Abtropfgewicht 650 g 1 kg = 1.71**,"-46%; 1.11€, mit Kaufland Card",je 680-g-Glas,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_28.jpg
BARILLA,Pesto,1.99,,1 kg = 9.95 - 10.48 / 1 kg = 8.45 - 8.90**,"nur; 1.69€, mit Kaufland Card",je 190 - 200-g-Glas,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_29.jpg
ZENTIS,Fruchtaufstrich,,,1 kg = 8.66 / 1 kg = 4.31**,"-50%; 0.99€, mit Kaufland Card",je 230-g-Glas,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_30.jpg
NUTELLA,Nuss-Nugat-Creme,,,1 kg = 8.43 / 1 kg = 4.18**,"-50%; 1.88€, mit Kaufland Card",je 450-g-Glas,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_31.jpg
KNOPPERS,Milch-Nuss-Schnitte,,,1 kg = 12.45 / 1 kg = 7.45**,"-40%; 1.49€, mit Kaufland Card",je 8 St. = 200-g-Packg.,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_32.jpg
KINDER,Überraschung Weihnachtsanhänger,0.88,,1 kg = 44.00 / 1 kg = 33.00**,"nur; 0.66€, mit Kaufland Card",je 20-g-Stück,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_33.jpg
FERRERO,"Küsschen-, Mon-Chéri-, Raffaello- od. Rocher-Stern",2.22,2.69,1 kg = 52.86 - 63.43 / 1 kg = 47.39 - 56.86**,"-17%; 1.99€, mit Kaufland Card",je 35 - 42-g-Packg.,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_34.jpg
K-WINTER EDIION,Aachener Dominosteine,2.79,,1 kg = 11.16 / 1 kg = 9.96**,"nur; 2.49€, mit Kaufland Card",je 250-g-Packg.,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_35.jpg
WEISS,Weiche Lebkuchen,3.49,,1 kg = 6.98 / 1 kg = 5.98**,"nur; 2.99€, mit Kaufland Card",je 500-g-Packg.,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_36.jpg
VIVIL,Halsbonbons,,,1 kg = 15.75 / 1 kg = 9.25**,"-41%; 1.11€, mit Kaufland Card",je 120-g-Beutel,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_37.jpg
