Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Socken,Lily Dan,"€ 4,99",,"pro Einheit = 4,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_102.jpg,cat_non_food,,,ref_000102,obs_0000000756|obs_0000011300|obs_0000001624|obs_0000023153|obs_0000001173|obs_0000024304|obs_0000000758|obs_0000000765|obs_0000023885|obs_0000001375|obs_0000001405|obs_0000000967|obs_0000023044|obs_0000002058|obs_0000017451|obs_0000022642|obs_0000001174|obs_0000024258|obs_0000016081|obs_0000024283|obs_0000015615|obs_0000015624|obs_0000012561|obs_0000023836|obs_0000012590|obs_0000023861|obs_0000012599|obs_0000018780|obs_0000003499|obs_0000023493|obs_0000011723|obs_0000011742|obs_0000002606|obs_0000004693|obs_0000004266|obs_0000003839|obs_0000003350|obs_0000003128|obs_0000004831|obs_0000004404|obs_0000000312|obs_0000003977|obs_0000022041|obs_0000002598|obs_0000016449|obs_0000000593|obs_0000018523|obs_0000010858|obs_0000010866|obs_0000022652,obs_0000011300|obs_0000001624|obs_0000023153|obs_0000001173|obs_0000024304|obs_0000000756|obs_0000000758|obs_0000000765|obs_0000023885|obs_0000001375|obs_0000001405|obs_0000000967
Leggings,LILY DAN,"€ 4,99",,"pro Einheit = 4,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_103.jpg,cat_non_food,,,ref_000103,obs_0000024299|obs_0000023879|obs_0000023488|obs_0000023039|obs_0000002624|obs_0000003411|obs_0000000939|obs_0000000595|obs_0000025230|obs_0000016070|obs_0000013014|obs_0000017194|obs_0000012617|obs_0000003439|obs_0000016253|obs_0000026497|obs_0000002484|obs_0000023487|obs_0000014787|obs_0000010232|obs_0000003612|obs_0000026633|obs_0000018936|obs_0000016941|obs_0000019559|obs_0000032955|obs_0000032956|obs_0000017165|obs_0000019332|obs_0000019853|obs_0000014780|obs_0000011250|obs_0000023042|obs_0000019520|obs_0000019867|obs_0000019908|obs_0000011721,obs_0000024299|obs_0000023879|obs_0000023039
Regenjacke,LILY DAN,"€ 9,99",,"pro Einheit = 9,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_104.jpg,cat_non_food,,,ref_000104,obs_0000001669|obs_0000004690|obs_0000003173|obs_0000004263|obs_0000004801|obs_0000003836|obs_0000004374|obs_0000002367|obs_0000003432|obs_0000003947|obs_0000002486|obs_0000004821|obs_0000003338|obs_0000004394|obs_0000003967|obs_0000002470|obs_0000000938,obs_0000001669
Fleecejacke,Paw Patrol,"€ 9,99",,"pro Einheit = 9,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_105.jpg,cat_non_food,,,ref_000105,obs_0000023101|obs_0000009864|obs_0000026122|obs_0000032808|obs_0000000942|obs_0000009402|obs_0000001608|obs_0000018381|obs_0000022494|obs_0000025203|obs_0000000029|obs_0000021152|obs_0000003754|obs_0000014794|obs_0000025293|obs_0000020333|obs_0000025102|obs_0000020136|obs_0000020955,obs_0000023101
Kinder-Regenschirm,Kinder-Regenschirm,"€ 4,99",,"pro Einheit = 4,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_106.jpg,"cat_non_food,tag_ultra_processed",,,ref_000106,,
Schuhe mit LED,LILY DAN,"€ 12,99",,"pro Einheit = 12,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_107.jpg,cat_non_food,,,ref_000107,,
Collegejacke,LILY DAN,"€ 9,99",,"pro Einheit = 9,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_108.jpg,"cat_non_food,tag_ultra_processed",,,ref_000108,obs_0000011738,
Regenstiefel,LILY DAN,"€ 9,99",,"pro Einheit = 9,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_109.jpg,cat_non_food,,,ref_000109,obs_0000001584|obs_0000024278|obs_0000024281|obs_0000023854|obs_0000023857|obs_0000001670|obs_0000000936|obs_0000025903,obs_0000001584|obs_0000024278|obs_0000024281|obs_0000023854|obs_0000023857
Pyjama,LILY DAN,"€ 4,99",,"pro Einheit = 4,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_110.jpg,cat_non_food,,,ref_000110,obs_0000000843|obs_0000000941|obs_0000025117|obs_0000001582|obs_0000020542|obs_0000001626|obs_0000001121|obs_0000022656|obs_0000000757|obs_0000000761|obs_0000021361|obs_0000001410|obs_0000002326|obs_0000002442|obs_0000020489|obs_0000016395|obs_0000003601|obs_0000025121|obs_0000011299|obs_0000001063|obs_0000001069|obs_0000001581|obs_0000021565|obs_0000002134|obs_0000001120|obs_0000021615|obs_0000025721|obs_0000025220|obs_0000025229|obs_0000018067|obs_0000013990|obs_0000021164|obs_0000025312|obs_0000016613|obs_0000002795|obs_0000015610|obs_0000015617|obs_0000013578|obs_0000015626|obs_0000020746|obs_0000020796|obs_0000021308|obs_0000004942|obs_0000025426|obs_0000015703|obs_0000015704|obs_0000014181|obs_0000017261|obs_0000020345|obs_0000000384,obs_0000025117|obs_0000001582|obs_0000020542|obs_0000001626|obs_0000001121|obs_0000022656|obs_0000000757|obs_0000000761|obs_0000000843|obs_0000021361|obs_0000001410|obs_0000000941
Schubkarren-Set für Kinder,Gardenline,"€ 19,99",,"pro Einheit = 19,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_111.jpg,"cat_non_food,tag_ultra_processed",,,ref_000111,,
