Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Langnese Family Eis,Keine Marke,"€ 2,22",,"pro Einheit = 2,22",verschiedene Sorten,Nein,Gültig vom 23.03.2026 bis zum 28.03.2026.,2026-03-23,2026-03-28,images_edeka/langnese-family-eis.jpg,"cat_tiefkuehl,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_tk_eis,sub_tk_fertiggerichte,tag_ultra_processed,tag_whole_food",,ref_000075,obs_0000005948|obs_0000006667|obs_0000006847|obs_0000007600|obs_0000005767|obs_0000005768|obs_0000006159|obs_0000034392|obs_0000011490|obs_0000013168|obs_0000017710|obs_0000018692|obs_0000025743|obs_0000025829,obs_0000005948
followfood MSC Zander Filets,Keine Marke,"€ 4,49",,"1 kg = 22,45","2-4 Stück, mit Haut, tiefgefroren, 200 g Packung, (1 kg = 22,45 €)",Nein,Gültig vom 23.03.2026 bis zum 28.03.2026.,2026-03-23,2026-03-28,images_edeka/followfood-msc-zander-filets.jpg,"cat_tiefkuehl,diet_lactose_free,tag_ultra_processed",,ref_000076,obs_0000005951|obs_0000006130,
Coppenrath Wiese Meister Torte,Keine Marke,"€ 5,99",,"pro Einheit = 5,99","verschiedene Sorten, tiefgefroren",Nein,Gültig vom 23.03.2026 bis zum 28.03.2026.,2026-03-23,2026-03-28,images_edeka/coppenrath-wiese-meister-torte.jpg,"cat_tiefkuehl,diet_gluten_free,diet_lactose_free,diet_vegetarian,tag_ultra_processed",,ref_000077,obs_0000006844|obs_0000005952|obs_0000007210|obs_0000016963|obs_0000026124|obs_0000017616|obs_0000018680,obs_0000005952|obs_0000006844|obs_0000030467
McCain Country Wedges,Keine Marke,"€ 1,99",,"1 kg = 3,32","verschiedene Sorten, vegan, tiefgefroren, 600 g Packung, (1 kg = 3,32 €)",Nein,Gültig vom 23.03.2026 bis zum 28.03.2026.,2026-03-23,2026-03-28,images_edeka/mccain-country-wedges.jpg,"cat_tiefkuehl,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,ref_000078,obs_0000014513|obs_0000010905|obs_0000013563|obs_0000014828|obs_0000022594,
Genussmomente Festtagslachs,EDEKA,"€ 6,79",,"1 kg = 22,63","300 g Packung, (1 kg = 22,63 €)",Nein,Gültig vom 23.03.2026 bis zum 28.03.2026.,2026-03-23,2026-03-28,images_edeka/edeka-genussmomente-festtagslachs.jpg,"cat_fisch_meeresfruechte,tag_whole_food",,ref_000079,obs_0000006675|obs_0000007407,obs_0000006675|obs_0000007407
Frisches Seelachsfilet,Keine Marke,"€ 1,69",,"1 kg = 16,90","ideal zum Dünsten und Braten, 100 g",Nein,Gültig vom 23.03.2026 bis zum 28.03.2026.,2026-03-23,2026-03-28,images_edeka/frisches-seelachsfilet.jpg,"cat_fisch_meeresfruechte,diet_gluten_free,diet_lactose_free,tag_high_protein,tag_proteinreich,tag_whole_food",,ref_000080,obs_0000007212|obs_0000005403|obs_0000008774|obs_0000014038|obs_0000015372|obs_0000031739|obs_0000033683|obs_0000034936,obs_0000005403|obs_0000005590|obs_0000006326|obs_0000007212
Räucherlachs,Keine Marke,"€ 3,99",,"1 kg = 39,90","klassisch geräuchert, 100 g",Nein,Gültig vom 23.03.2026 bis zum 28.03.2026.,2026-03-23,2026-03-28,images_edeka/r-ucherlachs.jpg,"cat_fisch_meeresfruechte,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,ref_000081,obs_0000028795|obs_0000001935|obs_0000001994|obs_0000002571|obs_0000003427|obs_0000005956|obs_0000008702|obs_0000016608|obs_0000017750|obs_0000020251|obs_0000021070|obs_0000025231|obs_0000031816|obs_0000007814|obs_0000032552|obs_0000007817|obs_0000029293|obs_0000030538|obs_0000001422|obs_0000001784|obs_0000003507|obs_0000009423|obs_0000009886|obs_0000011507|obs_0000011910|obs_0000016139|obs_0000016309|obs_0000017031|obs_0000017355|obs_0000018865|obs_0000018867|obs_0000018877|obs_0000022586|obs_0000023258|obs_0000024580|obs_0000025935|obs_0000025992|obs_0000027905|obs_0000006165|obs_0000018333|obs_0000025269,obs_0000001935|obs_0000001994|obs_0000002571|obs_0000003427|obs_0000005956|obs_0000008702|obs_0000016608|obs_0000017750|obs_0000020251|obs_0000021070|obs_0000025231|obs_0000028795|obs_0000031816
Forelle,Keine Marke,"€ 1,99",,"1 kg = 19,90","geräuchert, 100 g",Nein,Gültig vom 23.03.2026 bis zum 28.03.2026.,2026-03-23,2026-03-28,images_edeka/forelle.jpg,"cat_fisch_meeresfruechte,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",BLS-T422100,ref_000082,obs_0000007046|obs_0000007610|obs_0000034141|obs_0000009595|obs_0000010047|obs_0000020079|obs_0000020898|obs_0000025693,obs_0000034141|obs_0000007046|obs_0000007610|obs_0000009595|obs_0000010047|obs_0000020079|obs_0000020898|obs_0000025693|obs_0000031684
Meica CurryKing,Keine Marke,"€ 1,79",,"1 kg = 8,14","verschiedene Sorten oder Echt Veggie, 220 g Schale, (1 kg = 8,14 €)",Nein,Gültig vom 23.03.2026 bis zum 28.03.2026.,2026-03-23,2026-03-28,images_edeka/meica-curryking.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,ref_000084,,obs_0000029154|obs_0000031481
Finesse,Herta,"€ 1,59",,"1 kg = 15,90","verschiedene Sorten, 100 g Packung, (1 kg = 15,90 €)",Nein,Gültig vom 23.03.2026 bis zum 28.03.2026.,2026-03-23,2026-03-28,images_edeka/herta-finesse.jpg,"cat_fleisch_wurst,tag_ultra_processed",,ref_000085,obs_0000002709|obs_0000020896|obs_0000023749|obs_0000021835|obs_0000023266|obs_0000024171|obs_0000020077|obs_0000031285|obs_0000001982|obs_0000015760|obs_0000014378|obs_0000010437|obs_0000016222|obs_0000019938|obs_0000000121|obs_0000012666|obs_0000024891|obs_0000031942|obs_0000030157|obs_0000032367,obs_0000002709|obs_0000020896|obs_0000031285|obs_0000001982|obs_0000023749|obs_0000021835|obs_0000023266|obs_0000024171|obs_0000020077
