Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
HARRY,1688 Unser Mildes,"€ 1,11",,"1 kg = 2,22","1 kg = 2,22","Weizenmischbrot, in Scheiben",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_234.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed",,,ref_000001,obs_0000031327|obs_0000011362|obs_0000009387|obs_0000009848,obs_0000009387|obs_0000031327|obs_0000011362|obs_0000009848,,
COUNTRYSIDE,2-Brenner-Gasgrill,"€ 79,99",,"pro Einheit = 79,99","pro Einheit = 79,99","Mit 2 seperaten Edelstahl-Hochleistungsbrennern Präzise einstellbare Drehregler Zuverlässiger Start durch Piezo-Zündsystem Warmhalterost und 2 abklappbare Ablageflächen Deckel mit Edelstahlgriff und Thermometer Entnehmbare Auffangschale Einfacher Transport durch gartentaugliche Räder Untergestell mit textiler Sichtblende Größe ca. B 93 x H 99 x T 53 cm Grillfläche ca. 36 x 38 cm (B x T) Max. Gesamtleistung 6 kW (2 x 3 kW) Geeignet für 5-, 8- und 11-kg-Gasflaschen Inkl. Montagematerial, Druckminderer Inkl. Gasflaschen-Anschluss",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_456.jpg,cat_non_food,,,ref_000002,,,,
TECHNAXX,3-in-1-Powerbank TX-315,"€ 14,99","€ 29,99","pro Einheit = 14,99","pro Einheit = 14,99","Kapazität 10.000 mAh Wireless Charging für Smartphones (bis 15 W) Wireless Charging für Smartwatch/TWS-Case (3 W) Ausgänge: USB-A und USB-C (bis zu 20 W) Digitale Ladestandsanzeige Inkl. USB-Kabel (C auf C, seitlich verstaubar)",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_377.jpg,"cat_non_food,diet_vegetarian,tag_ultra_processed",,,ref_000003,obs_0000019067|obs_0000008853|obs_0000009905|obs_0000009439|obs_0000024331|obs_0000023909,,,
Clean Maxx,Akku-Handstaubsauger 15509,"€ 14,99","€ 29,99","pro Einheit = 14,99","pro Einheit = 14,99","Mit Saug-, Gebläse- und Vakuumierfunktion Schmutz-Auffangbehälter mit EPA-Filter Akku-Laufzeit bis zu 15 min Inkl. 2 Gebläsedüsen, 2 Bürstenaufsätze Inkl. Polster-, Fugen-, Vakuumierdüse, Ladekabel",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_387.jpg,cat_non_food,,,ref_000004,obs_0000028196|obs_0000027251|obs_0000022693|obs_0000027883|obs_0000026908,,,x
SWITCH ON,Akku-Staubsauger SOHAZS 16,"€ 79,99",,"pro Einheit = 79,99","pro Einheit = 79,99",2 in 1: Hand- und Bodenstaubsauger Beutellose Zyklontechnologie 2 Saugstufen: Boost- und ECO-Modus HEPA-Filter E12 und Edelstahlfilter Staubbehälter ca. 150 ml Elektrische Bodenbürste mit LED-Licht LEDs für Batterie- und Modusanzeige Entnehmbarer Li-Ion-Akku 16 V/2.500 mAh Akku-Laufzeit bis zu 23 min Inkl. 2-in-1-Kombibürste und Netzadapter Inkl. Ladestation mit Halterung für Zubehör,Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_392.jpg,cat_non_food,,,ref_000005,obs_0000026719|obs_0000022692|obs_0000016915|obs_0000023562,obs_0000012914|obs_0000011185,,
JACK DANIEL S,Alkoholisches Mixgetränk,"€ 1,99","€ 2,99","1 l = 6,03","1 l = 6,03","Tennessee-Whiskey mit Coca-Cola, Lynchburg Lemonade, Berry oder Ginger, 10 Vol. % (+ 0.25 Pfand)",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_308.jpg,"cat_getraenke,tag_ultra_processed",,,ref_000006,obs_0000013501|obs_0000012426|obs_0000015062|obs_0000026012|obs_0000012425|obs_0000013228|obs_0000015063,obs_0000012426|obs_0000013501|obs_0000015062,,
CHOVI,Allioli,"€ 1,99","€ 2,49","1 l = 13,27","1 l = 13,27",Knoblauchcreme,Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_208.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed",,BLS-X344260,ref_000007,obs_0000008422|obs_0000032622,obs_0000032622,,
EHRMANN,Almighurt,"€ 0,39","€ 0,89","1 kg = 2,60","1 kg = 2,60","Fruchtjoghurt, versch. Sorten, 3,5 - 3,8 % Fett im Milchanteil",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_155.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte",,,ref_000008,obs_0000003093|obs_0000013502|obs_0000031451|obs_0000004902|obs_0000001348|obs_0000000360|obs_0000028525|obs_0000022905|obs_0000004475|obs_0000014217|obs_0000012194|obs_0000033699|obs_0000015270|obs_0000004048|obs_0000028641|obs_0000000497|obs_0000000513|obs_0000027740|obs_0000033915|obs_0000034514|obs_0000007335|obs_0000005336|obs_0000005901|obs_0000032555|obs_0000032081|obs_0000030116,obs_0000003093|obs_0000007335|obs_0000013502|obs_0000005336|obs_0000031451|obs_0000005901|obs_0000004902|obs_0000032555|obs_0000001348|obs_0000032081|obs_0000000360|obs_0000028525|obs_0000022905|obs_0000004475|obs_0000014217|obs_0000012194|obs_0000033699|obs_0000030116|obs_0000015270|obs_0000004048|obs_0000028641|obs_0000000497,,
BLOCK HOUSE,American Burger,"€ 7,99",,"1 kg = 15,98","1 kg = 15,98",Special Size,Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_188.jpg,cat_tiefkuehl,,,ref_000009,obs_0000014514|obs_0000034806|obs_0000023609|obs_0000018055|obs_0000032633|obs_0000021978,obs_0000014514|obs_0000032633|obs_0000034806,,
GUSTAVO GUSTO,Amore Napoli Pizza,"€ 2,99","€ 3,79","1 kg = 8,93 - 9,50","1 kg = 8,93 - 9,50",versch. Sorten,Nein,Dieses Angebot findest du vom 27.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-27,2026-04-29,../images/kaufland/kaufland_offer_047.jpg,"cat_tiefkuehl,sub_tk_pizza,tag_ultra_processed",,,ref_000010,obs_0000014967|obs_0000028255|obs_0000013341|obs_0000025810|obs_0000010530|obs_0000031503|obs_0000031510|obs_0000029021|obs_0000029161|obs_0000023186|obs_0000005867,obs_0000014967,,
DOLE,Ananas,"€ 1,59","€ 2,59","1 kg = 5,85","1 kg = 5,85",Stücke oder Scheiben in Saft,Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_209.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_whole_food",,BLS-F501100,ref_000011,obs_0000007137|obs_0000027077|obs_0000028967|obs_0000005512|obs_0000014138|obs_0000008196|obs_0000020098|obs_0000000868|obs_0000001306|obs_0000014436|obs_0000015338|obs_0000029882|obs_0000007731|obs_0000020917|obs_0000034745|obs_0000031235|obs_0000030465|obs_0000035090,obs_0000007137|obs_0000027077|obs_0000028967|obs_0000005512|obs_0000014138,,
