Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Kräuterspirale,Belavi,"€ 4,99",,"pro Einheit = 4,99",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/aldi/aldi_offer_001.jpg,"cat_non_food,sub_kraeuter,sub_milchprodukte",,,ref_000001,,
Pinienkerne,Farmer Naturals,"€ 1,49",,"pro Einheit = 2,49",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/aldi/aldi_offer_002.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,tag_whole_food",,BLS-H320100,ref_000002,obs_0000001723|obs_0000010386|obs_0000016095|obs_0000013821|obs_0000003582,obs_0000010386|obs_0000001723|obs_0000016095|obs_0000013821|obs_0000003582
Weinblätter,Bio,"€ 1,99",,"1 kg = 7,11",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/aldi/aldi_offer_003.jpg,"cat_getraenke,diet_vegan,diet_vegetarian",,,ref_000003,obs_0000009869|obs_0000010009|obs_0000013481|obs_0000015416|obs_0000009409|obs_0000009549|obs_0000025180,obs_0000009869|obs_0000010009|obs_0000013481|obs_0000015416|obs_0000009409|obs_0000009549
Yogri Natur,LYTTOS,"€ 1,59",,"pro Einheit = 2,19",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/aldi/aldi_offer_004.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte",,,ref_000004,obs_0000028889|obs_0000001347|obs_0000009644,
Fleece-Jacke,Fleece-Jacke,"€ 9,99",,"pro Einheit = 9,99",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/aldi/aldi_offer_005.jpg,cat_non_food,,,ref_000005,obs_0000002880|obs_0000002791|obs_0000003600|obs_0000003265|obs_0000002670,obs_0000002880|obs_0000002791
Erdbeeren,Erdbeeren,"€ 1,49",,"1 kg = 2,98",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/aldi/aldi_offer_006.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,BLS-F301100,ref_000006,obs_0000022919|obs_0000024529|obs_0000000875|obs_0000006408|obs_0000030617|obs_0000027419|obs_0000031261|obs_0000029494|obs_0000030915|obs_0000031576|obs_0000030564|obs_0000031462|obs_0000006265|obs_0000032512|obs_0000033793|obs_0000012233|obs_0000013901|obs_0000034400|obs_0000030989|obs_0000005687|obs_0000006083|obs_0000006092|obs_0000015717|obs_0000013414|obs_0000013418|obs_0000011389|obs_0000030428,obs_0000022919|obs_0000006408|obs_0000030617|obs_0000027419|obs_0000031261|obs_0000029494|obs_0000030915|obs_0000024529|obs_0000031576|obs_0000030564|obs_0000031462|obs_0000000875|obs_0000006265|obs_0000032512
Porree,Porree,"€ 0,59",,"pro Einheit = 0,59",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/aldi/aldi_offer_007.jpg,"cat_getraenke,diet_vegetarian,tag_ultra_processed",,,ref_000007,obs_0000000696|obs_0000009507|obs_0000021283|obs_0000018921|obs_0000029487|obs_0000020464|obs_0000009968|obs_0000029884|obs_0000030131|obs_0000010515,obs_0000009507|obs_0000021283|obs_0000018921|obs_0000029487|obs_0000020464|obs_0000009968|obs_0000000696|obs_0000029884
Rucola,Rucola,"€ 0,66",,"pro Einheit = 0,89",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/aldi/aldi_offer_008.jpg,"cat_getraenke,tag_ultra_processed",,BLS-G130100,ref_000008,obs_0000001300|obs_0000031672|obs_0000030142|obs_0000001874|obs_0000033923|obs_0000029203|obs_0000029500|obs_0000032072|obs_0000028749|obs_0000034818|obs_0000015263|obs_0000013257|obs_0000012651|obs_0000031503|obs_0000005712|obs_0000029021|obs_0000005890|obs_0000005895|obs_0000005708,obs_0000001300|obs_0000031672|obs_0000030142|obs_0000001874
Spargelkartoffeln festkochend,Spargelkartoffeln festkochend,"€ 1,79",,"pro Einheit = 1,99",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/aldi/aldi_offer_009.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_kartoffeln,tag_ultra_processed,tag_whole_food",,,ref_000009,,
Rispentomaten,Rispentomaten,"€ 2,39",,"pro Einheit = 2,39",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/aldi/aldi_offer_010.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,,ref_000010,obs_0000000876|obs_0000027139|obs_0000027413|obs_0000029590|obs_0000027927|obs_0000013997|obs_0000031578|obs_0000026075|obs_0000008287|obs_0000030210|obs_0000026758|obs_0000011399|obs_0000006281|obs_0000008970|obs_0000031628|obs_0000001302|obs_0000028053|obs_0000006427|obs_0000029206|obs_0000012189|obs_0000006431|obs_0000031226|obs_0000030260|obs_0000014134|obs_0000010557|obs_0000029646|obs_0000010451|obs_0000013027|obs_0000030825|obs_0000006270|obs_0000032515|obs_0000030469|obs_0000029204|obs_0000031140|obs_0000030614|obs_0000030141|obs_0000030918|obs_0000029129|obs_0000006783|obs_0000029645|obs_0000015321|obs_0000007136|obs_0000031461|obs_0000030568|obs_0000030961|obs_0000007312|obs_0000005527|obs_0000007325|obs_0000012235|obs_0000006608,obs_0000027139|obs_0000027413|obs_0000029590|obs_0000027927|obs_0000013997|obs_0000031578|obs_0000026075|obs_0000008287|obs_0000000876
Spargel weiß weiß-violett,Spargel weiß weiß-violett,"€ 4,39",,"pro Einheit = 5,99",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/aldi/aldi_offer_011.jpg,"cat_getraenke,diet_vegetarian",,,ref_000011,obs_0000006414|obs_0000007314|obs_0000001516,
Hähnchen-Schenkel,MEINE METZGEREI,"€ 6,99",,"1 kg = 3,50",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/aldi/aldi_offer_012.jpg,"cat_fleisch_wurst,sub_gefluegel,tag_proteinreich",,BLS-V4A5100,ref_000012,obs_0000000705|obs_0000000882|obs_0000001523|obs_0000014454|obs_0000016559|obs_0000027259|obs_0000027277|obs_0000027367|obs_0000017341|obs_0000019465|obs_0000027696|obs_0000009401|obs_0000028083|obs_0000009863|obs_0000028345|obs_0000022267|obs_0000018267|obs_0000014263|obs_0000030896|obs_0000010525|obs_0000014915|obs_0000008788|obs_0000031635|obs_0000015748|obs_0000011849|obs_0000012213|obs_0000031534|obs_0000029875|obs_0000029909|obs_0000029965|obs_0000032530|obs_0000031272,obs_0000014454|obs_0000016559|obs_0000004368|obs_0000000293|obs_0000002568|obs_0000027259|obs_0000027277|obs_0000004795|obs_0000000705|obs_0000027367|obs_0000000882|obs_0000017341|obs_0000019465|obs_0000027696|obs_0000009401|obs_0000003414|obs_0000028083|obs_0000001523|obs_0000009863|obs_0000028345|obs_0000022267|obs_0000018267|obs_0000003941|obs_0000014263
