Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,source_market
Henglein Frischer Pizzateig XXL,Keine Marke,"€ 1,49",,"1 kg = 2,71",je 550-g-Pckg,Nein,2026-02-09 bis 2026-02-15,2026-02-09,2026-02-15,images_rewe/bamberg_offer_001.jpg,bamberg
Huober Schwäbische Knusper-Brezel,Keine Marke,"€ 1,11",,"1 kg = 6,34",je 175-g-Btl,Nein,2026-02-09 bis 2026-02-15,2026-02-09,2026-02-15,images_rewe/bamberg_offer_208.jpg,bamberg
Tony s Schokolade,Keine Marke,"€ 2,79",,"1 kg = 15,50","versch. Sorten, je 180-g-Tafel",Nein,2026-02-09 bis 2026-02-15,2026-02-09,2026-02-15,images_rewe/bamberg_offer_207.jpg,bamberg
Nippon Puffreis Häppchen,Keine Marke,"€ 1,79",,"1 kg = 8,95","versch. Sorten, je 200-g-Pckg",Nein,2026-02-09 bis 2026-02-15,2026-02-09,2026-02-15,images_rewe/bamberg_offer_206.jpg,bamberg
Hitschler Fruchtgummi,Keine Marke,"€ 0,99",,"1 kg = 7,92","versch. Sorten, je 125-g-Btl",Nein,2026-02-09 bis 2026-02-15,2026-02-09,2026-02-15,images_rewe/bamberg_offer_205.jpg,bamberg
Milka Pralin s,Keine Marke,"€ 1,99",,"1 kg = 18,09","versch. Sorten, je 110-g-Pckg",Nein,2026-02-09 bis 2026-02-15,2026-02-09,2026-02-15,images_rewe/bamberg_offer_204.jpg,bamberg
Lorenz Crunchips,Keine Marke,"€ 1,11",,"1 kg = 7,40","Paprika, je 150-g-Btl",Nein,2026-02-09 bis 2026-02-15,2026-02-09,2026-02-15,images_rewe/bamberg_offer_203.jpg,bamberg
Merci Finest Selection,Keine Marke,"€ 2,99",,"1 kg = 11,96","versch. Sorten, je 250-g-Pckg",Nein,2026-02-09 bis 2026-02-15,2026-02-09,2026-02-15,images_rewe/bamberg_offer_202.jpg,bamberg
Ritter Sport Schokolade Nussklasse,Keine Marke,"€ 1,69",,"1 kg = 16,90","versch. Sorten, je 100-g-Tafel",Nein,2026-02-09 bis 2026-02-15,2026-02-09,2026-02-15,images_rewe/bamberg_offer_201.jpg,bamberg
Pringles,Keine Marke,"€ 1,79",,"1 kg = 10,85","versch. Sorten, je 165-g-Dose",Nein,2026-02-09 bis 2026-02-15,2026-02-09,2026-02-15,images_rewe/bamberg_offer_200.jpg,bamberg
Haribo Fruchtgummi oder Lakritz,Keine Marke,"€ 3,79",,"1 kg = 5,05","versch. Sorten, je 750-g-Dose",Nein,2026-02-09 bis 2026-02-15,2026-02-09,2026-02-15,images_rewe/bamberg_offer_199.jpg,bamberg
Ferrero Rocher,Keine Marke,"€ 2,79",,"1 kg = 13,95",je 200-g-Pckg,Nein,2026-02-09 bis 2026-02-15,2026-02-09,2026-02-15,images_rewe/bamberg_offer_198.jpg,bamberg
Maggi Fix Air Fryer Käse Knusper Hähnchen,Keine Marke,"€ 0,49",,"1 kg = 11,14",je 44-g-Btl,Nein,2026-02-09 bis 2026-02-15,2026-02-09,2026-02-15,images_rewe/bamberg_offer_196.jpg,bamberg
Maggi Magic Asia Noodle Cup Chicken,Keine Marke,"€ 0,99",,"1 kg = 15,71",je 63-g-Becher,Nein,2026-02-09 bis 2026-02-15,2026-02-09,2026-02-15,images_rewe/bamberg_offer_195.jpg,bamberg
Händlmaier Süßer Senf,Keine Marke,"€ 1,59",,"1 l = 7,07","klassisch oder weniger Zucker, je 225-ml-Fl",Nein,2026-02-09 bis 2026-02-15,2026-02-09,2026-02-15,images_rewe/bamberg_offer_194.jpg,bamberg
Mehlzauber Weizenmehl Type 405,Keine Marke,"€ 1,19",,Kein Mengenpreis,je 1-kg-Btl,Nein,2026-02-09 bis 2026-02-15,2026-02-09,2026-02-15,images_rewe/bamberg_offer_193.jpg,bamberg
