Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
MSC Thunfisch Filets,Gut & Günstig,"€ 1,00",,"pro Einheit = 1,00","pro Einheit = 1,00",verschiedene Sorten oder Stücke mit Gemüse Ausgenommen Filets in Olivenöl.,Nein,Gültig vom 20.04.2026 bis zum 25.04.2026.,2026-04-20,2026-04-25,../images/edeka/gut-g-nstig-msc-thunfisch-filets.jpg,"cat_grundnahrung,tag_ultra_processed",,,ref_000050,obs_0000006130|obs_0000019499|obs_0000024173|obs_0000020625|obs_0000022192|obs_0000023751|obs_0000025801|obs_0000010669|obs_0000022972|obs_0000021444|obs_0000005182|obs_0000006827|obs_0000031286|obs_0000002838|obs_0000032675|obs_0000003020|obs_0000013927|obs_0000013452|obs_0000015656|obs_0000014147,obs_0000005182|obs_0000006827,,x
Haselnuss-Kerne,Gut & Günstig,"€ 2,49",,"1 kg = 12,45","1 kg = 12,45","gemahlen, 200 g Packung, (1 kg = 12,45 €)",Nein,Gültig vom 20.04.2026 bis zum 25.04.2026.,2026-04-20,2026-04-25,../images/edeka/gut-g-nstig-haselnuss-kerne.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,BLS-S493000,ref_000051,obs_0000022597|obs_0000001243,obs_0000006835|obs_0000006488,,x
Mandeln,Gut & Günstig,"€ 1,69",,"1 kg = 8,45","1 kg = 8,45","gemahlen, 200 g Packung, (1 kg = 8,45 €)",Nein,Gültig vom 20.04.2026 bis zum 25.04.2026.,2026-04-20,2026-04-25,../images/edeka/gut-g-nstig-mandeln.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,BLS-Q190000,ref_000052,obs_0000025245|obs_0000022429|obs_0000002977|obs_0000018338|obs_0000020006|obs_0000021040|obs_0000001855|obs_0000031300|obs_0000003526|obs_0000027212|obs_0000026330|obs_0000010075|obs_0000001886|obs_0000027112|obs_0000026220|obs_0000017648|obs_0000014583|obs_0000020221|obs_0000001926|obs_0000030863|obs_0000003346|obs_0000002618|obs_0000003262|obs_0000002499|obs_0000006474|obs_0000022603|obs_0000002652|obs_0000018937|obs_0000024621|obs_0000020420|obs_0000025444|obs_0000021239|obs_0000018682|obs_0000013535|obs_0000007011|obs_0000017392|obs_0000024591|obs_0000001275,obs_0000025245|obs_0000022429|obs_0000002977|obs_0000018338|obs_0000020006|obs_0000021040|obs_0000001855|obs_0000031300|obs_0000003526|obs_0000027212|obs_0000026330|obs_0000010075|obs_0000001886|obs_0000027112|obs_0000026220|obs_0000017648|obs_0000014583|obs_0000020221,,x
Satisbite oder Soft Bar,MORE,"€ 2,00",,"1 kg = 40,00","1 kg = 40,00","verschiedene Sorten, 50 g Riegel, (1 kg = 40,00 €)",Nein,Gültig vom 20.04.2026 bis zum 25.04.2026.,2026-04-20,2026-04-25,../images/edeka/more-satisbite-oder-soft-bar.jpg,"cat_grundnahrung,tag_ultra_processed",,,ref_000053,,,,x
d arbo Naturrein Konfitüre Extra,Keine Marke,"€ 2,99",,"1 kg = 7,40","1 kg = 7,40","verschiedene Sorten, 450 g Glas, (1 kg = 7,40 €)",Nein,Gültig vom 20.04.2026 bis zum 25.04.2026.,2026-04-20,2026-04-25,../images/edeka/d-arbo-naturrein-konfit-re-extra.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",,,ref_000054,obs_0000031949|obs_0000007582|obs_0000006652|obs_0000028231|obs_0000015009|obs_0000026852|obs_0000014194|obs_0000012688|obs_0000010707|obs_0000008202|obs_0000002069|obs_0000014367|obs_0000026193|obs_0000000136|obs_0000015501|obs_0000012446|obs_0000015088|obs_0000016124|obs_0000013624|obs_0000019269|obs_0000011593|obs_0000013180|obs_0000012176|obs_0000013749|obs_0000014805,obs_0000028231|obs_0000031949|obs_0000007582|obs_0000006652,,
Müsli,Kölln,"€ 1,99",,"pro Einheit = 1,99","pro Einheit = 1,99",verschiedene Sorten,Nein,Gültig vom 20.04.2026 bis zum 25.04.2026.,2026-04-20,2026-04-25,../images/edeka/k-lln-m-sli.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_ultra_processed,tag_whole_food",,,ref_000055,obs_0000007194|obs_0000006314|obs_0000005931|obs_0000007379|obs_0000013314|obs_0000021664|obs_0000010536|obs_0000014004|obs_0000027228|obs_0000013793|obs_0000014570|obs_0000020845|obs_0000025199|obs_0000032406|obs_0000032410|obs_0000032101|obs_0000032102,obs_0000007194|obs_0000021664|obs_0000010536|obs_0000006314|obs_0000005931|obs_0000014004|obs_0000007379|obs_0000013793|obs_0000014570|obs_0000020845|obs_0000025199,x,
Pesto,Barilla,"€ 2,00",,"pro Einheit = 2,00","pro Einheit = 2,00",verschiedene Sorten,Nein,Gültig vom 20.04.2026 bis zum 25.04.2026.,2026-04-20,2026-04-25,../images/edeka/barilla-pesto.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegan,diet_vegetarian,sub_nudeln,tag_ultra_processed",,,ref_000056,obs_0000023299|obs_0000025099|obs_0000018607|obs_0000015289|obs_0000003675|obs_0000014195|obs_0000015872|obs_0000011527|obs_0000001549|obs_0000000146|obs_0000019219|obs_0000020017|obs_0000011089|obs_0000019945|obs_0000016639|obs_0000034211|obs_0000001346|obs_0000028349|obs_0000008153|obs_0000015004|obs_0000015005|obs_0000007363|obs_0000023389|obs_0000010208|obs_0000022243|obs_0000034416|obs_0000005746|obs_0000007184|obs_0000030712|obs_0000002524|obs_0000003299|obs_0000029304|obs_0000005369|obs_0000032424|obs_0000030664|obs_0000029670|obs_0000032232|obs_0000029685|obs_0000007342|obs_0000013936|obs_0000006836|obs_0000005569,obs_0000023299|obs_0000011527|obs_0000025099|obs_0000001549|obs_0000000146|obs_0000019219|obs_0000018607|obs_0000020017|obs_0000015289|obs_0000007363|obs_0000011089|obs_0000003675|obs_0000019945|obs_0000005746|obs_0000014195|obs_0000016639|obs_0000015872,,
Pastasauce Klassik,Barilla,"€ 2,00",,"1 kg = 5,00","1 kg = 5,00","verschiedene Sorten, 400 g Glas, (1 kg = 5,00 €)",Nein,Gültig vom 20.04.2026 bis zum 25.04.2026.,2026-04-20,2026-04-25,../images/edeka/barilla-pastasauce-klassik.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegan,diet_vegetarian,sub_hackfleisch,sub_nudeln",,,ref_000057,obs_0000005748|obs_0000007364|obs_0000026636|obs_0000034835|obs_0000033694|obs_0000010702,obs_0000005748|obs_0000007364,,
Brat- Grill-Olivenöl,Bertolli,"€ 4,99",,"pro Einheit = 4,99","pro Einheit = 4,99",,Nein,Gültig vom 20.04.2026 bis zum 25.04.2026.,2026-04-20,2026-04-25,../images/edeka/bertolli-brat-grill-oliven-l.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000058,obs_0000007366|obs_0000005928|obs_0000011361|obs_0000009909|obs_0000009444|obs_0000002836|obs_0000001438,,x,
Tomato Ketchup oder Mayonnaise,Heinz,"€ 2,79",,"1 l = 3,49","1 l = 3,49","*Nur solange der Vorrat reicht., 800 ml Flasche, (1 l = 3,49 €)",Nein,Gültig vom 20.04.2026 bis zum 25.04.2026.,2026-04-20,2026-04-25,../images/edeka/heinz-tomato-ketchup-oder-mayonnaise.jpg,"cat_grundnahrung,diet_vegan,diet_vegetarian,tag_ultra_processed",,,ref_000059,obs_0000029039|obs_0000032050|obs_0000032296|obs_0000008294|obs_0000034616|obs_0000018347|obs_0000010249|obs_0000011348|obs_0000022471|obs_0000014295|obs_0000014833|obs_0000015843|obs_0000014529|obs_0000001763|obs_0000002118|obs_0000010674|obs_0000015657|obs_0000015844,obs_0000029039|obs_0000032050|obs_0000032296,,
Tomaten,Delverde,"€ 0,99",,"1 kg = 2,48","1 kg = 2,48","verschiedene Sorten, 400 g Dose, (1 kg = 2,48 €)",Nein,Gültig vom 20.04.2026 bis zum 25.04.2026.,2026-04-20,2026-04-25,../images/edeka/delverde-tomaten.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,,ref_000060,obs_0000006484|obs_0000006132|obs_0000026278|obs_0000026407|obs_0000019909|obs_0000034023,obs_0000019909|obs_0000006484|obs_0000006132,x,
Goldmais und Goldmais Mix,Bonduelle,"€ 0,99",,"pro Einheit = 0,99","pro Einheit = 0,99",verschiedene Sorten Ausgenommen Bio Goldmais,Nein,Gültig vom 20.04.2026 bis zum 25.04.2026.,2026-04-20,2026-04-25,../images/edeka/bonduelle-goldmais-und-goldmais-mix.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",,,ref_000061,obs_0000034194|obs_0000028389|obs_0000005750|obs_0000024700,,,
Cornichons,Kühne,"€ 2,00",,"1 kg = 10,53","1 kg = 10,53","verschiedene Sorten, 330 g Glas (Abtropfgewicht 190 g), (1 kg = 10,53 €)",Nein,Gültig vom 20.04.2026 bis zum 25.04.2026.,2026-04-20,2026-04-25,../images/edeka/k-hne-cornichons.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed",,,ref_000062,obs_0000000901|obs_0000002094|obs_0000006830|obs_0000003011,,,
italienische Pasta,Schär,"€ 2,00",,"1 kg = 5,00","1 kg = 5,00","verschiedene Ausformungen, glutenfrei, 400 g Packung, (1 kg = 5,00 €)",Nein,Gültig vom 20.04.2026 bis zum 25.04.2026.,2026-04-20,2026-04-25,../images/edeka/sch-r-italienische-pasta.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_nudeln,sub_tk_gemuese",,,ref_000063,obs_0000006302|obs_0000005740|obs_0000007357|obs_0000020003|obs_0000035104|obs_0000028733|obs_0000022097|obs_0000002663|obs_0000034419|obs_0000017082|obs_0000021187|obs_0000034026|obs_0000026899|obs_0000018196|obs_0000016662|obs_0000018708|obs_0000028496|obs_0000011092|obs_0000014165|obs_0000019293|obs_0000019845|obs_0000020368|obs_0000025518|obs_0000028607|obs_0000018893|obs_0000017359|obs_0000016866,,x,
