Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,source_market
Kölln Bio Haferflocken,Keine Marke,"€ 1,69",,"1 kg = 3,38","versch. Sorten, je 500-g-Pckg",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_001.jpg,bamberg
Seeberger Mikrowellen-Popcorn,Keine Marke,"€ 0,69",,"1 kg = 7,67","versch. Sorten, je 90-g-Btl",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_161.jpg,bamberg
Lambertz Amerikaner,Keine Marke,"€ 1,79",,"1 kg = 8,14",je 220-g-Pckg,Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_162.jpg,bamberg
Duplo Riegel,Keine Marke,"€ 3,99",,"1 kg = 12,18","je 18 x 18,2-g-Pckg",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_163.jpg,bamberg
Lorenz Saltletts Pausen Cracker,Keine Marke,"€ 1,49",,"1 kg = 14,90",je 100-g-Btl,Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_165.jpg,bamberg
REWE Bio Italienische Maronen,Keine Marke,"€ 2,39",,"1 kg = 23,90","gekocht, je 100-g-Btl",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_166.jpg,bamberg
Red Bull Energy Drink,Keine Marke,"€ 0,99",,"1 l = 3,96","versch. Sorten, koffeinhaltig, je 0,25-l-Dose, zzgl. 0,25 Pfand",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_167.jpg,bamberg
Amecke Sanfte Säfte oder Plus Säfte,Keine Marke,"€ 1,99",,Kein Mengenpreis,"versch. Sorten, aus Konzentrat, je 1-l-Pckg",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_168.jpg,bamberg
Powerade,Keine Marke,"€ 0,99",,"1 l = 1,98","versch. Sorten, je 0,5-l-Fl, zzgl. 0,25 Pfand",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_169.jpg,bamberg
Effect Energy Drink,Keine Marke,"€ 0,79",,"1 l = 2,39","versch. Sorten, koffeinhaltig, je 0,33-l-Dose, zzgl. 0,25 Pfand",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_170.jpg,bamberg
Residenz Quelle Mineralwasser,Keine Marke,"€ 5,49",,"1 l = 0,46","versch. Sorten, je 12 x 1-l-Fl.-Kasten, zzgl. 3,30 Pfand",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_171.jpg,bamberg
Lipton Ice Tea,Keine Marke,"€ 1,29",,"1 l = 1,03","versch. Sorten, je 1,25-l-Fl, zzgl. 0,25 Pfand",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_172.jpg,bamberg
Coca-Cola,Keine Marke,"€ 7,99",,"1 l = 1,33","versch. Sorten, koffeinhaltig, je 6 x 1-l-Fl.-Kasten, zzgl. 2,40 Pfand",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_173.jpg,bamberg
Sanpellegrino Limonade,Keine Marke,"€ 0,89",,"1 l = 2,70","versch. Sorten, je 0,33-l-Dose, zzgl. 0,25 Pfand",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_174.jpg,bamberg
Vöslauer Flavour Mineralwasser,Keine Marke,"€ 4,14",,"1 l = 0,69","versch. Sorten, je 6 x 1-l-Fl.-Pckg, zzgl. 1,50 Pfand",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_175.jpg,bamberg
Förstina Schorle,Keine Marke,"€ 7,49",,"1 l = 0,83","versch. Sorten, je 12 x 0,75-l-Fl.-Kasten, zzgl. 3,30 Pfand",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_176.jpg,bamberg
Bionade,Keine Marke,"€ 7,99",,"1 l = 2,02","versch. Sorten, je 12 x 0,33-l-Fl.-Kasten, zzgl. 2,46 Pfand",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_177.jpg,bamberg
Coca-Cola Fanta Sprite oder Mezzo Mix,Keine Marke,"€ 11,99",,"1 l = 1,00","versch. Sorten, teilw. koffeinhaltig, je 12 x 1-l-Fl.-Kasten, zzgl. 3,30 + 2 x 0,15 Pfand",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_178.jpg,bamberg
Bayreuther Hell,Keine Marke,"€ 13,99",,"1 l = 1,40","je 20 x 0,5-l-Fl.-Kasten, zzgl. 3,10 Pfand",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_179.jpg,bamberg
Warsteiner Pils,Keine Marke,"€ 11,99",,"1 l = 1,20","je 20 x 0,5-l-Fl.-Kasten, zzgl. 3,10 Pfand",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_180.jpg,bamberg
Zirndorfer Bier,Keine Marke,"€ 11,99",,"1 l = 1,20","versch. Sorten, je 20 x 0,5-l-Fl.-Kasten, zzgl. 3,10 Pfand",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_181.jpg,bamberg
Krombacher oder alkoholfrei,Keine Marke,"€ 3,99",,"1 l = 2,02","versch. Sorten, teilw. koffeinhaltig, je 6 x 0,33-l-Fl.-Sixpack, zzgl. 0,48 Pfand",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_182.jpg,bamberg
Flensburger,Keine Marke,"€ 12,99",,"1 l = 1,97","versch. Sorten, je 20 x 0,33-l-Fl.-Kasten, zzgl. 4,50 Pfand",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_183.jpg,bamberg
Grüner Hell oder Naturradler,Keine Marke,"€ 13,49",,"1 l = 1,35","je 20 x 0,5-l-Fl.-Kasten, zzgl. 3,10 Pfand",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_184.jpg,bamberg
