Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
Gefüllte Eier,Oster Phantasie,"€ 1,11",,"1,49 €",,Nein,,,,images_aldi/aldi_offer_033.jpg,"cat_getraenke,tag_ultra_processed"
Osterhase Edel-Vollmilch Schokolade,Moser Roth,"€ 1,99",,13.27 €/kg,,Nein,,,,images_aldi/aldi_offer_034.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed"
Schoko-Küken,Oster Phantasie,"€ 1,49",,"2,29 €",,Nein,,,,images_aldi/aldi_offer_035.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed"
Edelmarzipan-Pasteten-Ei Rum-Trüffel,Edelmarzipan-Pasteten-Ei Rum-Trüffel,"€ 1,11",,"1,49 €",,Nein,,,,images_aldi/aldi_offer_036.jpg,"cat_knabbern_naschen,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed"
Mini-Osterhase,Moser Roth,"€ 0,69",,"0,99 €",,Nein,,,,images_aldi/aldi_offer_037.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed"
Fein gefüllte Waffel-Eier,Oster Phantasie,"€ 1,59",,"1,99 €",,Nein,,,,images_aldi/aldi_offer_038.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed"
Choco-Lollys,Oster Phantasie,"€ 1,49",,"1,99 €",,Nein,,,,images_aldi/aldi_offer_039.jpg,"cat_knabbern_naschen,tag_ultra_processed"
Gefüllte Ostereier Mix,Oster Phantasie,"€ 1,69",,"2,29 €",,Nein,,,,images_aldi/aldi_offer_040.jpg,"cat_getraenke,tag_ultra_processed"
Glückskäfer,Oster Phantasie,"€ 1,79",,"2,49 €",,Nein,,,,images_aldi/aldi_offer_041.jpg,cat_getraenke
Knusper-Eier Mandel-Creme,Oster Phantasie,"€ 1,59",,"2,49 €",,Nein,,,,images_aldi/aldi_offer_042.jpg,"cat_knabbern_naschen,tag_ultra_processed"
Baumkuchen-Spitzen,Oster Phantasie,"€ 2,29",,"2,99 €",,Nein,,,,images_aldi/aldi_offer_043.jpg,cat_non_food
Gebäckhäschen,Oster Phantasie,"€ 1,39",,"1,99 €",,Nein,,,,images_aldi/aldi_offer_044.jpg,"cat_knabbern_naschen,tag_ultra_processed"
Mini-Häschen,Mini-Häschen,"€ 1,39",,"1,79 €",,Nein,,,,images_aldi/aldi_offer_045.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed"
Osterhase,Osterhase,"€ 1,11",,"1,49 €",,Nein,,,,images_aldi/aldi_offer_046.jpg,"cat_knabbern_naschen,tag_ultra_processed"
Erdbeer-Creme große Eier,Oster Phantasie,"€ 1,49",,"2,29 €",,Nein,,,,images_aldi/aldi_offer_047.jpg,cat_drogerie
Oster-Fruchtgummi Süßer Mix,Oster Phantasie,"€ 0,69",,kg-Preis 4.31,,Nein,,,,images_aldi/aldi_offer_048.jpg,"cat_knabbern_naschen,tag_ultra_processed"
Milchmäuse-Ostereier,Choceur,"€ 1,69",,"1,99 €",,Nein,,,,images_aldi/aldi_offer_049.jpg,"cat_knabbern_naschen,diet_vegetarian,sub_milchprodukte,tag_ultra_processed"
Peanut Butter Eier,Oster Phantasie,"€ 1,15",,"1,69 €",,Nein,,,,images_aldi/aldi_offer_050.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_butter_margarine,sub_milchprodukte,tag_ultra_processed"
Sitzkissen,BELAVI,"€ 1,79",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_051.jpg,cat_non_food
Outdoor-Teppich,HOME CREATION,"€ 3,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_052.jpg,cat_non_food
Kinderstuhl,Belavi,"€ 2,79",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_053.jpg,"cat_knabbern_naschen,tag_ultra_processed"
Gartenstuhl,Belavi,"€ 8,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_054.jpg,cat_non_food
Holzfliesen,Belavi,"€ 6,99",,19.42 €/m²,,Nein,,,,images_aldi/aldi_offer_055.jpg,cat_non_food
Esstisch,Belavi,"€ 16,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_056.jpg,cat_non_food
Riesen-Dahlie,Gärtners Schätze,"€ 1,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_057.jpg,cat_non_food
Bunter Frühling,Bunter Frühling,"€ 1,49",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_058.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed"
Aufbewahrungsbox,BELAVI,"€ 19,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_059.jpg,cat_non_food
Pflanzgefäß,Belavi,"€ 3,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_060.jpg,cat_non_food
Faltbarer Eimer,HOME CREATION,"€ 5,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_061.jpg,cat_non_food
