Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,source_market
Feta,REWE Bio,"€ 2,39",,"1 kg = 11,95","mind. 45% Fett i.Tr., je 200-g-Pckg",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_001.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_kaese,sub_milchprodukte,tag_whole_food",bamberg
Crunchips,Lorenz,"€ 1,19",,"1 kg = 7,93","Paprika, je 150-g-Btl",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_155.jpg,"cat_knabbern_naschen,sub_kartoffeln,tag_ultra_processed",bamberg
Chio Tortillas,Keine Marke,"€ 1,11",,"1 kg = 10,09","Nacho Cheese, je 110-g-Btl",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_156.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food",bamberg
Überraschung,Kinder,"€ 0,89",,"1 kg = 44,50","versch. Sorten, je 20-g-Pckg",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_157.jpg,"cat_knabbern_naschen,tag_ultra_processed",bamberg
Duplo Osterei,Keine Marke,"€ 2,99",,"1 kg = 29,90",je 100-g-Pckg,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_158.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_ultra_processed,tag_whole_food",bamberg
Grand Noir Edelbitter 85,Gepa,"€ 2,69",,"1 kg = 26,90",je 100-g-Tafel,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_159.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed",bamberg
Seeberger Gefriergetrocknete Erdbeeren,Keine Marke,"€ 1,89",,"1 kg = 126,00",je 15-g-Btl,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_160.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",bamberg
Edel-Nougat Eier,REWE Beste Wahl,"€ 2,49",,"1 kg = 16,60",je 150-g-Btl,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_161.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg
Waffeleier,REWE Beste Wahl,"€ 1,99",,"1 kg = 7,96","Eierlikörgeschmack, je 250-g-Pckg",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_163.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg
Chio Ready Made Popcorn,Keine Marke,"€ 1,11",,"1 kg = 9,25","Süß, je 120-g-Btl",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_164.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg
Pommels,Lorenz,"€ 1,19",,"1 kg = 15,87",je 75-g-Btl,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_165.jpg,"cat_knabbern_naschen,sub_kartoffeln,tag_ultra_processed",bamberg
Duplo,Keine Marke,"€ 2,22",,"1 kg = 12,20","je 10 x 18,2-g-Pckg",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_166.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,sub_tk_fertiggerichte,tag_ultra_processed,tag_whole_food",bamberg
Seeberger Gefriergetrocknete Himbeeren,Keine Marke,"€ 1,89",,"1 kg = 157,50",je 12-g-Btl,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_167.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",bamberg
Riegel,Kinder,"€ 2,22",,"1 kg = 10,57",je 10 x 21-g-Pckg,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_154.jpg,"cat_knabbern_naschen,tag_ultra_processed",bamberg
