Produkt,Preis,Preis_kg,Hinweis,Gueltig_von,Gueltig_bis,Bildpfad
Mein Beerenglück Heidelbeeren,€ 3.99,"1 kg = 7,98 €","Herkunft siehe Etikett, Kl. I Abbildung ähnlich., 500 g Packung, (1 kg = 7,98 €)",2026-02-02,2026-02-07,images_edeka/mein-beerengl-ck-heidelbeeren.jpg
EDEKA Heimatliebe Bayrische Speisekartoffeln,€ 2.49,"1 kg = 1,00 €","verschiedene Kocheigenschaften, aus Deutschland, Sorte siehe Etikett, 2,5 kg Netz, (1 kg = 1,00 €)",2026-02-02,2026-02-07,images_edeka/edeka-heimatliebe-bayrische-speisekartoffeln.jpg
Blumenkohl,€ 1.99,,"aus Italien/Frankreich, Kl. I, Stück",2026-02-02,2026-02-07,images_edeka/blumenkohl.jpg
EDEKA Herzstücke Coleslaw Salat,€ 0.79,"1 kg = 3,95 €","200 g Packung, (1 kg = 3,95 €)",2026-02-02,2026-02-07,images_edeka/edeka-herzst-cke-coleslaw-salat.jpg
Fränkische Tafeläpfel rot,€ 2.99,"1 kg = 1,00 €","Sorte siehe Etikett, Kl. II Abbildung ähnlich., 3 kg Packung, (1 kg = 1,00 €)",2026-02-02,2026-02-07,images_edeka/fr-nkische-tafel-pfel-rot.jpg
"Bio Avocado ""Hass""",€ 1.49,,"Herkunft siehe Etikett, Kl. II, Stück",2026-02-02,2026-02-07,images_edeka/bio-avocado-hass.jpg
"Gut & Günstig Avocado ""Hass""",€ 0.77,,"Herkunft siehe Etikett, Kl. I, Stück",2026-02-02,2026-02-07,images_edeka/gut-g-nstig-avocado-hass.jpg
Gut & Günstig Cherry Rispentomaten,€ 1.99,"1 kg = 3,98 €","aus Italien, Kl. I, 500 g Packung, (1 kg = 3,98 €)",2026-02-02,2026-02-07,images_edeka/gut-g-nstig-cherry-rispentomaten.jpg
Saftorangen,€ 1.00,"1 kg = 1,00 €","Sorte siehe Etikett, aus Griechenland, Kl. I Abbildung ähnlich., 1 kg Netz, (1 kg = 1,00 €)",2026-02-02,2026-02-07,images_edeka/saftorangen.jpg
EDEKA Heimatliebe Fränkisches Salatrio mit Wurzelballen,€ 1.49,,"Kl. I, länger frisch dank Wurzelballen, Stück",2026-02-02,2026-02-07,images_edeka/edeka-heimatliebe-fr-nkisches-salatrio-mit-wurzelballen.jpg
"Tafeläpfel rot ""Elstar",€ 1.99,"1 kg = 1,99 €","aus Deutschland, vom Bodensee, Kl. I, 1 kg Packung, (1 kg = 1,99 €)",2026-02-02,2026-02-07,images_edeka/tafel-pfel-rot-elstar.jpg
"Tafelbirnen rot ""Alessia""",€ 2.99,,"aus den Niederlanden, Kl. I Abbildung ähnlich., 1 kg",2026-02-02,2026-02-07,images_edeka/tafelbirnen-rot-alessia.jpg
EDEKA Herzstücke Mini Pak-Choi,€ 1.99,"1 kg = 6,63 €","aus Spanien, Kl. I, 300 g Packung, (1 kg = 6,63 €)",2026-02-02,2026-02-07,images_edeka/edeka-herzst-cke-mini-pak-choi.jpg
EDEKA Herzstücke Champignons braun,€ 2.49,"1 kg = 8,30 €","aus Deutschland, Kl. I, 300 g Packung, (1 kg = 8,30 €)",2026-02-02,2026-02-07,images_edeka/edeka-herzst-cke-champignons-braun.jpg
Ananas,€ 1.99,,"aus Costa Rica, Kl. I, Stück",2026-02-02,2026-02-07,images_edeka/ananas.jpg
EDEKA Bio Mini Pflaumentomaten,€ 1.99,"1 kg = 7,96 €","aus Spanien, Kl. II, 250 g Packung, (1 kg = 7,96 €)",2026-02-02,2026-02-07,images_edeka/edeka-bio-mini-pflaumentomaten.jpg
Zespri Jumbo Kiwi Gold oder Grün,€ 1.11,,"aus Italien, Kl. I, Stück",2026-02-02,2026-02-07,images_edeka/zespri-jumbo-kiwi-gold-oder-gr-n.jpg
EDEKA Heimatliebe Fränkische Mini-Gurken,€ 2.49,"1 kg = 8,30 €","Kl. I, 300 g Packung, (1 kg = 8,30 €)",2026-02-02,2026-02-07,images_edeka/edeka-heimatliebe-fr-nkische-mini-gurken.jpg
EDEKA Herzstücke Snackmöhren,€ 0.99,"1 kg = 3,96 €","aus Deutschland, Kl. I, 250 g Packung, (1 kg = 3,96 €)",2026-02-02,2026-02-07,images_edeka/edeka-herzst-cke-snackm-hren.jpg
EDEKA Herzstücke Beste Lese Tafeltrauben hell oder rot kernlos,€ 3.33,"1 kg = 5,12 €","Sorte und Herkunft siehe Etikett, Kl. I, 650 g Packung, (1 kg = 5,12 €)",2026-02-02,2026-02-07,images_edeka/edeka-herzst-cke-beste-lese-tafeltrauben-hell-oder-rot-kernlos.jpg
Team Deutschland Snack Balls,€ 2.22,"1 kg = 15,31 €","Salty-Peanut, 145 g Packung, (1 kg = 15,31 €)",2026-02-02,2026-02-07,images_edeka/team-deutschland-snack-balls.jpg
Unbekannt_22,?,,"Normalpreise: Philadelphia: € 2,29; 1kg = € 11,74; Landliebe: € 2,19; 1kg = € 12,17 - € 10,95",2026-02-02,2026-02-07,
Leerdammer Käse,€ 1.79,,verschiedene Sorten und Fettstufen,2026-02-02,2026-02-07,images_edeka/leerdammer-k-se.jpg
Arla Kærgården,€ 1.59,"1 kg = 7,95 €","verschiedene Sorten oder Bio ungesalzen, 200 g Becher, (1 kg = 7,95 €)",2026-02-02,2026-02-07,images_edeka/arla-k-rg-rden.jpg
