Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Filegro Ofen-Backfisch,Keine Marke,"€ 4,75",Kein vorheriger Preis,1 kg = 4.75,,Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_lidl/lidl_offer_85.jpg
Schweinefilet,Keine Marke,"€ 5,16",Kein vorheriger Preis,kg-Preis = 8.88,,Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_lidl/lidl_offer_86.jpg
Bürostuhl Modell „Montreal“,Keine Marke,"€ 52,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_lidl/lidl_offer_87.jpg
Erdnuß Locken XXL,Keine Marke,"€ 1,29",Kein vorheriger Preis,7.23 €/kg,,Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_lidl/lidl_offer_88.jpg
Coox Silikon-Mini-Springform,Keine Marke,"€ 4,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_lidl/lidl_offer_89.jpg
Tischgrill 2 in 1/Bäckerei und Cafe,Keine Marke,"€ 19,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_lidl/lidl_offer_90.jpg
Sisal-Dartscheibe mit Zubehör,Keine Marke,"€ 19,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_lidl/lidl_offer_91.jpg
Business Rucksack,Keine Marke,"€ 12,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_lidl/lidl_offer_92.jpg
Elektronische Dartscheibe,Keine Marke,"€ 19,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_lidl/lidl_offer_93.jpg
Silikon-Quicheform,Keine Marke,"€ 7,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_lidl/lidl_offer_94.jpg
