Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,reference_row_id.1,rough_match_observation_ids.1,exact_match_observation_ids.1
Deluxe Irisches Angus Rinderfiletsteak,Deluxe Irisches Angus Rinderfiletsteak,"€ 10,99",,"1 kg = 54,95",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_001.jpg,"cat_fleisch_wurst,sub_rind,tag_high_protein,tag_proteinreich",,ref_000001,,,ref_000001,,
Deluxe Irisches Angus Rumpsteak,Deluxe Irisches Angus Rumpsteak,"€ 8,99",,"1 kg = 35,96",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_002.jpg,"cat_fleisch_wurst,tag_high_protein",,ref_000002,obs_0000013377|obs_0000011846|obs_0000008954|obs_0000017205|obs_0000002421|obs_0000016316|obs_0000000508,,ref_000002,obs_0000013377|obs_0000011846|obs_0000008954|obs_0000017205|obs_0000002421|obs_0000016316|obs_0000000508,
Irisches Angus Hüftsteak,Deluxe,"€ 4,99",,"1 kg = 24,95",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_003.jpg,"cat_fleisch_wurst,sub_rind,tag_high_protein",,ref_000003,obs_0000008440|obs_0000010998|obs_0000009267|obs_0000014036|obs_0000001879,,ref_000003,obs_0000008440|obs_0000010998|obs_0000009267|obs_0000014036|obs_0000001879,
Deluxe Irisches Angus Rib Eye Steak,Deluxe Irisches Angus Rib Eye Steak,"€ 9,99",,"1 kg = 39,96",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_004.jpg,"cat_fleisch_wurst,tag_high_protein",,ref_000004,obs_0000033945,,ref_000004,obs_0000033945,
Deutsche rote Äpfel,Deutsche rote Äpfel,"€ 2,25",,"1 kg = 0,75",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_005.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,ref_000005,obs_0000022521|obs_0000021066|obs_0000017162|obs_0000020247|obs_0000023327|obs_0000018328|obs_0000002562|obs_0000016900|obs_0000003115|obs_0000001075|obs_0000026677|obs_0000027192|obs_0000027723|obs_0000026234|obs_0000033931|obs_0000027801|obs_0000022211|obs_0000018124|obs_0000034535|obs_0000021770|obs_0000027442|obs_0000016710|obs_0000027995|obs_0000002961|obs_0000024988,obs_0000022521,ref_000005,obs_0000022521|obs_0000021066|obs_0000017162|obs_0000020247|obs_0000023327|obs_0000018328|obs_0000002562|obs_0000016900|obs_0000003115|obs_0000001075|obs_0000026677|obs_0000027192|obs_0000027723|obs_0000026234|obs_0000033931|obs_0000027801|obs_0000022211|obs_0000018124|obs_0000034535|obs_0000021770|obs_0000027442|obs_0000016710|obs_0000027995|obs_0000002961|obs_0000024988,obs_0000022521
Rucola,Rucola,"€ 0,75",,"pro Einheit = 0,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_006.jpg,"cat_getraenke,tag_ultra_processed",BLS-G130100,ref_000006,obs_0000001300|obs_0000031672|obs_0000030142|obs_0000001874|obs_0000033923|obs_0000029203|obs_0000029500|obs_0000032072|obs_0000028749|obs_0000034818|obs_0000015263|obs_0000013257|obs_0000012651|obs_0000031503|obs_0000005712|obs_0000029021|obs_0000005890|obs_0000005895|obs_0000005708,obs_0000001300|obs_0000031672|obs_0000030142|obs_0000001874,ref_000006,obs_0000001300|obs_0000031672|obs_0000030142|obs_0000001874|obs_0000033923|obs_0000029203|obs_0000029500|obs_0000032072|obs_0000028749|obs_0000034818|obs_0000015263|obs_0000013257|obs_0000012651|obs_0000031503|obs_0000005712|obs_0000029021|obs_0000005890|obs_0000005895|obs_0000005708,obs_0000001300|obs_0000031672|obs_0000030142|obs_0000001874
Beerenstrauch,Beerenstrauch,"€ 3,99",,"pro Einheit = 3,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_007.jpg,"cat_non_food,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,ref_000007,,,ref_000007,,
Dipladenia Pyramide,Dipladenia Pyramide,"€ 9,99",,"pro Einheit = 9,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_008.jpg,"cat_non_food,tag_ultra_processed",,ref_000008,obs_0000001593,obs_0000001593,ref_000008,obs_0000001593,obs_0000001593
Winterharte Palme,Winterharte Palme,"€ 14,99",,"pro Einheit = 14,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_009.jpg,"cat_non_food,diet_vegetarian,tag_ultra_processed",,ref_000009,,,ref_000009,,
Cherrystrauchtomaten lose,Cherrystrauchtomaten lose,"€ 1,11",,"pro Einheit = 1,49",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_010.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,ref_000010,obs_0000019545|obs_0000025197|obs_0000018714|obs_0000024533|obs_0000019963,,ref_000010,obs_0000019545|obs_0000025197|obs_0000018714|obs_0000024533|obs_0000019963,
Orangen,Orangen,"€ 2,49",,"1 kg = 1,25",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_011.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food",BLS-F603100,ref_000011,obs_0000024463|obs_0000031118|obs_0000028048|obs_0000008977|obs_0000021906|obs_0000028056|obs_0000014361|obs_0000029592|obs_0000024992|obs_0000025768|obs_0000019119|obs_0000008755|obs_0000010164|obs_0000034743|obs_0000026554|obs_0000009787|obs_0000032059|obs_0000032323|obs_0000016457|obs_0000029131|obs_0000027858|obs_0000027355|obs_0000029277|obs_0000009316|obs_0000030565|obs_0000030827|obs_0000017005|obs_0000031473|obs_0000029823|obs_0000034315|obs_0000033934|obs_0000001301|obs_0000029591|obs_0000014877|obs_0000030120|obs_0000031152|obs_0000033716|obs_0000026166|obs_0000033854|obs_0000012742|obs_0000010184|obs_0000015310|obs_0000025425|obs_0000006483|obs_0000016210|obs_0000015711|obs_0000010976|obs_0000013417|obs_0000034020|obs_0000027756,obs_0000031118|obs_0000024463|obs_0000028048|obs_0000008977|obs_0000021906|obs_0000028056|obs_0000014361|obs_0000029592|obs_0000024992|obs_0000025768|obs_0000019119|obs_0000008755|obs_0000010164|obs_0000034743|obs_0000026554|obs_0000009787|obs_0000032059|obs_0000032323|obs_0000016457|obs_0000029131|obs_0000027858|obs_0000027355|obs_0000029277|obs_0000009316|obs_0000030565|obs_0000030827|obs_0000017005|obs_0000031473|obs_0000029823,ref_000011,obs_0000024463|obs_0000031118|obs_0000028048|obs_0000008977|obs_0000021906|obs_0000028056|obs_0000014361|obs_0000029592|obs_0000024992|obs_0000025768|obs_0000019119|obs_0000008755|obs_0000010164|obs_0000034743|obs_0000026554|obs_0000009787|obs_0000032059|obs_0000032323|obs_0000016457|obs_0000029131|obs_0000027858|obs_0000027355|obs_0000029277|obs_0000009316|obs_0000030565|obs_0000030827|obs_0000017005|obs_0000031473|obs_0000029823|obs_0000034315|obs_0000033934|obs_0000001301|obs_0000029591|obs_0000014877|obs_0000030120|obs_0000031152|obs_0000033716|obs_0000026166|obs_0000033854|obs_0000012742|obs_0000010184|obs_0000015310|obs_0000025425|obs_0000006483|obs_0000016210|obs_0000015711|obs_0000010976|obs_0000013417|obs_0000034020|obs_0000027756,obs_0000031118|obs_0000024463|obs_0000028048|obs_0000008977|obs_0000021906|obs_0000028056|obs_0000014361|obs_0000029592|obs_0000024992|obs_0000025768|obs_0000019119|obs_0000008755|obs_0000010164|obs_0000034743|obs_0000026554|obs_0000009787|obs_0000032059|obs_0000032323|obs_0000016457|obs_0000029131|obs_0000027858|obs_0000027355|obs_0000029277|obs_0000009316|obs_0000030565|obs_0000030827|obs_0000017005|obs_0000031473|obs_0000029823
Helle kernlose Trauben lose,Helle kernlose Trauben lose,"€ 3,39",,"pro Einheit = 3,39",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_012.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food",,ref_000012,obs_0000024111|obs_0000023326|obs_0000024532|obs_0000026138|obs_0000021533|obs_0000000053|obs_0000027784|obs_0000020714|obs_0000025488|obs_0000027542|obs_0000025589,,ref_000012,obs_0000024111|obs_0000023326|obs_0000024532|obs_0000026138|obs_0000021533|obs_0000000053|obs_0000027784|obs_0000020714|obs_0000025488|obs_0000027542|obs_0000025589,
Birnen,Birnen,"€ 1,99",,"pro Einheit = 1,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_013.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",BLS-F130100,ref_000013,obs_0000023686|obs_0000020617|obs_0000025640|obs_0000021436|obs_0000018110|obs_0000027993|obs_0000016738|obs_0000018150|obs_0000017520|obs_0000027634|obs_0000026236|obs_0000022913|obs_0000016713|obs_0000025189|obs_0000025202|obs_0000020629|obs_0000015161|obs_0000021448|obs_0000019146|obs_0000024524|obs_0000001751|obs_0000016496|obs_0000007734|obs_0000015120|obs_0000015137,obs_0000023686|obs_0000020617|obs_0000025640|obs_0000021436|obs_0000018110|obs_0000027993|obs_0000016738|obs_0000018150|obs_0000017520|obs_0000027634|obs_0000026236,ref_000013,obs_0000023686|obs_0000020617|obs_0000025640|obs_0000021436|obs_0000018110|obs_0000027993|obs_0000016738|obs_0000018150|obs_0000017520|obs_0000027634|obs_0000026236|obs_0000022913|obs_0000016713|obs_0000025189|obs_0000025202|obs_0000020629|obs_0000015161|obs_0000021448|obs_0000019146|obs_0000024524|obs_0000001751|obs_0000016496|obs_0000007734|obs_0000015120|obs_0000015137,obs_0000023686|obs_0000020617|obs_0000025640|obs_0000021436|obs_0000018110|obs_0000027993|obs_0000016738|obs_0000018150|obs_0000017520|obs_0000027634|obs_0000026236
Speisekartoffeln festkochend,Speisekartoffeln festkochend,"€ 1,29",,"pro Einheit = 1,69",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_014.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_kartoffeln,tag_whole_food",,ref_000014,obs_0000017026|obs_0000003716|obs_0000000006|obs_0000034312|obs_0000030615|obs_0000034910|obs_0000024864|obs_0000034088|obs_0000026668|obs_0000030140|obs_0000016324|obs_0000009672|obs_0000027986|obs_0000033875|obs_0000008539|obs_0000031321|obs_0000009188|obs_0000028399|obs_0000030837|obs_0000027510,,ref_000014,obs_0000017026|obs_0000003716|obs_0000000006|obs_0000034312|obs_0000030615|obs_0000034910|obs_0000024864|obs_0000034088|obs_0000026668|obs_0000030140|obs_0000016324|obs_0000009672|obs_0000027986|obs_0000033875|obs_0000008539|obs_0000031321|obs_0000009188|obs_0000028399|obs_0000030837|obs_0000027510,
Kohlrabi,Kohlrabi,"€ 0,49",,"pro Einheit = 0,49",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_015.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",BLS-G331100,ref_000015,obs_0000033707|obs_0000005521|obs_0000027539|obs_0000028051|obs_0000027802|obs_0000020792|obs_0000032328|obs_0000029130|obs_0000028768|obs_0000007523|obs_0000021611|obs_0000005881|obs_0000006267|obs_0000034115|obs_0000034525|obs_0000030572|obs_0000029942|obs_0000012243|obs_0000015323|obs_0000007742,obs_0000005521|obs_0000027539|obs_0000028051|obs_0000027802|obs_0000033707|obs_0000020792|obs_0000032328|obs_0000029130|obs_0000028768|obs_0000007523|obs_0000021611|obs_0000005881|obs_0000006267,ref_000015,obs_0000033707|obs_0000005521|obs_0000027539|obs_0000028051|obs_0000027802|obs_0000020792|obs_0000032328|obs_0000029130|obs_0000028768|obs_0000007523|obs_0000021611|obs_0000005881|obs_0000006267|obs_0000034115|obs_0000034525|obs_0000030572|obs_0000029942|obs_0000012243|obs_0000015323|obs_0000007742,obs_0000005521|obs_0000027539|obs_0000028051|obs_0000027802|obs_0000033707|obs_0000020792|obs_0000032328|obs_0000029130|obs_0000028768|obs_0000007523|obs_0000021611|obs_0000005881|obs_0000006267
Bellis im Balkonkasten,Bellis im Balkonkasten,"€ 3,99",,"pro Einheit = 3,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_016.jpg,cat_non_food,,ref_000016,,,ref_000016,,
Fahrradträger,Eufab,"€ 379,00",,"pro Einheit = 379,00",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_017.jpg,cat_non_food,,ref_000017,,,ref_000017,,
E-Bike MTB 29,Prophete,"€ 1,199,00",,"pro Einheit = 95,00",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_018.jpg,"cat_non_food,diet_lactose_free,diet_vegan,diet_vegetarian",,ref_000018,,,ref_000018,,
Faltrad 20,Zündapp,"€ 249,00",,"pro Einheit = 499,00",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_019.jpg,cat_non_food,,ref_000019,,,ref_000019,,
E-Bike MTB 27 5,Zündapp,"€ 949,00",,"pro Einheit = 0,00",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_020.jpg,"cat_non_food,diet_vegetarian",,ref_000020,,,ref_000020,,
Mofaroller Modell CityLeader,Alpha Motors,"€ 1,249,00",,"pro Einheit = 0,00",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_022.jpg,"cat_non_food,tag_ultra_processed",,ref_000022,,,ref_000022,,
Motorrroller Modell Cappuccino,Alpha Mobil,"€ 1,599,00",,"pro Einheit = 0,00",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_023.jpg,"cat_non_food,tag_ultra_processed",,ref_000023,obs_0000027211|obs_0000027508,,ref_000023,obs_0000027211|obs_0000027508,
Akku-Universalstreuer 20 V,PARKSIDE,"€ 24,99",,"pro Einheit = 24,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_024.jpg,cat_non_food,,ref_000024,obs_0000022741|obs_0000024831|obs_0000024842|obs_0000023061|obs_0000023319|obs_0000023425|obs_0000023426|obs_0000023427|obs_0000023430|obs_0000023431|obs_0000023433|obs_0000023437|obs_0000023439|obs_0000024805|obs_0000000184|obs_0000013061|obs_0000022935|obs_0000023058,,ref_000024,obs_0000022741|obs_0000024831|obs_0000024842|obs_0000023061|obs_0000023319|obs_0000023425|obs_0000023426|obs_0000023427|obs_0000023430|obs_0000023431|obs_0000023433|obs_0000023437|obs_0000023439|obs_0000024805|obs_0000000184|obs_0000013061|obs_0000022935|obs_0000023058,
Akku-Gartenpumpe 40 V,PARKSIDE,"€ 69,99",,"pro Einheit = 69,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_025.jpg,cat_non_food,,ref_000025,obs_0000024808,,ref_000025,obs_0000024808,
Benzin-Laubsauger und -bläser,PARKSIDE,"€ 99,99",,"pro Einheit = 99,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_026.jpg,cat_non_food,,ref_000026,obs_0000023698|obs_0000024123|obs_0000018598|obs_0000023697|obs_0000024120|obs_0000022088,obs_0000023698|obs_0000024123,ref_000026,obs_0000023698|obs_0000024123|obs_0000018598|obs_0000023697|obs_0000024120|obs_0000022088,obs_0000023698|obs_0000024123
Elektro-Langstiel-Heißluftgebläse Unkrautvernichter,PARKSIDE,"€ 19,99",,"pro Einheit = 19,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_027.jpg,cat_non_food,,ref_000027,obs_0000023078,,ref_000027,obs_0000023078,
Akku-Hochentaster 20 V,PARKSIDE,"€ 49,99",,"pro Einheit = 49,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_028.jpg,cat_non_food,,ref_000028,obs_0000022741|obs_0000024831|obs_0000024842|obs_0000023061|obs_0000023319|obs_0000023425|obs_0000023426|obs_0000023427|obs_0000023430|obs_0000023431|obs_0000023433|obs_0000023437|obs_0000023439|obs_0000024805|obs_0000014256|obs_0000000184|obs_0000022935|obs_0000023058,,ref_000028,obs_0000022741|obs_0000024831|obs_0000024842|obs_0000023061|obs_0000023319|obs_0000023425|obs_0000023426|obs_0000023427|obs_0000023430|obs_0000023431|obs_0000023433|obs_0000023437|obs_0000023439|obs_0000024805|obs_0000014256|obs_0000000184|obs_0000022935|obs_0000023058,
Akku-Multitrimmer 20 V,PARKSIDE,"€ 49,99",,"pro Einheit = 49,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_029.jpg,cat_non_food,,ref_000029,obs_0000022741|obs_0000024831|obs_0000024842|obs_0000023061|obs_0000023319|obs_0000023425|obs_0000023426|obs_0000023427|obs_0000023430|obs_0000023431|obs_0000023433|obs_0000023437|obs_0000023439|obs_0000024805|obs_0000000184|obs_0000022935|obs_0000023058,,ref_000029,obs_0000022741|obs_0000024831|obs_0000024842|obs_0000023061|obs_0000023319|obs_0000023425|obs_0000023426|obs_0000023427|obs_0000023430|obs_0000023431|obs_0000023433|obs_0000023437|obs_0000023439|obs_0000024805|obs_0000000184|obs_0000022935|obs_0000023058,
Akku-Rucksack 20 V 40 V,PARKSIDE PERFORMANCE,"€ 79,99",,"pro Einheit = 79,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_030.jpg,cat_non_food,,ref_000030,obs_0000023055|obs_0000000024|obs_0000000184|obs_0000003745|obs_0000010317|obs_0000012628|obs_0000014782|obs_0000013023|obs_0000015199|obs_0000011256|obs_0000013861|obs_0000014171,obs_0000023055,ref_000030,obs_0000023055|obs_0000000024|obs_0000000184|obs_0000003745|obs_0000010317|obs_0000012628|obs_0000014782|obs_0000013023|obs_0000015199|obs_0000011256|obs_0000013861|obs_0000014171,obs_0000023055
Wand-Schlauchtrommel 20m,PARKSIDE,"€ 29,99",,"pro Einheit = 29,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_031.jpg,cat_non_food,,ref_000031,,,ref_000031,,
Akku-Rucksackdrucksprüher 20 V,Parkside Performance,"€ 49,99",,"pro Einheit = 49,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_032.jpg,cat_non_food,,ref_000032,obs_0000023058|obs_0000022935|obs_0000000184|obs_0000023061|obs_0000022741|obs_0000024805|obs_0000024831|obs_0000024842|obs_0000023319|obs_0000023425|obs_0000023426|obs_0000023427|obs_0000023430|obs_0000023431|obs_0000023433|obs_0000023437|obs_0000023439,,ref_000032,obs_0000023058|obs_0000022935|obs_0000000184|obs_0000023061|obs_0000022741|obs_0000024805|obs_0000024831|obs_0000024842|obs_0000023319|obs_0000023425|obs_0000023426|obs_0000023427|obs_0000023430|obs_0000023431|obs_0000023433|obs_0000023437|obs_0000023439,
Performance Akku-Astschere 20 V,Parkside,"€ 59,99",,"pro Einheit = 59,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_033.jpg,cat_non_food,,ref_000033,obs_0000022534|obs_0000023055|obs_0000021250|obs_0000017529|obs_0000021887|obs_0000020431|obs_0000000184,,ref_000033,obs_0000022534|obs_0000023055|obs_0000021250|obs_0000017529|obs_0000021887|obs_0000020431|obs_0000000184,
Hochdruckreiniger,PARKSIDE,"€ 69,99",,"pro Einheit = 69,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_034.jpg,cat_non_food,,ref_000034,obs_0000022745|obs_0000023922|obs_0000024343|obs_0000018678|obs_0000017447|obs_0000017761|obs_0000023919|obs_0000024345|obs_0000021944|obs_0000018398|obs_0000022536|obs_0000026168,obs_0000022745|obs_0000018678|obs_0000017447|obs_0000023922|obs_0000024343,ref_000034,obs_0000022745|obs_0000023922|obs_0000024343|obs_0000018678|obs_0000017447|obs_0000017761|obs_0000023919|obs_0000024345|obs_0000021944|obs_0000018398|obs_0000022536|obs_0000026168,obs_0000022745|obs_0000018678|obs_0000017447|obs_0000023922|obs_0000024343
Elektro-Hauswasserwerk,PARKSIDE,"€ 139,00",,"pro Einheit = 139,00",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_035.jpg,cat_non_food,,ref_000035,,,ref_000035,,
Buttercroissant,Buttercroissant,"€ 0,98",,"pro Einheit = 1,47",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_036.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_butter_margarine,sub_milchprodukte,tag_ultra_processed",BLS-D771600,ref_000036,obs_0000010277|obs_0000013126|obs_0000027288|obs_0000012842|obs_0000028113|obs_0000022200|obs_0000015419|obs_0000018044|obs_0000007124,obs_0000010277|obs_0000013126|obs_0000027288|obs_0000012842|obs_0000028113|obs_0000022200|obs_0000015419|obs_0000018044,ref_000036,obs_0000010277|obs_0000013126|obs_0000027288|obs_0000012842|obs_0000028113|obs_0000022200|obs_0000015419|obs_0000018044|obs_0000007124,obs_0000010277|obs_0000013126|obs_0000027288|obs_0000012842|obs_0000028113|obs_0000022200|obs_0000015419|obs_0000018044
Partyrkranz,Partyrkranz,"€ 1,49",,"1 kg = 3,97",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_037.jpg,cat_non_food,,ref_000037,,,ref_000037,,
Fladenbrot mit Kümmel und Sesam,Fladenbrot mit Kümmel und Sesam,"€ 1,78",,"pro Einheit = 2,67",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_038.jpg,"cat_grundnahrung,diet_vegetarian,sub_kaese",,ref_000038,obs_0000023177|obs_0000009019|obs_0000011084|obs_0000031601,,ref_000038,obs_0000023177|obs_0000009019|obs_0000011084|obs_0000031601,
Kaiserbrötchen,Kaiserbrötchen,"€ 0,38",,"pro Einheit = 0,57",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_039.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed",BLS-B531000,ref_000039,obs_0000024136|obs_0000023710|obs_0000027586|obs_0000022090|obs_0000007722|obs_0000009358|obs_0000018255|obs_0000009820|obs_0000010893|obs_0000033684,obs_0000027586|obs_0000024136|obs_0000022090|obs_0000007722|obs_0000009358|obs_0000018255|obs_0000009820|obs_0000023710,ref_000039,obs_0000024136|obs_0000023710|obs_0000027586|obs_0000022090|obs_0000007722|obs_0000009358|obs_0000018255|obs_0000009820|obs_0000010893|obs_0000033684,obs_0000027586|obs_0000024136|obs_0000022090|obs_0000007722|obs_0000009358|obs_0000018255|obs_0000009820|obs_0000023710
Gefüllte Donuts mit Vanillegeschmack,Gefüllte Donuts mit Vanillegeschmack,"€ 2,69",,"1 kg = 9,61",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_040.jpg,"cat_knabbern_naschen,tag_ultra_processed",,ref_000040,obs_0000017681|obs_0000026914|obs_0000015450,,ref_000040,obs_0000017681|obs_0000026914|obs_0000015450,
Schoko Cronut,Schoko Cronut,"€ 0,99",,"pro Einheit = 0,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_041.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed",,ref_000041,obs_0000023359,obs_0000023359,ref_000041,obs_0000023359,obs_0000023359
Grillmeister Hähnchen-Unterkeulen,Grillmeister Hähnchen-Unterkeulen,"€ 4,49",,"pro Einheit = 4,49",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_042.jpg,"cat_fleisch_wurst,sub_gefluegel,tag_proteinreich",,ref_000042,obs_0000025098|obs_0000021536|obs_0000005808|obs_0000020717|obs_0000002538|obs_0000004679|obs_0000004252|obs_0000000217|obs_0000003825|obs_0000003039,,ref_000042,obs_0000025098|obs_0000021536|obs_0000005808|obs_0000020717|obs_0000002538|obs_0000004679|obs_0000004252|obs_0000000217|obs_0000003825|obs_0000003039,
Metzgerfrisch Frische Hähnchen-Mini-Steaks,Metzgerfrisch Frische Hähnchen-Mini-Steaks,"€ 3,59",,"pro Einheit = 4,79",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_043.jpg,"cat_fleisch_wurst,sub_gefluegel,sub_schwein,tag_proteinreich",,ref_000043,obs_0000023362|obs_0000024674|obs_0000023718|obs_0000024140,,ref_000043,obs_0000023362|obs_0000024674|obs_0000023718|obs_0000024140,
Metzgerfrisch Frische Hähnchen-Minutenschnitzel,Metzgerfrisch Frische Hähnchen-Minutenschnitzel,"€ 9,49",,"pro Einheit = 9,49",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_044.jpg,"cat_fleisch_wurst,sub_gefluegel,sub_schwein,tag_proteinreich",,ref_000044,obs_0000031267|obs_0000031623|obs_0000029905|obs_0000024674|obs_0000014456|obs_0000010593|obs_0000027062|obs_0000008655|obs_0000012765|obs_0000002540|obs_0000029296|obs_0000027611|obs_0000001008|obs_0000015353|obs_0000029854|obs_0000027869|obs_0000014039|obs_0000018252|obs_0000026459|obs_0000023718|obs_0000024140,,ref_000044,obs_0000031267|obs_0000031623|obs_0000029905|obs_0000024674|obs_0000014456|obs_0000010593|obs_0000027062|obs_0000008655|obs_0000012765|obs_0000002540|obs_0000029296|obs_0000027611|obs_0000001008|obs_0000015353|obs_0000029854|obs_0000027869|obs_0000014039|obs_0000018252|obs_0000026459|obs_0000023718|obs_0000024140,
Metzgerfrisch Frisches Rinder-Hackfleisch,Metzgerfrisch Frisches Rinder-Hackfleisch,"€ 5,19",,"pro Einheit = 6,19",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_045.jpg,"cat_fleisch_wurst,sub_gefluegel,sub_hackfleisch,sub_rind,sub_schwein,tag_high_protein,tag_proteinreich",,ref_000045,obs_0000022571|obs_0000022954|obs_0000023363|obs_0000023638|obs_0000025790|obs_0000002149|obs_0000026901|obs_0000031208|obs_0000027280|obs_0000031541|obs_0000023720|obs_0000029904|obs_0000029964|obs_0000024142|obs_0000026223|obs_0000032583|obs_0000026471|obs_0000000646|obs_0000000826|obs_0000001083|obs_0000023718|obs_0000024140|obs_0000030444,obs_0000022571|obs_0000023363,ref_000045,obs_0000022571|obs_0000022954|obs_0000023363|obs_0000023638|obs_0000025790|obs_0000002149|obs_0000026901|obs_0000031208|obs_0000027280|obs_0000031541|obs_0000023720|obs_0000029904|obs_0000029964|obs_0000024142|obs_0000026223|obs_0000032583|obs_0000026471|obs_0000000646|obs_0000000826|obs_0000001083|obs_0000023718|obs_0000024140|obs_0000030444,obs_0000022571|obs_0000023363
