Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,reference_row_id.1,rough_match_observation_ids.1,exact_match_observation_ids.1
Finello XXL Gratinkäse,Arla,"€ 1,99",,"pro Einheit = 3,89",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_092.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte,tag_ultra_processed",,ref_000092,obs_0000012807|obs_0000010922|obs_0000024643|obs_0000012763|obs_0000013967,,ref_000092,obs_0000012807|obs_0000010922|obs_0000024643|obs_0000012763|obs_0000013967,
Honig,Bihophar,"€ 7,99",,"pro Einheit = 7,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_093.jpg,cat_grundnahrung,BLS-S120000,ref_000093,obs_0000017124|obs_0000012368|obs_0000016845|obs_0000025347|obs_0000032655|obs_0000004625|obs_0000000667|obs_0000001190|obs_0000005052|obs_0000005185|obs_0000016199|obs_0000000463|obs_0000019292|obs_0000001757|obs_0000004198|obs_0000019951|obs_0000017010|obs_0000014875|obs_0000017823|obs_0000011941|obs_0000023357|obs_0000024667|obs_0000027514|obs_0000028877|obs_0000014974,obs_0000017124,ref_000093,obs_0000017124|obs_0000012368|obs_0000016845|obs_0000025347|obs_0000032655|obs_0000004625|obs_0000000667|obs_0000001190|obs_0000005052|obs_0000005185|obs_0000016199|obs_0000000463|obs_0000019292|obs_0000001757|obs_0000004198|obs_0000019951|obs_0000017010|obs_0000014875|obs_0000017823|obs_0000011941|obs_0000023357|obs_0000024667|obs_0000027514|obs_0000028877|obs_0000014974,obs_0000017124
Flammkuchen Elsässer Art,Wagner,"€ 1,79",,"pro Einheit = 3,49",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_094.jpg,"cat_tiefkuehl,sub_tk_fertiggerichte,sub_tk_pizza,tag_ultra_processed",BLS-X934412,ref_000094,obs_0000021004|obs_0000020185|obs_0000033686|obs_0000025086|obs_0000011901|obs_0000013174|obs_0000031989|obs_0000032637|obs_0000030169|obs_0000023294|obs_0000025032|obs_0000003616|obs_0000024135|obs_0000018047|obs_0000023713|obs_0000027386|obs_0000022366|obs_0000024418|obs_0000023992,obs_0000021004|obs_0000020185|obs_0000033686|obs_0000025032|obs_0000025086,ref_000094,obs_0000021004|obs_0000020185|obs_0000033686|obs_0000025086|obs_0000011901|obs_0000013174|obs_0000031989|obs_0000032637|obs_0000030169|obs_0000023294|obs_0000025032|obs_0000003616|obs_0000024135|obs_0000018047|obs_0000023713|obs_0000027386|obs_0000022366|obs_0000024418|obs_0000023992,obs_0000021004|obs_0000020185|obs_0000033686|obs_0000025032|obs_0000025086
Toasty Chicken,Tillman s,"€ 2,99",,"1 kg = 10,68",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_095.jpg,"cat_fleisch_wurst,diet_lactose_free,diet_vegetarian,sub_gefluegel,tag_high_protein,tag_proteinreich,tag_ultra_processed",,ref_000095,obs_0000002135|obs_0000024164|obs_0000021178|obs_0000023746|obs_0000016696|obs_0000021847|obs_0000020359|obs_0000022983|obs_0000023578,,ref_000095,obs_0000002135|obs_0000024164|obs_0000021178|obs_0000023746|obs_0000016696|obs_0000021847|obs_0000020359|obs_0000022983|obs_0000023578,
Gold Label Reserve Blended Scotch Whisky,Johnnie Walker,"€ 35,99",,"pro Einheit = 42,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_096.jpg,cat_getraenke,,ref_000096,obs_0000018908|obs_0000015920|obs_0000027198|obs_0000009835|obs_0000009375|obs_0000008414|obs_0000011578|obs_0000019341|obs_0000025014|obs_0000016700|obs_0000019797|obs_0000010241|obs_0000015917|obs_0000015070|obs_0000013536|obs_0000022836|obs_0000012693|obs_0000019878|obs_0000001464|obs_0000031776|obs_0000034007|obs_0000023259|obs_0000012629|obs_0000011104|obs_0000012669|obs_0000013227|obs_0000015276|obs_0000031712|obs_0000010721,obs_0000018908,ref_000096,obs_0000018908|obs_0000015920|obs_0000027198|obs_0000009835|obs_0000009375|obs_0000008414|obs_0000011578|obs_0000019341|obs_0000025014|obs_0000016700|obs_0000019797|obs_0000010241|obs_0000015917|obs_0000015070|obs_0000013536|obs_0000022836|obs_0000012693|obs_0000019878|obs_0000001464|obs_0000031776|obs_0000034007|obs_0000023259|obs_0000012629|obs_0000011104|obs_0000012669|obs_0000013227|obs_0000015276|obs_0000031712|obs_0000010721,obs_0000018908
Chicken Teriyaki,Youcook,"€ 3,79",,"1 kg = 9,02",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_097.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,sub_gefluegel,tag_high_protein,tag_proteinreich,tag_ultra_processed",,ref_000097,obs_0000034513|obs_0000023578|obs_0000031281|obs_0000024714,,ref_000097,obs_0000034513|obs_0000023578|obs_0000031281|obs_0000024714,
Meistertorte,Coppenrath Wiese,"€ 6,49",,"pro Einheit = 8,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_098.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed",,ref_000098,obs_0000025225|obs_0000010652|obs_0000027180|obs_0000012335|obs_0000014968|obs_0000025847|obs_0000019154|obs_0000031734|obs_0000008444|obs_0000030467,obs_0000025225|obs_0000026124|obs_0000010652|obs_0000027180|obs_0000012335|obs_0000016963|obs_0000025847|obs_0000014968,ref_000098,obs_0000025225|obs_0000010652|obs_0000027180|obs_0000012335|obs_0000014968|obs_0000025847|obs_0000019154|obs_0000031734|obs_0000008444|obs_0000030467,obs_0000025225|obs_0000026124|obs_0000010652|obs_0000027180|obs_0000012335|obs_0000016963|obs_0000025847|obs_0000014968
Unser Back-Camembert,Alpenhain,"€ 1,99",,"pro Einheit = 3,49",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_099.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte",,ref_000099,obs_0000015387|obs_0000026263|obs_0000017976|obs_0000002666|obs_0000003205|obs_0000003626|obs_0000022610|obs_0000018079|obs_0000022280|obs_0000008978|obs_0000007560|obs_0000034979|obs_0000026982|obs_0000010626|obs_0000005534|obs_0000031154|obs_0000006102|obs_0000006615,,ref_000099,obs_0000015387|obs_0000026263|obs_0000017976|obs_0000002666|obs_0000003205|obs_0000003626|obs_0000022610|obs_0000018079|obs_0000022280|obs_0000008978|obs_0000007560|obs_0000034979|obs_0000026982|obs_0000010626|obs_0000005534|obs_0000031154|obs_0000006102|obs_0000006615,
Pingui,Kinder,"€ 2,19",,"1 kg = 12,17",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_100.jpg,"cat_knabbern_naschen,tag_ultra_processed",,ref_000100,obs_0000011463|obs_0000031551|obs_0000012794|obs_0000003592|obs_0000017471|obs_0000001113|obs_0000018099|obs_0000010014|obs_0000009553|obs_0000032602|obs_0000018854|obs_0000019214|obs_0000019409|obs_0000019935|obs_0000016887,obs_0000011463|obs_0000031551|obs_0000012794,ref_000100,obs_0000011463|obs_0000031551|obs_0000012794|obs_0000003592|obs_0000017471|obs_0000001113|obs_0000018099|obs_0000010014|obs_0000009553|obs_0000032602|obs_0000018854|obs_0000019214|obs_0000019409|obs_0000019935|obs_0000016887,obs_0000011463|obs_0000031551|obs_0000012794
Skye Single Malt Scotch Whisky,Talisker,"€ 19,99",,"pro Einheit = 29,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_101.jpg,"cat_getraenke,diet_vegetarian",,ref_000101,obs_0000016836|obs_0000024920|obs_0000017414|obs_0000021544|obs_0000007258|obs_0000020725|obs_0000007456|obs_0000021815|obs_0000025948|obs_0000007090|obs_0000015919|obs_0000006718|obs_0000020036|obs_0000017533|obs_0000019629|obs_0000015074|obs_0000015075|obs_0000007908|obs_0000019243|obs_0000009008|obs_0000027476|obs_0000016229|obs_0000020855|obs_0000006010|obs_0000019846|obs_0000018845|obs_0000025037|obs_0000032741|obs_0000020037|obs_0000020040|obs_0000015490|obs_0000017072|obs_0000015072|obs_0000015073|obs_0000022321|obs_0000022835|obs_0000018230|obs_0000016202|obs_0000020856|obs_0000020859|obs_0000008607|obs_0000025011|obs_0000018872|obs_0000025019|obs_0000018878|obs_0000017864|obs_0000027605|obs_0000019418,obs_0000021544|obs_0000007258|obs_0000020725|obs_0000007456|obs_0000021815|obs_0000024920|obs_0000016836,ref_000101,obs_0000016836|obs_0000024920|obs_0000017414|obs_0000021544|obs_0000007258|obs_0000020725|obs_0000007456|obs_0000021815|obs_0000025948|obs_0000007090|obs_0000015919|obs_0000006718|obs_0000020036|obs_0000017533|obs_0000019629|obs_0000015074|obs_0000015075|obs_0000007908|obs_0000019243|obs_0000009008|obs_0000027476|obs_0000016229|obs_0000020855|obs_0000006010|obs_0000019846|obs_0000018845|obs_0000025037|obs_0000032741|obs_0000020037|obs_0000020040|obs_0000015490|obs_0000017072|obs_0000015072|obs_0000015073|obs_0000022321|obs_0000022835|obs_0000018230|obs_0000016202|obs_0000020856|obs_0000020859|obs_0000008607|obs_0000025011|obs_0000018872|obs_0000025019|obs_0000018878|obs_0000017864|obs_0000027605|obs_0000019418,obs_0000021544|obs_0000007258|obs_0000020725|obs_0000007456|obs_0000021815|obs_0000024920|obs_0000016836
