Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
HEAD SHOULDERS,Shampoo XXL,"€ 8,88",,"1 l = 11,10",versch. Sorten,Nein,Dieses Angebot findest du vom 06.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-06,2026-04-08,../images/kaufland/kaufland_offer_040.jpg,cat_drogerie,,,ref_000330,obs_0000010955|obs_0000015107|obs_0000028680|obs_0000004179|obs_0000032877|obs_0000000446|obs_0000004606|obs_0000033372|obs_0000023249|obs_0000019354|obs_0000005033|obs_0000009325|obs_0000023759|obs_0000011610|obs_0000009796|obs_0000024185|obs_0000001916|obs_0000028560|obs_0000034854|obs_0000032840|obs_0000035066|obs_0000033059|obs_0000033092|obs_0000020828|obs_0000033133|obs_0000033168|obs_0000033215|obs_0000033227|obs_0000033237|obs_0000012763|obs_0000033244|obs_0000019053|obs_0000033398|obs_0000010913|obs_0000033460|obs_0000033529|obs_0000033623|obs_0000033649|obs_0000021647|obs_0000023755|obs_0000021764|obs_0000034052|obs_0000009494|obs_0000034239|obs_0000024178|obs_0000013967|obs_0000009955|obs_0000034662|obs_0000008067|obs_0000010154,obs_0000028680|obs_0000004179|obs_0000032877|obs_0000000446|obs_0000004606|obs_0000033372|obs_0000010955|obs_0000015107|obs_0000005033|obs_0000009325|obs_0000030029|obs_0000011610|obs_0000009796|obs_0000001916|obs_0000028560
TRUE FRUITS,Smoothie,"€ 3,49","€ 4,69","1 l = 4,66",versch. Sorten,Nein,Dieses Angebot findest du vom 06.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-06,2026-04-08,../images/kaufland/kaufland_offer_043.jpg,"cat_getraenke,tag_ultra_processed",,BLS-F034600,ref_000331,obs_0000014395|obs_0000010948|obs_0000013892|obs_0000001630|obs_0000034549|obs_0000012410|obs_0000003462|obs_0000024721|obs_0000002067|obs_0000005025|obs_0000000440|obs_0000009020|obs_0000004171|obs_0000017881|obs_0000004598|obs_0000022009|obs_0000001191|obs_0000024751|obs_0000005275|obs_0000029851|obs_0000031158|obs_0000007096|obs_0000007874|obs_0000028870|obs_0000032617|obs_0000006904|obs_0000012945|obs_0000030870|obs_0000010957|obs_0000029526|obs_0000031958|obs_0000006373|obs_0000006023|obs_0000005464|obs_0000010818,obs_0000003462|obs_0000002829|obs_0000024721|obs_0000002067|obs_0000029851|obs_0000005025|obs_0000000440|obs_0000007096|obs_0000014395|obs_0000009020|obs_0000007874|obs_0000010948|obs_0000013892|obs_0000004171|obs_0000017881|obs_0000001630|obs_0000032617|obs_0000034549|obs_0000004598|obs_0000022009|obs_0000012410
KAUFLAND KOLLEKTION,Sneaker,"€ 7,99",,"pro Einheit = 7,99",PU-Obermaterial Futter und Decksohle aus Polyester TPR-Laufsohle Größen 36 - 46,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_492.jpg,cat_non_food,,,ref_000332,obs_0000001144|obs_0000013987|obs_0000012599|obs_0000012571|obs_0000023875|obs_0000024302|obs_0000002479|obs_0000003187|obs_0000014179|obs_0000003978|obs_0000004832|obs_0000004405|obs_0000000313|obs_0000003104|obs_0000030037,obs_0000001144
REPLAY,Sneakersocken,"€ 5,99","€ 9,99","pro Einheit = 5,99","Aus Baumwolle, Polyester, Polyamid und Elastan Größen 35/38 - 43/46",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_428.jpg,cat_non_food,,,ref_000333,obs_0000015235|obs_0000013894|obs_0000013011|obs_0000012564|obs_0000013909|obs_0000026059|obs_0000014224|obs_0000022644|obs_0000014044|obs_0000026984,obs_0000015235|obs_0000013894|obs_0000013011|obs_0000012564
Keine Marke,Span Bio-Zitronen,"€ 1,29","€ 1,79","1 kg = 2,58","Sorte laut Auszeichnung, Kl. I",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_055.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food",,BLS-F601100,ref_000334,obs_0000015312|obs_0000010973|obs_0000013905|obs_0000014382|obs_0000008643|obs_0000033715|obs_0000018940|obs_0000012177|obs_0000028790|obs_0000029124|obs_0000029581|obs_0000030824|obs_0000001074|obs_0000010554|obs_0000011385|obs_0000012714|obs_0000012731|obs_0000005119|obs_0000005138|obs_0000013414|obs_0000013900|obs_0000014430|obs_0000014878|obs_0000015321|obs_0000032058|obs_0000008321|obs_0000025087|obs_0000034117|obs_0000026542|obs_0000027477|obs_0000027911|obs_0000028057|obs_0000028262|obs_0000020848|obs_0000021667|obs_0000030136|obs_0000031323|obs_0000031554|obs_0000024462,obs_0000015312
Keine Marke,Span Erdbeeren,"€ 0,99","€ 1,99","1 kg = 1,99",Kl. I,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_057.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food",,,ref_000335,obs_0000013901|obs_0000012233|obs_0000013414|obs_0000013418|obs_0000011389|obs_0000031261|obs_0000006265|obs_0000030915|obs_0000031462|obs_0000032512|obs_0000006408|obs_0000027419|obs_0000029494|obs_0000031576|obs_0000030564|obs_0000000875|obs_0000022919|obs_0000030617|obs_0000024529,obs_0000013901|obs_0000012233
Keine Marke,Span Romatomaten,"€ 1,49","€ 1,99","1 kg = 2,98",Kl. I,Nein,Dieses Angebot findest du vom 06.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-06,2026-04-08,../images/kaufland/kaufland_offer_544.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,,ref_000336,obs_0000032308|obs_0000025774|obs_0000017088|obs_0000030570|obs_0000030133,
Keine Marke,Span Saftorangen,"€ 2,49","€ 2,99","1 kg = 1,66","Sorte laut Auszeichnung, Kl. I",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_074.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,,ref_000337,obs_0000003139|obs_0000028871|obs_0000029595,
Keine Marke,Span dtsch Minigurken,"€ 2,49","€ 3,49","1 kg = 3,32",Kl. I,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_076.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,,ref_000338,obs_0000011319|obs_0000014384|obs_0000015688,
Keine Marke,Span ital Spargel,"€ 3,33","€ 4,99","1 kg = 6,66","grün, Kl. I",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_045.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food",,,ref_000339,obs_0000013902|obs_0000010562|obs_0000015736|obs_0000011752,
