Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
ABUS,10-Jahres-Rauchwarnmelder SA0100,"€ 9,99",,"pro Einheit = 9,99","Für Schlafräume, Kinderzimmer, Flure etc. Auch geeignet für z. B. Wohnmobile Erfassungsbereich bis 40 m² im Raum Alarmlautstärke ca. 85 dB Stummschaltungsoption Warnung bei schwacher Batterie Insektenschutzgitter verhindert Fehlalarme Geprüft nach DIN EN 14604 Fest verbaute 3-V-Lithium-Batterie Batterie-Lebensdauer bis zu 10 Jahre Inkl. Montagematerial",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_342.jpg,"cat_non_food,diet_lactose_free",,,ref_000001,obs_0000026950|obs_0000019944|obs_0000008694|obs_0000022784,
METAXA,5-Stern,"€ 10,99",,"1 l = 15,70","griech. Spirituosenspezialität, 38 Vol. %",Nein,Dieses Angebot findest du vom 06.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-06,2026-04-08,../images/kaufland/kaufland_offer_550.jpg,cat_non_food,,,ref_000002,obs_0000013057|obs_0000015286|obs_0000015638|obs_0000007464|obs_0000033448|obs_0000026552|obs_0000005448|obs_0000026986|obs_0000002572|obs_0000033431|obs_0000015643|obs_0000002462|obs_0000003160|obs_0000032892|obs_0000002813|obs_0000015291,obs_0000013057|obs_0000025381|obs_0000007464|obs_0000015286|obs_0000005448
PARKSIDE,Abbruchhammer PAH 1300 C3,"€ 54,99",,"pro Einheit = 54,99","Für Arbeiten in Beton, Gestein oder Mauerwerk SDS-Max-Bohrfutter mit Schnellspannaufnahme Winkelbarer und 360° drehbarer Zusatzhandgriff Feststellschalter für Dauerbetrieb Rutschhemmende Softgrip-Ausstattung Vibrationsdämpfung am Haupthandgriff Schlagenergie 15 Joule Schlagzahl 3.600 min-1 Nennleistung 1.300 W Inkl. Flachmeißel, Spitzmeißel und Schmierfett Inkl. Aufbewahrungskoffer 3 Jahre Garantie",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_316.jpg,cat_non_food,,,ref_000003,,
PARKSIDE,Akku-Schrauber 4 V PAS 4 D7,"€ 14,99",,"pro Einheit = 14,99","Drehmoment-, Exzenter-, Winkel-, Schneideaufsatz Bemessungsleerlauf 200 min-1 Drehmoment max. 10 Nm Magnetischer Sechskant-Bithalter Automatische Spindelarretierung Integrierte LED-Arbeitsleuchten LEDs für Laufrichtung und Ladezustand Rutschhemmende Softgrip-Ausstattung Integrierter Akku (1,5 Ah) Ladezeit ca. 60 min Inkl. Aufbewahrungskoffer und USB-C-Kabel Inkl. 28 Bits und Bitverlängerung 3 Jahre Garantie",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_341.jpg,cat_non_food,,,ref_000004,obs_0000012948,obs_0000012948
PARKSIDE,Akku-Schrauber 4 V PASS 4 A1,"€ 19,99",,"pro Einheit = 19,99","Ergonomisch geformter Softgrip-Griff Leerlaufdrehzahl 360 min-1 5 Drehmomentstufen (max. 5 Nm) Magnetische Sechskant-Bitaufnahme Akku-Ladezustandsanzeige Batterie-Management-System Inkl. Akku (4 V/1,5 Ah) und USB-C-Ladekabel Inkl. 24 Bits, Bithalter und Koffer 3 Jahre Garantie",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_324.jpg,cat_non_food,,,ref_000005,,obs_0000012948
K-BLUE BAY,Alaska-Seelachsloin- Portionen,"€ 3,49",,"1 kg = 15,87","ohne Haut, praktisch grätenfrei, aufgetaut",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_121.jpg,"cat_fisch_meeresfruechte,diet_vegetarian",,,ref_000006,obs_0000011869,obs_0000011869
PATTEX,Alleskleber REPAIR 100,"€ 2,99","€ 7,40","1 kg = 59,80","Für fast alle Materialien und Oberflächen Starker Halt auch unter extremen Bedingungen Flexible Verklebungen, stoßfest Wasserfest, für innen und außen UV-beständig und lösemittelfrei",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_317.jpg,cat_non_food,,,ref_000007,obs_0000019734|obs_0000021958|obs_0000018416,
ZIMMERMANN,Allg Bergkräuter-Schinken,"€ 1,99",,"pro Einheit = 1,99",aus Deutschland,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_116.jpg,"cat_fleisch_wurst,sub_schwein,sub_wurst",,,ref_000008,obs_0000014350|obs_0000034378|obs_0000028387|obs_0000016624|obs_0000017657,obs_0000014350
OUZO 12 oder GOLD 12,Anisspirituose oder -likör,"€ 9,99",,"1 l = 14,28",36 - 38 Vol. %,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_251.jpg,"cat_getraenke,tag_ultra_processed",,,ref_000009,obs_0000012635|obs_0000013067|obs_0000011131|obs_0000013035|obs_0000015488|obs_0000011980|obs_0000012418|obs_0000004299|obs_0000000247|obs_0000020866|obs_0000004726|obs_0000009446|obs_0000003467|obs_0000020047|obs_0000009911|obs_0000003872|obs_0000022448,obs_0000012635|obs_0000013067|obs_0000011131
HARRY,Anno 1688,"€ 1,79",,"1 kg = 3,58","Rustikal oder Klassisch, geschnitten",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_195.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed",,,ref_000010,obs_0000014996|obs_0000031317|obs_0000015866|obs_0000031178|obs_0000030698|obs_0000010233,obs_0000014996|obs_0000031317|obs_0000030698|obs_0000015866
ZENKER,Apfelküchli-Form,"€ 9,99",,"pro Einheit = 9,99",Aus Stahlblech Mit Antihaftbeschichtung Für 8 Küchli je ca. Ø 8 cm Größe ca. Ø 33 x 3 cm,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_372.jpg,"cat_non_food,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000011,,
SWITZERLAND,Appenzeller Extra-Würzig,"€ 2,22",,"pro Einheit = 2,22","schweiz. Hartkäse, mind. 6 Monate gereift, mind. 48 % Fett i. Tr.",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_147.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte",,,ref_000012,obs_0000015395|obs_0000011483|obs_0000031242|obs_0000012811|obs_0000011897|obs_0000013070|obs_0000011051|obs_0000015815|obs_0000002069|obs_0000014367|obs_0000015501|obs_0000012446|obs_0000015088|obs_0000013624|obs_0000019269|obs_0000011593|obs_0000013180|obs_0000012176|obs_0000034288,obs_0000031242|obs_0000015395|obs_0000011483
K-GOLD EDITION,Aufschnittplatte,"€ 1,99",,"1 kg = 16,59 - 19,90","französisch oder spanisch, mit versch. Schinken- und Salamispezialitäten",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_103.jpg,"cat_fleisch_wurst,sub_wurst,tag_ultra_processed",,,ref_000013,obs_0000013082|obs_0000002038|obs_0000015767,obs_0000013082
ROBERTO GEISSINI,Badematte,"€ 9,99",,"pro Einheit = 9,99",Aus Baumwolle Besonders saugfähig und flauschig Rutschfest durch strukturierte Webung Für Fußbodenheizung geeignet Größe ca. 70 x 50 cm,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_464.jpg,cat_non_food,,,ref_000014,obs_0000025889|obs_0000016068|obs_0000002117|obs_0000003657|obs_0000001386|obs_0000000747|obs_0000010867|obs_0000023444|obs_0000002138|obs_0000001569,obs_0000025889|obs_0000016068|obs_0000002117|obs_0000003657|obs_0000001386|obs_0000000747|obs_0000010867|obs_0000023444|obs_0000002138
K-CLASSIC,Baguettes oder Brötchen,"€ 0,55",,"1 kg = 1,84","2 Baguettes, 4 Baguette-Brötchen oder 6 Weizenbrötchen, zum Fertigbacken",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_193.jpg,"cat_grundnahrung,diet_vegetarian,sub_tk_fertiggerichte,tag_ultra_processed",,,ref_000015,obs_0000011083|obs_0000012363|obs_0000013089|obs_0000015256|obs_0000027846,obs_0000011083|obs_0000012363|obs_0000013089|obs_0000015256
HARIBO,Balla Stixx oder Spaghetti,"€ 1,29",,"1 kg = 6,45 - 7,38",versch. Sorten,Nein,Dieses Angebot findest du vom 06.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-06,2026-04-08,../images/kaufland/kaufland_offer_555.jpg,"cat_grundnahrung,diet_vegetarian,sub_nudeln,tag_ultra_processed",,,ref_000016,obs_0000011365|obs_0000013091|obs_0000010087|obs_0000002136|obs_0000000270|obs_0000009155|obs_0000033820|obs_0000001286|obs_0000001508|obs_0000001650|obs_0000020035|obs_0000003907|obs_0000004334|obs_0000020854|obs_0000004761|obs_0000022908,obs_0000011365|obs_0000013091
KAUFLAND KOLLEKTION,Bauchtasche,"€ 4,99",,"pro Einheit = 4,99",Mit Reißverschlussfach Gurt weitenverstellbar Versch. Motive Inkl. Schlüsselanhänger mit Wagenchip,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_477.jpg,cat_non_food,,,ref_000017,,
K-PURLAND,Beef Brisket,"€ 13,99","€ 15,99","pro Einheit = 18,19","Rinderbrust ohne Knochen, vom Jungbullen, gereift",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_090.jpg,"cat_fleisch_wurst,diet_lactose_free,sub_rind,tag_high_protein,tag_proteinreich",,,ref_000018,obs_0000010996|obs_0000015346|obs_0000015743|obs_0000008310|obs_0000033864,obs_0000010996|obs_0000015346|obs_0000015743
VITAKRAFT,Beef-Stick,"€ 0,99","€ 1,29","1 kg = 33,00 - 49,50","Hundesnack, versch. Sorten",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_303.jpg,cat_drogerie,,,ref_000019,obs_0000011179|obs_0000013526|obs_0000030724|obs_0000027319|obs_0000002886|obs_0000033864,obs_0000030724
Keine Marke,Beet- Balkonpflanzen,"€ 5,99",,"pro Einheit = 5,99","z. B. Fuchsie oder Geranie, versch. Farben, als 6er-Pack",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_062.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,,ref_000020,,
TRISTAR,Beutel-Staubsauger SZ-1920KL,"€ 39,99",,"pro Einheit = 39,99",Teleskoprohr Mehrzweckbodendüse Aktionsradius ca. 8 m Staubbeutelvolumen ca. 2 l 700 W,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_321.jpg,cat_non_food,,,ref_000021,obs_0000025757,
BOSCH,Beutelloser Bodenstaubsauger BGS05A225,"€ 69,99",,"pro Einheit = 69,99","Zyklon-Technologie Ergo-Handgriff Teleskop-Metallrohr PureAir-Hygienefilter Großer Staubbehälter ca. 1,5 l Umschaltbare Rollendüse Park- und Abstellhilfe Aktionsradius ca. 9 m Leistung max. 700 W Inkl. Polster- und Fugendüse",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_340.jpg,cat_non_food,,,ref_000022,obs_0000015121|obs_0000012913,obs_0000015121|obs_0000012913
TARTEX,Bio-Abendbrotaufstrich,"€ 1,99","€ 2,35","1 kg = 14,22 - 15,92","Linsen-Liebe, Markt-Gemüse oder Soo Cremig, versch. Sorten",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_182.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegan,diet_vegetarian,sub_huelsenfruechte",,,ref_000023,obs_0000015849,obs_0000034274|obs_0000015849
K-BIO,Bio-Agavendicksaft,"€ 1,99","€ 2,35","1 l = 5,53","ideal zum Süßen von Porridge, Getränken, Saucen oder Salatdressings",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_208.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000024,obs_0000010708|obs_0000025385,obs_0000025385|obs_0000010708
WHOLEY,Bio-A ai,"€ 2,99",,"1 kg = 11,96",Smoothie-Bowl mit weiteren Früchten oder Drops aus reinem Açai-Fruchtpüree,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_155.jpg,"cat_tiefkuehl,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000025,obs_0000011053,obs_0000011053
K-BIO,Bio-Buttergemüse,"€ 1,29","€ 1,49","1 kg = 4,30",mit Petersilie verfeinert,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_154.jpg,"cat_tiefkuehl,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_butter_margarine,sub_frisches_gemuese,sub_milchprodukte,sub_tk_gemuese,tag_whole_food",,,ref_000026,,
K-BIO,Bio-Dinkel-Vollkorn-Nudeln,"€ 1,29","€ 1,45","1 kg = 2,58","ohne Ei, Fusilli in Bioland- oder Spaghetti in Bio-Qualität",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_206.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000027,obs_0000011531|obs_0000013103|obs_0000019174|obs_0000008784|obs_0000013802|obs_0000015006|obs_0000008075,
HIPP,Bio-Fertiggericht,"€ 1,79",,"1 kg = 7,16","ab 1 Jahr, versch. Sorten",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_288.jpg,"cat_drogerie,diet_lactose_free,diet_vegan,diet_vegetarian,sub_tk_fertiggerichte",,,ref_000028,obs_0000013099|obs_0000015097|obs_0000001537|obs_0000034413|obs_0000010900|obs_0000010919|obs_0000011360|obs_0000012214|obs_0000012670|obs_0000013186|obs_0000013632|obs_0000014071|obs_0000006306|obs_0000015278|obs_0000023662|obs_0000023763|obs_0000024188,obs_0000013099|obs_0000005947|obs_0000015097|obs_0000007209
K-BIO,Bio-Knusperriegel,"€ 0,89","€ 1,19","1 kg = 11,87",versch. Sorten,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_217.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",,,ref_000029,,
K-BIO,Bio-Kräuter,"€ 0,69","€ 0,89","1 kg = 13,80","fein gehackt, streufähig, versch. Sorten",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_156.jpg,"cat_tiefkuehl,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_kaese,sub_milchprodukte",,,ref_000030,obs_0000000636|obs_0000009506|obs_0000001352|obs_0000009967|obs_0000034585|obs_0000034623|obs_0000002274|obs_0000002843|obs_0000011054|obs_0000012814|obs_0000013754,
GLOWKITCHEN,Bio-Mini-Bananenbrot,"€ 1,59","€ 1,99","1 kg = 22,72",natur oder mit Schokolade,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_124.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,,ref_000031,obs_0000012307|obs_0000008997|obs_0000009070|obs_0000002229|obs_0000020200|obs_0000021019|obs_0000030469|obs_0000022915|obs_0000031140|obs_0000023690|obs_0000032515|obs_0000017530|obs_0000026024|obs_0000018128|obs_0000010932|obs_0000012328|obs_0000029952|obs_0000006379|obs_0000016216,obs_0000012307
K-BIO,Bio-Mus,"€ 4,49","€ 5,75","1 kg = 17,96","Mandelmus braun, Cashew- oder Haselnussmus",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_210.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000032,,
K-BIO,Bio-Oliven,"€ 1,19","€ 1,49","1 kg = 11,90","ohne Stein, grüne Oliven mit Petersilie oder grüne & Kalamata-Oliven mit Kräuter mariniert",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_169.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000033,obs_0000033953|obs_0000034942|obs_0000027579|obs_0000033871|obs_0000001990|obs_0000008194|obs_0000008681|obs_0000001285|obs_0000025865|obs_0000034552|obs_0000018215|obs_0000034768|obs_0000026683|obs_0000028567|obs_0000028687|obs_0000022380,obs_0000033953|obs_0000034942|obs_0000027579|obs_0000014541
K-BIO,Bio-Olivenöl,"€ 10,00","€ 11,10","1 l = 6,67","extra nativ, ausschließlich mit mechanischen Verfahren gewonnen",Nein,Dieses Angebot findest du vom 06.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-06,2026-04-08,../images/kaufland/kaufland_offer_573.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000034,obs_0000014541|obs_0000027595|obs_0000009444|obs_0000001438|obs_0000034212|obs_0000034420|obs_0000009909|obs_0000018480|obs_0000034888|obs_0000018950|obs_0000002836|obs_0000011361|obs_0000028952|obs_0000010685|obs_0000005365|obs_0000007186|obs_0000007957,obs_0000033953|obs_0000034942|obs_0000027579|obs_0000014541
K-BIO,Bio-Pesto,"€ 1,59","€ 1,99","1 kg = 8,37","nach original ital. Rezeptur, versch. Sorten",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_203.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000035,obs_0000010208|obs_0000015005|obs_0000005369|obs_0000007184|obs_0000000146|obs_0000016639|obs_0000025099|obs_0000001549|obs_0000018607|obs_0000019219|obs_0000011089|obs_0000011527|obs_0000019945|obs_0000020017|obs_0000003675|obs_0000014195|obs_0000023299|obs_0000015289|obs_0000015872,obs_0000010208|obs_0000015005
HEIMATGUT,Bio-Popcorn,"€ 1,39","€ 1,75","1 kg = 15,45","süß oder süß & salzig, aus Vollkornmais",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_228.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000036,obs_0000007993|obs_0000008412|obs_0000025994|obs_0000027246|obs_0000012196|obs_0000013828|obs_0000014356|obs_0000014596|obs_0000015891,obs_0000007993
NATURPURA,Bio-Protein-Dinkelwaffeln,"€ 1,19","€ 1,49","1 kg = 13,23","mit Erbsenprotein, vegan",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_196.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_high_protein,tag_proteinreich,tag_whole_food",,,ref_000037,obs_0000008272,obs_0000008272
WILTMANN,Bio-Salami,"€ 1,99","€ 2,69","1 kg = 24,88 - 39,80",versch. Sorten,Nein,Dieses Angebot findest du vom 06.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-06,2026-04-08,../images/kaufland/kaufland_offer_042.jpg,"cat_fleisch_wurst,diet_vegetarian,sub_wurst,tag_ultra_processed",,,ref_000038,obs_0000010600|obs_0000012289|obs_0000008158|obs_0000000274|obs_0000000892|obs_0000002087|obs_0000002574|obs_0000019376|obs_0000003381|obs_0000003529|obs_0000003913|obs_0000020648|obs_0000004340|obs_0000004767|obs_0000021467|obs_0000021766|obs_0000011010|obs_0000033968|obs_0000034098|obs_0000001490|obs_0000001686|obs_0000005975|obs_0000006872|obs_0000016602|obs_0000008425|obs_0000016755|obs_0000025355|obs_0000017184|obs_0000017375|obs_0000025934|obs_0000034176|obs_0000010234|obs_0000010316|obs_0000002285|obs_0000026898|obs_0000002611|obs_0000019030|obs_0000002957|obs_0000003239|obs_0000019666|obs_0000003307|obs_0000028273|obs_0000020407|obs_0000021226|obs_0000005781|obs_0000031198|obs_0000014932|obs_0000023205|obs_0000032073|obs_0000007987,obs_0000000274|obs_0000000892|obs_0000002087|obs_0000010600|obs_0000002574|obs_0000019376|obs_0000003381|obs_0000003529|obs_0000003913|obs_0000012289|obs_0000020648|obs_0000004340|obs_0000004767|obs_0000021467|obs_0000021766|obs_0000005975|obs_0000006872|obs_0000008158
PUKKA,Bio-Tee,"€ 2,99",,"1 kg = 74,75 - 149,50",versch. Sorten,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_225.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,BLS-G561100,ref_000039,obs_0000007996|obs_0000032968|obs_0000033499|obs_0000027244|obs_0000011596|obs_0000020481|obs_0000021300|obs_0000013530|obs_0000021786|obs_0000022871|obs_0000015022|obs_0000031795|obs_0000015944|obs_0000009037|obs_0000034399|obs_0000016641|obs_0000008687|obs_0000025412|obs_0000001487|obs_0000018054|obs_0000010335|obs_0000026894|obs_0000018960|obs_0000028312|obs_0000020428|obs_0000021247|obs_0000005272|obs_0000022129|obs_0000014277|obs_0000023245|obs_0000023661|obs_0000033693|obs_0000034233,obs_0000032968|obs_0000033499|obs_0000027244|obs_0000011596|obs_0000020481|obs_0000021300|obs_0000013530|obs_0000021786|obs_0000022871|obs_0000015022|obs_0000031795|obs_0000015944|obs_0000007996
Keine Marke,Bioland dtsch Champignons braun,"€ 1,99",,"1 kg = 7,96",Kl. I,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_067.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_pilze,tag_whole_food",,,ref_000040,obs_0000011411|obs_0000006419|obs_0000034111|obs_0000031799|obs_0000027747|obs_0000014978|obs_0000027283|obs_0000014046|obs_0000001277|obs_0000028450|obs_0000008021|obs_0000026991,
Keine Marke,Bioland dtsch Shiitake-Pilze oder Kräuterseitlinge,"€ 1,99",,"1 kg = 13,27",Kl. I,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_053.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000041,obs_0000003213|obs_0000004626|obs_0000005053|obs_0000026705|obs_0000027349|obs_0000019039|obs_0000004199|obs_0000002545,
K-BIO,Bioland Rote Bete,"€ 0,89",,"1 kg = 4,05","süß-sauer eingelegt, in Scheiben",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_177.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,,ref_000042,obs_0000001276|obs_0000022850,
PARKSIDE,Bit- und Schraubendreher-Set mit Wandhalterung,"€ 9,99",,"pro Einheit = 9,99",20 Bits (25 mm) Magnetischer Bit-Aadapter mit Griff ca. 75 mm 5 Kreuzschlitzschraubendreher 3 Schlitzschraubendreher 8 Feinmechaniker-Schraubendreher Mit magnetischer Spitze Ergonomisch geformte Griffe Inkl. Wandhalterung mit Bithalter Inkl. Montagematerial,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_333.jpg,cat_non_food,,,ref_000043,obs_0000013882|obs_0000009395|obs_0000009856|obs_0000003670,
K-CLASSIC,Blitz-Start oder Pausen-Jause,"€ 2,49","€ 3,29","1 kg = 12,45",Nuss-Frucht-Mix,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_214.jpg,"cat_grundnahrung,tag_ultra_processed",,,ref_000044,,
Keine Marke,Blumenbouquet,"€ 19,99",,"pro Einheit = 19,99",versch. Variationen,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_066.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,,ref_000045,obs_0000012746|obs_0000008085|obs_0000013109,obs_0000012746|obs_0000008085|obs_0000013109
