Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Überraschungs Ei,Kinder,"€ 0,77","€ 1,19",38.50 / kg,,Nein,"Wochenangebote gültig von Montag, 16.03.26 - Samstag, 21.03.26",16.03.26,21.03.26,images_netto/netto_offer_360.png,"cat_knabbern_naschen,tag_ultra_processed",,ref_000360,obs_0000020997|obs_0000019723|obs_0000029629|obs_0000008279|obs_0000018904,obs_0000012307
Cerealien,Nestl,"€ 2,49","€ 3,79",5.19 - 12.45 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 16.03.26 - Samstag, 21.03.26",16.03.26,21.03.26,images_netto/netto_offer_361.png,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed",,ref_000361,obs_0000026140|obs_0000010350|obs_0000024219|obs_0000018170|obs_0000019605|obs_0000013094|obs_0000002359|obs_0000018234|obs_0000018786|obs_0000020432|obs_0000009707|obs_0000017952|obs_0000017531|obs_0000011397|obs_0000026971|obs_0000011245|obs_0000013966|obs_0000005350|obs_0000010983|obs_0000006639|obs_0000009410|obs_0000008949,obs_0000026140|obs_0000010350|obs_0000019605|obs_0000024219|obs_0000005350|obs_0000018170|obs_0000013094|obs_0000002359|obs_0000018234|obs_0000018786|obs_0000020432|obs_0000009707
Bueno oder Kinder Schokolade Minis,Kinder,"€ 2,22","€ 2,55",20.56 / kg,,Nein,"Wochenangebote gültig von Montag, 16.03.26 - Samstag, 21.03.26",16.03.26,21.03.26,images_netto/netto_offer_362.png,"cat_knabbern_naschen,tag_ultra_processed",,ref_000362,obs_0000028794|obs_0000027130|obs_0000006189|obs_0000018508|obs_0000010392|obs_0000025061|obs_0000027134|obs_0000016896|obs_0000021012|obs_0000014877|obs_0000014893|obs_0000006733|obs_0000019141|obs_0000029470|obs_0000019294|obs_0000021413|obs_0000023533|obs_0000005258|obs_0000021831|obs_0000015689|obs_0000017807|obs_0000011667|obs_0000009658|obs_0000019960|obs_0000020113|obs_0000013983|obs_0000009910|obs_0000005831|obs_0000030475|obs_0000028433|obs_0000030547|obs_0000006019|obs_0000020437|obs_0000002122|obs_0000014418|obs_0000014426|obs_0000000091|obs_0000024683|obs_0000008307|obs_0000004232|obs_0000000138|obs_0000000230|obs_0000010531|obs_0000016680|obs_0000010558|obs_0000012629|obs_0000014716|obs_0000004491|obs_0000008595|obs_0000004659,
Bueno Eggs,Kinder,"€ 2,22","€ 2,49",27.75 / kg,,Nein,"Wochenangebote gültig von Montag, 16.03.26 - Samstag, 21.03.26",16.03.26,21.03.26,images_netto/netto_offer_363.png,"cat_knabbern_naschen,tag_ultra_processed",,ref_000363,obs_0000011667|obs_0000010392|obs_0000013983|obs_0000021413|obs_0000021831|obs_0000009639|obs_0000024391,
Kölln Haferflocken,Keine Marke,"€ 1,19","€ 1,69",2.38 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 16.03.26 - Samstag, 21.03.26",16.03.26,21.03.26,images_netto/netto_offer_364.png,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",BLS-C133000,ref_000364,obs_0000027844|obs_0000028094|obs_0000002644|obs_0000002784|obs_0000007578|obs_0000010156|obs_0000010543|obs_0000012478|obs_0000014183|obs_0000014404|obs_0000024541,obs_0000027844|obs_0000028094
Schwartau Konfitüre Extra oder Samt,Keine Marke,"€ 1,99","€ 2,69",4.85 - 7.37 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 16.03.26 - Samstag, 21.03.26",16.03.26,21.03.26,images_netto/netto_offer_365.png,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",,ref_000365,obs_0000030114|obs_0000006469|obs_0000027487|obs_0000005925|obs_0000010153|obs_0000012134|obs_0000012719|obs_0000013534|obs_0000024979|obs_0000024981|obs_0000025861|obs_0000000136|obs_0000001855|obs_0000007648|obs_0000010389|obs_0000011039|obs_0000011622|obs_0000011892|obs_0000012892|obs_0000013330|obs_0000013535|obs_0000013613|obs_0000014026|obs_0000014649|obs_0000017794|obs_0000018310|obs_0000024320,
Clarky s Nusskernmischung Mandeln naturbelassen oder Cashewkerne,Keine Marke,"€ 2,49","€ 2,99",12.45 / kg,,Nein,"Wochenangebote gültig von Montag, 16.03.26 - Samstag, 21.03.26",16.03.26,21.03.26,images_netto/netto_offer_366.png,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,ref_000366,obs_0000000269|obs_0000001471|obs_0000001641|obs_0000001672|obs_0000002763|obs_0000002909|obs_0000003312|obs_0000003692|obs_0000004119|obs_0000004546|obs_0000007620|obs_0000007960|obs_0000009521|obs_0000010161|obs_0000012712|obs_0000013108|obs_0000016173|obs_0000016863|obs_0000017572|obs_0000017645|obs_0000018531|obs_0000018746|obs_0000019565|obs_0000020954|obs_0000022308|obs_0000022728|obs_0000023372|obs_0000024347|obs_0000024457|obs_0000025239|obs_0000025339,
Ben s Original Express-Reis,Keine Marke,"€ 1,49","€ 2,29",5.96 - 6.77 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 16.03.26 - Samstag, 21.03.26",16.03.26,21.03.26,images_netto/netto_offer_367.png,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_reis,tag_ultra_processed,tag_whole_food",,ref_000367,obs_0000027802|obs_0000029570|obs_0000005154|obs_0000028140|obs_0000005713|obs_0000002540|obs_0000008522|obs_0000011376|obs_0000017530|obs_0000018958|obs_0000019777|obs_0000020211|obs_0000021811|obs_0000022582|obs_0000023000|obs_0000029312|obs_0000008223|obs_0000008352|obs_0000008780|obs_0000008971|obs_0000009433|obs_0000009563|obs_0000011869|obs_0000012774|obs_0000013576|obs_0000014027|obs_0000014692|obs_0000015909|obs_0000016324|obs_0000017882|obs_0000018030|obs_0000018706|obs_0000018823|obs_0000019136|obs_0000019525|obs_0000019642|obs_0000019955|obs_0000020283|obs_0000020393|obs_0000020709|obs_0000023674|obs_0000023832|obs_0000024162|obs_0000024899|obs_0000024959|obs_0000025132|obs_0000025175|obs_0000025918|obs_0000026556|obs_0000026643,obs_0000005154|obs_0000027802|obs_0000029570
Hengstenberg Knax Gewürzgurken,Keine Marke,"€ 1,79","€ 2,99",4.97 / kg,,Nein,"Wochenangebote gültig von Montag, 16.03.26 - Samstag, 21.03.26",16.03.26,21.03.26,images_netto/netto_offer_368.png,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,ref_000368,obs_0000027804|obs_0000001198|obs_0000014367|obs_0000026679|obs_0000026796|obs_0000031277,obs_0000027804
Hela Curry Gewürzketchup,Keine Marke,"€ 1,99","€ 3,39",2.49 / l,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 16.03.26 - Samstag, 21.03.26",16.03.26,21.03.26,images_netto/netto_offer_369.png,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",BLS-R141200,ref_000369,obs_0000029861,obs_0000029861
