Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
EHRMANN,Almighurt,"€ 0,29",0.89,1 kg = 1.94,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_001.jpg
MÜLLER,Milchreis Kokosmilch-Reis oder Grießpudding,"€ 0,35",0.99,1 kg = 1.75 - 2.19,,Nein,Dieses Angebot findest du vom 09.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-09,2026-02-11,images_kaufland/kaufland_offer_002.jpg
CHIO,Popcorn,"€ 0,89",1.99,1 kg = 7.42,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_003.jpg
KERRYGOLD,Cheddar,"€ 1,39",2.99,1 kg = 10.70,,Nein,Dieses Angebot findest du vom 09.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-09,2026-02-11,images_kaufland/kaufland_offer_004.jpg
LANDLIEBE,Butter oder Die Streichzarte,"€ 1,29",2.59,1 kg = 5.16,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_005.jpg
RÜGENWALDER MÜHLE,Teewurst,"€ 1,19",2.39,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 09.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-09,2026-02-11,images_kaufland/kaufland_offer_006.jpg
ROYAL ORANGE,Maasdam,"€ 0,79",1.59,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 09.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-09,2026-02-11,images_kaufland/kaufland_offer_007.jpg
Keine Marke,Dtsch Elstar Tafeläpfel,"€ 1,99",3.99,1 kg = 1.00,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_008.jpg
ORIGINAL WAGNER,Steinofen-Pizza oder -Flammkuchen,"€ 1,79",3.39,1 kg = 4.98 - 5.97) / (1 kg = 4.42 - 5.30)**,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_009.jpg
BEN S ORIGINAL,Fix Sauce,"€ 1,49",2.79,1 kg = 3.73,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_010.jpg
ROCKSTAR,Energy Drink,"€ 0,79",1.49,1 l = 1.58,,Nein,Dieses Angebot findest du vom 09.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-09,2026-02-11,images_kaufland/kaufland_offer_011.jpg
PATROS,Salzlakenkäse od Pflanzlich,"€ 1,79",3.29,1 kg = 9.95 - 13.77) / (1 kg = 8.28 - 11.47)**,,Nein,Dieses Angebot findest du vom 09.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-09,2026-02-11,images_kaufland/kaufland_offer_012.jpg
Keine Marke,Peruan argent Kulturheidelbeeren,"€ 0,99",1.79,1 kg = 7.92,,Nein,Dieses Angebot findest du vom 09.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-09,2026-02-11,images_kaufland/kaufland_offer_013.jpg
LÄTTA,Brotaufstrich,"€ 1,29",2.29,1 kg = 2.87,,Nein,Dieses Angebot findest du vom 09.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-09,2026-02-11,images_kaufland/kaufland_offer_014.jpg
Keine Marke,Span griech Orangen,"€ 1,99",3.49,1 kg = 1.00,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_015.jpg
MIREE,Frischkäsezubereitung,"€ 1,11",1.89,1 kg = 7.40 - 8.23) / (1 kg = 6.60 - 7.34)**,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_016.jpg
MAYBACH,Qualitätswein oder Alkoholfrei,"€ 2,99",4.99,1 l = 3.99) / (1 l = 3.32)**,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_017.jpg
LANDLIEBE,Konfitüre oder Fruchtcreme,"€ 1,49",2.49,1 kg = 7.45,,Nein,Dieses Angebot findest du vom 09.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-09,2026-02-11,images_kaufland/kaufland_offer_018.jpg
Keine Marke,Span niederl Gurke lose,"€ 0,88",1.49,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 09.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-09,2026-02-11,images_kaufland/kaufland_offer_019.jpg
WIESENHOF,Dtsch Hähnchen-Schenkel,"€ 2,99",4.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 09.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-09,2026-02-11,images_kaufland/kaufland_offer_020.jpg
IGLO,Fertiggericht,"€ 2,79",,1 kg = 6.20 - 6.57) / (1 kg = 5.54 - 5.86)**,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_022.jpg
POPP,Fleischsalat,"€ 1,29",,1 kg = 6.45) / (1 kg = 4.95)**,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_024.jpg
HARRY,Vital fit Mehrkornbrot,"€ 1,49",1.69,1 kg = 2.98) / (1 kg = 2.38)**,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_025.jpg
OVOMALTINE,Der Klassiker,"€ 5,49",6.49,1 kg = 10.98) / (1 kg = 9.98)**,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_026.jpg
FUNNY-FRISCH,Kesselchips Riffels oder Cheese Cracker,"€ 1,49",2.49,1 kg = 9.94 - 14.90) / (1 kg = 8.60 - 12.90)**,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_027.jpg
