Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Anthurie,,4.99 €,,,"ca. 25 cm hoch, versch. Ausführungen, Ø = 9 cm, in moderner Gesichtskeramik",Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_029.png
gefüllte Primeln,,1.29 €,,,"ca. 15 cm hoch, versch. Farben, Ø = 10,5 cm",Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_030.png
Sukkulenten,,4.99 €,,,"ca. 15 cm hoch, versch. Farben, Ø 10,5 cm",Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_031.png
Grünpflanzen Duo,,3.99 €,,,"in Tasche, ca. 15 cm hoch, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_032.png
Bio Dinkelbrot,,1.49 €,statt 1.79,5.96 / kg,Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_033.png
Würstchen Dog,,2.58 €,statt 2.58,,Einzelpreis: 2 Stück Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_034.png
Weltmeisterbrot,,1.69 €,,2.25 / kg,Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_035.png
Rustikales Steinofenbaguette,,2.22 €,statt 2.58,2.78 / kg,Einzelpreis: 1.29 (3.23 / kg) Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_036.png
Nuss-Nougat-Croissant,,1.11 €,statt 1.38,,Einzelpreis: 0.69 Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_037.png
Quarktasche,,0.79 €,,,Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_038.png
Laugenbreze,,1.56 €,statt 1.56,,Einzelpreis: 0.39 Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_039.png
Börekstick,,1.11 €,1.38 - 1.58,,Einzelpreis: 0.69 - 0.79 Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_040.png
Hähnchen-Innenfilet,,6.99 €,,8.74 / kg,aus dem Brustfilet geschnitten,Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_041.png
Hähnchen-Schenkel,,3.99 €,UVP 4.99,3.63 / kg,"mit Rückenstück, gewürzt",Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_042.png
Puten-Hälse,,2.99 €,statt 3.49,,"frisch, ca. 1 kg",Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_043.png
