Produkt,Preis,Preis_kg,Hinweis,Gueltig_von,Gueltig_bis,Bildpfad
Valensina Saftorangen,"€ 2,99","1 kg = 1,99 €","Sorte siehe Etikett, aus Spanien, Kl. I, 1,5 kg Netz, (1 kg = 1,99 €)",2026-02-09,2026-02-14,images_edeka/valensina-saftorangen.jpg
EDEKA Herzstücke Apeel Riesenorangen,"€ 3,99","1 kg = 2,00 €","Sorte siehe Etikett, aus Spanien/Griechenland, Kl. I, 2 kg Netz, (1 kg = 2,00 €)",2026-02-09,2026-02-14,images_edeka/edeka-herzst-cke-apeel-riesenorangen.jpg
EDEKA Genussmomente Mandarinen,"€ 2,99","1 kg = 3,99 €","Sorte siehe Etikett, aus Spanien, Kl. I, 750 g Netz, (1 kg = 3,99 €)",2026-02-09,2026-02-14,images_edeka/edeka-genussmomente-mandarinen.jpg
SanLucar Mandarinen,"€ 2,99","1 kg = 3,99 €","Sorte siehe Etikett, aus Spanien, Kl. I, 750 g Netz, (1 kg = 3,99 €)",2026-02-09,2026-02-14,images_edeka/sanlucar-mandarinen.jpg
EDEKA Bio Orangen,"€ 2,99","1 kg = 2,99 €","Sorte siehe Etikett, aus Spanien/Italien, Kl. II, 1 kg Netz, (1 kg = 2,99 €)",2026-02-09,2026-02-14,images_edeka/edeka-bio-orangen.jpg
albi Blutorangen,"€ 1,99","1 kg = 1,99 €","Sorte siehe Etikett, aus Italien, Kl. I, 1 kg Netz, (1 kg = 1,99 €)",2026-02-09,2026-02-14,images_edeka/albi-blutorangen.jpg
EDEKA Herzstücke Tafeltrauben rot kernlos,"€ 3,99","1 kg = 9,98 €","Sorte und Herkunft siehe Etikett, Kl. I, 400 g Herzpackung, (1 kg = 9,98 €)",2026-02-09,2026-02-14,images_edeka/edeka-herzst-cke-tafeltrauben-rot-kernlos.jpg
Gut Günstig Salatgurke,"€ 0,99",Kein Mengenpreis,"aus den Niederlanden, Kl. I, Stück",2026-02-09,2026-02-14,images_edeka/gut-g-nstig-salatgurke.jpg
Mangostane,"€ 1,49",Kein Mengenpreis,"aus Kolumbien, Stück",2026-02-09,2026-02-14,images_edeka/mangostane.jpg
EDEKA Bio Spitzpaprika rot,"€ 2,49","1 kg = 13,83 €","aus Spanien, Kl. II, 180 g Bund, (1 kg = 13,83 €)",2026-02-09,2026-02-14,images_edeka/edeka-bio-spitzpaprika-rot.jpg
EDEKA Herzstücke Mini Pflaumentomaten,"€ 1,99","1 kg = 7,96 €","Herkunft siehe Etikett, Kl. I, 250 g Becher, (1 kg = 7,96 €)",2026-02-09,2026-02-14,images_edeka/edeka-herzst-cke-mini-pflaumentomaten.jpg
Chiquita Bananen,"€ 1,99",Kein Mengenpreis,"Herkunft siehe Auszeichnung, 1 kg",2026-02-09,2026-02-14,images_edeka/chiquita-bananen.jpg
Kohlrabi,"€ 0,79",Kein Mengenpreis,"aus Spanien/Italien, Kl. I, Stück",2026-02-09,2026-02-14,images_edeka/kohlrabi.jpg
EDEKA Herzstücke Mini-Rispentomaten,"€ 2,99","1 kg = 7,48 €","aus den Niederlanden/Belgien, Kl. I, 400 g Packung, (1 kg = 7,48 €)",2026-02-09,2026-02-14,images_edeka/edeka-herzst-cke-mini-rispentomaten.jpg
EDEKA Heimatliebe Fränkischer Chicoree,"€ 1,49","1 kg = 2,98 €","Kl. I Abbildung ähnlich., 500 g Packung, (1 kg = 2,98 €)",2026-02-09,2026-02-14,images_edeka/edeka-heimatliebe-fr-nkischer-chicoree.jpg
Speisekartoffeln Annabelle,"€ 2,99","1 kg = 1,50 €","festkochend, aus Frankreich, die Sorte für Feinschmecker, 2 kg Netz, (1 kg = 1,50 €)",2026-02-09,2026-02-14,images_edeka/speisekartoffeln-annabelle.jpg
Fränkische Tafeläpfel rot,"€ 2,99","1 kg = 1,99 €","Sorte siehe Etikett, vom Obsthof Zörner aus Bibergau, Kl. I, 1,5 kg Packung, (1 kg = 1,99 €)",2026-02-09,2026-02-14,images_edeka/fr-nkische-tafel-pfel-rot.jpg
EDEKA Herzstücke Beste Lese Tafeltrauben hell oder rot,"€ 4,99",Kein Mengenpreis,"Sorte siehe Auszeichnung, aus der Republik Südafrika, Kl. I, 1 kg",2026-02-09,2026-02-14,images_edeka/edeka-herzst-cke-beste-lese-tafeltrauben-hell-oder-rot.jpg
EDEKA Herzstücke Speisekartoffeln Back Grill,"€ 1,99","1 kg = 1,00 €","vorwiegend festkochend, Sorte siehe Etikett, aus Deutschland, extra große Knollen, 2 kg Netz, (1 kg = 1,00 €)",2026-02-09,2026-02-14,images_edeka/edeka-herzst-cke-speisekartoffeln-back-grill.jpg
evelina Tafeläpfel rot,"€ 1,00","1 kg = 1,92 €","Sorte siehe Etikett, aus Deutschland, Kl. I, 520 g Packung, (1 kg = 1,92 €)",2026-02-09,2026-02-14,images_edeka/evelina-tafel-pfel-rot.jpg
EDEKA Herzstücke Magic Star Tafeläpfel rot,"€ 2,99","1 kg = 1,50 €","Sorte siehe Etikett, aus Deutschland, Kl. I Nur solange der Vorrat reicht., 2 kg Karton + GRATIS Tasche, (1 kg = 1,50 €)",2026-02-09,2026-02-14,images_edeka/edeka-herzst-cke-magic-star-tafel-pfel-rot.jpg
EDEKA Bio WWF Blattspinat Feldsalat oder Rucola,"€ 1,11","1 kg = 11,10 €","aus Italien, Kl. II, 100 g Packung, (1 kg = 11,10 €)",2026-02-09,2026-02-14,images_edeka/edeka-bio-wwf-blattspinat-feldsalat-oder-rucola.jpg
Gut Günstig Salatgurke,"€ 0,99",Kein Mengenpreis,"aus den Niederlanden, Kl. I,, Stück",2026-02-09,2026-02-14,images_edeka/gut-g-nstig-salatgurke.jpg
Gut Günstig Tafeltrauben hell,"€ 1,49","1 kg = 2,98","Sorte und Herkunft siehe Etikett, Kl. I, 500 g Packung, (1 kg = 2,98)",2026-02-09,2026-02-14,images_edeka/gut-g-nstig-tafeltrauben-hell.jpg
EDEKA Herzstücke Magic Star Tafeläpfel rot,"€ 2,99","1 kg = 1,50","Sorte siehe Etikett, aus Deutschland, Kl. I, 2 kg Karton + GRATIS Tasche, (1 kg = 1,50)",2026-02-09,2026-02-14,images_edeka/edeka-herzst-cke-magic-star-tafel-pfel-rot.jpg
3 Packungen Driscoll s Himbeeren Brombeeren oder Mein Beerenglück Heidelbeeren,"€ 5,00","1 kg = 13,33","Herkunft siehe Etikett, Kl. I, à 125 g, (1 kg = 13,33)",2026-02-09,2026-02-14,images_edeka/3-packungen-driscoll-s-himbeeren-brombeeren-oder-mein-beerengl-ck-heidelbeeren.jpg
EDEKA Bio WWF Feldsalat Blattspinat oder Rucola,"€ 1,11","1 kg = 11,10","aus Italien, Kl. II, 100 g Packung, (1 kg = 11,10)",2026-02-09,2026-02-14,images_edeka/edeka-bio-wwf-feldsalat-blattspinat-oder-rucola.jpg
Unbekannt 28,"€ ,00",Kein Mengenpreis,,2026-02-09,2026-02-14,
Weihenstephan Butter oder Die Streichzarte,"€ 1,49","1 kg = 5,96 €","verschiedene Sorten, 250 g Stück/Becher, (1 kg = 5,96 €)",2026-02-09,2026-02-14,images_edeka/weihenstephan-butter-oder-die-streichzarte.jpg
Meggle Feines Butter Schmalz,"€ 3,49","1 kg = 13,96 €","zum Braten, Kochen und Backen, einmalig buttrig, 250 g Becher, (1 kg = 13,96 €)",2026-02-09,2026-02-14,images_edeka/meggle-feines-butter-schmalz.jpg
Milram Käse oder Reibekäse,"€ 1,39","1 kg = 9,27 €","verschiedene Sorten und Fettstufen, 150 g Packung, (1 kg = 9,27 €)",2026-02-09,2026-02-14,images_edeka/milram-k-se-oder-reibek-se.jpg
Ehrmann Grand Dessert,"€ 0,49","1 kg = 2,58 €","verschiedene Sorten, 190 g Becher, (1 kg = 2,58 €)",2026-02-09,2026-02-14,images_edeka/ehrmann-grand-dessert.jpg
Ehrmann Almighurt,"€ 0,39","1 kg = 2,60 €","verschiedene Sorten und Fettstufen, 150 g Becher, (1 kg = 2,60 €)",2026-02-09,2026-02-14,images_edeka/ehrmann-almighurt.jpg
Milkana Schmelzkäsezubereitung,"€ 1,99",Kein Mengenpreis,verschiedene Sorten und Fettstufen oder Tolle Rolle! Je nach Verfügbarkeit des Marktes.,2026-02-09,2026-02-14,images_edeka/milkana-schmelzk-sezubereitung.jpg
miree Frischkäsezubereitung,"€ 1,11",Kein Mengenpreis,verschiedene Sorten und Fettstufen,2026-02-09,2026-02-14,images_edeka/miree-frischk-sezubereitung.jpg
Danone Activia Joghurt,"€ 1,49","1 kg = 3,24 €","verschiedene Sorten und Fettstufen, 4er, 460 g Packung, (1 kg = 3,24 €)",2026-02-09,2026-02-14,images_edeka/danone-activia-joghurt.jpg
EDEKA Genussmomente Dessert,"€ 1,79","1 kg = 8,95 €","verschiedene Sorten, 200 g Packung, (1 kg = 8,95 €)",2026-02-09,2026-02-14,images_edeka/edeka-genussmomente-dessert.jpg
Alp Senn Sennenkäse,"€ 1,79",Kein Mengenpreis,"schweizer Schnittkäse mit Kuhrohmilch, 45 % Fett i. Tr., ca. 5 Monate gereift, mild, 100 g",2026-02-09,2026-02-14,images_edeka/alp-senn-sennenk-se.jpg
Herz Allgäuer Emmentaler,"€ 1,29",Kein Mengenpreis,"deutscher Hartkäse mit tagfrischer Heu-Rohmilch, 45 % Fett i. Tr., typisch mit großen Löchern, mild-nussiger Geschmack, rindengereift, 100 g",2026-02-09,2026-02-14,images_edeka/herz-allg-uer-emmentaler.jpg
Bauer Butterkäse,"€ 0,99",Kein Mengenpreis,"deutscher halbfester Schnittkäse, 45 % Fett i. Tr., mild bis fein aromatisch, 100 g",2026-02-09,2026-02-14,images_edeka/bauer-butterk-se.jpg
Käserei Champignon Cambozola,"€ 1,79",Kein Mengenpreis,"verschiedene Sorten, Rougette oder Fiorella di Tomino deutscher Weichkäse, verschiedene Fettstufen, 100 g",2026-02-09,2026-02-14,images_edeka/k-serei-champignon-cambozola.jpg
Käserei Champignon Allgäuer Rahm Torte,"€ 1,79",Kein Mengenpreis,"deutscher Weichkäse, verschiedene Sorten, 65 % Fett i. Tr., fein-aromatisch, 100 g",2026-02-09,2026-02-14,images_edeka/k-serei-champignon-allg-uer-rahm-torte.jpg
Giovanni Ferrari Grana Padano Riserva oder Parmigiano Reggiano,"€ 3,49","1 kg = 23,27 €","italienischer Hartkäse, verschiedene Fettstufen, 150 g Packung, (1 kg = 23,27 €)",2026-02-09,2026-02-14,images_edeka/giovanni-ferrari-grana-padano-riserva-oder-parmigiano-reggiano.jpg
Müller High Protein Mousse,"€ 1,29","1 kg = 6,45 €","verschiedene Sorten, 20 g Protein pro Becher, 200 g Becher, (1 kg = 6,45 €)",2026-02-09,2026-02-14,images_edeka/m-ller-high-protein-mousse.jpg
