Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Fix,Maggi,"€ 5,0","€ 11,99","pro Einheit = 17,30",versch. Sorten Einzelpreis: 1.09 (11.85 - 41.92 / kg),Nein,"Wochenangebote gültig von Dienstag, 07.04.26 - Samstag, 11.04.26",07.04.26,11.04.26,../images/netto/netto_offer_001.jpg,"cat_grundnahrung,tag_ultra_processed",,,ref_000001,obs_0000021014|obs_0000020195|obs_0000026433|obs_0000025048|obs_0000018941|obs_0000010238|obs_0000026187|obs_0000012367|obs_0000015001|obs_0000016596|obs_0000009999|obs_0000006464|obs_0000009537|obs_0000017240|obs_0000013189|obs_0000010701|obs_0000033874|obs_0000022961|obs_0000028497|obs_0000028610|obs_0000024087|obs_0000031276|obs_0000031306|obs_0000031845|obs_0000006823|obs_0000008914|obs_0000007949|obs_0000012203|obs_0000005556|obs_0000024503|obs_0000006124|obs_0000011798|obs_0000012852|obs_0000034415|obs_0000014563|obs_0000029307|obs_0000032418|obs_0000010488|obs_0000032685|obs_0000027095|obs_0000031334|obs_0000006993|obs_0000009079|obs_0000011245|obs_0000030335|obs_0000032108|obs_0000032664|obs_0000032230|obs_0000029672|obs_0000029684,obs_0000021014|obs_0000026187|obs_0000012367|obs_0000015001|obs_0000016596|obs_0000020195|obs_0000009999|obs_0000006464|obs_0000009537|obs_0000026433|obs_0000017240|obs_0000013189|obs_0000010701|obs_0000025048|obs_0000018941|obs_0000010238
Sonnenmais,Keine Marke,"€ 9,0","€ 10,68","pro Einheit = 9,00",ohne Zuckerzusatz Einzelpreis: 0.89 (3.12 / kg),Nein,"Wochenangebote gültig von Dienstag, 07.04.26 - Samstag, 11.04.26",07.04.26,11.04.26,../images/netto/netto_offer_002.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_whole_food",,,ref_000002,obs_0000001281|obs_0000001042|obs_0000031252|obs_0000000856|obs_0000000851|obs_0000001044,obs_0000001281|obs_0000001042|obs_0000031252|obs_0000000856
Eintopf,Erasco,"€ 11,0","€ 19,74","1 kg = 2,29",versch. Sorten Einzelpreis: 3.29 (4.11 / kg),Nein,"Wochenangebote gültig von Dienstag, 07.04.26 - Samstag, 11.04.26",07.04.26,11.04.26,../images/netto/netto_offer_003.jpg,"cat_non_food,diet_vegetarian",,BLS-H861100,ref_000003,obs_0000008449|obs_0000034827|obs_0000013608|obs_0000001972|obs_0000028413|obs_0000014982|obs_0000009646|obs_0000027989|obs_0000008055|obs_0000000614|obs_0000034197|obs_0000033814|obs_0000032417|obs_0000031018|obs_0000005169|obs_0000031329|obs_0000006123|obs_0000030714|obs_0000007571|obs_0000007000|obs_0000034687|obs_0000005196|obs_0000007029,obs_0000008449|obs_0000014982|obs_0000034827|obs_0000032417|obs_0000013608|obs_0000031018|obs_0000009646|obs_0000005169|obs_0000001972|obs_0000027989|obs_0000031329|obs_0000006123|obs_0000008055|obs_0000030714|obs_0000028413
Nudelsauce,Keine Marke,"€ 12,0","€ 14,50","1 kg = 2,86",versch. Sorten Einzelpreis: 1.45 (3.45 / kg),Nein,"Wochenangebote gültig von Dienstag, 07.04.26 - Samstag, 11.04.26",07.04.26,11.04.26,../images/netto/netto_offer_004.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,BLS-X366143,ref_000004,obs_0000030314|obs_0000027743|obs_0000026072|obs_0000034617,
Erdbeeren,Keine Marke,"€ 1,49","€ 2,99","1 kg = 2,98","Griechenland / Spanien, Kl. I",Nein,"Wochenangebote gültig von Dienstag, 07.04.26 - Samstag, 11.04.26",07.04.26,11.04.26,../images/netto/netto_offer_005.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food",,BLS-F301100,ref_000005,obs_0000022919|obs_0000006408|obs_0000030617|obs_0000027419|obs_0000031261|obs_0000029494|obs_0000030915|obs_0000024529|obs_0000031576|obs_0000030564|obs_0000031462|obs_0000000875|obs_0000006265|obs_0000032512|obs_0000033793|obs_0000012233|obs_0000013901|obs_0000034400|obs_0000030989|obs_0000005687|obs_0000006083|obs_0000006092|obs_0000015717|obs_0000013414|obs_0000013418|obs_0000011389|obs_0000030428,obs_0000022919|obs_0000006408|obs_0000030617|obs_0000027419|obs_0000031261|obs_0000029494|obs_0000030915|obs_0000024529|obs_0000031576|obs_0000030564|obs_0000031462|obs_0000000875|obs_0000006265|obs_0000032512
Joghurt mit der Ecke,Müller,"€ 0,29","€ 0,89","pro Einheit = 2,15","gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Dienstag, 07.04.26 - Samstag, 11.04.26",07.04.26,11.04.26,../images/netto/netto_offer_006.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte,tag_ultra_processed",,,ref_000006,obs_0000008461|obs_0000014831|obs_0000023257|obs_0000023683|obs_0000023724|obs_0000031933|obs_0000015791|obs_0000011758|obs_0000026097|obs_0000024096|obs_0000024148|obs_0000000372|obs_0000004499|obs_0000004926|obs_0000004072|obs_0000005142|obs_0000028035|obs_0000032204|obs_0000030520|obs_0000001115|obs_0000027149|obs_0000026710|obs_0000020687|obs_0000020689|obs_0000028966|obs_0000023030|obs_0000008703|obs_0000025171|obs_0000017127|obs_0000023284|obs_0000025392|obs_0000033696|obs_0000009180|obs_0000021506|obs_0000021508|obs_0000025811|obs_0000015673|obs_0000019794|obs_0000009663|obs_0000034580,obs_0000008461|obs_0000014831|obs_0000023257|obs_0000005142|obs_0000023683|obs_0000023724|obs_0000031933|obs_0000028035|obs_0000015791|obs_0000032204|obs_0000011758|obs_0000026097|obs_0000024096|obs_0000024148|obs_0000030520
XXL Hähnchen-Brustfilet,Keine Marke,"€ 7,99","€ 9,99","pro Einheit = 7,99",mager,Nein,"Wochenangebote gültig von Dienstag, 07.04.26 - Samstag, 11.04.26",07.04.26,11.04.26,../images/netto/netto_offer_007.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,sub_gefluegel,tag_high_protein,tag_proteinreich,tag_whole_food",,NUTR-0002,ref_000007,obs_0000026229|obs_0000027320|obs_0000025273|obs_0000027499|obs_0000028436|obs_0000020480|obs_0000028699|obs_0000028847|obs_0000021299|obs_0000000055|obs_0000000217|obs_0000016724|obs_0000000432|obs_0000008788|obs_0000008852|obs_0000002168|obs_0000010592|obs_0000010591|obs_0000019055|obs_0000019114|obs_0000003026|obs_0000003039|obs_0000011427|obs_0000019665|obs_0000011849|obs_0000003825|obs_0000020217|obs_0000012278|obs_0000004158|obs_0000020633|obs_0000004252|obs_0000004585|obs_0000021036|obs_0000004679|obs_0000005012|obs_0000029597|obs_0000013251|obs_0000021452|obs_0000021794|obs_0000013710|obs_0000021971|obs_0000030219|obs_0000030256|obs_0000014460|obs_0000030925|obs_0000030952|obs_0000031200|obs_0000031243|obs_0000014914|obs_0000014915,obs_0000025273|obs_0000027499|obs_0000028436|obs_0000020480|obs_0000028699|obs_0000028847|obs_0000021299
Ananas,Keine Marke,"€ 1,0","€ 1,99","pro Einheit = 1,00","Costa Rica, Kl. I",Nein,"Wochenangebote gültig von Dienstag, 07.04.26 - Samstag, 11.04.26",07.04.26,11.04.26,../images/netto/netto_offer_008.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_whole_food",,BLS-F501100,ref_000008,obs_0000007137|obs_0000027077|obs_0000028967|obs_0000005512|obs_0000014138|obs_0000020098|obs_0000000868|obs_0000008196|obs_0000001306|obs_0000014436|obs_0000015338|obs_0000029882|obs_0000007731|obs_0000020917|obs_0000034745|obs_0000031235|obs_0000030465|obs_0000035090,obs_0000007137|obs_0000027077|obs_0000028967|obs_0000005512|obs_0000014138
Waschmittel,Dash,"€ 7,99","€ 14,99","pro Einheit = 0,08",versch. Sorten,Nein,"Wochenangebote gültig von Dienstag, 07.04.26 - Samstag, 11.04.26",07.04.26,11.04.26,../images/netto/netto_offer_009.jpg,cat_drogerie,,,ref_000009,obs_0000019384|obs_0000018449|obs_0000034866|obs_0000027703|obs_0000012875|obs_0000016462|obs_0000023646|obs_0000018542|obs_0000024174|obs_0000019568|obs_0000013946|obs_0000025217|obs_0000026760|obs_0000021665|obs_0000033445|obs_0000012454|obs_0000002728|obs_0000023748|obs_0000023244|obs_0000025812|obs_0000018152|obs_0000017654|obs_0000015109|obs_0000033069|obs_0000022331|obs_0000022340|obs_0000018794|obs_0000020846|obs_0000019827|obs_0000022410|obs_0000012181|obs_0000003486|obs_0000017352|obs_0000026568|obs_0000022520|obs_0000025598|obs_0000021736|obs_0000021230|obs_0000020411|obs_0000005662|obs_0000029731|obs_0000033858|obs_0000032848|obs_0000033361|obs_0000033370|obs_0000001139|obs_0000024698|obs_0000007291|obs_0000033426|obs_0000034457,obs_0000018449|obs_0000034866|obs_0000027703|obs_0000012875|obs_0000016462|obs_0000023646|obs_0000018542|obs_0000024174|obs_0000019568|obs_0000013946|obs_0000025217|obs_0000026760|obs_0000021665|obs_0000033445|obs_0000012454|obs_0000002728|obs_0000023748|obs_0000023244|obs_0000025812|obs_0000018152|obs_0000017654|obs_0000015109|obs_0000033069|obs_0000022331|obs_0000022340|obs_0000018794|obs_0000020846|obs_0000019827|obs_0000022410|obs_0000012181|obs_0000003486|obs_0000019384|obs_0000017352|obs_0000026568|obs_0000022520|obs_0000025598
Fertiggerichte,Frosta,"€ 2,49","€ 4,79","1 kg = 4,98 - 5,53","tiefgekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Dienstag, 07.04.26 - Samstag, 11.04.26",07.04.26,11.04.26,../images/netto/netto_offer_010.jpg,"cat_tiefkuehl,sub_tk_fertiggerichte,tag_ultra_processed",,,ref_000010,obs_0000026768|obs_0000008118|obs_0000008649|obs_0000016377|obs_0000017403|obs_0000019206|obs_0000027810|obs_0000018986|obs_0000016428|obs_0000002759|obs_0000027470|obs_0000018007|obs_0000025434|obs_0000002906|obs_0000009311|obs_0000027527|obs_0000006158|obs_0000027471|obs_0000027599|obs_0000027644,obs_0000001537|obs_0000013186|obs_0000019206|obs_0000006158|obs_0000026768|obs_0000027810|obs_0000010919|obs_0000018986|obs_0000016428|obs_0000015278|obs_0000008118|obs_0000013632|obs_0000002759|obs_0000008649|obs_0000027470|obs_0000018007|obs_0000025434|obs_0000002906|obs_0000009311|obs_0000016377|obs_0000017403|obs_0000012670
