Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
Coppenrath Wiese Cafeteria fein sahnig,Keine Marke,"€ 3,49",,Kein Mengenpreis,"verschiedene Sorten, tiefgefroren",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/coppenrath-wiese-cafeteria-fein-sahnig.jpg,"cat_tiefkuehl,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_milchprodukte,sub_sahne_creme,tag_ultra_processed,tag_whole_food"
Häagen-Dazs Eis,Keine Marke,"€ 3,69",,"1 l = 8,67 €","verschiedene Sorten, 460 ml Becher, (1 l = 8,67 €)",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/h-agen-dazs-eis.jpg,"cat_tiefkuehl,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_tk_eis,tag_ultra_processed,tag_whole_food"
Oreo oder Nuii Eis,Milka,"€ 2,22",,Kein Mengenpreis,"verschiedene Sorten, 3/4er",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/milka-oreo-oder-nuii-eis.jpg,"cat_tiefkuehl,tag_ultra_processed"
Intermezzo,Dr Oetker,"€ 1,69",,Kein Mengenpreis,"verschiedene Sorten, tiefgefroren",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/dr-oetker-intermezzo.jpg,"cat_tiefkuehl,tag_ultra_processed"
Costa MSC Wildlachs Filets,Keine Marke,"€ 5,99",,"1 kg = 29,95 €","ohne Haut, 2er, tiefgefroren, 200 g Packung, (1 kg = 29,95 €)",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/costa-msc-wildlachs-filets.jpg,"cat_tiefkuehl,diet_gluten_free,diet_lactose_free,sub_nudeln,sub_tk_fertiggerichte,tag_high_protein,tag_proteinreich,tag_ultra_processed,tag_whole_food"
Alberto Pasta Fertiggericht,Keine Marke,"€ 2,22",,"1 kg = 5,55 €","verschiedene Sorten, tiefgefroren, 400 g Packung, (1 kg = 5,55 €)",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/alberto-pasta-fertiggericht.jpg,"cat_tiefkuehl,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_nudeln,sub_tk_fertiggerichte,tag_ultra_processed,tag_whole_food"
Coppenrath Wiese Strudel,Keine Marke,"€ 2,49",,Kein Mengenpreis,"verschiedene Sorten, vegan, tiefgefroren",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/coppenrath-wiese-strudel.jpg,"cat_tiefkuehl,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food"
Flusskrebscocktail Calvados,Keine Marke,"€ 2,59",,"1 kg = 25,90 €","Flusskrebse mit Äpfeln, Mandarinen, Porree und Karotten, in einem mit Calvados verfeinerten Dressing, 100 g",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/flusskrebscocktail-calvados.jpg,"cat_fisch_meeresfruechte,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food"
Frisches Lachsfilet,Keine Marke,"€ 2,19",,"1 kg = 21,90 €","natur, mit Haut, ideal zum Braten, 100 g",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/frisches-lachsfilet.jpg,"cat_fisch_meeresfruechte,diet_gluten_free,diet_lactose_free,tag_high_protein,tag_proteinreich,tag_whole_food"
Lachsstremel,Keine Marke,"€ 3,99",,"1 kg = 39,90 €","natur, 100 g",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/lachsstremel.jpg,"cat_fisch_meeresfruechte,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food"
