Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,reference_row_id.1,rough_match_observation_ids.1,exact_match_observation_ids.1
Prosecco oder Aperitivo,Mionetto,"€ 6,99",,"pro Einheit = 9,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_tegut/tegut_offer_152.jpg,"cat_getraenke,tag_high_protein,tag_ultra_processed",,ref_000152,obs_0000008244|obs_0000010091|obs_0000012439|obs_0000008990|obs_0000009522|obs_0000034396|obs_0000009984|obs_0000003572|obs_0000003633|obs_0000020080|obs_0000020899|obs_0000013069|obs_0000021836|obs_0000015485|obs_0000008134,,ref_000152,obs_0000008244|obs_0000010091|obs_0000012439|obs_0000008990|obs_0000009522|obs_0000034396|obs_0000009984|obs_0000003572|obs_0000003633|obs_0000020080|obs_0000020899|obs_0000013069|obs_0000021836|obs_0000015485|obs_0000008134,
Bier,Budweiser Budvar,"€ 14,99",,"pro Einheit = 20,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_tegut/tegut_offer_153.jpg,"cat_getraenke,diet_vegetarian",,ref_000153,obs_0000028805|obs_0000009359|obs_0000023315|obs_0000009768|obs_0000026797|obs_0000028602|obs_0000009403|obs_0000027326|obs_0000028492|obs_0000031827|obs_0000031616|obs_0000009190|obs_0000014056|obs_0000028288|obs_0000014083|obs_0000005258|obs_0000006026|obs_0000005648|obs_0000006552|obs_0000007452|obs_0000028444|obs_0000029987|obs_0000007079|obs_0000035041|obs_0000006572|obs_0000026676|obs_0000007477|obs_0000006907|obs_0000007098|obs_0000007481|obs_0000009786|obs_0000028220|obs_0000005446|obs_0000005830|obs_0000005832|obs_0000005833|obs_0000006225|obs_0000006226|obs_0000009683|obs_0000005465|obs_0000009315|obs_0000007652|obs_0000006374|obs_0000006378|obs_0000007274|obs_0000006000|obs_0000009204|obs_0000029044|obs_0000005627|obs_0000006910,obs_0000028805|obs_0000009359|obs_0000023315|obs_0000009768|obs_0000026797|obs_0000028602|obs_0000009403|obs_0000027326|obs_0000028492|obs_0000031827|obs_0000005466|obs_0000009190|obs_0000014056|obs_0000028288,ref_000153,obs_0000028805|obs_0000009359|obs_0000023315|obs_0000009768|obs_0000026797|obs_0000028602|obs_0000009403|obs_0000027326|obs_0000028492|obs_0000031827|obs_0000031616|obs_0000009190|obs_0000014056|obs_0000028288|obs_0000014083|obs_0000005258|obs_0000006026|obs_0000005648|obs_0000006552|obs_0000007452|obs_0000028444|obs_0000029987|obs_0000007079|obs_0000035041|obs_0000006572|obs_0000026676|obs_0000007477|obs_0000006907|obs_0000007098|obs_0000007481|obs_0000009786|obs_0000028220|obs_0000005446|obs_0000005830|obs_0000005832|obs_0000005833|obs_0000006225|obs_0000006226|obs_0000009683|obs_0000005465|obs_0000009315|obs_0000007652|obs_0000006374|obs_0000006378|obs_0000007274|obs_0000006000|obs_0000009204|obs_0000029044|obs_0000005627|obs_0000006910,obs_0000028805|obs_0000009359|obs_0000023315|obs_0000009768|obs_0000026797|obs_0000028602|obs_0000009403|obs_0000027326|obs_0000028492|obs_0000031827|obs_0000005466|obs_0000009190|obs_0000014056|obs_0000028288
Mineralwasser,Adelholzener,"€ 5,99",,"1 l = 0,50",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_tegut/tegut_offer_154.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",,ref_000154,obs_0000028841|obs_0000031006|obs_0000027653|obs_0000034851|obs_0000015908|obs_0000031797|obs_0000026205|obs_0000008801|obs_0000003689|obs_0000015481|obs_0000031867|obs_0000012414|obs_0000031871|obs_0000028800|obs_0000034437|obs_0000008841|obs_0000009353|obs_0000027836|obs_0000011969|obs_0000021185|obs_0000027856|obs_0000008437|obs_0000034043|obs_0000034044|obs_0000009985|obs_0000028931|obs_0000035059|obs_0000010519|obs_0000014625|obs_0000028968|obs_0000026948|obs_0000028493|obs_0000008537|obs_0000011123|obs_0000028537|obs_0000028027|obs_0000020366|obs_0000028603|obs_0000034235|obs_0000034238|obs_0000026570|obs_0000013773|obs_0000025562|obs_0000028654|obs_0000014332|obs_0000031249|obs_0000002068|obs_0000024088|obs_0000029232|obs_0000031834,obs_0000027653|obs_0000034851|obs_0000015908|obs_0000031797|obs_0000026205|obs_0000008801|obs_0000003689|obs_0000015481|obs_0000031867|obs_0000012414|obs_0000031871|obs_0000028800|obs_0000034437|obs_0000008841|obs_0000009353|obs_0000028841|obs_0000027836|obs_0000011969|obs_0000021185|obs_0000027856|obs_0000008437|obs_0000034043|obs_0000034044|obs_0000009985|obs_0000028931|obs_0000035059|obs_0000010519|obs_0000031006|obs_0000014625|obs_0000028968|obs_0000026948|obs_0000028493|obs_0000008537|obs_0000011123|obs_0000028537|obs_0000028027|obs_0000020366|obs_0000028603|obs_0000034235|obs_0000034238|obs_0000026570|obs_0000013773|obs_0000025562|obs_0000028654|obs_0000014332,ref_000154,obs_0000028841|obs_0000031006|obs_0000027653|obs_0000034851|obs_0000015908|obs_0000031797|obs_0000026205|obs_0000008801|obs_0000003689|obs_0000015481|obs_0000031867|obs_0000012414|obs_0000031871|obs_0000028800|obs_0000034437|obs_0000008841|obs_0000009353|obs_0000027836|obs_0000011969|obs_0000021185|obs_0000027856|obs_0000008437|obs_0000034043|obs_0000034044|obs_0000009985|obs_0000028931|obs_0000035059|obs_0000010519|obs_0000014625|obs_0000028968|obs_0000026948|obs_0000028493|obs_0000008537|obs_0000011123|obs_0000028537|obs_0000028027|obs_0000020366|obs_0000028603|obs_0000034235|obs_0000034238|obs_0000026570|obs_0000013773|obs_0000025562|obs_0000028654|obs_0000014332|obs_0000031249|obs_0000002068|obs_0000024088|obs_0000029232|obs_0000031834,obs_0000027653|obs_0000034851|obs_0000015908|obs_0000031797|obs_0000026205|obs_0000008801|obs_0000003689|obs_0000015481|obs_0000031867|obs_0000012414|obs_0000031871|obs_0000028800|obs_0000034437|obs_0000008841|obs_0000009353|obs_0000028841|obs_0000027836|obs_0000011969|obs_0000021185|obs_0000027856|obs_0000008437|obs_0000034043|obs_0000034044|obs_0000009985|obs_0000028931|obs_0000035059|obs_0000010519|obs_0000031006|obs_0000014625|obs_0000028968|obs_0000026948|obs_0000028493|obs_0000008537|obs_0000011123|obs_0000028537|obs_0000028027|obs_0000020366|obs_0000028603|obs_0000034235|obs_0000034238|obs_0000026570|obs_0000013773|obs_0000025562|obs_0000028654|obs_0000014332
Mineralwasser,Plose,"€ 1,29",,"pro Einheit = 1,49",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_tegut/tegut_offer_155.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",,ref_000155,obs_0000027653|obs_0000034851|obs_0000015908|obs_0000031797|obs_0000026205|obs_0000008801|obs_0000003689|obs_0000015481|obs_0000031867|obs_0000012414|obs_0000031871|obs_0000028800|obs_0000034437|obs_0000008841|obs_0000009353|obs_0000028841|obs_0000027836|obs_0000011969|obs_0000021185|obs_0000027856|obs_0000008437|obs_0000034043|obs_0000034044|obs_0000009985|obs_0000028931|obs_0000035059|obs_0000010519|obs_0000031006|obs_0000014625|obs_0000028968|obs_0000026948|obs_0000028493|obs_0000008537|obs_0000011123|obs_0000028537|obs_0000028027|obs_0000020366|obs_0000028603|obs_0000034235|obs_0000034238|obs_0000026570|obs_0000013773|obs_0000025562|obs_0000028654|obs_0000014332|obs_0000031249|obs_0000002068|obs_0000024088|obs_0000029232|obs_0000031834,obs_0000027653|obs_0000034851|obs_0000015908|obs_0000031797|obs_0000026205|obs_0000008801|obs_0000003689|obs_0000015481|obs_0000031867|obs_0000012414|obs_0000031871|obs_0000028800|obs_0000034437|obs_0000008841|obs_0000009353|obs_0000028841|obs_0000027836|obs_0000011969|obs_0000021185|obs_0000027856|obs_0000008437|obs_0000034043|obs_0000034044|obs_0000009985|obs_0000028931|obs_0000035059|obs_0000010519|obs_0000031006|obs_0000014625|obs_0000028968|obs_0000026948|obs_0000028493|obs_0000008537|obs_0000011123|obs_0000028537|obs_0000028027|obs_0000020366|obs_0000028603|obs_0000034235|obs_0000034238|obs_0000026570|obs_0000013773|obs_0000025562|obs_0000028654|obs_0000014332,ref_000155,obs_0000027653|obs_0000034851|obs_0000015908|obs_0000031797|obs_0000026205|obs_0000008801|obs_0000003689|obs_0000015481|obs_0000031867|obs_0000012414|obs_0000031871|obs_0000028800|obs_0000034437|obs_0000008841|obs_0000009353|obs_0000028841|obs_0000027836|obs_0000011969|obs_0000021185|obs_0000027856|obs_0000008437|obs_0000034043|obs_0000034044|obs_0000009985|obs_0000028931|obs_0000035059|obs_0000010519|obs_0000031006|obs_0000014625|obs_0000028968|obs_0000026948|obs_0000028493|obs_0000008537|obs_0000011123|obs_0000028537|obs_0000028027|obs_0000020366|obs_0000028603|obs_0000034235|obs_0000034238|obs_0000026570|obs_0000013773|obs_0000025562|obs_0000028654|obs_0000014332|obs_0000031249|obs_0000002068|obs_0000024088|obs_0000029232|obs_0000031834,obs_0000027653|obs_0000034851|obs_0000015908|obs_0000031797|obs_0000026205|obs_0000008801|obs_0000003689|obs_0000015481|obs_0000031867|obs_0000012414|obs_0000031871|obs_0000028800|obs_0000034437|obs_0000008841|obs_0000009353|obs_0000028841|obs_0000027836|obs_0000011969|obs_0000021185|obs_0000027856|obs_0000008437|obs_0000034043|obs_0000034044|obs_0000009985|obs_0000028931|obs_0000035059|obs_0000010519|obs_0000031006|obs_0000014625|obs_0000028968|obs_0000026948|obs_0000028493|obs_0000008537|obs_0000011123|obs_0000028537|obs_0000028027|obs_0000020366|obs_0000028603|obs_0000034235|obs_0000034238|obs_0000026570|obs_0000013773|obs_0000025562|obs_0000028654|obs_0000014332
Saft,Rotbäckchen,"€ 0,88",,"pro Einheit = 1,29",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_tegut/tegut_offer_156.jpg,"cat_fleisch_wurst,tag_ultra_processed,tag_whole_food",BLS-F514600,ref_000156,obs_0000034438|obs_0000032918|obs_0000034047|obs_0000027142|obs_0000026383|obs_0000028431|obs_0000025618|obs_0000024985|obs_0000027674|obs_0000026144|obs_0000026785|obs_0000022436|obs_0000021042|obs_0000016953|obs_0000019142|obs_0000027982|obs_0000033872|obs_0000017106|obs_0000010200|obs_0000017915|obs_0000020223|obs_0000008343|obs_0000029845|obs_0000032021|obs_0000031005|obs_0000015913|obs_0000015914|obs_0000011568|obs_0000011569|obs_0000007474|obs_0000007095|obs_0000031164|obs_0000032190|obs_0000008148|obs_0000029012|obs_0000030300|obs_0000032472|obs_0000034650|obs_0000000868|obs_0000029417|obs_0000029441|obs_0000026036|obs_0000015054|obs_0000030841|obs_0000027407|obs_0000007092|obs_0000005825|obs_0000006726|obs_0000030171|obs_0000032384,obs_0000027142|obs_0000034438|obs_0000026383|obs_0000028431|obs_0000025618|obs_0000032918|obs_0000024985|obs_0000027674|obs_0000034047|obs_0000026144|obs_0000026785|obs_0000022436|obs_0000021042|obs_0000016953|obs_0000019142|obs_0000027982|obs_0000033872|obs_0000017106|obs_0000010200|obs_0000017915|obs_0000020223,ref_000156,obs_0000034438|obs_0000032918|obs_0000034047|obs_0000027142|obs_0000026383|obs_0000028431|obs_0000025618|obs_0000024985|obs_0000027674|obs_0000026144|obs_0000026785|obs_0000022436|obs_0000021042|obs_0000016953|obs_0000019142|obs_0000027982|obs_0000033872|obs_0000017106|obs_0000010200|obs_0000017915|obs_0000020223|obs_0000008343|obs_0000029845|obs_0000032021|obs_0000031005|obs_0000015913|obs_0000015914|obs_0000011568|obs_0000011569|obs_0000007474|obs_0000007095|obs_0000031164|obs_0000032190|obs_0000008148|obs_0000029012|obs_0000030300|obs_0000032472|obs_0000034650|obs_0000000868|obs_0000029417|obs_0000029441|obs_0000026036|obs_0000015054|obs_0000030841|obs_0000027407|obs_0000007092|obs_0000005825|obs_0000006726|obs_0000030171|obs_0000032384,obs_0000027142|obs_0000034438|obs_0000026383|obs_0000028431|obs_0000025618|obs_0000032918|obs_0000024985|obs_0000027674|obs_0000034047|obs_0000026144|obs_0000026785|obs_0000022436|obs_0000021042|obs_0000016953|obs_0000019142|obs_0000027982|obs_0000033872|obs_0000017106|obs_0000010200|obs_0000017915|obs_0000020223
Powerade,Powerade,"€ 0,99",,"pro Einheit = 1,49",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_tegut/tegut_offer_158.jpg,"cat_getraenke,diet_vegetarian,tag_ultra_processed",,ref_000158,obs_0000032708|obs_0000029011|obs_0000029975|obs_0000005640,obs_0000032708|obs_0000029011|obs_0000029975,ref_000158,obs_0000032708|obs_0000029011|obs_0000029975|obs_0000005640,obs_0000032708|obs_0000029011|obs_0000029975
Cola-Mix,Giesinger,"€ 0,79",,"pro Einheit = 0,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_tegut/tegut_offer_159.jpg,"cat_getraenke,tag_ultra_processed",,ref_000159,obs_0000026704|obs_0000028943|obs_0000026971|obs_0000027324|obs_0000031839|obs_0000015478|obs_0000013560|obs_0000011966|obs_0000008435|obs_0000031391|obs_0000014342|obs_0000026646|obs_0000034850|obs_0000004177|obs_0000024700|obs_0000008405|obs_0000016686|obs_0000020844|obs_0000016754|obs_0000027015|obs_0000027037|obs_0000000445|obs_0000004604|obs_0000008772|obs_0000008921|obs_0000000810|obs_0000009023|obs_0000017246|obs_0000009119|obs_0000015266|obs_0000019364|obs_0000005031|obs_0000003042|obs_0000001014|obs_0000031900|obs_0000021663|obs_0000027814|obs_0000017639|obs_0000027972|obs_0000028026|obs_0000028226|obs_0000013978|obs_0000026287|obs_0000011967|obs_0000026323|obs_0000022338|obs_0000026438|obs_0000018375|obs_0000006206|obs_0000005628,obs_0000026704|obs_0000028943|obs_0000026971|obs_0000027324|obs_0000031839|obs_0000015478|obs_0000013560|obs_0000011966,ref_000159,obs_0000026704|obs_0000028943|obs_0000026971|obs_0000027324|obs_0000031839|obs_0000015478|obs_0000013560|obs_0000011966|obs_0000008435|obs_0000031391|obs_0000014342|obs_0000026646|obs_0000034850|obs_0000004177|obs_0000024700|obs_0000008405|obs_0000016686|obs_0000020844|obs_0000016754|obs_0000027015|obs_0000027037|obs_0000000445|obs_0000004604|obs_0000008772|obs_0000008921|obs_0000000810|obs_0000009023|obs_0000017246|obs_0000009119|obs_0000015266|obs_0000019364|obs_0000005031|obs_0000003042|obs_0000001014|obs_0000031900|obs_0000021663|obs_0000027814|obs_0000017639|obs_0000027972|obs_0000028026|obs_0000028226|obs_0000013978|obs_0000026287|obs_0000011967|obs_0000026323|obs_0000022338|obs_0000026438|obs_0000018375|obs_0000006206|obs_0000005628,obs_0000026704|obs_0000028943|obs_0000026971|obs_0000027324|obs_0000031839|obs_0000015478|obs_0000013560|obs_0000011966
Bionade,Bionade,"€ 8,99",,"1 l = 1,89",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_tegut/tegut_offer_160.jpg,"cat_getraenke,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",BLS-F503100,ref_000160,obs_0000030930|obs_0000031004|obs_0000029983|obs_0000007679|obs_0000006024,obs_0000030930|obs_0000028310|obs_0000031004|obs_0000029983,ref_000160,obs_0000030930|obs_0000031004|obs_0000029983|obs_0000007679|obs_0000006024,obs_0000030930|obs_0000028310|obs_0000031004|obs_0000029983
Limonade,Sinalco,"€ 7,99",,"pro Einheit = 11,49",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_tegut/tegut_offer_162.jpg,"cat_getraenke,tag_ultra_processed",,ref_000162,obs_0000017032|obs_0000028310|obs_0000031651|obs_0000026276|obs_0000027047|obs_0000027567|obs_0000016311|obs_0000009657|obs_0000026058|obs_0000026581|obs_0000026204|obs_0000027133|obs_0000034435|obs_0000028424|obs_0000030350|obs_0000009877|obs_0000029980|obs_0000010526|obs_0000001440|obs_0000031041|obs_0000009416|obs_0000008779|obs_0000025425|obs_0000006371|obs_0000006363|obs_0000031347|obs_0000007678|obs_0000005257|obs_0000015266|obs_0000007080|obs_0000007473|obs_0000005812|obs_0000011967|obs_0000006206|obs_0000005829|obs_0000006361|obs_0000005628|obs_0000031392|obs_0000030940,obs_0000017032|obs_0000028310|obs_0000031651|obs_0000026276|obs_0000027047|obs_0000027567|obs_0000016311|obs_0000009657|obs_0000026058|obs_0000026581|obs_0000026204|obs_0000027133,ref_000162,obs_0000017032|obs_0000028310|obs_0000031651|obs_0000026276|obs_0000027047|obs_0000027567|obs_0000016311|obs_0000009657|obs_0000026058|obs_0000026581|obs_0000026204|obs_0000027133|obs_0000034435|obs_0000028424|obs_0000030350|obs_0000009877|obs_0000029980|obs_0000010526|obs_0000001440|obs_0000031041|obs_0000009416|obs_0000008779|obs_0000025425|obs_0000006371|obs_0000006363|obs_0000031347|obs_0000007678|obs_0000005257|obs_0000015266|obs_0000007080|obs_0000007473|obs_0000005812|obs_0000011967|obs_0000006206|obs_0000005829|obs_0000006361|obs_0000005628|obs_0000031392|obs_0000030940,obs_0000017032|obs_0000028310|obs_0000031651|obs_0000026276|obs_0000027047|obs_0000027567|obs_0000016311|obs_0000009657|obs_0000026058|obs_0000026581|obs_0000026204|obs_0000027133
Classic Zahncreme,aronal oder elmex,"€ 3,79",,"pro Einheit = 4,49",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_tegut/tegut_offer_163.jpg,"cat_drogerie,tag_ultra_processed",,ref_000163,obs_0000035062|obs_0000028510|obs_0000034251|obs_0000028624|obs_0000033041|obs_0000025668|obs_0000028751|obs_0000001628|obs_0000012899|obs_0000001643|obs_0000020596|obs_0000008315|obs_0000031914|obs_0000015018|obs_0000012467|obs_0000027360|obs_0000012024|obs_0000026884|obs_0000015114|obs_0000011543|obs_0000024877|obs_0000035101|obs_0000022872|obs_0000034649|obs_0000021415|obs_0000031658,obs_0000035062|obs_0000034251,ref_000163,obs_0000035062|obs_0000028510|obs_0000034251|obs_0000028624|obs_0000033041|obs_0000025668|obs_0000028751|obs_0000001628|obs_0000012899|obs_0000001643|obs_0000020596|obs_0000008315|obs_0000031914|obs_0000015018|obs_0000012467|obs_0000027360|obs_0000012024|obs_0000026884|obs_0000015114|obs_0000011543|obs_0000024877|obs_0000035101|obs_0000022872|obs_0000034649|obs_0000021415|obs_0000031658,obs_0000035062|obs_0000034251
Anti-Schuppen-Shampoo,Head Shoulders,"€ 3,79",,"pro Einheit = 4,49",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_tegut/tegut_offer_164.jpg,cat_drogerie,,ref_000164,obs_0000021027|obs_0000021690|obs_0000020208|obs_0000026350|obs_0000024185|obs_0000023759|obs_0000023249|obs_0000019354|obs_0000028680|obs_0000009796|obs_0000004179|obs_0000033372|obs_0000009325|obs_0000032877|obs_0000011610|obs_0000001916|obs_0000028560|obs_0000005033|obs_0000000446|obs_0000004606|obs_0000034854|obs_0000032840|obs_0000019053|obs_0000024178|obs_0000033398|obs_0000021647|obs_0000010913|obs_0000033460|obs_0000023755|obs_0000009955|obs_0000033529|obs_0000021764|obs_0000034052|obs_0000035066|obs_0000009494|obs_0000033059|obs_0000033092|obs_0000033623|obs_0000020828|obs_0000034662|obs_0000033133|obs_0000033649|obs_0000008067|obs_0000033168|obs_0000010154|obs_0000033215|obs_0000034239|obs_0000033227|obs_0000033237|obs_0000033244,obs_0000021027|obs_0000024185|obs_0000021690|obs_0000023759|obs_0000023249|obs_0000026350|obs_0000020208|obs_0000019354,ref_000164,obs_0000021027|obs_0000021690|obs_0000020208|obs_0000026350|obs_0000024185|obs_0000023759|obs_0000023249|obs_0000019354|obs_0000028680|obs_0000009796|obs_0000004179|obs_0000033372|obs_0000009325|obs_0000032877|obs_0000011610|obs_0000001916|obs_0000028560|obs_0000005033|obs_0000000446|obs_0000004606|obs_0000034854|obs_0000032840|obs_0000019053|obs_0000024178|obs_0000033398|obs_0000021647|obs_0000010913|obs_0000033460|obs_0000023755|obs_0000009955|obs_0000033529|obs_0000021764|obs_0000034052|obs_0000035066|obs_0000009494|obs_0000033059|obs_0000033092|obs_0000033623|obs_0000020828|obs_0000034662|obs_0000033133|obs_0000033649|obs_0000008067|obs_0000033168|obs_0000010154|obs_0000033215|obs_0000034239|obs_0000033227|obs_0000033237|obs_0000033244,obs_0000021027|obs_0000024185|obs_0000021690|obs_0000023759|obs_0000023249|obs_0000026350|obs_0000020208|obs_0000019354
Dusche Advanced Care,Dove,"€ 2,49",,"pro Einheit = 3,29",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_tegut/tegut_offer_165.jpg,cat_drogerie,,ref_000165,obs_0000014086|obs_0000034859|obs_0000034242|obs_0000033117|obs_0000015974|obs_0000026063|obs_0000033378|obs_0000033172|obs_0000032797|obs_0000033579|obs_0000033199|obs_0000032947|obs_0000027449|obs_0000026834|obs_0000033371|obs_0000033374|obs_0000034665|obs_0000033522,obs_0000015974,ref_000165,obs_0000014086|obs_0000034859|obs_0000034242|obs_0000033117|obs_0000015974|obs_0000026063|obs_0000033378|obs_0000033172|obs_0000032797|obs_0000033579|obs_0000033199|obs_0000032947|obs_0000027449|obs_0000026834|obs_0000033371|obs_0000033374|obs_0000034665|obs_0000033522,obs_0000015974
Rasierklingen Hydro 5 Sensitive oder Intuition 2in1 Sensitive,Wilkinson,"€ 9,99",,"pro Einheit = 9,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_tegut/tegut_offer_166.jpg,cat_drogerie,,ref_000166,obs_0000015971,,ref_000166,obs_0000015971,
Flüssigseife Aloe Vera,Sagrotan,"€ 1,99",,"pro Einheit = 2,49",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,,"cat_drogerie,diet_vegetarian",,ref_000167,obs_0000010759|obs_0000030240|obs_0000029234|obs_0000009217|obs_0000034059|obs_0000009697|obs_0000011621|obs_0000015973|obs_0000009084,,ref_000167,obs_0000010759|obs_0000030240|obs_0000029234|obs_0000009217|obs_0000034059|obs_0000009697|obs_0000011621|obs_0000015973|obs_0000009084,
Anti Pickel Patches,Selfie Project,"€ 1,49",,"pro Einheit = 1,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_tegut/tegut_offer_168.jpg,cat_drogerie,,ref_000168,,,ref_000168,,
Everyday Shampoo oder Lotion,Sebamed,"€ 3,49",,"pro Einheit = 3,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_tegut/tegut_offer_169.jpg,cat_drogerie,,ref_000169,obs_0000034050|obs_0000032840|obs_0000032877|obs_0000033059|obs_0000033092|obs_0000033133|obs_0000033168|obs_0000000446|obs_0000033215|obs_0000033227|obs_0000033237|obs_0000033244|obs_0000033372|obs_0000033398|obs_0000033460|obs_0000033529|obs_0000033623|obs_0000033649|obs_0000009325|obs_0000034052|obs_0000009494|obs_0000034239|obs_0000009796|obs_0000009955|obs_0000034662|obs_0000001916|obs_0000010154|obs_0000034854|obs_0000035066|obs_0000019053|obs_0000010913|obs_0000011610|obs_0000028560|obs_0000028680|obs_0000004179|obs_0000020828|obs_0000004606|obs_0000005033|obs_0000021647|obs_0000021764|obs_0000023755|obs_0000024178|obs_0000008067,,ref_000169,obs_0000034050|obs_0000032840|obs_0000032877|obs_0000033059|obs_0000033092|obs_0000033133|obs_0000033168|obs_0000000446|obs_0000033215|obs_0000033227|obs_0000033237|obs_0000033244|obs_0000033372|obs_0000033398|obs_0000033460|obs_0000033529|obs_0000033623|obs_0000033649|obs_0000009325|obs_0000034052|obs_0000009494|obs_0000034239|obs_0000009796|obs_0000009955|obs_0000034662|obs_0000001916|obs_0000010154|obs_0000034854|obs_0000035066|obs_0000019053|obs_0000010913|obs_0000011610|obs_0000028560|obs_0000028680|obs_0000004179|obs_0000020828|obs_0000004606|obs_0000005033|obs_0000021647|obs_0000021764|obs_0000023755|obs_0000024178|obs_0000008067,
baby-dry Pants oder premium protection Windeln Single Pack,Pampers,"€ 7,99",,"pro Einheit = 8,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_tegut/tegut_offer_170.jpg,"cat_getraenke,tag_high_protein",,ref_000170,obs_0000028291|obs_0000033663|obs_0000028270|obs_0000010031|obs_0000009580|obs_0000017793|obs_0000013812|obs_0000030073|obs_0000030079|obs_0000002091|obs_0000011163|obs_0000012888|obs_0000034447|obs_0000013484|obs_0000012464|obs_0000014672,,ref_000170,obs_0000028291|obs_0000033663|obs_0000028270|obs_0000010031|obs_0000009580|obs_0000017793|obs_0000013812|obs_0000030073|obs_0000030079|obs_0000002091|obs_0000011163|obs_0000012888|obs_0000034447|obs_0000013484|obs_0000012464|obs_0000014672,
Deospray,Nivea,"€ 2,49",,"1 l = 16,60",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_tegut/tegut_offer_172.jpg,cat_drogerie,,ref_000172,obs_0000026145|obs_0000031852|obs_0000033019|obs_0000032800|obs_0000003229|obs_0000026277|obs_0000033454|obs_0000032945|obs_0000027389|obs_0000015110|obs_0000013583|obs_0000035064|obs_0000033577|obs_0000002346|obs_0000034658|obs_0000026566|obs_0000008104|obs_0000003531|obs_0000033366|obs_0000032772|obs_0000032276|obs_0000034445|obs_0000005295|obs_0000029400|obs_0000031052|obs_0000005487|obs_0000029052|obs_0000030081|obs_0000032140|obs_0000014231|obs_0000033258|obs_0000034859|obs_0000033848|obs_0000033457|obs_0000034053|obs_0000015115|obs_0000013584|obs_0000033576|obs_0000007505|obs_0000033117|obs_0000033196|obs_0000034242|obs_0000032778|obs_0000029739|obs_0000025255|obs_0000021251|obs_0000020432|obs_0000007295,obs_0000032800|obs_0000026145|obs_0000012900|obs_0000031852|obs_0000003229|obs_0000026277|obs_0000033454|obs_0000005295|obs_0000032945|obs_0000033019|obs_0000027389|obs_0000015110|obs_0000013582|obs_0000013583|obs_0000035064|obs_0000033577|obs_0000002346|obs_0000034658|obs_0000011176|obs_0000026566,ref_000172,obs_0000026145|obs_0000031852|obs_0000033019|obs_0000032800|obs_0000003229|obs_0000026277|obs_0000033454|obs_0000032945|obs_0000027389|obs_0000015110|obs_0000013583|obs_0000035064|obs_0000033577|obs_0000002346|obs_0000034658|obs_0000026566|obs_0000008104|obs_0000003531|obs_0000033366|obs_0000032772|obs_0000032276|obs_0000034445|obs_0000005295|obs_0000029400|obs_0000031052|obs_0000005487|obs_0000029052|obs_0000030081|obs_0000032140|obs_0000014231|obs_0000033258|obs_0000034859|obs_0000033848|obs_0000033457|obs_0000034053|obs_0000015115|obs_0000013584|obs_0000033576|obs_0000007505|obs_0000033117|obs_0000033196|obs_0000034242|obs_0000032778|obs_0000029739|obs_0000025255|obs_0000021251|obs_0000020432|obs_0000007295,obs_0000032800|obs_0000026145|obs_0000012900|obs_0000031852|obs_0000003229|obs_0000026277|obs_0000033454|obs_0000005295|obs_0000032945|obs_0000033019|obs_0000027389|obs_0000015110|obs_0000013582|obs_0000013583|obs_0000035064|obs_0000033577|obs_0000002346|obs_0000034658|obs_0000011176|obs_0000026566
Bio-Quetschmus Frucht,demeter Holle,"€ 0,77",,"pro Einheit = 0,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_tegut/tegut_offer_173.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",,ref_000173,obs_0000010771|obs_0000012462|obs_0000015516,,ref_000173,obs_0000010771|obs_0000012462|obs_0000015516,
