Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Kasseler Minutensteaks,Metzgerfrisch,"ab 3,29 € *",,1 kg = 8.23,,Nein,,,,images_lidl/lidl_offer_050.jpg
Putenhacksteaks,Metzgerfrisch,"4,69 €",,1 kg = 6.51,,Nein,,,,images_lidl/lidl_offer_051.jpg
Metzgerfrisch Frischer Schweinebauch,Metzgerfrisch Frischer Schweinebauch,"3,99 €",,"5,49 €",,Nein,,,,images_lidl/lidl_offer_052.jpg
Metzgerfrisch Bayerischer Traditions-Leberkäse,Metzgerfrisch Bayerischer Traditions-Leberkäse,"4,80 €",,5.99 €/kg,,Nein,,,,images_lidl/lidl_offer_053.jpg
Hohes C,Hohes C,"1,49 €",,"UVP
2,89 €",,Nein,,,,images_lidl/lidl_offer_054.jpg
5 Minuten Terrine,Maggi,"0,77 €",,"UVP
1,49 €",,Nein,,,,images_lidl/lidl_offer_055.jpg
Mini,Babybel,"2,89 €",,"UVP
4,29 €",,Nein,,,,images_lidl/lidl_offer_056.jpg
Die Ofenfrische/Pizza Tradizionale,Dr. Oetker,"2,22 € *",,"3,69 €",,Nein,,,,images_lidl/lidl_offer_057.jpg
Käsescheiben,Leerdammer,"2,99 €",,"UVP
4,99 €",,Nein,,,,images_lidl/lidl_offer_058.jpg
Snickers/Milky Way/Twix/Mars/Bounty Minis,Snickers/Milky Way/Twix/Mars/Bounty Minis,"2,99 € *",,"3,99 €",,Nein,,,,images_lidl/lidl_offer_059.jpg
Frischkäse,Philadelphia,"1,19 €",,"2,29 €",,Nein,,,,images_lidl/lidl_offer_060.jpg
Naturelle,Volvic,"0,79 €",,"1,19 €",,Nein,,,,images_lidl/lidl_offer_061.jpg
Original Spiced Gold,Captain Morgan,"9,99 €",,"12,99 €",,Nein,,,,images_lidl/lidl_offer_062.jpg
Waffelhörnchen,Bon Gelati,"ab 1,69 € *",,1 l = 2.35,,Nein,,,,images_lidl/lidl_offer_063.jpg
Sekt,Rotkäppchen,"3,29 €",,"UVP
4,99 €",,Nein,,,,images_lidl/lidl_offer_064.jpg
Krönung,Jacobs,"ab 6,99 € *",,1 kg = 13.98,,Nein,,,,images_lidl/lidl_offer_065.jpg
Selection Nuts Royal,Alesto,"2,29 € *",,"2,99 €",,Nein,,,,images_lidl/lidl_offer_066.jpg
Pringles,Pringles,"1,89 €",,"2,49 €",,Nein,,,,images_lidl/lidl_offer_067.jpg
Mini Würstchen XXL,Ferdi Fuchs,"2,19 €",,1 kg = 8.76,,Nein,,,,images_lidl/lidl_offer_068.jpg
Original Express Reis,Ben's Original,"1,49 €",,"UVP
2,29 €",,Nein,,,,images_lidl/lidl_offer_069.jpg
Caffè Ganze Bohnen,Lavazza,"15,99 €",,"UVP
20,99 €",,Nein,,,,images_lidl/lidl_offer_070.jpg
Original Obazda,Alpenhain,"1,49 €",,"UVP
2,29 €",,Nein,,,,images_lidl/lidl_offer_071.jpg
