Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,source_market,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Butter Blätterteig,Tante Fanny,"€ 1,99",,"1 kg = 7,11",je 280-g-Btl.,Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_001.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_butter_margarine,sub_milchprodukte,tag_ultra_processed",bamberg,,BLS-D771900,ref_000001,obs_0000003591|obs_0000019493|obs_0000028714|obs_0000031786|obs_0000024620|obs_0000003636|obs_0000002620|obs_0000000107|obs_0000002676|obs_0000010409|obs_0000034970|obs_0000003267|obs_0000026822|obs_0000011467|obs_0000018644|obs_0000031458|obs_0000029935|obs_0000028407|obs_0000026359|obs_0000008456|obs_0000011042|obs_0000013125|obs_0000018772|obs_0000008556|obs_0000009075|obs_0000027517|obs_0000001425|obs_0000027049|obs_0000017835|obs_0000028591|obs_0000028096|obs_0000018391|obs_0000021984|obs_0000000997|obs_0000022502|obs_0000012797|obs_0000005756,obs_0000029935
Hengstenberg Mildessa Mildes Weinsauerkraut,Keine Marke,"€ 1,49",,"1 kg = 1,94","je 810-g-Dose, 770 g Abtropfgewicht",Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_279.jpg,"cat_grundnahrung,diet_vegan,diet_vegetarian",bamberg,,,ref_000002,obs_0000007950|obs_0000032674|obs_0000029678|obs_0000008390|obs_0000029683|obs_0000014981|obs_0000012836|obs_0000009973|obs_0000001279,obs_0000007950|obs_0000007578|obs_0000032674|obs_0000008390|obs_0000029678|obs_0000029683
Kühne Rotkohl,Keine Marke,"€ 1,29",,"1 kg = 1,98","je 680-g-Glas, 650 g Abtropfgewicht",Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_278.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",bamberg,,,ref_000003,obs_0000032670|obs_0000014089|obs_0000032521|obs_0000029844|obs_0000025112|obs_0000010276|obs_0000031653|obs_0000008361|obs_0000028337|obs_0000018484|obs_0000014145|obs_0000031561,obs_0000014089|obs_0000032670|obs_0000010276
Reis-Fit Expressreis,Keine Marke,"€ 1,29",,"1 kg = 5,16","versch. Sorten, je 250-g-Pckg.",Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_277.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,sub_reis,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000004,obs_0000030331|obs_0000030696|obs_0000010042|obs_0000009592|obs_0000012686|obs_0000019357|obs_0000017388,obs_0000030331|obs_0000011930|obs_0000010042|obs_0000009592|obs_0000024475|obs_0000017388|obs_0000024057
Hela Curry Gewürzketchup,Keine Marke,"€ 1,99",,"1 l = 2,49","versch. Sorten, je 800-ml-Fl.",Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_276.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,BLS-R141200,ref_000005,obs_0000032397,obs_0000032397|obs_0000026532
La Espa ola Natives Olivenöl Extra,Keine Marke,"€ 5,99",,"1 l = 11,98",je 500-ml-Fl.,Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_275.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,,ref_000006,obs_0000029019|obs_0000014985|obs_0000021137|obs_0000000536|obs_0000025631|obs_0000022319|obs_0000021940|obs_0000012351|obs_0000011075|obs_0000020167|obs_0000028880|obs_0000025043|obs_0000020318|obs_0000000095|obs_0000014304|obs_0000013794|obs_0000015852|obs_0000020986,obs_0000029019
Für Genießer Zwiebelsuppe,Maggi,"€ 0,89",,"pro Einheit = 0,89","ausreichend für 750 ml, je 1-Btl.",Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_274.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000007,obs_0000028700|obs_0000028579|obs_0000008796|obs_0000009116|obs_0000009653|obs_0000009171,obs_0000028700|obs_0000028579
Appel Zarte Filets vom Hering,Keine Marke,"€ 1,11",,"1 kg = 5,55","versch. Sorten, je 200-g-Dose",Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_273.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free",bamberg,,,ref_000008,obs_0000032666|obs_0000029676|obs_0000020394|obs_0000021213|obs_0000025058|obs_0000017766|obs_0000023287|obs_0000028928|obs_0000028732,obs_0000032666|obs_0000020394|obs_0000021213|obs_0000025058|obs_0000017766|obs_0000029676|obs_0000023287|obs_0000028928
Heinz Tomato Ketchup oder Mayonnaise,Keine Marke,"€ 1,79",,"1 l = 4,48",je 400-ml-Fl.,Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_272.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000009,obs_0000032296|obs_0000032050|obs_0000029039|obs_0000010249|obs_0000018347|obs_0000034616|obs_0000022471|obs_0000011348|obs_0000014295|obs_0000015843|obs_0000008294|obs_0000014833|obs_0000015657|obs_0000010674|obs_0000014529|obs_0000002118|obs_0000001763|obs_0000015844,obs_0000032296|obs_0000032050|obs_0000029039
Classic Brownies,Dr Oetker,"€ 2,49",,"1 kg = 5,39",je 462-g-Pckg.,Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_271.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed",bamberg,,,ref_000010,obs_0000028882|obs_0000028751|obs_0000020596|obs_0000026884|obs_0000024877|obs_0000035101|obs_0000015018|obs_0000000873|obs_0000021415|obs_0000031658|obs_0000025668|obs_0000011543|obs_0000001628|obs_0000001643|obs_0000034649,obs_0000028882
Ravioli,Maggi,"€ 1,99",,"1 kg = 2,49","versch. Sorten, je 800-g-Dose",Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_270.jpg,"cat_grundnahrung,sub_nudeln,tag_ultra_processed",bamberg,,BLS-X344260,ref_000011,obs_0000027414|obs_0000014375|obs_0000010082|obs_0000020915|obs_0000022225|obs_0000020096|obs_0000027669|obs_0000008638|obs_0000033999|obs_0000005934,obs_0000027414|obs_0000014375|obs_0000010082
Delverde Pasta,Keine Marke,"€ 0,69",,"1 kg = 1,38","versch. Ausformungen, je 500-g-Pckg.",Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_269.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_nudeln,tag_whole_food",bamberg,,,ref_000012,obs_0000030008|obs_0000032665|obs_0000020003|obs_0000035104|obs_0000028733|obs_0000022097|obs_0000002663|obs_0000034419|obs_0000017082|obs_0000021187|obs_0000034026|obs_0000026899|obs_0000018196|obs_0000018708|obs_0000016662|obs_0000006468|obs_0000028496|obs_0000011092|obs_0000014165|obs_0000019293|obs_0000019845|obs_0000020368|obs_0000025518|obs_0000028607|obs_0000018893|obs_0000017359|obs_0000016866|obs_0000006118,obs_0000020003|obs_0000028733|obs_0000022097|obs_0000002663|obs_0000017082|obs_0000021187|obs_0000016662|obs_0000030008|obs_0000019293|obs_0000020368|obs_0000032665
Pinsami Vorgebackener Pinsa Teig,Keine Marke,"€ 2,79",,"1 kg = 12,13",je 230-g-Pckg.,Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_268.jpg,"cat_grundnahrung,tag_ultra_processed",bamberg,,,ref_000013,obs_0000028412|obs_0000028251|obs_0000000902|obs_0000004935|obs_0000017029|obs_0000004081|obs_0000023185|obs_0000003124|obs_0000004508|obs_0000000377|obs_0000016314,obs_0000028412
Schwartau Samt Konfitüre,Keine Marke,"€ 1,99",,"1 kg = 7,37","Himbeere, je 270-g-Glas",Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_267.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,,ref_000014,obs_0000027734|obs_0000026854|obs_0000032650|obs_0000032657|obs_0000000136|obs_0000008202|obs_0000015010|obs_0000013749|obs_0000010943|obs_0000019785|obs_0000026193|obs_0000014805|obs_0000016124|obs_0000007023|obs_0000006139,obs_0000027734|obs_0000026854
Früchtetee Waldbeere,Teekanne,"€ 1,49",,"1 kg = 29,80",je 50-g-Pckg.,Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_266.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,,ref_000015,obs_0000004501|obs_0000004928|obs_0000031846|obs_0000004074|obs_0000000374|obs_0000029312,obs_0000029312
Nesquik,Nestl,"€ 2,49",,"1 kg = 7,55",je 330-g-Pckg.,Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_265.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed",bamberg,,,ref_000016,obs_0000035004|obs_0000008197|obs_0000028844|obs_0000014270|obs_0000019985|obs_0000020584|obs_0000020620|obs_0000006383|obs_0000021781|obs_0000022332|obs_0000022896|obs_0000021403|obs_0000021439|obs_0000007174|obs_0000032226,obs_0000007174|obs_0000035004|obs_0000032226
Tassimo Kaffeekapseln Caff Crema XL,Jacobs,"€ 4,44",,"1 kg = 33,43","je 132,8-g-Pckg.",Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_264.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",bamberg,,,ref_000017,obs_0000031042|obs_0000029331|obs_0000030709|obs_0000027651|obs_0000015884|obs_0000010292|obs_0000026207|obs_0000034907|obs_0000016732|obs_0000017267|obs_0000003109|obs_0000009891|obs_0000004787|obs_0000009427|obs_0000001754|obs_0000001755|obs_0000001778|obs_0000001779|obs_0000004360|obs_0000015659|obs_0000003933|obs_0000011105|obs_0000008119|obs_0000013263,obs_0000029331|obs_0000032498|obs_0000031042|obs_0000030709
Vitalis Müsli,Dr Oetker,"€ 2,49",,"1 kg = 4,15","weniger süß, je 600-g-Pckg.",Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_263.jpg,"cat_grundnahrung,tag_ultra_processed",bamberg,,,ref_000018,obs_0000012371|obs_0000023641|obs_0000018058|obs_0000002264|obs_0000010504|obs_0000003356|obs_0000018726|obs_0000024890|obs_0000027043|obs_0000021998|obs_0000017402|obs_0000034008|obs_0000013314|obs_0000006472|obs_0000027228|obs_0000025199|obs_0000021664|obs_0000014004|obs_0000014570|obs_0000010536|obs_0000020845|obs_0000013793|obs_0000030006|obs_0000030058|obs_0000006833|obs_0000007583,obs_0000012371|obs_0000023641|obs_0000018058|obs_0000002264|obs_0000010504|obs_0000003356|obs_0000018726|obs_0000024890|obs_0000027043|obs_0000021998|obs_0000017402
Körner-Sandwich,REWE Bio,"€ 1,79",,"1 kg = 4,77",je 375-g-Pckg.,Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_262.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,,ref_000019,obs_0000031017|obs_0000010942|obs_0000013757|obs_0000010180|obs_0000016389|obs_0000012342|obs_0000014517|obs_0000017155,
Bauernlaiberl,REWE Beste Wahl,"€ 2,19",,"1 kg = 4,38",je 500-g-Pckg.,Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_261.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,,ref_000020,,
Nescaf Dolce Gusto Grande,Keine Marke,"€ 3,99",,"1 kg = 29,34",je 136-g-Pckg.,Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_260.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000021,obs_0000032228|obs_0000021398|obs_0000005557|obs_0000021727|obs_0000020579|obs_0000006639,obs_0000032228
Dermaris Mini Brötchen,Keine Marke,"€ 1,59",,"1 kg = 6,36","Natur, je 250-g-Btl.",Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_259.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000022,obs_0000007587|obs_0000012328|obs_0000006379|obs_0000010932|obs_0000017530|obs_0000026024|obs_0000018128|obs_0000016216,obs_0000007587
Lee Kum Kee Helle Sojasauce Supreme,Keine Marke,"€ 2,79",,"1 l = 5,58",je 500-ml-Fl.,Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_280.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,,ref_000023,obs_0000010679|obs_0000034505,
Saupiquet Thunfisch,Keine Marke,"€ 2,49",,"1 kg = 17,79","versch. Sorten, je 185-g-Dose, 140 g Abtropfgewicht",Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_281.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegetarian,sub_salate,tag_ultra_processed",bamberg,,,ref_000024,obs_0000032672|obs_0000032053|obs_0000029303|obs_0000029304|obs_0000013452|obs_0000015656|obs_0000006829|obs_0000014147|obs_0000013927,obs_0000013452|obs_0000014147
Kühne Schlemmertöpfchen,Keine Marke,"€ 2,39",,"1 kg = 7,97","mit Kräutern verfeinert, je 530-g-Glas, 300 g Abtropfgewicht",Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_282.jpg,"cat_grundnahrung,diet_vegan,diet_vegetarian,sub_tk_fertiggerichte,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000025,obs_0000007953|obs_0000028808|obs_0000010927|obs_0000034886,obs_0000028808|obs_0000010927|obs_0000007953|obs_0000006129|obs_0000005752|obs_0000034886
Thomy Reines Sonnenblumenöl,Keine Marke,"€ 2,49",,"1 l = 3,32","reich an Vitamin E, je 750-ml-Fl.",Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_283.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,,ref_000026,obs_0000032671|obs_0000005747|obs_0000027536|obs_0000026537|obs_0000015706|obs_0000010080|obs_0000028406|obs_0000017349|obs_0000035016|obs_0000013411|obs_0000011748|obs_0000023664|obs_0000034685,obs_0000027536|obs_0000032671|obs_0000026537|obs_0000015706|obs_0000010080|obs_0000005747|obs_0000028406
Oh My Choc Triple Choc Mousse,Dr Oetker,"€ 1,29",,"1 kg = 18,43",je 70-g-Btl.,Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_305.jpg,"cat_grundnahrung,sub_sahne_creme,tag_ultra_processed",bamberg,,,ref_000027,obs_0000032501,obs_0000032501
Perlcouscous,REWE Feine Welt,"€ 1,69",,"1 kg = 6,15",je 275-g-Pckg.,Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_304.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_milchprodukte,tag_whole_food",bamberg,,BLS-C119200,ref_000028,,
Für Genießer Pfefferrahmsauce,Maggi,"€ 0,89",,"pro Einheit = 0,89","ausreichend für 250 ml, je 1-Btl.",Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_303.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",bamberg,,,ref_000029,obs_0000028700|obs_0000008796|obs_0000009116|obs_0000028579|obs_0000009653|obs_0000009171,obs_0000034828
Ajvar,REWE Feine Welt,"€ 1,89",,"1 l = 8,92","mild, je 212-ml-Glas",Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_302.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_milchprodukte,tag_whole_food",bamberg,,,ref_000030,obs_0000025988|obs_0000019098|obs_0000032426,obs_0000025988|obs_0000032426
Trüffel,REWE Feine Welt,"€ 3,49",,"1 kg = 139,60",je 25-g-Glas,Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_301.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_butter_margarine,sub_milchprodukte,tag_whole_food",bamberg,,BLS-K702100,ref_000031,obs_0000002395|obs_0000033274|obs_0000003198|obs_0000001545|obs_0000000279|obs_0000018840|obs_0000004773|obs_0000007852|obs_0000002745|obs_0000003919|obs_0000001748|obs_0000017622|obs_0000019803|obs_0000002918|obs_0000004346|obs_0000016239|obs_0000034407|obs_0000007433|obs_0000006033|obs_0000032683|obs_0000007342|obs_0000014461,obs_0000032683|obs_0000002395|obs_0000033274|obs_0000003198
Nocellara Oliven,REWE Feine Welt,"€ 1,99",,"1 kg = 14,74","grüne Oliven mit Stein aus Sizilien, je 290-g-Glas, 135 g Abtropfgewicht",Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_300.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,,ref_000032,obs_0000008194|obs_0000025865|obs_0000028687|obs_0000028567|obs_0000018215|obs_0000026683|obs_0000008681|obs_0000022380|obs_0000034552,
Meica Mini Wini,Keine Marke,"€ 3,49",,"1 kg = 18,37","je 380-g-Glas, 190 g Abtropfgewicht",Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_299.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000033,obs_0000005930|obs_0000012328|obs_0000006379|obs_0000010932|obs_0000017530|obs_0000026024|obs_0000018128|obs_0000016216,obs_0000005930
Safran-Fäden,REWE Feine Welt,"€ 3,49",,"1 kg = 6980,00","je 0,5-g-Pckg.",Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_298.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_milchprodukte,tag_whole_food",bamberg,,,ref_000034,,
Hengstenberg Mildessa Mildes Sauerkraut,Keine Marke,"€ 1,49",,"1 kg = 4,26","je 400-g-Btl., 350 g Abtropfgewicht",Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_297.jpg,"cat_grundnahrung,diet_vegan,diet_vegetarian",bamberg,,,ref_000035,obs_0000029683|obs_0000005561|obs_0000007372|obs_0000006133|obs_0000007950|obs_0000032674|obs_0000029678|obs_0000026550|obs_0000027874|obs_0000014981|obs_0000012836|obs_0000009973,obs_0000007950|obs_0000007578|obs_0000032674|obs_0000026550|obs_0000005561|obs_0000008390|obs_0000007372|obs_0000027874|obs_0000029678|obs_0000029683|obs_0000006133
Pesto Basilico e Limone,REWE Feine Welt,"€ 1,79",,"1 kg = 9,42",je 190-g-Glas,Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_296.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,,ref_000036,obs_0000023299|obs_0000011527|obs_0000025099|obs_0000001549|obs_0000000146|obs_0000019219|obs_0000018607|obs_0000020017|obs_0000015289|obs_0000011089|obs_0000003675|obs_0000019945|obs_0000014195|obs_0000016639|obs_0000015872,
Dr Karg s Kürbiskern Protein-Knäcke,Keine Marke,"€ 1,89",,"1 kg = 12,60",je 150-g-Btl.,Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_258.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_high_protein,tag_proteinreich,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000037,obs_0000008533,
Odenwald Apfelmus ohne Zucker,Keine Marke,"€ 1,79",,"1 kg = 5,04","versch. Sorten, je 355-g-Glas",Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_295.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000038,obs_0000007004|obs_0000000190|obs_0000034619|obs_0000008260,
Tress Orginal Nudeln,Keine Marke,"€ 1,99",,"1 kg = 3,98","versch. Ausformungen, je 500-g-Btl.",Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_293.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000039,obs_0000008075|obs_0000015006|obs_0000008784|obs_0000013802,
Mousse au Chocolat,Dr Oetker,"€ 1,29",,"1 kg = 14,02",je 92-g-Pckg.,Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_292.jpg,"cat_grundnahrung,sub_sahne_creme,tag_ultra_processed",bamberg,,BLS-Y871363,ref_000040,obs_0000024622|obs_0000002144|obs_0000020652|obs_0000001241|obs_0000002317|obs_0000025433|obs_0000021471|obs_0000034905|obs_0000034878|obs_0000001096|obs_0000004880|obs_0000002857|obs_0000000346|obs_0000004453|obs_0000004026|obs_0000032489|obs_0000004689|obs_0000000221|obs_0000003835|obs_0000031599|obs_0000024440|obs_0000004262|obs_0000024022|obs_0000019981|obs_0000015380|obs_0000017492|obs_0000016658|obs_0000018773|obs_0000024444|obs_0000024017|obs_0000024558,obs_0000024622|obs_0000034878|obs_0000002144|obs_0000020652|obs_0000001241|obs_0000032489|obs_0000002317|obs_0000025433|obs_0000021471
Bayerischer Meerrettich Alpensahne,Schamel,"€ 1,49",,"1 kg = 11,04",je 135-g-Glas,Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_291.jpg,"cat_grundnahrung,diet_vegetarian,sub_milchprodukte,sub_sahne_creme",bamberg,,,ref_000041,obs_0000009351,
Mondamin Soßenbinder,Keine Marke,"€ 1,29",,"1 kg = 5,16","versch. Sorten, je 250-g-Pckg.",Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_290.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000042,obs_0000029301|obs_0000034893|obs_0000005560|obs_0000028735,obs_0000034893|obs_0000029301|obs_0000028735
Gemüse Bouillon,Knorr,"€ 1,49",,"pro Einheit = 1,49","ausreichend für 7 Liter, je 1-gl-as",Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_289.jpg,"cat_grundnahrung,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_tk_gemuese,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000043,obs_0000009060|obs_0000031028|obs_0000029016|obs_0000012813|obs_0000017491|obs_0000033909|obs_0000011900|obs_0000014506|obs_0000011055|obs_0000018735|obs_0000016753|obs_0000010642|obs_0000015818|obs_0000014837|obs_0000025597|obs_0000018942,obs_0000029016|obs_0000009060
Mazola Keimöl,Keine Marke,"€ 3,49",,"1 l = 4,65",je 750-ml-Fl.,Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_288.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,sub_tk_gemuese,tag_high_protein,tag_proteinreich,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000044,obs_0000030687|obs_0000026765|obs_0000016114|obs_0000008345|obs_0000012352,obs_0000026765|obs_0000016114|obs_0000008345|obs_0000030687|obs_0000012352
Meica Deutschländer Würstchen,Keine Marke,"€ 3,49",,"1 kg = 10,58","je 660-g-Glas, 330 g Abtropfgewicht",Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_287.jpg,"cat_grundnahrung,diet_vegetarian,sub_wurst,tag_ultra_processed",bamberg,,,ref_000045,obs_0000031775|obs_0000009369|obs_0000014018|obs_0000009557,obs_0000031775
Miracel Whip Salatcreme,Keine Marke,"€ 1,49",,"1 l = 2,98","Original, je 500-ml-Glas",Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_286.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_salate,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000046,obs_0000006466|obs_0000009831|obs_0000007369|obs_0000030012|obs_0000008341|obs_0000009372|obs_0000026964|obs_0000021258|obs_0000025452|obs_0000017325|obs_0000020439|obs_0000028411|obs_0000015846|obs_0000011784,obs_0000006466|obs_0000015846|obs_0000009831|obs_0000011784|obs_0000007369|obs_0000030012|obs_0000008341|obs_0000009372
Heinz Sauce,Keine Marke,"€ 1,49",,"1 l = 6,77","versch. Sorten, je 220-ml-Fl.",Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_285.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000047,obs_0000032295|obs_0000029306|obs_0000013386|obs_0000034889|obs_0000011915|obs_0000010474|obs_0000008982,obs_0000032295|obs_0000013386|obs_0000029306|obs_0000011915
Soße 3er Pack,Knorr,"€ 0,79",,"pro Einheit = 0,79","versch. Sorten, ausreichend für 3 x 250 ml, je 1-Pckg.",Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_284.jpg,"cat_grundnahrung,tag_ultra_processed",bamberg,,,ref_000048,obs_0000029679|obs_0000032421|obs_0000013031|obs_0000033042|obs_0000010356|obs_0000014562,obs_0000029679
