Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Obstkonserven,Keine Marke,"€ 1,99","€ 2,49","1 kg = 6,03 - 6,42",versch. Sorten,Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_294.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,,ref_000294,obs_0000034884,
Nuss-Nougat-Croissant,Keine Marke,"€ 1,50","€ 2,07","pro Einheit = 1,50",Einzelpreis: 0.69 Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_295.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,BLS-S451000,ref_000295,obs_0000020121|obs_0000006955|obs_0000023356|obs_0000027987|obs_0000024975|obs_0000020940|obs_0000002265|obs_0000003358|obs_0000027131|obs_0000016184|obs_0000023195|obs_0000025842,obs_0000020121|obs_0000006955|obs_0000023356|obs_0000027987|obs_0000024975|obs_0000020940
Kirschtasche,Keine Marke,"€ 1,7","€ 1,78","pro Einheit = 1,70",Einzelpreis: 0.89 Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_296.jpg,"cat_tiefkuehl,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,tag_whole_food",,BLS-D7A7810,ref_000296,obs_0000027585,obs_0000027585
Schnittbrötchen,Keine Marke,"€ 1,3","€ 1,33","pro Einheit = 1,30",Einzelpreis: 0.19 Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_297.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed,tag_whole_food",,BLS-D7A5600,ref_000297,obs_0000027882|obs_0000026851|obs_0000026192,obs_0000027882|obs_0000026851|obs_0000026192
Holzofenpinsa Salami,Keine Marke,"€ 1,3","€ 1,39","pro Einheit = 1,30",Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_298.jpg,"cat_sonstiges,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_wurst,tag_ultra_processed,tag_whole_food",,,ref_000298,obs_0000028110|obs_0000002611|obs_0000010316|obs_0000014932|obs_0000019030|obs_0000028273|obs_0000005781|obs_0000023205|obs_0000003239|obs_0000019666|obs_0000016602|obs_0000008425|obs_0000021226|obs_0000003307|obs_0000002285|obs_0000011010|obs_0000025355|obs_0000026898|obs_0000017184|obs_0000007987|obs_0000025934|obs_0000008039|obs_0000016755|obs_0000034176|obs_0000002957|obs_0000020407|obs_0000016328|obs_0000017375|obs_0000031198|obs_0000010234,
Weizenvollkornbrot,Keine Marke,"€ 1,49",,"1 kg = 2,98",Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_299.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,BLS-B111000,ref_000299,,
Laugenstange,Keine Marke,"€ 1,1","€ 1,17","pro Einheit = 1,10",Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_300.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,,ref_000300,obs_0000026561|obs_0000027394|obs_0000009828|obs_0000005866|obs_0000013295|obs_0000014548|obs_0000005497|obs_0000011519|obs_0000034151|obs_0000034948|obs_0000027990,obs_0000026561|obs_0000027394|obs_0000009828|obs_0000005866|obs_0000013295|obs_0000014548|obs_0000005497|obs_0000011519
Donut,Keine Marke,"€ 0,55",,"pro Einheit = 0,55",versch. Sorten Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_301.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,,ref_000301,obs_0000005308|obs_0000006257|obs_0000004236|obs_0000014228|obs_0000020891|obs_0000034951|obs_0000021677|obs_0000003247|obs_0000026799|obs_0000034482|obs_0000004663|obs_0000001086|obs_0000010049|obs_0000018243|obs_0000005090|obs_0000027234|obs_0000020072|obs_0000006775|obs_0000009597|obs_0000014991|obs_0000008083|obs_0000013342|obs_0000027178|obs_0000031340|obs_0000030706|obs_0000011921|obs_0000022561|obs_0000026424|obs_0000018005|obs_0000022230,obs_0000005308|obs_0000006257
Donut,Keine Marke,"€ 0,44","€ 0,55","pro Einheit = 0,44",versch. Sorten Beim Kauf ab 3 Stück Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_302.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,,ref_000302,obs_0000005308|obs_0000006257|obs_0000004236|obs_0000014228|obs_0000020891|obs_0000034951|obs_0000021677|obs_0000003247|obs_0000026799|obs_0000034482|obs_0000004663|obs_0000001086|obs_0000010049|obs_0000018243|obs_0000005090|obs_0000027234|obs_0000020072|obs_0000006775|obs_0000009597|obs_0000014991|obs_0000008083|obs_0000013342|obs_0000027178|obs_0000031340|obs_0000030706|obs_0000011921|obs_0000022561|obs_0000026424|obs_0000018005|obs_0000022230,obs_0000005308|obs_0000006257
Donut,Keine Marke,"€ 0,33","€ 0,55","pro Einheit = 0,33",versch. Sorten Beim Kauf ab 6 Stück Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_303.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,,ref_000303,obs_0000005308|obs_0000006257|obs_0000004236|obs_0000014228|obs_0000020891|obs_0000034951|obs_0000021677|obs_0000003247|obs_0000026799|obs_0000034482|obs_0000004663|obs_0000001086|obs_0000010049|obs_0000018243|obs_0000005090|obs_0000027234|obs_0000020072|obs_0000006775|obs_0000009597|obs_0000014991|obs_0000008083|obs_0000013342|obs_0000027178|obs_0000031340|obs_0000030706|obs_0000011921|obs_0000022561|obs_0000026424|obs_0000018005|obs_0000022230,obs_0000005308|obs_0000006257
Rouladen vom Rind,Keine Marke,"€ 1,59","€ 1,99","1 kg = 15,90","zart, aus der Keule, ca. 1 kg",Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_304.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_rind,tag_ultra_processed,tag_whole_food",,,ref_000304,obs_0000027973|obs_0000017416|obs_0000018470|obs_0000011314|obs_0000011424|obs_0000026813|obs_0000026816|obs_0000026360|obs_0000027939|obs_0000028972|obs_0000019248|obs_0000018766|obs_0000029545|obs_0000015243|obs_0000022424|obs_0000028077|obs_0000027632|obs_0000012275,obs_0000027973
Osterbraten,Keine Marke,"€ 5,99","€ 9,99","pro Einheit = 5,99","vom Schwein, gepökelt und geräuchert, vakuumverpackt, ca. 1.6 kg",Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_305.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,,ref_000305,,
Bugbraten vom Jungbullen,Keine Marke,"€ 1,39","€ 1,79","1 kg = 13,90","vakuumverpackt, ca. 1 kg",Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_306.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_rind,tag_whole_food",,,ref_000306,obs_0000026295|obs_0000012293|obs_0000012294|obs_0000027671|obs_0000013854|obs_0000026669|obs_0000013364|obs_0000014912|obs_0000011844|obs_0000013445|obs_0000014473|obs_0000014474|obs_0000010590|obs_0000012760|obs_0000015351,obs_0000026295
