Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Bananen,Keine Marke,"€ 1,29","€ 1,29",Kein Mengenpreis,Costa Rica/Ecuador,Nein,"Wochenangebote gültig von Montag, 12.01.26 - Samstag, 17.01.26",12.01.26,17.01.26,images_netto/netto_offer_001.png
XXL Hähnchen-Brustfilet,Keine Marke,"€ 7,99","€ 9,99",Kein Mengenpreis,mager,Nein,"Wochenangebote gültig von Montag, 12.01.26 - Samstag, 17.01.26",12.01.26,17.01.26,images_netto/netto_offer_002.png
Ehrmann Grand Dessert,Keine Marke,"€ 0,49",,2.58 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 12.01.26 - Samstag, 17.01.26",12.01.26,17.01.26,images_netto/netto_offer_003.png
Donuts,Keine Marke,"€ 2,22",,5.44 - 7.55 / kg,"versch. Sorten, 6er Pack",Nein,"Wochenangebote gültig von Montag, 12.01.26 - Samstag, 17.01.26",12.01.26,17.01.26,images_netto/netto_offer_004.png
Milka Schokolade,Keine Marke,"€ 0,99","€ 1,99",10.42 - 11.- / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 12.01.26 - Samstag, 17.01.26",12.01.26,17.01.26,images_netto/netto_offer_005.png
Hacker Pschorr Münchner Hell Alkoholfrei oder Kapuziner Weißbier Naturtrüb Alkoholfrei,Keine Marke,"€ 11,99","€ 16,9919,49",1.20 / l,Angebot gilt je nach regionaler Verfügbarkeit,Nein,"Wochenangebote gültig von Montag, 12.01.26 - Samstag, 17.01.26",12.01.26,17.01.26,images_netto/netto_offer_006.png
Frischwurst-Aufschnitt,Keine Marke,"€ 0,99","€ 1,29",4.95 / kg,versch. Sorten Regionale Verpackungsabweichungen möglich,Nein,"Wochenangebote gültig von Montag, 12.01.26 - Samstag, 17.01.26",12.01.26,17.01.26,images_netto/netto_offer_007.png
Maggi Fix,Keine Marke,"€ 0,49","€ 1,09",5.33 - 18.85 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 12.01.26 - Samstag, 17.01.26",12.01.26,17.01.26,images_netto/netto_offer_008.png
Champignons weiß,Keine Marke,"€ 1,49","€ 1,69",3.73 / kg,"Polen, Kl. I",Nein,"Wochenangebote gültig von Montag, 12.01.26 - Samstag, 17.01.26",12.01.26,17.01.26,images_netto/netto_offer_009.png
Persil Waschmittel,Keine Marke,"€ 4,99",,0.25 - 0.31 / WL,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 12.01.26 - Samstag, 17.01.26",12.01.26,17.01.26,images_netto/netto_offer_010.png
Coca-Cola,Keine Marke,"€ 1,19",,0.95 / l,"teilw. koffeinhaltig, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 12.01.26 - Samstag, 17.01.26",12.01.26,17.01.26,images_netto/netto_offer_011.png
Käfer Caff,Keine Marke,"€ 11,99",,Kein Mengenpreis,"ganze Kaffeebohnen, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 12.01.26 - Samstag, 17.01.26",12.01.26,17.01.26,images_netto/netto_offer_012.png
Erdinger Weißbier Hell oder Alkoholfrei,Keine Marke,"€ 13,99",,1.40 / l,,Nein,"Wochenangebote gültig von Montag, 12.01.26 - Samstag, 17.01.26",12.01.26,17.01.26,images_netto/netto_offer_013.png
Kühne Surol 7 Kräuter Essig,Keine Marke,"€ 1,19",,1.59 / l,,Nein,"Wochenangebote gültig von Montag, 12.01.26 - Samstag, 17.01.26",12.01.26,17.01.26,images_netto/netto_offer_014.png
Jobst Sauerkraut,Keine Marke,"€ 1,49","€ 1,79",1.75 / l,,Nein,"Wochenangebote gültig von Montag, 12.01.26 - Samstag, 17.01.26",12.01.26,17.01.26,images_netto/netto_offer_015.png
Gemüse-Zwiebeln,Keine Marke,"€ 1,79","€ 1,99",Kein Mengenpreis,"Deutschland/Spanien, Kl. II",Nein,"Wochenangebote gültig von Montag, 12.01.26 - Samstag, 17.01.26",12.01.26,17.01.26,images_netto/netto_offer_016.png
