Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
RÜGENWALDER MÜHLE,Teewurst oder Leberwurst,1.19,2.69,1 kg = 9.52,,Nein,Dieses Angebot findest du vom 29.01. bis 04.02. in deiner Kaufland-Filiale.,2026-01-29,2026-02-04,images_kaufland/kaufland_offer_001.jpg
ORIGINAL WAGNER,Piccolinis,1.69,3.49,1 kg = 6.26) / (1 kg = 5.52)**,,Nein,Dieses Angebot findest du vom 02.02. bis 04.02. in deiner Kaufland-Filiale.,2026-02-02,2026-02-04,images_kaufland/kaufland_offer_002.jpg
,Peruan. Kulturheidelbeeren,1.99,3.99,1 kg = 6.64,,Nein,Dieses Angebot findest du vom 29.01. bis 04.02. in deiner Kaufland-Filiale.,2026-01-29,2026-02-04,images_kaufland/kaufland_offer_003.jpg
LEERDAMMER,Original oder Delacrème,1.09,2.19,,,Nein,Dieses Angebot findest du vom 02.02. bis 04.02. in deiner Kaufland-Filiale.,2026-02-02,2026-02-04,images_kaufland/kaufland_offer_004.jpg
RITTER SPORT,Schokolade Bunte Vielfalt,1.00,1.99,1 kg = 10.00,,Nein,Dieses Angebot findest du vom 29.01. bis 04.02. in deiner Kaufland-Filiale.,2026-01-29,2026-02-04,images_kaufland/kaufland_offer_005.jpg
,Span. Nadorcott Mandarinen,1.79,3.49,,,Nein,Dieses Angebot findest du vom 29.01. bis 04.02. in deiner Kaufland-Filiale.,2026-01-29,2026-02-04,images_kaufland/kaufland_offer_006.jpg
POPP,Pikanter Brotaufstrich,1.00,1.89,1 kg = 6.67,,Nein,Dieses Angebot findest du vom 29.01. bis 04.02. in deiner Kaufland-Filiale.,2026-01-29,2026-02-04,images_kaufland/kaufland_offer_007.jpg
BÄRENMARKE,Ergiebige Kaffee-Milch,0.99,1.85,1 kg = 2.92,,Nein,Dieses Angebot findest du vom 29.01. bis 04.02. in deiner Kaufland-Filiale.,2026-01-29,2026-02-04,images_kaufland/kaufland_offer_008.jpg
MUMM,Jahrgangssekt,3.49,6.49,1 l = 4.66,,Nein,Dieses Angebot findest du vom 02.02. bis 04.02. in deiner Kaufland-Filiale.,2026-02-02,2026-02-04,images_kaufland/kaufland_offer_009.jpg
SCHOGETTEN,Schokolade,1.11,1.99,1 kg = 11.10,,Nein,Dieses Angebot findest du vom 29.01. bis 04.02. in deiner Kaufland-Filiale.,2026-01-29,2026-02-04,images_kaufland/kaufland_offer_010.jpg
GALBANI,Mozzarella Classic,1.11,1.99,Abtropfgewicht 125 g (1 kg = 8.88,,Nein,Dieses Angebot findest du vom 02.02. bis 04.02. in deiner Kaufland-Filiale.,2026-02-02,2026-02-04,images_kaufland/kaufland_offer_011.jpg
,Ital./span. Bio-Zitronen,0.99,1.79,1 kg = 1.98,,Nein,Dieses Angebot findest du vom 29.01. bis 04.02. in deiner Kaufland-Filiale.,2026-01-29,2026-02-04,images_kaufland/kaufland_offer_012.jpg
SAINT ALBRAY oder ST. AGUR,Weich- oder Schnittkäse,1.99,3.49,1 kg = 11.06 - 15.92,,Nein,Dieses Angebot findest du vom 02.02. bis 04.02. in deiner Kaufland-Filiale.,2026-02-02,2026-02-04,images_kaufland/kaufland_offer_013.jpg
,Ital./griech. Kiwis,1.99,3.49,,,Nein,Dieses Angebot findest du vom 29.01. bis 04.02. in deiner Kaufland-Filiale.,2026-01-29,2026-02-04,images_kaufland/kaufland_offer_014.jpg
BERGADER,Schnittkäse,1.69,2.89,1 kg = 9.95 - 13.00,,Nein,Dieses Angebot findest du vom 02.02. bis 04.02. in deiner Kaufland-Filiale.,2026-02-02,2026-02-04,images_kaufland/kaufland_offer_015.jpg
GIOVANNI RANA,Tradizionali oder Amore di Pesto,2.22,3.79,1 kg = 8.88,,Nein,Dieses Angebot findest du vom 02.02. bis 04.02. in deiner Kaufland-Filiale.,2026-02-02,2026-02-04,images_kaufland/kaufland_offer_016.jpg
WEIHENSTEPHAN,"Haltbare Milch, 3,5 % Fett",1.00,1.69,,,Nein,Dieses Angebot findest du vom 29.01. bis 04.02. in deiner Kaufland-Filiale.,2026-01-29,2026-02-04,images_kaufland/kaufland_offer_017.jpg
,"Dtsch. Rotkohl oder Weißkohl, lose",0.59,0.99,,,Nein,Dieses Angebot findest du vom 02.02. bis 04.02. in deiner Kaufland-Filiale.,2026-02-02,2026-02-04,images_kaufland/kaufland_offer_018.jpg
,Franz. Gourmet-Kartoffeln,1.79,2.99,1 kg = 1.20,,Nein,Dieses Angebot findest du vom 29.01. bis 04.02. in deiner Kaufland-Filiale.,2026-01-29,2026-02-04,images_kaufland/kaufland_offer_019.jpg
K-CLASSIC,Pinienkerne,1.39,2.29,1 kg = 27.80,,Nein,Dieses Angebot findest du vom 02.02. bis 04.02. in deiner Kaufland-Filiale.,2026-02-02,2026-02-04,images_kaufland/kaufland_offer_020.jpg
WILTMANN,Salami,1.11,2.29,1 kg = 28.63 - 45.80) / (1 kg = 13.88 - 22.20)**,,Nein,Dieses Angebot findest du vom 29.01. bis 04.02. in deiner Kaufland-Filiale.,2026-01-29,2026-02-04,images_kaufland/kaufland_offer_021.jpg
KINDER,Maxi King oder Pingui,1.49,,1 kg = 12.42 - 14.19) / (1 kg = 10.75 - 12.29)**,,Nein,Dieses Angebot findest du vom 29.01. bis 04.02. in deiner Kaufland-Filiale.,2026-01-29,2026-02-04,images_kaufland/kaufland_offer_022.jpg
HOCHLAND,Schmelzkäse,1.79,2.69,1 kg = 8.95 - 11.94) / (1 kg = 7.95 - 10.60)**,,Nein,Dieses Angebot findest du vom 29.01. bis 04.02. in deiner Kaufland-Filiale.,2026-01-29,2026-02-04,images_kaufland/kaufland_offer_023.jpg
BULL'S-EYE,BBQ-Sauce,1.99,,1 l = 6.64) / (1 l = 5.97)**,,Nein,Dieses Angebot findest du vom 29.01. bis 04.02. in deiner Kaufland-Filiale.,2026-01-29,2026-02-04,images_kaufland/kaufland_offer_024.jpg
THOMY,Les Sauces,0.99,,1 l = 3.96) / (1 l = 3.16)**,,Nein,Dieses Angebot findest du vom 29.01. bis 04.02. in deiner Kaufland-Filiale.,2026-01-29,2026-02-04,images_kaufland/kaufland_offer_025.jpg
CHIO,Dip!,1.49,,1 l = 7.45) / (1 l = 6.45)**,,Nein,Dieses Angebot findest du vom 29.01. bis 04.02. in deiner Kaufland-Filiale.,2026-01-29,2026-02-04,images_kaufland/kaufland_offer_026.jpg
M&M's,Schokolinsen,1.69,,1 kg = 11.27 - 13.21) / (1 kg = 9.94 - 11.65)**,,Nein,Dieses Angebot findest du vom 29.01. bis 04.02. in deiner Kaufland-Filiale.,2026-01-29,2026-02-04,images_kaufland/kaufland_offer_027.jpg
TROLLI,Fruchtgummis,0.79,1.09,1 kg = 5.27) / (1 kg = 4.60)**,,Nein,Dieses Angebot findest du vom 29.01. bis 04.02. in deiner Kaufland-Filiale.,2026-01-29,2026-02-04,images_kaufland/kaufland_offer_028.jpg
OREO,Doppelkekse,1.29,,1 kg = 8.22 - 8.38) / (1 kg = 7.07 - 7.21)**,,Nein,Dieses Angebot findest du vom 29.01. bis 04.02. in deiner Kaufland-Filiale.,2026-01-29,2026-02-04,images_kaufland/kaufland_offer_029.jpg
JIM BEAM,Bourbon Whiskey & Cola,1.99,,1 l = 6.03) / (1 l = 5.43)**,,Nein,Dieses Angebot findest du vom 29.01. bis 04.02. in deiner Kaufland-Filiale.,2026-01-29,2026-02-04,images_kaufland/kaufland_offer_030.jpg
MIONETTO,Prosecco DOC Treviso,6.49,9.99,1 l = 8.66) / (1 l = 7.99)**,,Nein,Dieses Angebot findest du vom 29.01. bis 04.02. in deiner Kaufland-Filiale.,2026-01-29,2026-02-04,images_kaufland/kaufland_offer_031.jpg
BUDWEISER,Budvar,14.99,,1 l = 1.50) / (1 l = 1.40)**,,Nein,Dieses Angebot findest du vom 29.01. bis 04.02. in deiner Kaufland-Filiale.,2026-01-29,2026-02-04,images_kaufland/kaufland_offer_032.jpg
K-CLASSIC,Küchentücher Saugstark XXL,"5.49
*",,,,Nein,Dieses Angebot findest du vom 29.01. bis 04.02. in deiner Kaufland-Filiale.,2026-01-29,2026-02-04,images_kaufland/kaufland_offer_033.jpg
PAMPERS,Windeln oder Pants Maxi-Economy-Pack,19.99,,pro Stück = 0.15 - 0.33) / (pro Stück = 0.14 - 0.31)**,,Nein,Dieses Angebot findest du vom 29.01. bis 04.02. in deiner Kaufland-Filiale.,2026-01-29,2026-02-04,images_kaufland/kaufland_offer_034.jpg
LIV&BO®,Kommode »Genf« schmal,39.99,39.99,,,Nein,Dieses Angebot findest du vom 29.01. bis 04.02. in deiner Kaufland-Filiale.,2026-01-29,2026-02-04,images_kaufland/kaufland_offer_035.jpg
LIV&BO®,Kommode »Genf« breit,59.99,59.99,,,Nein,Dieses Angebot findest du vom 29.01. bis 04.02. in deiner Kaufland-Filiale.,2026-01-29,2026-02-04,images_kaufland/kaufland_offer_036.jpg
,Schwerlastregal max. 175 kg,19.99,19.99,,,Nein,Dieses Angebot findest du vom 29.01. bis 04.02. in deiner Kaufland-Filiale.,2026-01-29,2026-02-04,images_kaufland/kaufland_offer_037.jpg
