Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,source_market
Kölln Haferkissen,Keine Marke,"€ 1,99",,"1 kg = 7,24","Zimt, je 275-g-Pckg",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_167.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
1688 Kleines Vollkorn,Harry,"€ 1,09",,"1 kg = 4,36",je 250-g-Pckg,Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_166.jpg,"cat_grundnahrung,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg
1688 Unser Mildes,Harry,"€ 1,19",,"1 kg = 4,76",je 250-g-Pckg,Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_165.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed",bamberg
Classic Pasta,Barilla,"€ 0,88",,"1 kg = 1,76","versch. Ausformungen, je 500-g-Pckg",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_171.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegan,diet_vegetarian,sub_nudeln,tag_ultra_processed",bamberg
Würz-Spinat,Iglo,"€ 1,99",,"1 kg = 3,98","tiefgefroren, je 500-g-Pckg",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_146.jpg,cat_tiefkuehl,bamberg
Grüner Vollbier Hell,Keine Marke,"€ 13,49",,"1 l = 1,35","je 20 x 0,5-l-Fl.-Kasten, zzgl. 3,10 Pfand",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_217.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
Flensburger,Keine Marke,"€ 12,99",,"1 l = 1,97","versch. Sorten, je 20 x 0,33-l-Fl.-Kasten, zzgl. 4,50 Pfand",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_219.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
Weidentasche Herzenskraft,Keine Marke,"€ 9,99",,Kein Mengenpreis,"bepflanzt mit Kalanchoe und Grünpflanze, je Korb",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_269.jpg,"cat_obst_gemuese,diet_gluten_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
Schmetterlings orchidee,Keine Marke,"€ 7,99",,Kein Mengenpreis,"versch. Farben, mit zwei Blütenrispen, je Topf",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_268.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
Nelke I love you,Keine Marke,"€ 2,99",,Kein Mengenpreis,"mit dekorativer Manschette, je Topf",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_267.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food",bamberg
Vergissmeinnicht Duo,Keine Marke,"€ 1,49",,Kein Mengenpreis,"zwei versch. Farben im Topf, je Topf",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_266.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg
Vitakraft Po sie Katzennahrung,Keine Marke,"€ 0,49",,"1 kg = 5,76","versch. Sorten, je 85-g-Schale/Btl",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_265.jpg,cat_tiernahrung,bamberg
Taft Schaumfestiger,Keine Marke,"€ 2,99",,"1 l = 19,93","Volumen, je 150-ml-Dose",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_264.jpg,"cat_drogerie,tag_whole_food",bamberg
Gänseblümchen Duo,Keine Marke,"€ 1,29",,Kein Mengenpreis,"zwei versch. Farben im Topf, je Topf",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_270.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
Persil Universal 4 in 1 Discs,Keine Marke,"€ 18,99",,"1 WL = 0,25",je 76-WL-Btl,Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_263.jpg,"cat_drogerie,tag_whole_food",bamberg
Protein Riegel,Barebells,"€ 1,99",,"1 kg = 36,18","versch. Sorten, je 55-g-Riegel",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_261.jpg,"cat_drogerie,tag_high_protein,tag_proteinreich,tag_ultra_processed",bamberg
Hipp Erdbeere Himbeere in Apfel,Keine Marke,"€ 1,11",,"1 kg = 6,94",je 160-g-Glas,Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_260.jpg,"cat_drogerie,tag_whole_food",bamberg
Duschdas Duschgel,Keine Marke,"€ 0,99",,"1 l = 4,40","versch. Sorten, je 225-ml-Fl",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_259.jpg,"cat_drogerie,tag_whole_food",bamberg
Deospray,Fa,"€ 1,29",,"1 l = 8,60","versch. Sorten, je 150-ml-Dose",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_258.jpg,cat_drogerie,bamberg
Taft Haarspray,Keine Marke,"€ 2,99",,"1 l = 11,96","Power, je 250-ml-Dose",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_257.jpg,"cat_drogerie,tag_whole_food",bamberg
Persil Colorwaschmittel Kraft-Gel,Keine Marke,"€ 18,99",,"1 WL = 0,19",je 100-WL-Fl,Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_256.jpg,cat_drogerie,bamberg
Hipp Pfirsich in Apfel,Keine Marke,"€ 1,11",,"1 kg = 5,84",je 190-g-Glas,Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_262.jpg,"cat_drogerie,tag_whole_food",bamberg
Perwoll Fein- Wollwaschmittel,Keine Marke,"€ 4,99",,"1 WL = 0,19","versch. Sorten, je 27-WL-Fl",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_255.jpg,cat_drogerie,bamberg
Frühjahrsmix CrazziCube,Keine Marke,"€ 3,49",,Kein Mengenpreis,"versch. Mischungen in einem Topf, je Topf",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_271.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",bamberg
Osterglocken,Keine Marke,"€ 2,99",,Kein Mengenpreis,"in farblich passender Schale, je Topf",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_273.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
Blumenstrauß Ashley,Keine Marke,"€ 9,50",,Kein Mengenpreis,"versch. Sortierungen, mit Floralife Schnittblumennahrung, je Strauß",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_287.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
