Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Toilettenpapier Ultra Soft,Zewa,"7,00 €",,,,Nein,,,,images_tegut/tegut_offer_001.jpg
Skrei-Winterkabeljaufilet,Skrei-Winterkabeljaufilet,"2,99 €",,"3,99 €",,Nein,,,,images_tegut/tegut_offer_002.jpg
"Erdnüsse, Kessel-Nüsse oder Fusion Peanuts",Ültje,"1,49 €",,"1 kg = 8,28/9,93 €",,Nein,,,,images_tegut/tegut_offer_003.jpg
Streichzart mit Joghurt oder ungesalzen,Meggle,"1,79 €",,"1 kg = 7,16 €",,Nein,,,,images_tegut/tegut_offer_004.jpg
Genuss pur,3 Glocken,"ab 1,11 €",,"1 kg = 2,22 €",,Nein,,,,images_tegut/tegut_offer_005.jpg
Bio-Hackfleisch gemischt,Bio-Hackfleisch gemischt,"5,99 €",,"7,99 €",,Nein,,,,images_tegut/tegut_offer_006.jpg
Bio-Ciabatta oder -Oliven-Ciabatta,Herzberger,"2,29 €",,"1 kg = 5,73/9.16",,Nein,,,,images_tegut/tegut_offer_007.jpg
Bio-Gouda mild,Landana,"1,29 €",,"2,49 €",,Nein,,,,images_tegut/tegut_offer_008.jpg
Doppio Passo Bio-Primitivo,Doppio Passo Bio-Primitivo,"ab 5,99 € *",,"8,99 €",,Nein,,,,images_tegut/tegut_offer_009.jpg
Aceto Balsamico di Modena oder Condimento,Mazzetti,"2,99 €",,"4,49 €",,Nein,,,,images_tegut/tegut_offer_010.jpg
Pizza,Lentini,"4,99 €",,"1 kg = 11,09/12,48 €",,Nein,,,,images_tegut/tegut_offer_011.jpg
Mozzarella,Galbani,"1,19 €",,"1,99 €",,Nein,,,,images_tegut/tegut_offer_012.jpg
Original italienischer Parma-Schinken,Original italienischer Parma-Schinken,"3,99 €",,"4,99 €",,Nein,,,,images_tegut/tegut_offer_013.jpg
Pasta,Barilla,"0,99 €",,"1 kg = 1,98 €",,Nein,,,,images_tegut/tegut_offer_014.jpg
Aperol,Aperol,"10,99 €",,"1 l = 15,70 €",,Nein,,,,images_tegut/tegut_offer_015.jpg
Caffè,Lavazza,"ab 13,99 € *",,"21,99 €",,Nein,,,,images_tegut/tegut_offer_016.jpg
Taralli Gebäck,Taralli Gebäck,"1,49 €",,"2,29 €",,Nein,,,,images_tegut/tegut_offer_017.jpg
