Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,source_market
Meica Deutschländer Würstchen,Keine Marke,"3,49 €",,"1 kg = 10,58","je 660-g-Glas, 330-g-Abtropfgew.",Nein,2026-02-02 bis 2026-02-08,2026-02-02,2026-02-08,images_rewe/bamberg_offer_001.jpg,bamberg
Mutti Pomodori Pelati,Keine Marke,"1,11 €",,"1 kg = 4,27","Schältomaten, je 400-g-Dose, 260-g-Abtropfgew.",Nein,2026-02-02 bis 2026-02-08,2026-02-02,2026-02-08,images_rewe/bamberg_offer_138.jpg,bamberg
Dr. Oetker Zitronen Kuchen,Keine Marke,"2,49 €",,"1 kg = 4,74",je 525-g-Pckg,Nein,2026-02-02 bis 2026-02-08,2026-02-02,2026-02-08,images_rewe/bamberg_offer_139.jpg,bamberg
Maggi Für Genießer Pfefferrahmsauce,Keine Marke,"0,89 €",,,"ausreichend für 250 ml, je Btl",Nein,2026-02-02 bis 2026-02-08,2026-02-02,2026-02-08,images_rewe/bamberg_offer_141.jpg,bamberg
Mon Chéri,Keine Marke,"2,79 €",,"1 kg = 17,77",je 157-g-Pckg,Nein,2026-02-02 bis 2026-02-08,2026-02-02,2026-02-08,images_rewe/bamberg_offer_142.jpg,bamberg
Ritter Sport Schokolade,Keine Marke,"1,29 €",,"1 kg = 12,90","versch. Sorten, je 100-g-Tafel",Nein,2026-02-02 bis 2026-02-08,2026-02-02,2026-02-08,images_rewe/bamberg_offer_143.jpg,bamberg
Snickers oder Twix,Keine Marke,"1,99 €",,"1 kg = 7,96",je 5 x 50-g-Riegel,Nein,2026-02-02 bis 2026-02-08,2026-02-02,2026-02-08,images_rewe/bamberg_offer_144.jpg,bamberg
Lay’s Chips,Keine Marke,"1,11 €",,"1 kg = 7,40","gesalzen, je 150-g-Pckg",Nein,2026-02-02 bis 2026-02-08,2026-02-02,2026-02-08,images_rewe/bamberg_offer_145.jpg,bamberg
Chio Tortillas,Keine Marke,"0,99 €",,"1 kg = 9,00","Nacho Cheese Style, je 110-g-Btl",Nein,2026-02-02 bis 2026-02-08,2026-02-02,2026-02-08,images_rewe/bamberg_offer_146.jpg,bamberg
Lorenz NicNac’s,Keine Marke,"1,11 €",,"1 kg = 10,09",je 110-g-Btl,Nein,2026-02-02 bis 2026-02-08,2026-02-02,2026-02-08,images_rewe/bamberg_offer_147.jpg,bamberg
Trumpf Edle Tropfen in Nuss,Keine Marke,"3,29 €",,"1 kg = 13,16",je 250-g-Pckg,Nein,2026-02-02 bis 2026-02-08,2026-02-02,2026-02-08,images_rewe/bamberg_offer_148.jpg,bamberg
Nestlé Smarties mini,Keine Marke,"2,49 €",,"1 kg = 12,39",je 201-g-Btl,Nein,2026-02-02 bis 2026-02-08,2026-02-02,2026-02-08,images_rewe/bamberg_offer_149.jpg,bamberg
Ferrero Küsschen,Keine Marke,"2,79 €",,"1 kg = 15,67",je 178-g-Pckg,Nein,2026-02-02 bis 2026-02-08,2026-02-02,2026-02-08,images_rewe/bamberg_offer_151.jpg,bamberg
Chio Ready Made Popcorn,Keine Marke,"0,99 €",,"1 kg = 8,25","süß, je 120-g-Btl",Nein,2026-02-02 bis 2026-02-08,2026-02-02,2026-02-08,images_rewe/bamberg_offer_152.jpg,bamberg
Lorenz Erdnuß Locken,Keine Marke,"1,11 €",,"1 kg = 7,40","Western Style, je 150-g-Btl",Nein,2026-02-02 bis 2026-02-08,2026-02-02,2026-02-08,images_rewe/bamberg_offer_153.jpg,bamberg
Doritos Nacho Cheese,Keine Marke,"1,11 €",,"1 kg = 10,09",je 110-g-Pckg,Nein,2026-02-02 bis 2026-02-08,2026-02-02,2026-02-08,images_rewe/bamberg_offer_154.jpg,bamberg
Milka Choco Minis,Keine Marke,"1,99 €",,"1 kg = 10,76",je 5 x 37-g-Pckg,Nein,2026-02-02 bis 2026-02-08,2026-02-02,2026-02-08,images_rewe/bamberg_offer_155.jpg,bamberg
Trolli Apfelringe oder Saure Glühwürrmchen,Keine Marke,"0,79 €",,"1 kg = 5,27",je 150-g-Btl,Nein,2026-02-02 bis 2026-02-08,2026-02-02,2026-02-08,images_rewe/bamberg_offer_156.jpg,bamberg
Monster Energy Drink,Keine Marke,"8,88 €",,"1 l = 1,78","versch. Sorten, koffeinhaltig, je 10 x 0,5-l-Dosen-Pckg, zzgl. 2,50 Pfand",Nein,2026-02-02 bis 2026-02-08,2026-02-02,2026-02-08,images_rewe/bamberg_offer_157.jpg,bamberg
Volvic Mineralwasser,Keine Marke,"3,99 €",,"1 l = 0,44","Naturelle, je 6 x 1,5-l-Fl.-Pckg, zzgl. 1,50 Pfand",Nein,2026-02-02 bis 2026-02-08,2026-02-02,2026-02-08,images_rewe/bamberg_offer_158.jpg,bamberg
Pepsi,Keine Marke,"0,88 €",,"1 l = 0,70","versch. Sorten, koffeinhaltig, je 1,25-l-Fl, zzgl. 0,25 Pfand",Nein,2026-02-02 bis 2026-02-08,2026-02-02,2026-02-08,images_rewe/bamberg_offer_159.jpg,bamberg
Valensina Saft,Keine Marke,"1,79 €",,,"versch. Sorten, aus Fruchtsaft- konzentrat, je 1-l-Fl, zzgl. 0,25 Pfand",Nein,2026-02-02 bis 2026-02-08,2026-02-02,2026-02-08,images_rewe/bamberg_offer_160.jpg,bamberg
Capri-Sun,Keine Marke,"3,49 €",,"1 l = 1,75","versch. Sorten, je 10 x 0,2-l-Btl.-Pckg",Nein,2026-02-02 bis 2026-02-08,2026-02-02,2026-02-08,images_rewe/bamberg_offer_161.jpg,bamberg
Dr. Oetker Seelenwärmer Cremepudding,Keine Marke,"0,79 €",,"1 kg = 13,62","Schokolade, je 58-g-Pckg",Nein,2026-02-02 bis 2026-02-08,2026-02-02,2026-02-08,images_rewe/bamberg_offer_137.jpg,bamberg
Schweppes,Keine Marke,"1,59 €",,"1 l = 1,27","versch. Sorten, je 1,25-l-Fl, zzgl. 0,25 Pfand",Nein,2026-02-02 bis 2026-02-08,2026-02-02,2026-02-08,images_rewe/bamberg_offer_162.jpg,bamberg
