Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Plüschkissen,,4.99 €,statt 6.99,,"angenehm weiche Oberfläche, waschbar bis ca. 30°C",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_027.png
LED Tischleuchte,,5.99 €,statt 7.99,,"dimmbar höhenverstellbar von ca. 11 – 28,5 cm",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_028.png
3D-Keramiktasse,,5.99 €,statt 9.99,,Füllmenge: ca. 460 ml - 560 ml,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_029.png
Viva Vital Damen oder Herren Hausschuhe,,5.99 €,,,Größen Damen: 38 - 41 / Größen Herren: 42 / 45,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_030.png
Maniküre und Pediküre-Set,,7.99 €,statt 12.99,,"für Hand, Fuß- und Gesichtspflege, mit edlem Aufbewahrungsetui",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_031.png
Bratwürste,,8.49 €,,5.31 / kg,"vom Schwein, grob, 20 Stück",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_032.png
Hackfleisch gemischt,,3.49 €,,6.98 / kg,aus 50% Schwein und 50% Rind,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_033.png
Hähnchen-Oberkeulensteaks,,2.99 €,,7.48 / kg,"ohne Haut und ohne Knochen, natur",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_034.png
Mais-Hähnchen,,4.29 €,,,"ganz, Hkl. A, ca. 1,4 kg",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_035.png
Hähnchen-Geschnetzeltes,,3.79 €,,9.48 / kg,aus der mageren Brust geschnitten,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_036.png
Bayerische Puten-Ministeaks,,3.79 €,statt 4.69,9.48 / kg,aus dem Innenfilet geschnitten,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_037.png
Schweine-Schnitzel,,5.99 €,,7.49 / kg,aus der Oberschale,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_038.png
Wade vom Jungbullen,,1.29 €,,12.90 / kg,"vakuumverpackt, ca. 1 kg",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_039.png
Wurst Aufschnitt,,1.29 €,,10.32 – 12.90 / kg,versch. Sorten Regionale Verpackungsabweichungen möglich,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_040.png
Münchner Weißwurst,,2.49 €,,8.30 / kg,mit Petersilie verfeinert,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_041.png
Österreichische Wurstspezialitäten,,1.49 €,,18.63 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_042.png
Prosciutto Cotto,,1.99 €,,9.95 / kg,,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_043.png
Meica Curry King,,1.79 €,statt 2.69,8.14 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_044.png
