Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Kartoffelknödel,LANDFREUDE,1.19,1.69,"Mini-Kartoffelknödel, je 400-g-Packung,
kg-Preis 2.98",-29 %,Nein,"BIS ZU 50 % SPAREN VON MO., 15.12. BIS SA., 20.12.",2025-12-15,2025-12-20,images_aldi/aldi_offer_038.png
Schlagsahne,MILSANI,0.79,0.89,"Mind. 30 % Fett, je 200-g-Becher,
kg-Preis 3.95",,Nein,"BIS ZU 50 % SPAREN VON MO., 15.12. BIS SA., 20.12.",2025-12-15,2025-12-20,images_aldi/aldi_offer_039.png
Schweizer Raclette-Käse,GOURMET FINEST CUISINE,3.89,4.99,"Je 400-g-Packung, kg-Preis 9.73",-22 %,Nein,"BIS ZU 50 % SPAREN VON MO., 15.12. BIS SA., 20.12.",2025-12-15,2025-12-20,images_aldi/aldi_offer_040.png
Raclette-Käsevariation,GOURMET FINEST CUISINE,1.99,2.39,"Verschiedene Sorten, je 200-g-Packung,
kg-Preis 9.95",-16 %,Nein,"BIS ZU 50 % SPAREN VON MO., 15.12. BIS SA., 20.12.",2025-12-15,2025-12-20,images_aldi/aldi_offer_041.png
Thunfischfilets,ALMARE,1.11,1.29,"In Sonnenblumenöl, je 195-g-Dose, Abtropfgewicht 185 g, kg-Preis 6.00 / Abtropfgewicht",,Nein,"BIS ZU 50 % SPAREN VON MO., 15.12. BIS SA., 20.12.",2025-12-15,2025-12-20,images_aldi/aldi_offer_042.png
Thunfischfilets,ALMARE,1.11,1.29,"In eigenem Saft und Aufguss, je 195-g-Dose, Abtropfgewicht 150 g, kg-Preis 7.40 / Abtropfgewicht",,Nein,"BIS ZU 50 % SPAREN VON MO., 15.12. BIS SA., 20.12.",2025-12-15,2025-12-20,images_aldi/aldi_offer_043.png
"Stangenspargel, weiß",KING’S CROWN,1.39,1.89,"Je 370-ml-Glas, Abtropfgewicht 205 g,
kg-Preis 6.78 / Abtropfgewicht",-26 %,Nein,"BIS ZU 50 % SPAREN VON MO., 15.12. BIS SA., 20.12.",2025-12-15,2025-12-20,images_aldi/aldi_offer_044.png
Baguette mit Knoblauch- oder Kräuterbutter,WONNEMEYER,0.79,0.99,"Je 175-g-Packung, kg-Preis 4.51",-20 %,Nein,"BIS ZU 50 % SPAREN VON MO., 15.12. BIS SA., 20.12.",2025-12-15,2025-12-20,images_aldi/aldi_offer_045.png
Flabatta,MEINE BACKWELT,0.59,0.99,,-40 %,Nein,"BIS ZU 50 % SPAREN VON MO., 15.12. BIS SA., 20.12.",2025-12-15,2025-12-20,images_aldi/aldi_offer_046.png
Walnussbrötchen,MEINE BACKWELT,0.39,0.59,,-33 %,Nein,"BIS ZU 50 % SPAREN VON MO., 15.12. BIS SA., 20.12.",2025-12-15,2025-12-20,images_aldi/aldi_offer_047.png
Rustikales Baguette,MEINE BACKWELT,0.49,0.65,,-24 %,Nein,"BIS ZU 50 % SPAREN VON MO., 15.12. BIS SA., 20.12.",2025-12-15,2025-12-20,images_aldi/aldi_offer_048.png
Sonnenblumen-Margarine,BELLASAN,1.19,1.59,"Je 500-g-Packung, kg-Preis 2.38",-25 %,Nein,"BIS ZU 50 % SPAREN VON MO., 15.12. BIS SA., 20.12.",2025-12-15,2025-12-20,images_aldi/aldi_offer_049.png
"Joghurt, 3,5 % Fett",MILSANI,0.59,0.89,"Je 500-g-Becher, kg-Preis 1.18",-33 %,Nein,"BIS ZU 50 % SPAREN VON MO., 15.12. BIS SA., 20.12.",2025-12-15,2025-12-20,images_aldi/aldi_offer_050.png
Bio-Fairtrade-Kaffee,BARISSIMO,7.39,8.79,"Gemahlen oder Ganze Bohne,
je 500-g-Packung, kg-Preis 14.78",-15 %,Nein,"BIS ZU 50 % SPAREN VON MO., 15.12. BIS SA., 20.12.",2025-12-15,2025-12-20,images_aldi/aldi_offer_051.png
Crémant de Loire oder Crémant de Bordeaux,MARQUIS DE BEAUCEL,5.39,6.49,,-16 %,Nein,"BIS ZU 50 % SPAREN VON MO., 15.12. BIS SA., 20.12.",2025-12-15,2025-12-20,images_aldi/aldi_offer_052.png
Spritzgebäck,BISCOTTO,1.59,2.09,"Verschiedene Sorten, je 300-g-Packung,
kg-Preis 5.30",-23 %,Nein,"BIS ZU 50 % SPAREN VON MO., 15.12. BIS SA., 20.12.",2025-12-15,2025-12-20,images_aldi/aldi_offer_053.png
Feinste belgische Pralinen,GOURMET FINEST CUISINE,4.19,5.49,"Verschiedene Sorten, je 300-g-Packung,
kg-Preis 13.97",-23 %,Nein,"BIS ZU 50 % SPAREN VON MO., 15.12. BIS SA., 20.12.",2025-12-15,2025-12-20,images_aldi/aldi_offer_054.png
"Sekt, alkoholfrei",STOLZENFELS,1.99,2.99,,-33 %,Nein,"BIS ZU 50 % SPAREN VON MO., 15.12. BIS SA., 20.12.",2025-12-15,2025-12-20,images_aldi/aldi_offer_055.png
Sekt oder Sekt Rosé,STOLZENFELS,0.85,1.15,,-26 %,Nein,"BIS ZU 50 % SPAREN VON MO., 15.12. BIS SA., 20.12.",2025-12-15,2025-12-20,images_aldi/aldi_offer_056.png
Herzhafte Edelsalami,GUT DREI EICHEN,1.29,1.69,"Je 150-g-Packung, kg-Preis 8.60",-23 %,Nein,"BIS ZU 50 % SPAREN VON MO., 15.12. BIS SA., 20.12.",2025-12-15,2025-12-20,images_aldi/aldi_offer_057.png
Geflügel-Fleischwurst,GÜLDENHOF,2.19,2.69,"Je 2 x 250 g = 500-g-Packung, kg-Preis 4.38",-18 %,Nein,"BIS ZU 50 % SPAREN VON MO., 15.12. BIS SA., 20.12.",2025-12-15,2025-12-20,images_aldi/aldi_offer_058.png
