Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
Ariel Waschmittel Flüssig,Ariel,"€ 16,99",,"pro Einheit = 22,99","pro Einheit = 22,99",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/lidl/lidl_offer_001.jpg,cat_drogerie,,,ref_000001,obs_0000033361|obs_0000033001|obs_0000033426|obs_0000033446|obs_0000032992|obs_0000021736|obs_0000021230|obs_0000033070|obs_0000020411|obs_0000033255|obs_0000018449|obs_0000027703|obs_0000012875|obs_0000023646|obs_0000024174|obs_0000002728|obs_0000023748|obs_0000023244|obs_0000025812|obs_0000017654|obs_0000018794|obs_0000019827|obs_0000022410|obs_0000030776|obs_0000018563|obs_0000029376|obs_0000017788|obs_0000029058|obs_0000030086|obs_0000018843|obs_0000034866|obs_0000016462|obs_0000018542|obs_0000019568|obs_0000013946|obs_0000025217|obs_0000026760|obs_0000021665|obs_0000033445|obs_0000012454|obs_0000018152|obs_0000015109|obs_0000033069|obs_0000022331|obs_0000022340|obs_0000020846|obs_0000012181|obs_0000003486|obs_0000019384|obs_0000017352,obs_0000029376|obs_0000029058|obs_0000030086,,
Fahrrad-Helm mit Rücklicht Kinder Blau,Crivit,"€ 12,99",,"pro Einheit = 12,99","pro Einheit = 12,99",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/lidl/lidl_offer_002.jpg,"cat_non_food,tag_ultra_processed",,,ref_000002,obs_0000009032,,,x
Monsieur Cuisine smart,SilverCrest,"€ 399,00",,"pro Einheit = 399,00","pro Einheit = 399,00",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/lidl/lidl_offer_003.jpg,cat_non_food,,,ref_000003,obs_0000022922|obs_0000018814|obs_0000017563|obs_0000017629,obs_0000022922,,
Culinesse XXL,Rama,"€ 1,79",,"1 l = 2,56","1 l = 2,56",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/lidl/lidl_offer_004.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_butter_margarine,tag_ultra_processed",,,ref_000004,obs_0000017532|obs_0000017922|obs_0000028752|obs_0000013145|obs_0000012763|obs_0000013967,obs_0000017532|obs_0000017922,,
Chili-Cheese-Nuggets XXL,Chef Select,"€ 4,99",,"1 kg = 6,65","1 kg = 6,65",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/lidl/lidl_offer_005.jpg,"cat_fleisch_wurst,sub_gefluegel,tag_ultra_processed",,,ref_000005,obs_0000019842|obs_0000017478|obs_0000012763|obs_0000013967,obs_0000017478|obs_0000019842,,
Deutsche Lauchzwiebeln,Deutsche Lauchzwiebeln,"€ 0,66",,"pro Einheit = 0,79","pro Einheit = 0,79",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/lidl/lidl_offer_006.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,,ref_000006,obs_0000014337|obs_0000029496|obs_0000006078|obs_0000030823,,,
Cocktailstrauchtomaten,Cocktailstrauchtomaten,"€ 1,49",,"1 kg = 2,98","1 kg = 2,98",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/lidl/lidl_offer_007.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,,ref_000007,,,,
Dinkel Hafer Müsli,Bioland,"€ 2,79",,"1 kg = 5,58","1 kg = 5,58",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/lidl/lidl_offer_008.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegan,diet_vegetarian",,,ref_000008,obs_0000023625|obs_0000034084|obs_0000009092|obs_0000013314|obs_0000027228|obs_0000025199|obs_0000021664|obs_0000014004|obs_0000014570|obs_0000010536|obs_0000020845|obs_0000013793,,,
Wassermelone kernarm,Wassermelone kernarm,"€ 1,49",,"pro Einheit = 1,99","pro Einheit = 1,99",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/lidl/lidl_offer_009.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,BLS-F535100,ref_000009,obs_0000031381,,,
Deutsche Rote Äpfel,Deutsche Rote Äpfel,"€ 2,22",,"1 kg = 0,89","1 kg = 0,89",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/lidl/lidl_offer_010.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,,ref_000010,obs_0000022521|obs_0000021066|obs_0000017162|obs_0000020247|obs_0000023327|obs_0000018328|obs_0000002562|obs_0000016900|obs_0000003115|obs_0000001075|obs_0000026677|obs_0000027192|obs_0000027723|obs_0000026234|obs_0000033931|obs_0000027801|obs_0000022211|obs_0000018124|obs_0000034535|obs_0000021770|obs_0000027442|obs_0000016710|obs_0000027995|obs_0000002961|obs_0000024988,obs_0000022521,,
