Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,source_market,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Sanella Streichfett,Keine Marke,"€ 1,49",,"1 kg = 3,73 €",je 400-g-Becher,Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_001.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_butter_margarine,tag_ultra_processed,tag_whole_food",bamberg,,ref_000001,obs_0000028305|obs_0000029407|obs_0000009590|obs_0000013023|obs_0000021829|obs_0000026407,obs_0000028305|obs_0000029407
Mohn fix,REWE Beste Wahl,"€ 1,59",,"1 kg = 6,36 €",je 250-g-Btl.,Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_201.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_ultra_processed,tag_whole_food",bamberg,,ref_000002,obs_0000011813|obs_0000017466|obs_0000019539|obs_0000023175|obs_0000013526|obs_0000009445|obs_0000024314|obs_0000015121|obs_0000008983|obs_0000018720|obs_0000015765|obs_0000010147|obs_0000009684|obs_0000024560,
Orangenschale,REWE Bio,"€ 0,79",,"1 kg = 79,00 €","gerieben, je 2 x 5-g-Btl.",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_200.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",bamberg,BLS-X496363,ref_000003,obs_0000001861|obs_0000013100,
Feine Marzipanrohmasse,REWE Beste Wahl,"€ 1,49",,"1 kg = 7,45 €",je 200-g-Pckg.,Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_199.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_ultra_processed,tag_whole_food",bamberg,,ref_000004,obs_0000013112,
Backhefe,REWE Bio,"€ 1,19",,"1 kg = 56,67 €",je 21-g-Pckg.,Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_198.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_kaese,sub_milchprodukte,tag_whole_food",bamberg,,ref_000005,,
pflanzlich Veganer Ei-Ersatz,REWE Bio,"€ 0,49",,"1 kg = 32,67 €",je 15-g-Btl.,Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_197.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegan,diet_vegetarian,sub_kaese",bamberg,,ref_000006,,
Oyakata Japanese Chicken Teriyaki,Keine Marke,"€ 1,11",,"1 kg = 11,56 €",je 96-g-Becher,Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_196.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_gefluegel,sub_tk_fertiggerichte,tag_ultra_processed,tag_whole_food",bamberg,,ref_000007,obs_0000022103,
pflanzlich Veganes Geliermittel,REWE Bio,"€ 1,19",,"1 kg = 66,11 €",je 3 x 6-g-Pckg.,Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_202.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegan,diet_vegetarian,sub_kaese",bamberg,,ref_000008,obs_0000015870,
Oyakata Japanese Classic,Keine Marke,"€ 1,11",,"1 kg = 11,94 €",je 93-g-Becher,Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_195.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food",bamberg,,ref_000009,obs_0000010989|obs_0000013543|obs_0000019121|obs_0000019940|obs_0000023795|obs_0000025011|obs_0000026878|obs_0000029122|obs_0000032113|obs_0000032390,
Feine Marzipan Rübli,Dr Oetker,"€ 2,29",,"1 kg = 54,52 €",je 42-g-Pckg.,Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_193.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",bamberg,,ref_000010,,
Finesse,Dr Oetker,"€ 0,69",,"1 kg = 38,33 €","versch. Sorten, je 3 x 6-g-Pckg.",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_192.jpg,"cat_grundnahrung,sub_tk_pizza,tag_ultra_processed",bamberg,,ref_000011,obs_0000001768|obs_0000022696|obs_0000018602|obs_0000022274|obs_0000021791|obs_0000020360|obs_0000002495|obs_0000019421|obs_0000018463|obs_0000012903|obs_0000000121|obs_0000009883|obs_0000012112|obs_0000014747|obs_0000014285|obs_0000028284|obs_0000029831|obs_0000029406,obs_0000022696|obs_0000018602|obs_0000001768|obs_0000022274|obs_0000021791|obs_0000020360|obs_0000002495|obs_0000019421
Followfood Thunfisch Filets,Keine Marke,"€ 2,79",,"1 kg = 21,46 €","in eigenem Saft, je 185-g-Dosen-Pckg., 130 g Abtropfgewicht",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_190.jpg,"cat_grundnahrung,diet_lactose_free,tag_ultra_processed",bamberg,,ref_000012,obs_0000030139|obs_0000005916|obs_0000010115|obs_0000018024|obs_0000019150|obs_0000019969|obs_0000020717|obs_0000021497|obs_0000022276|obs_0000022698|obs_0000023928|obs_0000002624|obs_0000002806|obs_0000012672|obs_0000014181,obs_0000005916|obs_0000030139
Vanillin Zucker,Dr Oetker,"€ 0,99",,"1 kg = 12,38 €",je 10 x 8-g-Pckg.,Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_189.jpg,"cat_grundnahrung,tag_ultra_processed",bamberg,BLS-R452000,ref_000013,obs_0000000190|obs_0000032083|obs_0000030137,
Schlemmersauce,Knorr,"€ 0,99",,"1 l = 3,96 €","versch. Sorten, je 250-ml-Fl.",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_188.jpg,"cat_grundnahrung,tag_ultra_processed",bamberg,,ref_000014,obs_0000029950|obs_0000007397,
Rosenmehl Weizenmehl,Keine Marke,"€ 1,11",,Kein Mengenpreis,"Type 405, je 1-kg-Btl.",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_187.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,ref_000015,obs_0000006826|obs_0000001640|obs_0000002403|obs_0000003129|obs_0000009888|obs_0000024437|obs_0000025402|obs_0000026972|obs_0000031682|obs_0000032085,obs_0000006826
Würze,Maggi,"€ 1,99",,"1 kg = 7,96 €",je 250-g-Fl.,Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_194.jpg,"cat_grundnahrung,tag_ultra_processed",bamberg,,ref_000016,obs_0000031369|obs_0000009928|obs_0000009076,obs_0000031369|obs_0000009928|obs_0000009076
Bourbon Vanille Zucker,Dr Oetker,"€ 0,99",,"1 kg = 41,25 €",je 3 x 8-g-Pckg.,Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_186.jpg,"cat_grundnahrung,sub_fleischersatz,sub_tk_fertiggerichte,tag_high_protein,tag_ultra_processed",bamberg,,ref_000017,obs_0000009911|obs_0000015975|obs_0000014763|obs_0000029411|obs_0000006461|obs_0000016895|obs_0000004803|obs_0000024575|obs_0000004376|obs_0000002904|obs_0000003949|obs_0000026991|obs_0000000434|obs_0000017846|obs_0000018359|obs_0000026583|obs_0000000190|obs_0000032083,obs_0000009911
Raspelschokolade,REWE Beste Wahl,"€ 1,59",,"1 kg = 15,90 €","versch. Sorten, je 100-g-Pckg.",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_203.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,BLS-S550000,ref_000018,obs_0000003056|obs_0000002292,obs_0000003056|obs_0000002292
Haselnusskerne,REWE Beste Wahl,"€ 1,79",,"1 kg = 17,90 €","geröstet und gehackt, je 100-g-Btl.",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_205.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,BLS-D660700,ref_000019,obs_0000001671|obs_0000025223|obs_0000024607|obs_0000009632|obs_0000013106|obs_0000003134|obs_0000024308|obs_0000002167|obs_0000006828|obs_0000006455|obs_0000006458,obs_0000001671|obs_0000025223|obs_0000024607|obs_0000009632|obs_0000013106|obs_0000003134|obs_0000024308|obs_0000002167
Fanta oder Sprite,Coca-Cola,"€ 1,39",,"1 l = 0,93 €","versch. Sorten, teilw. koffeinhaltig, je 1,5-l-Fl., zzgl. 0,25 € Pfand",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_219.jpg,"cat_getraenke,tag_ultra_processed",bamberg,,ref_000020,obs_0000013574|obs_0000032195|obs_0000029516|obs_0000027546|obs_0000026170|obs_0000028430|obs_0000028806|obs_0000027137|obs_0000029483|obs_0000029722|obs_0000028111|obs_0000030168|obs_0000006697|obs_0000006897|obs_0000005228,
Zoo,Leibniz,"€ 1,29",,"1 kg = 10,32 €",je 125-g-Pckg.,Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_218.jpg,"cat_knabbern_naschen,tag_ultra_processed",bamberg,,ref_000021,obs_0000013573|obs_0000011852|obs_0000014427|obs_0000006197,obs_0000013573|obs_0000011852|obs_0000014427
Knoppers Nussriegel,Storck,"€ 1,69",,"1 kg = 8,45 €",je 5 x 40-g-Pckg.,Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_217.jpg,"cat_knabbern_naschen,tag_ultra_processed",bamberg,,ref_000022,obs_0000000710|obs_0000029391|obs_0000005261|obs_0000026361|obs_0000027453|obs_0000029893|obs_0000028792,obs_0000005261|obs_0000000710|obs_0000030591
Zetti Knusperflocken,Keine Marke,"€ 1,89",,"1 kg = 14,54 €","klassik, je 130-g-Btl.",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_216.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,ref_000023,obs_0000028374|obs_0000008894|obs_0000009359,obs_0000028374
Butterkeks,Leibniz,"€ 1,29",,"1 kg = 6,45 €",je 200-g-Pckg.,Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_215.jpg,"cat_knabbern_naschen,diet_vegetarian,sub_butter_margarine,sub_milchprodukte,tag_ultra_processed",bamberg,BLS-X820252,ref_000024,obs_0000004623|obs_0000003094|obs_0000003769|obs_0000000317|obs_0000023367|obs_0000004196|obs_0000007666|obs_0000006550|obs_0000005437,obs_0000004623|obs_0000003094|obs_0000003769|obs_0000000317|obs_0000023367|obs_0000004196
Oreo Kekse,Keine Marke,"€ 1,29",,"1 kg = 8,38 €","Original, je 154-g-Rolle",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_214.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,ref_000025,obs_0000027449|obs_0000029476|obs_0000030159|obs_0000000426|obs_0000003005|obs_0000003933|obs_0000004360|obs_0000004787|obs_0000010181|obs_0000011005|obs_0000013145|obs_0000015002|obs_0000015688|obs_0000016594|obs_0000017177|obs_0000017605|obs_0000017964|obs_0000020671|obs_0000021043|obs_0000022260|obs_0000022684|obs_0000027102,obs_0000027449|obs_0000029476|obs_0000030159
Mandeln,REWE Beste Wahl,"€ 1,49",,"1 kg = 14,90 €","versch. Sorten, je 100-g-Btl.",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_204.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",bamberg,BLS-Q190000,ref_000026,obs_0000018531|obs_0000001641|obs_0000019565|obs_0000001672|obs_0000025239|obs_0000002763|obs_0000003312|obs_0000025339|obs_0000024347|obs_0000016173|obs_0000009521|obs_0000013108|obs_0000018746|obs_0000023372|obs_0000024457|obs_0000020954|obs_0000016863|obs_0000003132|obs_0000021128|obs_0000001712|obs_0000002285|obs_0000028990|obs_0000002404|obs_0000002438|obs_0000003048|obs_0000018945|obs_0000023571|obs_0000017462|obs_0000019764|obs_0000015917|obs_0000017207|obs_0000006457|obs_0000001275,obs_0000018531|obs_0000001641|obs_0000019565|obs_0000001672|obs_0000025239|obs_0000002763|obs_0000003312|obs_0000025339|obs_0000024347|obs_0000016173|obs_0000009521|obs_0000013108|obs_0000018746|obs_0000023372|obs_0000024457|obs_0000020954|obs_0000016863
Ritter Sport Schokolade Nussklasse,Keine Marke,"€ 1,69",,"1 kg = 16,90 €","versch. Sorten, je 100-g-Tafel",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_213.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed",bamberg,,ref_000027,obs_0000028412|obs_0000027128|obs_0000029471|obs_0000030154|obs_0000006262|obs_0000006723|obs_0000006933|obs_0000005622|obs_0000000091|obs_0000000138|obs_0000000230|obs_0000002122|obs_0000003112|obs_0000003637|obs_0000003805|obs_0000004064|obs_0000004232|obs_0000004491|obs_0000004659|obs_0000008041|obs_0000008056|obs_0000008307|obs_0000008595|obs_0000009612|obs_0000009968|obs_0000010558|obs_0000011211|obs_0000011229|obs_0000011665|obs_0000012629|obs_0000013551|obs_0000013979|obs_0000014418|obs_0000015216|obs_0000016064|obs_0000016120|obs_0000016130|obs_0000016382|obs_0000016680|obs_0000017223|obs_0000017954|obs_0000018997|obs_0000019816|obs_0000020224|obs_0000021504|obs_0000023348|obs_0000023866|obs_0000024683|obs_0000025827|obs_0000026359,obs_0000028412
Katjes Fruchtgummi,Keine Marke,"€ 0,99",,"1 kg = 4,71 €","versch. Sorten, je 210-g-Btl.",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_211.jpg,"cat_knabbern_naschen,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,BLS-S361000,ref_000028,obs_0000027549|obs_0000006362|obs_0000001716|obs_0000002100|obs_0000002104|obs_0000002106|obs_0000002729|obs_0000009551|obs_0000010769|obs_0000012814|obs_0000014823|obs_0000015244|obs_0000015443|obs_0000015552|obs_0000015627|obs_0000015628|obs_0000017607|obs_0000018247|obs_0000018892|obs_0000019100|obs_0000019303|obs_0000019312|obs_0000019711|obs_0000019919|obs_0000020122|obs_0000020131|obs_0000020213|obs_0000021924|obs_0000022301|obs_0000022729|obs_0000023261|obs_0000023488|obs_0000023655|obs_0000025342|obs_0000025729,obs_0000027549
Knoppers,Storck,"€ 1,69",,"1 kg = 8,45 €",je 8 x 25-g-Pckg.,Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_210.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed",bamberg,,ref_000029,obs_0000029391|obs_0000004751|obs_0000000402|obs_0000024855|obs_0000009508|obs_0000001189|obs_0000007471|obs_0000003897|obs_0000000710|obs_0000003577|obs_0000009057|obs_0000004324|obs_0000024815|obs_0000008178|obs_0000030591|obs_0000005260|obs_0000029625|obs_0000005834|obs_0000012721|obs_0000008370|obs_0000006022|obs_0000005261|obs_0000027453|obs_0000029893|obs_0000028792,obs_0000005260|obs_0000005834|obs_0000029391
Kalamata Oliven,REWE Feine Welt,"€ 1,99",,"1 kg = 14,74 €","je 280-g-Glas, 135 g Abtropfgewicht",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_208.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,ref_000030,obs_0000023761|obs_0000001285|obs_0000032016|obs_0000020905|obs_0000023992|obs_0000008127|obs_0000026814|obs_0000026694|obs_0000007640|obs_0000016740|obs_0000024810|obs_0000000624,obs_0000023761
Backin Backpulver,Dr Oetker,"€ 0,99",,"1 kg = 6,19 €",je 10 x 16-g-Pckg.,Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_207.jpg,"cat_grundnahrung,tag_ultra_processed",bamberg,,ref_000031,obs_0000001698|obs_0000030146,
Fix Hackbraten,Knorr,"€ 0,49",,"1 kg = 7,00 €",je 70-g-Btl.,Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_206.jpg,"cat_grundnahrung,tag_ultra_processed",bamberg,,ref_000032,obs_0000011813|obs_0000013526|obs_0000009445|obs_0000024314|obs_0000015121|obs_0000008983|obs_0000015765|obs_0000010147|obs_0000027434|obs_0000017466|obs_0000019539|obs_0000023175|obs_0000018720|obs_0000009684|obs_0000024560,
Schokolade Harry Hase,Kinder,"€ 1,29",,"1 kg = 23,45 €","aus feinster Kinder-Schokolade, je 55-g-Pckg.",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_212.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed",bamberg,,ref_000033,obs_0000017954|obs_0000003112|obs_0000004659|obs_0000003637|obs_0000018997|obs_0000002122|obs_0000014418|obs_0000000091|obs_0000024683|obs_0000008307|obs_0000031872|obs_0000029313|obs_0000031875|obs_0000004232|obs_0000000138|obs_0000013979|obs_0000031477|obs_0000016064|obs_0000003805|obs_0000025827|obs_0000000230|obs_0000013551|obs_0000009968|obs_0000026359|obs_0000016120|obs_0000020224|obs_0000016130|obs_0000026371|obs_0000026376|obs_0000016680|obs_0000023348|obs_0000030520|obs_0000023866|obs_0000010558|obs_0000017223|obs_0000012629|obs_0000008041|obs_0000019816|obs_0000015216|obs_0000008056|obs_0000004491|obs_0000009612|obs_0000011665|obs_0000008595|obs_0000011211|obs_0000011229|obs_0000004064|obs_0000016382|obs_0000021504,
Suppenliebe,Knorr,"€ 0,79",,Kein Mengenpreis,"versch. Sorten, ausreichend für 750 ml, je 1-Btl.",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_185.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,ref_000034,obs_0000029248|obs_0000011637|obs_0000028817|obs_0000028137|obs_0000006091|obs_0000005345,obs_0000029248|obs_0000011637
Rapso Rapsöl,Keine Marke,"€ 3,99",,"1 l = 5,32 €","100% rein, aus kontrolliertem Anbau, je 750-ml-Fl.",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_184.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,ref_000035,obs_0000026159|obs_0000006626|obs_0000005912|obs_0000012283|obs_0000013938|obs_0000018229|obs_0000025995|obs_0000026518,obs_0000026159
Oro di Parma Tomaten,Keine Marke,"€ 1,99",,"1 kg = 2,84 €","passiert, je 700-g-Fl.",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_183.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",bamberg,,ref_000036,obs_0000029939|obs_0000029580|obs_0000006820|obs_0000007921|obs_0000008293|obs_0000012678|obs_0000029579|obs_0000015492|obs_0000001779|obs_0000024405|obs_0000024534|obs_0000018434|obs_0000031487,obs_0000001779|obs_0000006820|obs_0000029579|obs_0000029939
Nature Valley Protein Riegel,Keine Marke,"€ 2,49",,"1 kg = 15,56 €","versch. Sorten, je 4 x 40-g-Riegel-Pckg.",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_163.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_high_protein,tag_proteinreich,tag_ultra_processed,tag_whole_food",bamberg,,ref_000037,obs_0000010623|obs_0000026503|obs_0000030833|obs_0000009803|obs_0000011232|obs_0000012122|obs_0000013126|obs_0000013982|obs_0000015347|obs_0000015453|obs_0000015632|obs_0000018457|obs_0000021392|obs_0000023504|obs_0000030828,
Suchard Express Kakao oder Kaba Choco,Keine Marke,"€ 1,99",,"1 kg = 4,98 €",je 400-g-Btl.,Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_162.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",bamberg,,ref_000038,obs_0000030116|obs_0000007410,
Gourmet-Frühstück Fruchtaufstrich,Mövenpick,"€ 1,99",,"1 kg = 7,96 €","versch. Sorten, je 250-g-Glas",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_161.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",bamberg,,ref_000039,obs_0000009165|obs_0000008692|obs_0000012916|obs_0000028127|obs_0000004979|obs_0000010787|obs_0000008246|obs_0000015272,obs_0000009165|obs_0000008692
3in1 Classic,Jacobs,"€ 1,99",,"1 kg = 16,58 €",je 120-g-Pckg.,Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_160.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",bamberg,,ref_000040,obs_0000029321|obs_0000028821|obs_0000027488|obs_0000030115|obs_0000032390|obs_0000019121|obs_0000013543|obs_0000010989|obs_0000023795|obs_0000026878|obs_0000032113|obs_0000025011|obs_0000029122|obs_0000019940,
Barista Caff Crema,Melitta,"€ 13,99",,Kein Mengenpreis,"ganze Bohnen, je 1000-g-Btl.",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_159.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",bamberg,,ref_000041,obs_0000008314|obs_0000009738|obs_0000014409|obs_0000025778|obs_0000024334|obs_0000015257|obs_0000015792|obs_0000032196|obs_0000004642|obs_0000003178|obs_0000004215|obs_0000013971|obs_0000003788|obs_0000029389|obs_0000000331|obs_0000012628|obs_0000008711|obs_0000000043|obs_0000006264|obs_0000026920|obs_0000007589|obs_0000029626|obs_0000003574|obs_0000007805|obs_0000006088,
Kaffeepads Classic,Senseo,"€ 2,49",,"1 kg = 22,43 €",je 111-g-Btl.,Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_158.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",bamberg,,ref_000042,obs_0000028846|obs_0000027494|obs_0000030111|obs_0000001562|obs_0000000609|obs_0000030857|obs_0000032390|obs_0000019121|obs_0000013543|obs_0000010989|obs_0000023795|obs_0000026878|obs_0000032113|obs_0000025011|obs_0000029122|obs_0000009170|obs_0000019940|obs_0000008699,
Anno 1688,Harry,"€ 1,99",,"1 kg = 3,98 €","geschnitten, je 500-g-Btl.",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_164.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed",bamberg,,ref_000043,obs_0000014391|obs_0000013521|obs_0000028825|obs_0000009679,obs_0000014391|obs_0000013521
Krönung,Jacobs,"€ 6,99",,"1 kg = 13,98 €","versch. Sorten, gemahlener Bohnenkaffee, je 500-g-Pckg.",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_157.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",bamberg,,ref_000044,obs_0000021493|obs_0000023965|obs_0000018096|obs_0000000068|obs_0000030941|obs_0000029182|obs_0000027151|obs_0000028459|obs_0000026599|obs_0000029574|obs_0000028816|obs_0000029883|obs_0000006624|obs_0000027122|obs_0000012836,obs_0000021493
Schweine-Nackensteaks,ja,"€ 7,98",,Kein Mengenpreis,"in Paprika- oder Kräutermarinade, SB-verpackt, je 1-kg-",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_155.jpg,"cat_fleisch_wurst,sub_schwein",bamberg,BLS-U605000,ref_000045,obs_0000006891|obs_0000029865|obs_0000028048|obs_0000000649|obs_0000022161|obs_0000021415,obs_0000029865|obs_0000006891|obs_0000028048
Grobe Bratwurst,ja,"€ 2,59",,"1 kg = 6,48 €","vom Schwein, je 400-g-Pckg.",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_154.jpg,"cat_fleisch_wurst,sub_wurst,tag_ultra_processed",bamberg,BLS-W114000,ref_000046,obs_0000008066|obs_0000000643|obs_0000028035|obs_0000032012|obs_0000028702|obs_0000013864|obs_0000002734|obs_0000031790|obs_0000018867|obs_0000020281|obs_0000002501|obs_0000012770|obs_0000019686|obs_0000031591|obs_0000032216|obs_0000008700|obs_0000021892|obs_0000018187|obs_0000023071|obs_0000018467|obs_0000010048|obs_0000031184|obs_0000015058|obs_0000014298|obs_0000006147|obs_0000029097|obs_0000007080|obs_0000024374|obs_0000021094,obs_0000008066|obs_0000000643|obs_0000028035|obs_0000032012|obs_0000028702|obs_0000013864|obs_0000002734|obs_0000031790|obs_0000018867|obs_0000020281|obs_0000002501|obs_0000012770|obs_0000019686|obs_0000031591|obs_0000032216|obs_0000008700
