Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,source_market,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Plomari Ouzo,Keine Marke,"€ 8,99",,"1 l = 12,84 €","40 % Vol., je 0,7-l-Fl.",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_247.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food",bamberg,,ref_000136,obs_0000001450|obs_0000012588|obs_0000024270|obs_0000002671|obs_0000021938|obs_0000023670,
Die jungen Frank n Qualtitätswein,Keine Marke,"€ 3,99",,"1 l = 5,32 €","versch. Sorten, trocken, je 0,75-l-Fl.",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_246.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,ref_000137,obs_0000028551|obs_0000007105|obs_0000009546|obs_0000010587|obs_0000013167|obs_0000014021|obs_0000032091|obs_0000032315|obs_0000005793,obs_0000010587|obs_0000013167|obs_0000014021|obs_0000028551
Tenuta tre Sorelle Lugana DOC,Keine Marke,"€ 10,99",,"1 l = 14,65 €","trocken, je 0,75-l-Fl.",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_245.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,ref_000138,obs_0000003300|obs_0000014717|obs_0000015834|obs_0000016390|obs_0000017634|obs_0000018270|obs_0000019292|obs_0000020111|obs_0000020830|obs_0000023052|obs_0000023551|obs_0000026948,
Wodka Original,Gorbatschow,"€ 6,49",,"1 l = 9,27 €","37,5% Vol., je 0,7-l-Fl.",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_244.jpg,"cat_getraenke,tag_high_protein,tag_ultra_processed",bamberg,,ref_000139,obs_0000011213|obs_0000013601|obs_0000032103|obs_0000029490|obs_0000028532|obs_0000026643|obs_0000008223|obs_0000026757|obs_0000008352|obs_0000020709|obs_0000026857|obs_0000018706|obs_0000024899|obs_0000014692|obs_0000024959|obs_0000018823|obs_0000027023|obs_0000012774|obs_0000031227|obs_0000025132|obs_0000008780|obs_0000029264|obs_0000025175|obs_0000019136|obs_0000031439|obs_0000008971|obs_0000019525|obs_0000023674|obs_0000019642|obs_0000009433|obs_0000013576|obs_0000023832|obs_0000032025|obs_0000032039|obs_0000025918|obs_0000009563|obs_0000019955|obs_0000015909|obs_0000011869|obs_0000024162|obs_0000018030|obs_0000032341|obs_0000014027|obs_0000020283|obs_0000020393|obs_0000026556|obs_0000016324|obs_0000028718,obs_0000018526|obs_0000027067|obs_0000009602
Finvara Irish Whiskey,Keine Marke,"€ 19,99",,"1 l = 28,56 €","43% Vol., je 0,7-l-Fl.",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_243.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,ref_000140,obs_0000006344|obs_0000006708|obs_0000007817|obs_0000008202|obs_0000009782|obs_0000010190|obs_0000010756|obs_0000012077|obs_0000013591|obs_0000016741|obs_0000017850|obs_0000017967|obs_0000019111|obs_0000019930|obs_0000020421|obs_0000021363|obs_0000024704|obs_0000025592|obs_0000026938|obs_0000031886|obs_0000000036|obs_0000003555|obs_0000005417|obs_0000016628,
Mionetto Prosecco Spumante DOC,Keine Marke,"€ 6,49",,"1 l = 8,65 €","je 0,75-l-Fl.",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_242.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,ref_000141,obs_0000028138|obs_0000006160|obs_0000028359|obs_0000024137|obs_0000014455|obs_0000026961|obs_0000007580|obs_0000031860,obs_0000028138
1112 Grauburgunder Qualitätswein,Keine Marke,"€ 3,99",,"1 l = 5,32 €","trocken, je 0,75-l-Fl.",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_258.jpg,"cat_getraenke,diet_vegetarian",bamberg,,ref_000142,obs_0000026257|obs_0000002489|obs_0000008167|obs_0000010584|obs_0000011432|obs_0000011671|obs_0000013166|obs_0000014448|obs_0000024881|obs_0000029342,obs_0000026257
Gelbe Speisezwiebeln,Keine Marke,"€ 1,11",,"1 kg = 0,56 €","Kl. II, je 2-kg-Netz",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_148.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",bamberg,BLS-G480100,ref_000143,obs_0000029970|obs_0000027606,obs_0000026448|obs_0000027606|obs_0000029970
Mohn Back,Dr Oetker,"€ 1,79",,"1 kg = 7,16 €","Backfertige Mohnfüllung, je 250-g-Btl.",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_191.jpg,"cat_grundnahrung,tag_ultra_processed",bamberg,,ref_000144,obs_0000015194|obs_0000009577|obs_0000016377|obs_0000029409,obs_0000015194|obs_0000009577|obs_0000016377
Filegro Ofen-Backfisch,Iglo,"€ 2,99",,"1 kg = 12,46 €","tiefgefroren, je 240-g-Pckg.",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_146.jpg,"cat_tiefkuehl,tag_ultra_processed",bamberg,,ref_000145,obs_0000021028|obs_0000026680|obs_0000026800|obs_0000027829|obs_0000028979|obs_0000010789|obs_0000012913|obs_0000020169|obs_0000024784|obs_0000020346|obs_0000019350|obs_0000012271,obs_0000021028|obs_0000026680|obs_0000026800
