Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Kinder-Küchen-Set 3-teilig,Livarno Home,"€ 4,99",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_215.jpg,cat_non_food,,ref_000215,,
Dauerbackfolie,Silvercrest,"€ 1,99",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_216.jpg,cat_non_food,,ref_000216,,
Obstbodenform,Kaiser,"€ 6,99",,"UVP
11,99 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_217.jpg,"cat_non_food,diet_vegetarian",,ref_000217,,
Küchenmaschine,Silvercrest,"€ 119,00",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_218.jpg,cat_non_food,,ref_000218,obs_0000030970|obs_0000018913|obs_0000017248|obs_0000023797|obs_0000019732|obs_0000007649|obs_0000016081|obs_0000004313|obs_0000002395|obs_0000004740|obs_0000031737|obs_0000003219|obs_0000009584|obs_0000003886|obs_0000018500|obs_0000018645|obs_0000020726|obs_0000019464|obs_0000017501|obs_0000023218|obs_0000018196|obs_0000016725|obs_0000020893|obs_0000015324|obs_0000013243,obs_0000030970|obs_0000018913|obs_0000017248|obs_0000023797|obs_0000019732|obs_0000007649|obs_0000016081
Herdbackblech,Zenker,"€ 6,99",,"UVP
19,99 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_219.jpg,"cat_non_food,tag_ultra_processed",,ref_000219,obs_0000023429,
Silikon Backformen,Silvercrest,"€ 1,99",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_220.jpg,cat_non_food,,ref_000220,obs_0000019227|obs_0000020046|obs_0000020405,obs_0000030935|obs_0000004320|obs_0000002275|obs_0000004747|obs_0000023216|obs_0000023255|obs_0000023570|obs_0000003137|obs_0000025900|obs_0000017710|obs_0000003893
Trinkgläser-Set,Freeway,"€ 3,99",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_221.jpg,cat_non_food,,ref_000221,obs_0000012003|obs_0000008368,obs_0000012003
Silikon-Spritzbeutel-Set,Silvercrest,"€ 2,19",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_222.jpg,cat_non_food,,ref_000222,,
Back- und Abkühlgitter-Set,Silvercrest,"€ 4,99",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_223.jpg,cat_non_food,,ref_000223,obs_0000008290,
Kuchenheber Tortenboden-Schneidhilfe,Silvercrest,"€ 3,99",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_224.jpg,cat_non_food,,ref_000224,,
Vorratsdosen-Set,Silvercrest,"€ 12,99",,"16,99 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_225.jpg,cat_non_food,,ref_000225,obs_0000021631|obs_0000017885|obs_0000009715|obs_0000018117|obs_0000030988|obs_0000012048,obs_0000021631|obs_0000017885|obs_0000009715|obs_0000018117
