Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
GIUSEPPE CREMONINI,Aceto Balsamico di Modena,"€ 9,99","€ 13,99","1 l = 39,96","aus über 60 % gekochtem Traubenmost, 3 Monate im Barrique gereift, besonders cremig",Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_236.jpg,"cat_grundnahrung,diet_gluten_free,diet_vegan,diet_vegetarian",,,ref_000001,obs_0000034887|obs_0000001938|obs_0000000531|obs_0000003099|obs_0000004883|obs_0000000349|obs_0000004456|obs_0000004029|obs_0000032680|obs_0000027687,obs_0000034887|obs_0000001938
BERTOLLI,Aceto Balsamico Spray,"€ 2,99","€ 3,99","1 l = 14,95","in Holzfässern gereifter Balsamico-Essig, als Spray besonders gut dosierbar",Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_238.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",,,ref_000002,obs_0000027687,
PARKSIDE,Akku-Gartenschere 4 V PAAS 4 A1,"€ 17,99","€ 19,99","pro Einheit = 17,99","Zum Beschnitt von Rosen, Sträuchern, Ästen Ergonomischer Griff mit Softgrip Werkzeuglos austauschbare Bypass-Klinge Schnittleistung Weich-/Hartholz max. 12/14 mm Mit integriertem Li-Ion-Akku (4 Ah) Bis zu 500 Schnitte pro Akkuladung Ohne USB-Ladegerät Inkl. Messerschutzhülle und USB-C-Ladekabel 3 Jahre Garantie",Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_510.jpg,cat_non_food,,,ref_000003,,
PARKSIDE,Akku-Hochentaster 20 V PAHE E6 ohne Akku,"€ 39,99",,"pro Einheit = 39,99","Anti-Rutsch-Griff mit Sicherheitsschalter Neigbarer Sägekopf Schwert mit vibrationsarmer Kette Werkzeuglose Ketten-Schnellspannung Automatisches Kettenölsystem Kettengeschwindigkeit max. 5 m/s Schnittlänge max. 20 cm Aluminium-Teleskoprohr mit Schnellverschluss Gesamtlänge ca. 212 - 270 cm Mit Zughaken zum Herabziehen festhängender Äste Ohne Akku und Ladegerät (separat erhältlich) Kompatibel mit Akkus der Serie »X 20 V Team« Inkl. Schutzbrille und verstellbarem Schultergur Inkl. Kettenschutz, Montagewerkzeug, Kettenöl 3 Jahre Garantie",Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_508.jpg,cat_non_food,,,ref_000004,obs_0000014256|obs_0000000184,
VARTA,Alkaline-Batterien AA Longlife Power,"€ 3,99","€ 9,99","pro Einheit = 3,99",,Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_431.jpg,"cat_non_food,diet_vegetarian,tag_ultra_processed",,,ref_000005,obs_0000016005|obs_0000033141|obs_0000015987|obs_0000009874|obs_0000008223|obs_0000009413|obs_0000018647|obs_0000021986|obs_0000025093|obs_0000018968|obs_0000024878|obs_0000027582|obs_0000026819|obs_0000002817|obs_0000002891|obs_0000001372|obs_0000003549|obs_0000003333|obs_0000002458|obs_0000019099|obs_0000002357|obs_0000002740|obs_0000000583|obs_0000023567|obs_0000017567|obs_0000018730|obs_0000034870,obs_0000016005|obs_0000015987
VARTA,Alkaline-Batterien AAA Longlife Power,"€ 3,99","€ 9,99","pro Einheit = 3,99",,Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_437.jpg,"cat_non_food,diet_vegetarian,tag_ultra_processed",,,ref_000006,obs_0000015987|obs_0000016005|obs_0000018647|obs_0000021986|obs_0000033141|obs_0000025093|obs_0000018968|obs_0000024878|obs_0000027582|obs_0000026819|obs_0000002817|obs_0000002891|obs_0000003549|obs_0000009062|obs_0000003333|obs_0000002458|obs_0000019099|obs_0000002740|obs_0000002357|obs_0000023567|obs_0000017567|obs_0000018730|obs_0000034870,obs_0000016005|obs_0000015987
GORBATSCHOW,Alkoholisches Mixgetränk,"€ 1,99",,"1 l = 6,03","mit Wodka, versch. Sorten, z. T. koffeinhaltig, 10 Vol. % (+ 0.25 Pfand)",Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_355.jpg,"cat_getraenke,tag_ultra_processed",,,ref_000007,obs_0000012426|obs_0000015062|obs_0000013501|obs_0000026012|obs_0000012425|obs_0000013228|obs_0000015063,obs_0000012426|obs_0000015062|obs_0000013501
HP,All-in-One-Drucker Deskjet 2810e,"€ 44,99","€ 69,00","pro Einheit = 44,99","Drucken, scannen, kopieren Drucken SW/Farbe bis zu 7/5 Seiten/min Scannen bis zu 1.200 dpi Papierzufuhr max. 60 Blatt Wifi, USB, Apple AIR Print, HP App Inkl. Druckpatronen Schwarz und Farbe",Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_447.jpg,cat_non_food,,,ref_000008,obs_0000009741|obs_0000009277|obs_0000031669,obs_0000009741|obs_0000009277
DER GENERAL,Allzweckreiniger,"€ 1,59","€ 1,95","1 l = 2,12","Bergfrühling, Frische Zitrone oder Aloe Vera",Nein,Dieses Angebot findest du vom 30.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-30,2026-04-01,../images/kaufland/kaufland_offer_617.jpg,cat_drogerie,,,ref_000009,obs_0000015111|obs_0000016106|obs_0000033204|obs_0000032923|obs_0000016580|obs_0000012460|obs_0000028653|obs_0000027822|obs_0000033486|obs_0000015511|obs_0000028536|obs_0000014188|obs_0000006947|obs_0000005664,obs_0000016580|obs_0000015111|obs_0000016106|obs_0000012460|obs_0000028653|obs_0000027822|obs_0000033486|obs_0000033204|obs_0000015511|obs_0000028536|obs_0000032923|obs_0000005664
BLOCK HOUSE,American Burger,"€ 6,99","€ 10,99","1 kg = 13,98",Special Size,Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_196.jpg,cat_tiefkuehl,,,ref_000010,obs_0000014514|obs_0000034806|obs_0000023609|obs_0000018055|obs_0000032633|obs_0000021978,obs_0000014514|obs_0000032633|obs_0000034806
