Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,source_market
Barilla Pesto alla Genovese,Keine Marke,"€ 1,99",,"1 kg = 10,47",je 190-g-Glas,Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_001.jpg,bamberg
Barilla Classic Pasta,Keine Marke,"€ 0,79",,"1 kg = 1,58","versch. Ausformungen, je 500-g-Pckg",Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_143.jpg,bamberg
Knorr Fix Bolognese Unsere Beste,Keine Marke,"€ 0,49",,"1 kg = 12,89",je 38-g-Btl,Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_144.jpg,bamberg
Maggi 5 Minuten Terrine Nudeln in Rahmsauce,Keine Marke,"€ 0,99",,"1 kg = 16,23",je 61-g-Becher,Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_145.jpg,bamberg
Bertolli Olivenöl Originale,Keine Marke,"€ 5,99",,"1 l = 11,98","extra vergine, je 500-ml-Fl",Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_146.jpg,bamberg
Ben s Original Express Reis,Keine Marke,"€ 1,49",,"1 kg = 6,77","versch. Sorten, je 220-g-Btl",Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_147.jpg,bamberg
Appel Zarte Filets vom Hering,Keine Marke,"€ 1,11",,"1 kg = 5,55","versch. Sorten, je 200-g-Dose",Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_148.jpg,bamberg
Hengstenberg Knax Gewürzgurken,Keine Marke,"€ 1,99",,"1 kg = 5,53","knackig und würzig, je 670-g-Glas, 360-g-Abtropfgew.",Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_149.jpg,bamberg
Hengstenberg Mildessa Mildes Weinsauerkraut,Keine Marke,"€ 1,49",,"1 kg = 1,94","je 810-g-Dose, 770-g-Abtropfgew.",Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_150.jpg,bamberg
Knorr Soße 3er-Pack,Keine Marke,"€ 0,79",,Kein Mengenpreis,"versch. Sorten, ausreichend für 3 x 250 ml, je Pckg",Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_151.jpg,bamberg
Dr Oetker Milchreis,Keine Marke,"€ 0,99",,"1 kg = 7,92",je 125-g-Btl,Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_152.jpg,bamberg
Müller s Mühle Tellerlinsen,Keine Marke,"€ 1,29",,"1 kg = 2,58",je 500-g-Pckg,Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_154.jpg,bamberg
Pfanni Kartoffel Püree,Keine Marke,"€ 1,49",,"1 kg = 6,21","das Lockere, je 240-g-Pckg",Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_155.jpg,bamberg
Hengstenberg Mildessa Mildes Sauerkraut,Keine Marke,"€ 1,49",,"1 kg = 4,26","je 400-g-Btl, 350-g-Abtropfgew.",Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_157.jpg,bamberg
Knorr Fix Nudel-Schinken Gratin,Keine Marke,"€ 0,49",,"1 kg = 15,31",je 32-g-Btl,Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_158.jpg,bamberg
Barilla Pesto Basilico Vegan,Keine Marke,"€ 1,99",,"1 kg = 10,20",je 195-g-Glas,Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_159.jpg,bamberg
Maggi Magic Asia Noodle Cup Chicken,Keine Marke,"€ 0,99",,"1 kg = 15,71",je 63-g-Becher,Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_160.jpg,bamberg
REWE Bio Apfelmark,Keine Marke,"€ 1,29",,"1 kg = 1,84",je 700-g-Glas,Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_161.jpg,bamberg
Funny-frisch Chipsfrisch,Keine Marke,"€ 1,29",,"1 kg = 8,60","ungarisch, je 150-g-Btl",Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_162.jpg,bamberg
Storck Toffifee,Keine Marke,"€ 4,79",,"1 kg = 7,66",je 5 x 125-g-Pckg,Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_163.jpg,bamberg
Nestl Kit Kat,Keine Marke,"€ 1,79",,"1 kg = 10,78","je 4 x 41,5-g-Pckg",Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_164.jpg,bamberg
Kinder Überraschung,Keine Marke,"€ 0,89",,"1 kg = 44,50","versch. Sorten, je 20-g-Pckg",Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_165.jpg,bamberg
Alpia Alpen-Vollmilch Schokolade,Keine Marke,"€ 0,99",,"1 kg = 9,90",je 100-g-Tafel,Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_166.jpg,bamberg
Loacker Waffeln,Keine Marke,"€ 1,49",,"1 kg = 11,04","versch. Sorten, je 135-g-Pckg",Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_167.jpg,bamberg
Dr Oetker Grießbrei,Keine Marke,"€ 0,99",,"1 kg = 10,76",je 92-g-Btl,Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_156.jpg,bamberg
Funny-frisch Ofen Chips,Keine Marke,"€ 1,29",,"1 kg = 10,32","Paprika, je 125-g-Btl",Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_168.jpg,bamberg
Wasa Vollkorn Roggen,Keine Marke,"€ 1,79",,"1 kg = 6,88",je 260-g-Pckg,Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_141.jpg,bamberg
Landliebe Konfitüre,Keine Marke,"€ 1,49",,"1 kg = 7,45","versch. Sorten, je 200-g-Glas",Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_139.jpg,bamberg
Costa Pacific Prawns,Keine Marke,"€ 7,99",,"1 kg = 37,16","tiefgefroren, je 215-g-Btl",Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_115.jpg,bamberg
Coppenrath Wiese Lust auf Kuchen Erdbeer Cheesecake,Keine Marke,"€ 3,99",,"1 kg = 7,25","tiefgefroren, je 550-g-Pckg",Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_116.jpg,bamberg
Magnum Bonbon,Keine Marke,"€ 3,99",,"1 l = 19,59","versch. Sorten, je 204-ml-Pckg",Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_117.jpg,bamberg
Beyond Meat Beyond Burger,Keine Marke,"€ 2,99",,"1 kg = 13,23","tiefgefroren, je 226-g-Pckg",Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_118.jpg,bamberg
Iglo Filegro Ofen-Backfisch,Keine Marke,"€ 2,79",,"1 kg = 11,63","tiefgefroren, je 240-g-Pckg",Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_119.jpg,bamberg
Iglo 13 Backfischstäbchen,Keine Marke,"€ 2,99",,"1 kg = 8,21","tiefgefroren, je 364-g-Pckg",Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_120.jpg,bamberg
Dr Oetker Suprema Romano,Keine Marke,"€ 3,99",,"1 kg = 8,19","tiefgefroren, je 487-g-Pckg",Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_121.jpg,bamberg
Dr Oetker Ristorante Pizza Spinaci,Keine Marke,"€ 1,99",,"1 kg = 5,10","tiefgefroren, je 390-g-Pckg",Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_122.jpg,bamberg
Schöller Multipackung Pirulo Kaktus,Keine Marke,"€ 2,22",,"1 l = 5,48",je 9 x 45-ml-Pckg,Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_123.jpg,bamberg
Beyond Meat Beyond Burger Chicken Style,Keine Marke,"€ 2,99",,"1 kg = 16,61","tiefgefroren, je 180-g-Pckg",Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_124.jpg,bamberg
REWE Bio Blattspinat,Keine Marke,"€ 1,99",,"1 kg = 3,32","portioniert und tiefgefroren, je 600-g-Btl",Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_125.jpg,bamberg
Wasa Sesam Vollkorn,Keine Marke,"€ 1,79",,"1 kg = 8,95",je 200-g-Pckg,Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_140.jpg,bamberg
Eisbergsalat,Keine Marke,"€ 1,11",,Kein Mengenpreis,"Kl. I, je St",Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_126.jpg,bamberg
Grüne Tafelbirnen,Keine Marke,"€ 1,49",,Kein Mengenpreis,"Sorte: siehe Etikett, Kl. I, je 1-kg-Schale",Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_128.jpg,bamberg
Rote Tafeläpfel,Keine Marke,"€ 1,29",,Kein Mengenpreis,"Sorte: siehe Etikett, Kl. I, je 1-kg-Schale",Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_129.jpg,bamberg
Melitta Auslese Kaffee,Keine Marke,"€ 6,99",,"1 kg = 13,98","versch. Sorten, gemahlener Bohnenkaffee, je 500-g-Pckg",Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_130.jpg,bamberg
Jacobs Barista Editions,Keine Marke,"€ 15,49",,Kein Mengenpreis,"ganze Bohnen, versch. Sorten, je 1000-g-Pckg",Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_131.jpg,bamberg
Nescaf Gold,Keine Marke,"€ 7,49",,"1 kg = 37,45","löslicher Bohnenkaffee, je 200-g-Glas",Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_132.jpg,bamberg
Baguette,Keine Marke,"€ 0,89",,"1 kg = 2,70",je 330-g-St,Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_133.jpg,bamberg
Kölln Haferflocken,Keine Marke,"€ 1,29",,"1 kg = 2,58","versch. Sorten, je 500-g-Pckg",Nein,2026-01-19 bis 2026-01-25,2026-01-19,2026-01-25,images_rewe/bamberg_offer_134.jpg,bamberg
