Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
KEEEPER,2-in-1-Schüssel-Sieb Stella,"€ 3,99",,Kein Mengenpreis,"Aus Kunststoff Praktische Kombination aus Schüssel und Sieb Ideal zum Waschen von Obst, Salat etc. Auch zum Abgießen von Pasta geeignet Spülmaschinengeeignet Größe ca. Ø 25 x 11 cm",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_472.jpg,cat_non_food
MAGGI,5-Minuten-Terrine,"€ 1,19",1.79,1 kg = 9.30 - 15.66,versch. Sorten,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_230.jpg,"cat_grundnahrung,tag_ultra_processed"
CILLIT BANG,6 in 1 WC-Duft Farbspüler,"€ 2,22",,1 kg = 31.72,versch. Sorten,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_332.jpg,cat_drogerie
PARKSIDE PERFORMANCE,Akku-Schlagbohrschrauber 20 V PSBSAP 20-Li C4,"€ 39,99",,Kein Mengenpreis,"Bürstenloser Motor (langlebig, verschleißarm) 2-Gang-Getriebe und zuschaltbares Schlagwerk 21 Drehmomentstufen, Bohrstufe, Schlagbohrstufe Drehmoment max. 64 Nm Drehzahl max. 630/2.100 min-1 Schlagzahl max. 10.810/36.000 min-1 Röhm Metall-Schnellspannbohrfutter 1,5 - 13 mm Bohr-Ø Holz/Beton/Stahl max. 68/16/13 mm Zusatzhandgriff 360° drehbar, mit Tiefenanschlag Integrierte LED-Arbeitsleuchte Ohne Akku und Ladegerät (separat erhältlich) Kompatibel mit allen Akkus von »X 20 V Team« Inkl. Aufbewahrungskoffer 5 Jahre Garantie",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_409.jpg,cat_non_food
PARKSIDE,Akku-Schraubendreher 4 V PASD 4 C3,"€ 19,99",,Kein Mengenpreis,"Ideal für Haushalt und Hobbybereich Mit rutschfester Softgrip-Ausstattung Drehzahl 215 min-1 Einstellbarer Links- und Rechtslauf Werkstückbeleuchtung mit 2 LEDs Integrierter Li-Ion-Akku (1,5 Ah) Mit LED-Ladestatusanzeige Inkl. 6 Spezial-Bits (für max. 1.000 V) Inkl. USB-C-Ladekabel (ca. 1,5 m) 3 Jahre Garantie",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_400.jpg,cat_non_food
ERDINGER,Alkoholfrei,"€ 3,99",5.29,1 l = 2.02,der spritzige Durstlöscher (+ 0.48 Pfand),Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_319.jpg,cat_getraenke
Keine Marke,Alu-Leiter,"€ 69,99",69.99,Kein Mengenpreis,"Schiebe-, Steh- oder Anlegeleiter 3 x 7 Sprossen mit Anti-Rutsch-Profil Rutschfeste Gummifüße Arbeitshöhe max. 3,5 m",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_388.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food"
DEL MONTE,Ananas,"€ 1,69",2.99,Abtropfgewicht 350 g (1 kg = 4.83,Stücke in Saft,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_196.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,sub_milchprodukte,tag_ultra_processed,tag_whole_food"
HARRY,Anno 1688,"€ 1,89",2.39,1 kg = 3.78,"Rustikal oder Klassisch, geschnitten",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_225.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed"
ODENWALD,Apfelmus,"€ 1,99",2.59,1 kg = 2.77,aus handverlesenen Früchten,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_195.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food"
FRANKEN BRUNNEN,Apfelschorle,"€ 6,99",9.99,1 l = 0.78,(+ 3.30 Pfand),Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_292.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food"
SWITZERLAND,Appenzeller Extra-Würzig,"€ 2,49",2.99,Kein Mengenpreis,"schweiz. Hartkäse, mind. 6 Monate gereift, mind. 48 % Fett i. Tr.",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_153.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte"
CINZANO,Asti,"€ 5,99",7.99,1 l = 7.99,milder ital. Schaumwein,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_310.jpg,cat_getraenke
JACOBS,Auslese Klassisch oder Mild Sanft,"€ 6,49",,1 kg = 12.98,Klassisch oder Mild & Sanft,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_253.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_milchprodukte,tag_ultra_processed"
PARKSIDE,Automatik-Abisolier- und Crimpzangen-Set,"€ 9,99",,Kein Mengenpreis,"Zum Schneiden, Abisolieren und Verpressen 3-in-1-Funktion Crimpzange 60 Kabelschuhe, Je 30 Flachsteckhülsen und Flachstecker 30 Stoßverbinder (10 x spritzwasserfest) 50 Aderendhülsen sortiert 15 Kabelbinder 100 mm 15 x Draht 130 mm 3 Jahre Garantie",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_399.jpg,cat_non_food
