Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis
Russisch Brot,Dr. Quendt,"€ 0,99",Kein vorheriger Preis,"€ 9,90 / kg -",100 g,Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Vegane Pfannengerichte,Rügenwalder Mühle,"€ 3,29",Kein vorheriger Preis,"€ 16,45 / kg -","200 g gekühlt, versch. Sorten",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Pils,Warsteiner,"€ 0,79",Kein vorheriger Preis,"€ 1,58 / l -","0,5 l versch. Sorten zzgl. Pfand 0.25",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Fahrrad-Raucherunterstand,Westmann,"€ 399,99",Kein vorheriger Preis,"€ 399,99 / Stk -",HINWEIS: NUR ONLINE VERFÜGBAR Details im Prospekt,Ja,27.09. - 04.10.,2025-09-27,2025-10-04
Milchdrink,Münsterland,"€ 0,99",Kein vorheriger Preis,"€ 1,98 / l -",versch. Sorten 500 ml,Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Baumkuchen Vollmilch,Santa Claus in Town,"€ 4,49",Kein vorheriger Preis,"€ 14,97 / kg -",300 g versch. Sorten,Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Pavillon Meridien,Sojag,"€ 1.519,00",Kein vorheriger Preis,"€ 1.519,00 / Stk -",HINWEIS: NUR ONLINE VERFÜGBAR Details im Prospekt,Ja,27.09. - 04.10.,2025-09-27,2025-10-04
Big Babol Tutti Frutti Gum,Chupa Chups,"€ 9,99",Kein vorheriger Preis,"€ 17,84 / kg -","HINWEIS: NUR ONLINE VERFÜGBAR 27.5 g, 20er Pack",Ja,29.09. - 04.10.,2025-09-29,2025-10-04
Ciabatta,Netto Backstube,"€ 0,69",Kein vorheriger Preis,"€ 2,30 / kg -",300 g nach traditioneller,Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Weizenmischbrot,Netto Backstube,"€ 1,59",Kein vorheriger Preis,"€ 1,59 / kg -",1000 g,Nein,29.09. - 04.10.,2025-09-29,2025-10-04
