Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Rouladen vom Rind,Keine Marke,"€ 1,49",Kein vorheriger Preis,14.90 / kg,"küchenfertig, aus der Keule, ca. 1 kg",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_001.png
Rotkäppchen Sekt oder Fruchtsecco,Keine Marke,"€ 2,49",Kein vorheriger Preis,3.32 / l,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_002.png
Orangen,Keine Marke,"€ 2,22",Kein vorheriger Preis,1.11 / kg,"Griechenland/Spanien, Kl. I",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_003.png
Wiener Würstchen,Keine Marke,"€ 5,55","€ 6,99",Kein Mengenpreis,über Buchenholz geräuchert Regionale Verpackungsabweichungen möglich,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_004.png
Milka Schokolade,Keine Marke,"€ 0,99",Kein vorheriger Preis,10.42 - 11.- / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_005.png
Lavazza,Keine Marke,"€ 12,99","€ 20,99",Kein Mengenpreis,"ganze Kaffeebohnen, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_006.png
Coca-Cola Kombikiste,Keine Marke,"€ 9,99",Kein vorheriger Preis,0.83 / l,"teilweise koffeinhaltig, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_007.png
Müller Joghurt mit der Ecke,Keine Marke,"€ 0,33",Kein vorheriger Preis,2.20 - 2.92 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_008.png
Nuss-Nougat-Croissant,Keine Marke,"€ 1,49","€ 2,07",Kein Mengenpreis,Einzelpreis: 0.69 Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_009.png
Ferrero Küsschen,Keine Marke,"€ 2,99",Kein vorheriger Preis,16.80 - 17.38 / kg,"feine Nuss-Spezialitäten, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_010.png
Milram Käsescheiben,Keine Marke,"€ 1,49",Kein vorheriger Preis,9.93 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_011.png
Dallmayr Prodomo,Keine Marke,"€ 6,49","€ 10,49",12.98 / kg,"Kaffee gemahlen oder ganze Bohnen, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_012.png
Red Bull Energy Drink,Keine Marke,"€ 1,39","€ 1,89",3.92 / l,"taurin- & koffeinhaltig, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_013.png
Knorr Fix,Keine Marke,"€ 0,49",Kein vorheriger Preis,4.90 - 17.50 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_014.png
Glücksblatt Toilettenpapier,Keine Marke,"€ 5,99","€ 7,49",Kein Mengenpreis,3-lagig,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_015.png
Glücksblatt Küchentücher,Keine Marke,"€ 3,99",Kein vorheriger Preis,Kein Mengenpreis,3-lagig,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_016.png
