Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
K-CLASSIC,Studentenfutter,"€ 1,79",2.29,1 kg = 8.95,Klassik oder Exotic,Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_247.jpg,"cat_grundnahrung,diet_gluten_free,diet_vegetarian,sub_milchprodukte,tag_ultra_processed"
YAYLA,Sucuk,"€ 2,49",3.19,1 kg = 9.96 - 12.45) / (1 kg = 7.96 - 9.95)**,"pikante Knoblauchwurst, in Scheiben oder am Stück",Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_121.jpg,"cat_fleisch_wurst,sub_wurst"
STORCK,Super-Dickmann s,"€ 1,59",,1 kg = 6.36,super große Schaumküsse mit knackiger Schokolade,Nein,Dieses Angebot findest du vom 09.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-09,2026-03-11,images_kaufland/kaufland_offer_631.jpg,"cat_non_food,tag_ultra_processed"
K-PURLAND,Suppenfleisch ohne Knochen,"€ 12,99",16.99,Kein Mengenpreis,"vom Jungbullen, ohne Knochen",Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_105.jpg,"cat_fleisch_wurst,sub_rind,sub_schwein,tag_proteinreich"
KNORR,Suppenliebe,"€ 0,69",0.99,1 l = 0.69 - 1.38,"für 2 - 4 Teller (0,5 - 1 l), versch. Sorten",Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_235.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food"
LUMINARC,Suppenteller Diwali,"€ 7,99",,Kein Mengenpreis,Aus gehärtetem Opalglas Mikrowellen- und spülmaschinengeeignet Größe je ca. Ø 20 cm,Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_380.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese"
Keine Marke,Südafrik Passionsfrucht,"€ 0,99",1.49,Kein Mengenpreis,Kl. I,Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_060.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food"
Keine Marke,Südafrik San Lucar Nektarinen,"€ 2,99",3.99,1 kg = 4.99,"Sorte laut Auszeichnung, Kl. I",Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_086.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food"
Keine Marke,Südafrik Tafeltrauben rot,"€ 1,49",2.49,1 kg = 2.98,"Sorte laut Auszeichnung, Kl. I",Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_054.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food"
SCHRÖDER,Sülze im Ring,"€ 1,29",1.69,Kein Mengenpreis,"mit Schweinefleisch, herzhaft gewürzt und mit Kräutern abgerundet",Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_129.jpg,"cat_fleisch_wurst,tag_ultra_processed"
