Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
SAINT ALBRAY oder ST AGUR,Weich- oder Schnittkäse,"€ 2,22",,1 kg = 12.34 - 17.76,"versch. Sorten, 50 - 62 % Fett i. Tr.",Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_161.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte,tag_ultra_processed"
Keine Marke,Weichkäsewürfel,"€ 0,99",1.39,Kein Mengenpreis,mit Pesto,Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_217.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,sub_kaese,sub_milchprodukte,tag_ultra_processed,tag_whole_food"
SOFTLAN ULTRA,Weichspüler,"€ 1,19",1.75,pro Anwendung = 0.03 - 0.04,"versch. Sorten, = 31 - 45 Anwendungen",Nein,Dieses Angebot findest du vom 09.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-09,2026-03-11,images_kaufland/kaufland_offer_608.jpg,cat_drogerie
DILEK,Weinblätter,"€ 1,99",2.79,1 kg = 4.98,mit Reis gefüllt,Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_207.jpg,"cat_grundnahrung,diet_vegetarian"
DILEK,Weiße Bohnen,"€ 1,49",1.79,Abtropfgewicht 480 g (1 kg = 3.11,gekocht,Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_208.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_huelsenfruechte,tag_whole_food"
PAULUS,Wildlachsfilet,"€ 6,66",7.99,1 kg = 11.10,"Provençale oder Toskana, küchenfertig, gewürzt, praktisch grätenfrei",Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_193.jpg,"cat_tiefkuehl,diet_gluten_free,diet_lactose_free,tag_high_protein,tag_proteinreich"
KUNIBOO,Windeln,"€ 4,44",,pro Stück = 0.10 - 0.14,versch. Größen,Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_333.jpg,"cat_drogerie,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food"
K-CLASSIC,Wurst-Aufschnitt,"€ 0,99",1.19,1 kg = 4.95,"versch. Sorten, ausgenommen Lyoner",Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_115.jpg,"cat_fleisch_wurst,sub_wurst,tag_ultra_processed"
CURVER,Wäschebox Softex 56 l,"€ 12,99",UVP 21.99,Kein Mengenpreis,Aus zu 70 % recyceltem Kunststoff Stoffähnliche Oberflächenstruktur Mit seitlichen Griffen und Klappdeckel Fassungsvermögen ca. 56 l Größe ca. B 42 x H 60 x T 32 cm,Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_409.jpg,cat_non_food
K-CLASSIC,Wäschekorb,"€ 3,99",,Kein Mengenpreis,Aus Kunststoff Mit TPR-Softgriffen Belastbarkeit max. 12 kg Größe ca. B 62 x H 26 x T 41 cm (ca. 40 l),Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_394.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegetarian,tag_ultra_processed"
LENOR,Wäscheparfüm,"€ 6,29",7.45,1 kg = 22.47,versch. Sorten,Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_321.jpg,cat_drogerie
LIV BO,Wäschesammler,"€ 5,99",,Kein Mengenpreis,Aus flexiblem Kunststoff Mit 2 stabilen und komfortablen Tragegriffen Gelochte Seitenwände für eine optimale Belüftung Belastbarkeit max. 20 kg Volumen ca. 48 l Größe ca. B 41 x H 51 x T 39 cm,Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_392.jpg,cat_drogerie
K-CLASSIC,Wäschewanne,"€ 3,99",,Kein Mengenpreis,Aus Kunststoff Mit TPR-Softgriffen Belastbarkeit max. 12 kg Größe ca. B 62 x H 26 x T 41 cm (ca. 40 l),Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_395.jpg,"cat_drogerie,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed"
K-PURLAND,Würzgulasch,"€ 4,49",5.89,1 kg = 5.62,"vom Schwein, mariniert, zum Braten",Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_099.jpg,"cat_fleisch_wurst,sub_rind,sub_schwein"
MAGGI,Würzmischung,"€ 1,29",1.79,1 kg = 16.54 - 21.50,versch. Sorten,Nein,Dieses Angebot findest du vom 09.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-09,2026-03-11,images_kaufland/kaufland_offer_602.jpg,"cat_grundnahrung,tag_ultra_processed"
LEIBNIZ,Zoo,"€ 1,49",,1 kg = 11.92) / (1 kg = 10.32)**,"Figuren-Butterkekse, versch. Sorten",Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_271.jpg,"cat_knabbern_naschen,tag_ultra_processed"
Keine Marke,Zwiebelpflanze in Vogeltränke,"€ 7,99",,Kein Mengenpreis,"versch. Varianten, Topf Ø 19 cm",Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_078.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_ultra_processed,tag_whole_food"
LEIFHEIT,Clean Twist M micro duo Wischbezug,"€ 6,99",UVP 13.99,Kein Mengenpreis,Reinigungsstarkes 2-Faser-System aus Microfaser Mit leicht erhöhten Borsten Für alle Bodenarten geeignet Wischbreite ca. 33 cm,Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_434.jpg,"cat_non_food,diet_vegetarian,tag_ultra_processed"
LEIFHEIT,Clean Twist M super soft Wischbezug,"€ 6,99",UVP 13.99,Kein Mengenpreis,"Bodenschonende Schlingenstruktur aus Polyester Für empfindliche Böden wie Parkett, Laminat etc. Wischbreite ca. 33 cm",Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_437.jpg,cat_non_food
