Produkt,Preis,Preis_kg,Hinweis,Gueltig_von,Gueltig_bis,Bildpfad
Gut Günstig Erdbeeren,"€ 3,99","1 kg = 7,98 €","Herkunft siehe Etikett, Kl. I, 500 g Packung, (1 kg = 7,98 €)",2026-01-26,2026-01-31,images_edeka/gut-g-nstig-erdbeeren.jpg
Gut Günstig Mandarinen,"€ 1,99","1 kg = 1,99 €","Sorte siehe Etikett, aus Spanien/Griechenland, Kl. I, 1 kg Netz, (1 kg = 1,99 €)",2026-01-26,2026-01-31,images_edeka/gut-g-nstig-mandarinen.jpg
Gut Günstig WWF Bananen,"€ 0,99",Kein Mengenpreis,"Herkunft siehe Auszeichnung, 1 kg",2026-01-26,2026-01-31,images_edeka/gut-g-nstig-wwf-bananen.jpg
Gut Günstig Trauben hell kernlos,"€ 1,49","1 kg = 2,98 €","Sorte und Herkunft siehe Etikett, Kl. I Abbildung ähnlich., 500 g Packung, (1 kg = 2,98 €)",2026-01-26,2026-01-31,images_edeka/gut-g-nstig-trauben-hell-kernlos.jpg
Gut Günstig Speisekartoffeln,"€ 1,49","1 kg = 0,60 €","vorwiegend festkochend, Sorte siehe Etikett, aus Deutschland Abbildung ähnlich., 2,5 kg Netz, (1 kg = 0,60 €)",2026-01-26,2026-01-31,images_edeka/gut-g-nstig-speisekartoffeln.jpg
EDEKA Bio Heidelbeeren,"€ 3,99","1 kg = 13,30 €","Herkunft siehe Etikett, Kl. II Abbildung ähnlich., 300 g Packung, (1 kg = 13,30 €)",2026-01-26,2026-01-31,images_edeka/edeka-bio-heidelbeeren.jpg
EDEKA Herzstücke Apeel Riesenorangen,"€ 2,99","1 kg = 1,50 €","Sorte siehe Etikett, aus Spanien/Griechenland, Kl. I, 2 kg Netz, (1 kg = 1,50 €)",2026-01-26,2026-01-31,images_edeka/edeka-herzst-cke-apeel-riesenorangen.jpg
EDEKA Bio WWF Staudensellerie,"€ 1,99","1 kg = 4,98 €","aus Spanien/Italien, Kl. II, 400 g Bund, (1 kg = 4,98 €)",2026-01-26,2026-01-31,images_edeka/edeka-bio-wwf-staudensellerie.jpg
Mini Romanasalat,"€ 1,11",Kein Mengenpreis,"aus Spanien Abbildung ähnlich., 2er Packung",2026-01-26,2026-01-31,images_edeka/mini-romanasalat.jpg
Driscoll s Himbeeren,"€ 1,49","1 kg = 11,92 €","Herkunft siehe Etikett, Kl. I Abbildung ähnlich., 125 g Packung, (1 kg = 11,92 €)",2026-01-26,2026-01-31,images_edeka/driscoll-s-himbeeren.jpg
EDEKA Bio Salatgurken unfoliert,"€ 1,49",Kein Mengenpreis,"aus Spanien, Kl. II, Stück",2026-01-26,2026-01-31,images_edeka/edeka-bio-salatgurken-unfoliert.jpg
Gut Günstig Partytomaten,"€ 1,29","1 kg = 2,58 €","Herkunft siehe Etikett, Kl. I, 500 g Packung, (1 kg = 2,58 €)",2026-01-26,2026-01-31,images_edeka/gut-g-nstig-partytomaten.jpg
Gut Günstig Zitronen,"€ 1,49","1 kg = 1,99 €","Sorte siehe Etikett, aus Spanien/Italien, Kl. I, 750 g Netz, (1 kg = 1,99 €)",2026-01-26,2026-01-31,images_edeka/gut-g-nstig-zitronen.jpg
Honigpomelo weiß- oder ros fleischig,"€ 1,99",Kein Mengenpreis,"aus China, Kl. I, Stück",2026-01-26,2026-01-31,images_edeka/honigpomelo-wei-oder-ros-fleischig.jpg
Mini-Gurken,"€ 2,99","1 kg = 5,98 €","aus Deutschland, Kl. I Abbildung ähnlich., 500 g Netz, (1 kg = 5,98 €)",2026-01-26,2026-01-31,images_edeka/mini-gurken.jpg
EDEKA Herzstücke Mini Pflaumentomaten,"€ 1,99","1 kg = 7,96 €","Herkunft siehe Etikett, Kl. I Abbildung ähnlich., 250 g Becher, (1 kg = 7,96 €)",2026-01-26,2026-01-31,images_edeka/edeka-herzst-cke-mini-pflaumentomaten.jpg
Chinakohl,"€ 1,49",Kein Mengenpreis,"aus Deutschland, Kl. I, 1 kg",2026-01-26,2026-01-31,images_edeka/chinakohl.jpg
Tafeläpfel,"€ 2,49",Kein Mengenpreis,"verschiedene Sorten, aus Deutschland, Kl. I, 1 kg",2026-01-26,2026-01-31,images_edeka/tafel-pfel.jpg
Avocados Hass,"€ 1,29",Kein Mengenpreis,"Herkunft siehe Etikett, Kl. I Abbildung ähnlich., 2er Packung",2026-01-26,2026-01-31,images_edeka/avocados-hass.jpg
Möhren,"€ 1,11","1 kg = 1,11 €","aus Deutschland, Kl. I, 1 kg Packung, (1 kg = 1,11 €)",2026-01-26,2026-01-31,images_edeka/m-hren.jpg
EDEKA Herzstücke Mango Kent Keitt genussreif,"€ 2,99",Kein Mengenpreis,"aus Peru, Kl. I, Stück",2026-01-26,2026-01-31,images_edeka/edeka-herzst-cke-mango-kent-keitt-genussreif.jpg
EDEKA Bio WWF Feldsalat Rucola oder Spinat,"€ 1,11","1 kg = 11,10 €","aus Italien, Kl. II, 100 g Packung, (1 kg = 11,10 €)",2026-01-26,2026-01-31,images_edeka/edeka-bio-wwf-feldsalat-rucola-oder-spinat.jpg
EDEKA Herzstücke Mango Kent Keitt,"€ 2,99",Kein Mengenpreis,"aus Peru, Kl. I, Stück",2026-01-26,2026-01-31,images_edeka/edeka-herzst-cke-mango-kent-keitt.jpg
Mini-Gurken,"€ 2,99","1 kg = 5,98","aus Deutschland, Kl. I, 500 g Netz, (1 kg = 5,98)",2026-01-26,2026-01-31,images_edeka/mini-gurken.jpg
Gut Günstig WWF Bananen,"€ 0,99",Kein Mengenpreis,"Herkunft siehe Auszeichnung, 1 kg",2026-01-26,2026-01-31,images_edeka/gut-g-nstig-wwf-bananen.jpg
EDEKA Bio WWF Feldsalat oder Rucola,"€ 1,11","1 kg = 11,10","aus Italien, Kl. II, 100 g Packung, (1 kg = 11,10)",2026-01-26,2026-01-31,images_edeka/edeka-bio-wwf-feldsalat-oder-rucola.jpg
2 Packungen Mein Beerenglück Heidelbeeren,"€ 2,00","1 kg = 8,00","Herkunft siehe Etikett, Kl. I, à 125 g, (1 kg = 8,00)",2026-01-26,2026-01-31,images_edeka/2-packungen-mein-beerengl-ck-heidelbeeren.jpg
Unbekannt 28,"€ ,00",Kein Mengenpreis,,2026-01-26,2026-01-31,
Bergader Almzeit Weichkäse oder Bavaria blu,"€ 1,99",Kein Mengenpreis,verschiedene Sorten und Fettstufen,2026-01-26,2026-01-31,images_edeka/bergader-almzeit-weichk-se-oder-bavaria-blu.jpg
Arla Buko Frischkäse oder -zubereitung,"€ 0,99","1 kg = 4,95 €","verschiedene Sorten und Fettstufen, 200 g Becher, (1 kg = 4,95 €)",2026-01-26,2026-01-31,images_edeka/arla-buko-frischk-se-oder-zubereitung.jpg
Rougette Ofenkäse,"€ 3,99","1 kg = 12,47 €","verschiedene Sorten und Fettstufen, 320 g Packung, (1 kg = 12,47 €)",2026-01-26,2026-01-31,images_edeka/rougette-ofenk-se.jpg
Arla Finello geriebener Käse,"€ 1,49","1 kg = 9,93 €","verschiedene Sorten und Fettstufen, 150 g Packung, (1 kg = 9,93 €)",2026-01-26,2026-01-31,images_edeka/arla-finello-geriebener-k-se.jpg
müller Milch Reis,"€ 0,49",Kein Mengenpreis,verschiedene Sorten,2026-01-26,2026-01-31,images_edeka/m-ller-milch-reis.jpg
müller Froop,"€ 0,39","1 kg = 2,60 €","verschiedene Sorten, 150 g Becher, (1 kg = 2,60 €)",2026-01-26,2026-01-31,images_edeka/m-ller-froop.jpg
Weideglück Gouda Tilsiter Edamer oder Butterkäse,"€ 0,88",Kein Mengenpreis,"deutscher Schnittkäse, 30-48 % Fett i. Tr., mild bis pikant, 100 g",2026-01-26,2026-01-31,images_edeka/weidegl-ck-gouda-tilsiter-edamer-oder-butterk-se.jpg
