Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Naturjoghurt,Keine Marke,"€ 1,58","€ 2,37",1.06 / kg,"gekühlt 0,1% oder 1,5% Fett Einzelpreis: 0.79 (1.58 / kg) 1 Packung GRATIS!",Nein,"Wochenangebote gültig von Sonntag, 26.01.25 - Freitag, 31.01.25",26.01.25,31.01.25,images_netto/netto_offer_001.png
Bistro Baguettes,Keine Marke,"€ 8,78",,5.85 / kg,"tiefgekühlt, versch. Sorten Einzelpreis: 4.39 (8.78 / kg) 1 Packung GRATIS!",Nein,"Wochenangebote gültig von Sonntag, 26.01.25 - Freitag, 31.01.25",26.01.25,31.01.25,images_netto/netto_offer_002.png
Pfanni Speisekartoffeln Unsere Besten,Keine Marke,"€ 4,98",,0.71 / kg,"Deutschland, versch. Kocheigenschaften Einzelpreis Kartoffeln: 2.49 (1.- / kg) Zwiebeln Deutschland, Kl. II 2 kg Netz Einzelpreis: 1.69 (0.90 / kg) GRATIS!",Nein,"Wochenangebote gültig von Sonntag, 26.01.25 - Freitag, 31.01.25",26.01.25,31.01.25,images_netto/netto_offer_003.png
Hackfleisch gemischt,Keine Marke,"€ 9,58","€ 14,37",6.38 / kg,aus 50% Schwein und 50% Rind Einzelpreis: 4.79 (9.58 / kg) 1 Packung GRATIS!,Nein,"Wochenangebote gültig von Sonntag, 26.01.25 - Freitag, 31.01.25",26.01.25,31.01.25,images_netto/netto_offer_004.png
Trauben hell,Keine Marke,"€ 1,49",,2.98 / kg,"Südafrika/Namibia, Kl. I, kernlos",Nein,"Wochenangebote gültig von Sonntag, 26.01.25 - Freitag, 31.01.25",26.01.25,31.01.25,images_netto/netto_offer_005.png
Chiemseer Hell,Keine Marke,"€ 14,99","€ 18,99",1.50 / l,,Nein,"Wochenangebote gültig von Sonntag, 26.01.25 - Freitag, 31.01.25",26.01.25,31.01.25,images_netto/netto_offer_006.png
Ferrero Küsschen,Keine Marke,"€ 2,79","€ 3,99",15.67 - 16.22 / kg,"feine Nuss-Spezialitäten, versch. Sorten",Nein,"Wochenangebote gültig von Sonntag, 26.01.25 - Freitag, 31.01.25",26.01.25,31.01.25,images_netto/netto_offer_007.png
Melitta Auslese Harmonie oder Barista,Keine Marke,"€ 6,99","€ 9,29",13.98 / kg,"Kaffee gemahlen, versch. Sorten",Nein,"Wochenangebote gültig von Sonntag, 26.01.25 - Freitag, 31.01.25",26.01.25,31.01.25,images_netto/netto_offer_008.png
Südzucker Feiner Rübenzucker,Keine Marke,"€ 0,79","€ 0,99",0.72 - 0.79 / kg,,Nein,"Wochenangebote gültig von Sonntag, 26.01.25 - Freitag, 31.01.25",26.01.25,31.01.25,images_netto/netto_offer_009.png
Favora Toilettenpapier,Keine Marke,"€ 6,99","€ 8,99",Kein Mengenpreis,3-lagig,Nein,"Wochenangebote gültig von Sonntag, 26.01.25 - Freitag, 31.01.25",26.01.25,31.01.25,images_netto/netto_offer_010.png
Persil Waschmittel,Keine Marke,"€ 16,99","€ 27,99",0.17 - 0.22 / wl,versch. Sorten,Nein,"Wochenangebote gültig von Sonntag, 26.01.25 - Freitag, 31.01.25",26.01.25,31.01.25,images_netto/netto_offer_011.png
Jersey Spannbettlaken,Keine Marke,"€ 2,99",,Kein Mengenpreis,"für Matratzen bis ca. 20 cm Höhe geeignet, waschbar bei ca. 60°C und trocknergeeignet ca. 90 - 100 x 200 cm ca. 140 - 160 x 200 cm ca. 180 - 200 x 200 cm",Nein,"Wochenangebote gültig von Sonntag, 26.01.25 - Freitag, 31.01.25",26.01.25,31.01.25,images_netto/netto_offer_012.png
Energy Drink,Keine Marke,"€ 1,25","€ 1,98",1.52 / l,"taurin- und koffeinhaltig, versch. Sorten Einzelpreis: 0.99 (3.- / l)",Nein,"Wochenangebote gültig von Sonntag, 26.01.25 - Freitag, 31.01.25",26.01.25,31.01.25,images_netto/netto_offer_013.png
Müller Joghurt mit der Ecke,Keine Marke,"€ 1,67","€ 2,67",2.22 - 2.95 / kg,"gekühlt, versch. Sorten Einzelpreis: 0.89 (5.93 - 7.88 / kg)",Nein,"Wochenangebote gültig von Sonntag, 26.01.25 - Freitag, 31.01.25",26.01.25,31.01.25,images_netto/netto_offer_014.png
Toffifee,Keine Marke,"€ 1,49","€ 1,49",8.- / kg,versch. Sorten,Nein,"Wochenangebote gültig von Sonntag, 26.01.25 - Freitag, 31.01.25",26.01.25,31.01.25,images_netto/netto_offer_015.png
Schnittbrötchen,Keine Marke,"€ 1,14","€ 1,14",Kein Mengenpreis,Einzelpreis: 0.19 Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Sonntag, 26.01.25 - Freitag, 31.01.25",26.01.25,31.01.25,images_netto/netto_offer_016.png
Äpfel rot,Keine Marke,"€ 1,59","€ 1,59",Kein Mengenpreis,"Polen/Italien, Kl. I",Nein,"Wochenangebote gültig von Sonntag, 26.01.25 - Freitag, 31.01.25",26.01.25,31.01.25,images_netto/netto_offer_017.png
Heidelbeeren,Keine Marke,"€ 1,25","€ 1,25",8.- / kg,"Peru/Chile, Kl. I",Nein,"Wochenangebote gültig von Sonntag, 26.01.25 - Freitag, 31.01.25",26.01.25,31.01.25,images_netto/netto_offer_018.png
Zitronen,Keine Marke,"€ 1,00",,2.- / kg,"Spanien/Italien, Kl. I",Nein,"Wochenangebote gültig von Sonntag, 26.01.25 - Freitag, 31.01.25",26.01.25,31.01.25,images_netto/netto_offer_019.png
