Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Berliner Krapfen D lice Collection Milk Jumbo Classic,Berliner Krapfen D lice Collection Milk Jumbo Classic,"€ 1,79",,kg-3.98,,Nein,,,,images_aldi/aldi_offer_001.jpg
Valentins-Blumen,Valentins-Blumen,"€ 1,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_002.jpg
KFZ-Verbandtasche,Walser,"€ 4,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_003.jpg
Franzbrötchen,MEINE BACKWELT,"€ 0,39",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_004.jpg
Shorty-Pyjama,UP2FASHION,"€ 4,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_005.jpg
Drillinge,kleine SCHÄTZE,"€ 1,29",,"1,49 €",,Nein,,,,images_aldi/aldi_offer_006.jpg
Trauben hell kernlos,Trauben hell kernlos,"€ 1,69",,kg-Preis 3.38,,Nein,,,,images_aldi/aldi_offer_007.jpg
Kiwi grün,Kiwi grün,"€ 0,25",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_008.jpg
Bio-Ingwer lose,Bio-Ingwer lose,"€ 0,39",,1 kg = 3.90,,Nein,,,,images_aldi/aldi_offer_009.jpg
Bio-Naturland-Zitronen,Naturland,"€ 0,99",,"1,11 €",,Nein,,,,images_aldi/aldi_offer_010.jpg
Äpfel,ALDIamo,"€ 1,69",,1.78 €/kg,,Nein,,,,images_aldi/aldi_offer_011.jpg
Minutensteaks,Meine Metzgerei,"€ 2,49",,"3,29 €",,Nein,,,,images_aldi/aldi_offer_012.jpg
Schnitzel paniert,Meine Metzgerei,"€ 4,29",,"5,49 €",,Nein,,,,images_aldi/aldi_offer_013.jpg
Hähnchen-Flügel,MEINE METZGEREI,"€ 4,79",,"5,99 €",,Nein,,,,images_aldi/aldi_offer_014.jpg
Hähnchenbrustfilet Teilstücke,Meine Metzgerei,"€ 5,19",,"6,79 €",,Nein,,,,images_aldi/aldi_offer_015.jpg
Koteletts,MEINE METZGEREI,"€ 3,79",,"4,49 €",,Nein,,,,images_aldi/aldi_offer_016.jpg
Bio-Steak,Bio-Steak,"€ 5,99",,"7,65 €",,Nein,,,,images_aldi/aldi_offer_017.jpg
Bio-Landhähnchen-Schenkelsteaks,Naturland,"€ 4,99",,"6,49 €",,Nein,,,,images_aldi/aldi_offer_018.jpg
Hackfleisch,Meine Metzgerei,"€ 8,29",,"9,49 €",,Nein,,,,images_aldi/aldi_offer_019.jpg
Berliner bzw Krapfen,Meine Kuchen Welt,"€ 1,79",,"2,29 €",,Nein,,,,images_aldi/aldi_offer_020.jpg
Käse-Twister,Käse-Twister,"€ 0,69",,"0,99 €",,Nein,,,,images_aldi/aldi_offer_021.jpg
Pinkie-Donut,Pinkie-Donut,"€ 0,29",,"0,59 €",,Nein,,,,images_aldi/aldi_offer_022.jpg
Super-Berliner mit Kakaocreme,MEINE BACKWELT,"€ 0,59",,"0,89 €",,Nein,,,,images_aldi/aldi_offer_023.jpg
Quarkbällchen,MEINE BACKWELT,"€ 1,00",,"1,45 €",,Nein,,,,images_aldi/aldi_offer_024.jpg
Franzbrötchen,MEINE BACKWELT,"€ 0,39",,"0,79 €",,Nein,,,,images_aldi/aldi_offer_025.jpg
D lice,Moser Roth,"€ 1,69",,kg-Preis 12.07,,Nein,,,,images_aldi/aldi_offer_026.jpg
Caramel,Choceur,"€ 1,99",,"kg-Preis 10.76, 10.47, 9.95 bzw. 9.71",,Nein,,,,images_aldi/aldi_offer_027.jpg
Get It Minis,Choceur,"€ 2,19",,6.26 €/kg,,Nein,,,,images_aldi/aldi_offer_028.jpg
Mini-Tafeln Vollmilch Nuss,Choceur,"€ 1,99",,9.95 €/kg,,Nein,,,,images_aldi/aldi_offer_029.jpg
Macarons,GOURMET FINEST CUISINE,"€ 2,99",,"3,99 €",,Nein,,,,images_aldi/aldi_offer_030.jpg
Edel Bitter 70 Cacao,Moser Roth,"€ 1,85",,kg-Preis 14.80,,Nein,,,,images_aldi/aldi_offer_031.jpg
Schokolade Mousse au Chocolat,Moser Roth,"€ 2,15",,kg-Preis 14.33,,Nein,,,,images_aldi/aldi_offer_032.jpg
Schoko Milch Riegel,Choceur,"€ 1,59",,kg-Preis 7.95,,Nein,,,,images_aldi/aldi_offer_033.jpg
Edelbitter-Schokolade,Moser Roth,"€ 1,85",,kg-Preis 14.80,,Nein,,,,images_aldi/aldi_offer_034.jpg
