Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Gueltig_raw,Gueltig_von,Gueltig_bis
Happy-Hariween-Minis,Haribo,"€ 4,99",Kein vorheriger Preis,"€ 8,32 / kg -",10.10. - 11.10.,2025-10-10,2025-10-11
Côtes du Rhône,Esprit Barville,"€ 3,69","€ 5,49","€ 4,92 / l -",06.10. - 11.10.,2025-10-06,2025-10-11
Butterspritzgebäck,Wintertraum,"€ 1,79","€ 2,69","€ 8,95 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
Halloween Pasta,Halloween,"€ 1,49",Kein vorheriger Preis,"€ 2,98 / kg -",10.10. - 11.10.,2025-10-10,2025-10-11
Kipferl,Wintertraum,"€ 1,79","€ 2,69","€ 11,93 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
Speisekartoffeln,Keine Marke,"€ 1,79",Kein vorheriger Preis,"€ 0,45 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
Mini-Stollen,Wintertraum,"€ 1,29","€ 1,79","€ 6,45 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
Baumkuchenspitzen,Wintertraum,"€ 2,29","€ 2,99","€ 15,27 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
Nürnberger Elisen Lebkuchen,Gourmet Finest Cuisine,"€ 5,19","€ 5,99","€ 18,87 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
Koonunga Hill Shiraz Cabernet,Penfolds,"€ 6,89","€ 8,99","€ 9,19 / l -",06.10. - 11.10.,2025-10-06,2025-10-11
Edelmarzipan-Brot,Wintertraum,"€ 0,99","€ 1,49","€ 7,92 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
Edelmarzipan-Walnuss-Pralinen,Wintertraum,"€ 1,79","€ 2,49","€ 14,32 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
Lebkuchenherzen,Wintertraum,"€ 3,39",Kein vorheriger Preis,"€ 11,30 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Baby-Schlafsack,Lily & Dan,"€ 5,99",Kein vorheriger Preis,"€ 5,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Steinofen-Pizza Mozzarella,Original Wagner,"€ 1,69","€ 3,39","€ 4,83 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
Oliven Vegan,King's Crown,"€ 1,79",Kein vorheriger Preis,"€ 12,79 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Laktosefreie H-Schlagsahne,Milsani,"€ 0,89","€ 1,15","€ 4,45 / l -",06.10. - 11.10.,2025-10-06,2025-10-11
Erdnüsse,Ültje,"€ 1,69","€ 2,49","€ 9,39 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
Damen Kuschel-Socken 2 Paar,Up2Fashion,"€ 3,99",Kein vorheriger Preis,"€ 2,00 / Stk -",29.09. - 04.10.,2025-09-29,2025-10-04
Halloween-Kostüm,Lily & Dan,"€ 5,99",Kein vorheriger Preis,"€ 5,99 / Stk -",18.10. - 18.10.,2025-10-18,2025-10-18
Yucca,Gardenline,"€ 14,99",Kein vorheriger Preis,"€ 14,99 / Stk -",29.09. - 04.10.,2025-09-29,2025-10-04
Hunde-Fleecemante,Martin Rütter,"€ 19,99",Kein vorheriger Preis,"€ 19,99 / Stk -",29.09. - 04.10.,2025-09-29,2025-10-04
Salzbrezeln,Sun Snacks,"€ 0,69","€ 0,99","€ 2,76 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Katzenstreu ultra,Cachet,"€ 3,49",Kein vorheriger Preis,"€ 0,44 / l -",29.09. - 04.10.,2025-09-29,2025-10-04
Hundekotbeutel,Romeo,"€ 3,99",Kein vorheriger Preis,"€ 3,99 / Stk -",29.09. - 04.10.,2025-09-29,2025-10-04
Sitzkissen,Home Creation,"€ 3,99",Kein vorheriger Preis,"€ 2,00 / Stk -",29.09. - 04.10.,2025-09-29,2025-10-04
Damen Winter-Strickpullover,Up2Fashion,"€ 6,99",Kein vorheriger Preis,"€ 6,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Bestseller Roman,Keine Marke,"€ 4,99",Kein vorheriger Preis,"€ 4,99 / Stk -",29.09. - 04.10.,2025-09-29,2025-10-04
Naturgetreue Orchidee,Home Creation,"€ 14,99",Kein vorheriger Preis,"€ 14,99 / Stk -",29.09. - 04.10.,2025-09-29,2025-10-04
Haushaltsbedarf,Jes Collection,"€ 1,00",Kein vorheriger Preis,"€ 1,00 / Stk -",01.10. - 04.10.,2025-10-01,2025-10-04
Kinder Chocolate Hollow Figures,Ferrero,"€ 1,29",Kein vorheriger Preis,"€ 36,86 / kg -",10.10. - 11.10.,2025-10-10,2025-10-11
Blumenzwiebeln,Gärtners Schätze,"€ 1,99",Kein vorheriger Preis,"€ 1,99 / Stk -",01.10. - 04.10.,2025-10-01,2025-10-04
Flammkuchenböden,Tante Fanny,"€ 2,99","€ 3,49","€ 5,75 / kg -",10.10. - 11.10.,2025-10-10,2025-10-11
Paula Pudding,Dr. Oetker,"€ 1,49","€ 2,29","€ 2,98 / kg -",10.10. - 11.10.,2025-10-10,2025-10-11
20 V/40 V Li-Ion-Akku,Activ Energy,"€ 29,99",Kein vorheriger Preis,"€ 29,99 / Stk -",01.10. - 04.10.,2025-10-01,2025-10-04
Vitel Tonnè,Gourmet Finest Cuisine,"€ 2,69","€ 3,99","€ 16,81 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Akku-Kompakt-Multisäge,Ferrex,"€ 29,99",Kein vorheriger Preis,"€ 29,99 / Stk -",01.10. - 04.10.,2025-10-01,2025-10-04
Katzenfutter,Whiskas,"€ 11,99",Kein vorheriger Preis,"€ 3,53 / kg -",10.10. - 11.10.,2025-10-10,2025-10-11
Akku-Handkreissäge,Ferrex,"€ 39,99",Kein vorheriger Preis,"€ 39,99 / Stk -",01.10. - 04.10.,2025-10-01,2025-10-04
Arbeitsleuchte,Workzone,"€ 29,99",Kein vorheriger Preis,"€ 29,99 / Stk -",01.10. - 04.10.,2025-10-01,2025-10-04
