Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Gueltig_raw,Gueltig_von,Gueltig_bis
Vitel Tonnè,Gourmet Finest Cuisine,"€ 3,99",Kein vorheriger Preis,"€ 24,94 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Leberpastete,Gourmet Finest Cuisine,"€ 1,79",Kein vorheriger Preis,"€ 14,32 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Kinder-Smartwatch XGO2,Xplora,"€ 59,99",Kein vorheriger Preis,"€ 59,99 / Stk -",25.09. - 27.09.,2025-09-25,2025-09-27
Smartphone Galaxy A05S,Samsung,"€ 89,99",Kein vorheriger Preis,"€ 89,99 / Stk -",25.09. - 27.09.,2025-09-25,2025-09-27
Deutsche Markenbutter,Milsani,"€ 1,79","€ 1,99","€ 7,16 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Kiwi grün,Zespri,"€ 0,39",Kein vorheriger Preis,"€ 0,39 / Stk -",22.09. - 27.09.,2025-09-22,2025-09-27
Äpfel Gala,Keine Marke,"€ 1,39","€ 1,69","€ 1,39 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Panierte Hähnchen-Innenfilets,Meine Metzgerei,"€ 3,99",Kein vorheriger Preis,"€ 7,98 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Süßrahmbutter,Milsani,"€ 1,49","€ 1,79","€ 5,96 / kg -",26.09. - 11.10.,2025-09-26,2025-10-11
Mandeln,Back Family,"€ 1,39","€ 2,29","€ 6,95 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Kaffeepads Crema,Barissimo,"€ 2,19","€ 2,69","€ 15,64 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Cracker,Sun Snacks,"€ 2,00","€ 2,78","€ 4,44 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Bio-Salami,Nur Nur Natur,"€ 1,69","€ 1,99","€ 21,13 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Bio-Reibekäse,Nur Nur Natur,"€ 1,69","€ 1,99","€ 11,27 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Deospray XXL,Nivea,"€ 3,29",Kein vorheriger Preis,"€ 13,16 / l -",22.09. - 27.09.,2025-09-22,2025-09-27
LED-Spot-Strahler,Casalux,"€ 12,99",Kein vorheriger Preis,"€ 3,25 / Stk -",22.09. - 27.09.,2025-09-22,2025-09-27
Fensterisolierfolie Thermo Cover,Tesamoll,"€ 6,99","€ 10,89","€ 6,99 / Stk -",22.09. - 27.09.,2025-09-22,2025-09-27
Faltbarer Wäschekorb,Home Creation,"€ 6,99",Kein vorheriger Preis,"€ 6,99 / Stk -",22.09. - 27.09.,2025-09-22,2025-09-27
Wäscheparfüm,Lenor,"€ 4,99","€ 7,29","€ 18,15 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Reiniger,Sagrotan,"€ 2,99",Kein vorheriger Preis,"€ 3,99 / l -",22.09. - 27.09.,2025-09-22,2025-09-27
Jersey-Spannbetttuch,Novitesse,"€ 4,99",Kein vorheriger Preis,"€ 4,99 / Stk -",22.09. - 27.09.,2025-09-22,2025-09-27
Automatik-Taschenschirm,Up2Fashion,"€ 4,99",Kein vorheriger Preis,"€ 4,99 / Stk -",22.09. - 27.09.,2025-09-22,2025-09-27
Damen Slips 2er-Pack,Up2Fashion,"€ 3,99",Kein vorheriger Preis,"€ 2,00 / Stk -",22.09. - 27.09.,2025-09-22,2025-09-27
Kniestrümpfe 3 Paar,Up2Fashion,"€ 4,99",Kein vorheriger Preis,"€ 1,66 / Stk -",22.09. - 27.09.,2025-09-22,2025-09-27
Chrysanthemen Flowerpops,Keine Marke,"€ 3,99",Kein vorheriger Preis,"€ 3,99 / Stk -",22.09. - 27.09.,2025-09-22,2025-09-27
Myrte,Keine Marke,"€ 2,99",Kein vorheriger Preis,"€ 2,99 / Stk -",22.09. - 27.09.,2025-09-22,2025-09-27
Meisterweiß,Deco Craft,"€ 15,99",Kein vorheriger Preis,"€ 1,60 / l -",25.09. - 27.09.,2025-09-25,2025-09-27
Weidebutter,Milsani,"€ 1,99","€ 2,29","€ 7,96 / kg -",26.09. - 11.10.,2025-09-26,2025-10-11
Allzweckvlies,Deco Craft,"€ 6,99",Kein vorheriger Preis,"€ 6,99 / Stk -",25.09. - 27.09.,2025-09-25,2025-09-27
Verlängerungskabel,Workzone,"€ 6,49",Kein vorheriger Preis,"€ 6,49 / Stk -",25.09. - 27.09.,2025-09-25,2025-09-27
Absorbierende Türmatte,Workzone,"€ 4,99",Kein vorheriger Preis,"€ 4,99 / Stk -",25.09. - 27.09.,2025-09-25,2025-09-27
Feuchtemessgerät,Workzone,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",25.09. - 27.09.,2025-09-25,2025-09-27
Batterien Alkaline Power,Panasonic,"€ 4,49","€ 19,99","€ 0,22 / Stk -",25.09. - 27.09.,2025-09-25,2025-09-27
Calluna,Beauty Ladies,"€ 1,49",Kein vorheriger Preis,"€ 1,49 / Stk -",25.09. - 27.09.,2025-09-25,2025-09-27
Caramel Macchiato,Starbucks,"€ 1,99","€ 3,69","€ 6,03 / l -",26.09. - 27.09.,2025-09-26,2025-09-27
Ganze Bohnen Classic,Käfer,"€ 12,99",Kein vorheriger Preis,"€ 12,99 / kg -",26.09. - 27.09.,2025-09-26,2025-09-27
Filetierte Bratheringe,Appel,"€ 1,89","€ 2,99","€ 9,45 / kg -",26.09. - 27.09.,2025-09-26,2025-09-27
Lufterfrischer,Febreze,"€ 5,99","€ 7,49","€ 16,19 / l -",26.09. - 27.09.,2025-09-26,2025-09-27
Chicken Nuggets XXL,Jack’s Farm,"€ 7,99",Kein vorheriger Preis,"€ 5,33 / kg -",26.09. - 27.09.,2025-09-26,2025-09-27
Pommes Frites XXL,Speise Zeit,"€ 3,49",Kein vorheriger Preis,"€ 1,40 / kg -",26.09. - 27.09.,2025-09-26,2025-09-27
Puten-Ministeaks XXL,Meine Metzgerei,"€ 6,99",Kein vorheriger Preis,"€ 8,74 / kg -",26.09. - 27.09.,2025-09-26,2025-09-27
Rind Steaks,A.F.G. Allgäu Fleisch,"€ 6,99",Kein vorheriger Preis,"€ 28,07 / kg -",26.09. - 27.09.,2025-09-26,2025-09-27
Cashewkerne XXL Vegan,Farmer naturals,"€ 4,99",Kein vorheriger Preis,"€ 9,98 / kg -",26.09. - 27.09.,2025-09-26,2025-09-27
Chipsfrisch,Funny Frisch,"€ 1,79","€ 2,79","€ 7,16 / kg -",26.09. - 27.09.,2025-09-26,2025-09-27
Gouda XXL,Milsani,"€ 3,49",Kein vorheriger Preis,"€ 5,82 / kg -",26.09. - 27.09.,2025-09-26,2025-09-27
Speisequark XXL,Milsani,"€ 1,29",Kein vorheriger Preis,"€ 2,58 / kg -",26.09. - 27.09.,2025-09-26,2025-09-27
Kinder Pilotenjacke,Keine Marke,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",27.09. - 27.09.,2025-09-27,2025-09-27
Kinder Jogginghosen,Keine Marke,"€ 4,99",Kein vorheriger Preis,"€ 4,99 / Stk -",27.09. - 27.09.,2025-09-27,2025-09-27
Bordeaux Supérieur Barrique,Francois Noblecour,"€ 3,39",Kein vorheriger Preis,"€ 4,52 / l -",22.09. - 27.09.,2025-09-22,2025-09-27
Vegan Spätburgunder Rotwein,Keine Marke,"€ 2,69",Kein vorheriger Preis,"€ 3,59 / l -",22.09. - 27.09.,2025-09-22,2025-09-27
Mozzarella Minis,Cucina Nobile,"€ 1,29",Kein vorheriger Preis,"€ 10,32 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Gorgonzola,Cucina Nobile,"€ 2,99",Kein vorheriger Preis,"€ 14,95 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Handgelegter Kochschinken,Gourmet Finest Cuisine,"€ 1,99",Kein vorheriger Preis,"€ 15,92 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Parmigiano Reggiano,Gourmet Finest Cuisine,"€ 5,99",Kein vorheriger Preis,"€ 29,95 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Ungefüllte Bio-Gnocchi,Gourmet Finest Cuisine,"€ 2,79",Kein vorheriger Preis,"€ 5,58 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Aperitivo,Aperini,"€ 4,49",Kein vorheriger Preis,"€ 6,41 / l -",22.09. - 27.09.,2025-09-22,2025-09-27
Avantum 17 E1e Laptop,Medion,"€ 389,00",Kein vorheriger Preis,"€ 389,00 / Stk -",25.09. - 27.09.,2025-09-25,2025-09-27
Galaxy A17,Samsung,"€ 179,00","€ 229,00","€ 179,00 / Stk -",25.09. - 27.09.,2025-09-25,2025-09-27
QLED Smart-TV,Medion,"€ 179,00",Kein vorheriger Preis,"€ 179,00 / Stk -",25.09. - 27.09.,2025-09-25,2025-09-27
Saugroboter X40 SW,Medion,"€ 169,00",Kein vorheriger Preis,"€ 169,00 / Stk -",25.09. - 27.09.,2025-09-25,2025-09-27
Weidebutter,Milsani,"€ 2,29","€ 2,49","€ 9,16 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Bergbauern-Butter,Bestes aus der Region,"€ 2,19","€ 2,39","€ 8,76 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Bio Kürbis Hokkaido,Keine Marke,"€ 1,19",Kein vorheriger Preis,"€ 1,19 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Gemischtes Hackfleisch,Meine Metzgerei,"€ 3,69","€ 4,89","€ 7,38 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Putenschnitzel,Fair & Gut,"€ 4,99",Kein vorheriger Preis,"€ 9,98 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Pinienkerne Vegan,Farmer naturals,"€ 1,19","€ 2,29","€ 23,80 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
U10 mobiler LTE Router,Zte,"€ 29,99",Kein vorheriger Preis,"€ 29,99 / Stk -",25.09. - 11.10.,2025-09-25,2025-10-11
Kornschatz,Meine Backwelt,"€ 0,35","€ 0,55","€ 0,35 / Stk -",22.09. - 27.09.,2025-09-22,2025-09-27
Kondensmilch,Milsani,"€ 0,59","€ 0,79","€ 1,74 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Milch-Jumbo-Riegel,Choceur,"€ 1,29","€ 1,69","€ 8,60 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Bio-Steinofen-Vollkornlaib,Nur Nur Natur,"€ 1,79","€ 2,19","€ 2,39 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Bio-Dinkel-Steinofenpizza Margherita,Nur Nur Natur,"€ 2,49","€ 2,99","€ 7,43 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Bio-Apfelsaft,Nur Nur Natur,"€ 1,69","€ 2,09","€ 2,25 / l -",22.09. - 27.09.,2025-09-22,2025-09-27
Pflegedusche,Nivea,"€ 3,55",Kein vorheriger Preis,"€ 7,10 / l -",22.09. - 27.09.,2025-09-22,2025-09-27
Butter,Bio Smiley,"€ 2,79",Kein vorheriger Preis,"€ 11,16 / kg -",26.09. - 11.10.,2025-09-26,2025-10-11
Kinder Pingui,Ferrero,"€ 2,59","€ 2,99","€ 10,79 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Irische Butter,Milsani,"€ 2,29",Kein vorheriger Preis,"€ 9,16 / kg -",26.09. - 11.10.,2025-09-26,2025-10-11
Tomaten Ketchup,Heinz,"€ 1,79","€ 2,79","€ 4,47 / l -",22.09. - 27.09.,2025-09-22,2025-09-27
LED-Leuchten,Casalux,"€ 9,99",Kein vorheriger Preis,"€ 3,33 / Stk -",22.09. - 27.09.,2025-09-22,2025-09-27
Universal-Schaumdichtung,Tesamoll,"€ 2,79","€ 6,19","€ 2,79 / Stk -",22.09. - 27.09.,2025-09-22,2025-09-27
Weichspüler,Lenor,"€ 2,95","€ 3,99","€ 2,38 / l -",22.09. - 27.09.,2025-09-22,2025-09-27
Wäschesammler,Home Creation,"€ 14,99",Kein vorheriger Preis,"€ 14,99 / Stk -",22.09. - 27.09.,2025-09-22,2025-09-27
Toilettenpapier,Kokett,"€ 2,89",Kein vorheriger Preis,"€ 0,36 / Stk -",22.09. - 27.09.,2025-09-22,2025-09-27
Sherpa-Fleece-Jacke,Up2Fashion,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",22.09. - 27.09.,2025-09-22,2025-09-27
Herbst-Pyjama,Up2Fashion,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",22.09. - 27.09.,2025-09-22,2025-09-27
Damen Schlafanzug,Up2Fashion,"€ 8,99",Kein vorheriger Preis,"€ 8,99 / Stk -",22.09. - 27.09.,2025-09-22,2025-09-27
Calluna,Garden Girls,"€ 8,99",Kein vorheriger Preis,"€ 8,99 / Stk -",22.09. - 27.09.,2025-09-22,2025-09-27
Profi-Ersatzwalzen,Deco Craft,"€ 2,49",Kein vorheriger Preis,"€ 1,25 / Stk -",25.09. - 27.09.,2025-09-25,2025-09-27
4-fach-Design-Steckdosenleiste,Workzone,"€ 4,49",Kein vorheriger Preis,"€ 4,49 / Stk -",25.09. - 27.09.,2025-09-25,2025-09-27
Silikon-Bearbeitungs-Set 15-tlg.,Workzone,"€ 4,99",Kein vorheriger Preis,"€ 0,33 / Stk -",25.09. - 27.09.,2025-09-25,2025-09-27
Zehn-Jahres Rauchwarnmelder,Workzone,"€ 7,99",Kein vorheriger Preis,"€ 7,99 / Stk -",25.09. - 27.09.,2025-09-25,2025-09-27
Acrylat,Pattex,"€ 2,49",Kein vorheriger Preis,"€ 8,03 / l -",25.09. - 27.09.,2025-09-25,2025-09-27
Klappbox,Home Creation,"€ 6,99",Kein vorheriger Preis,"€ 6,99 / Stk -",25.09. - 27.09.,2025-09-25,2025-09-27
Chrysanthemenbusch Trio,Keine Marke,"€ 3,99",Kein vorheriger Preis,"€ 3,99 / Stk -",25.09. - 27.09.,2025-09-25,2025-09-27
Damen Unterwäsche,Aldi Mania,"€ 2,99",Kein vorheriger Preis,"€ 2,99 / Stk -",25.09. - 27.09.,2025-09-25,2025-09-27
Kinder Herbst-Leggings 2er-Set,Lily & Dan,"€ 6,99",Kein vorheriger Preis,"€ 3,50 / Stk -",25.09. - 27.09.,2025-09-25,2025-09-27
Feine Auslese,Langnese,"€ 3,99",Kein vorheriger Preis,"€ 7,98 / kg -",26.09. - 27.09.,2025-09-26,2025-09-27
H-Milch,Landliebe,"€ 0,99","€ 1,65","€ 0,99 / l -",26.09. - 27.09.,2025-09-26,2025-09-27
Textilerfrischer,Febreze,"€ 2,29","€ 2,99","€ 5,95 / l -",26.09. - 27.09.,2025-09-26,2025-09-27
Flammkuchen,Frantastique,"€ 2,39",Kein vorheriger Preis,"€ 9,37 / kg -",26.09. - 27.09.,2025-09-26,2025-09-27
Salametti XXL,Landbeck,"€ 3,49",Kein vorheriger Preis,"€ 17,45 / kg -",26.09. - 27.09.,2025-09-26,2025-09-27
NicNac's,Lorenz,"€ 5,99",Kein vorheriger Preis,"€ 9,98 / kg -",26.09. - 27.09.,2025-09-26,2025-09-27
Lachsfiletportionen XXL,Golden Seafood,"€ 8,49",Kein vorheriger Preis,"€ 16,98 / kg -",26.09. - 27.09.,2025-09-26,2025-09-27
Walnusskerne XXL Vegan,Farmer naturals,"€ 5,99",Kein vorheriger Preis,"€ 11,98 / kg -",26.09. - 27.09.,2025-09-26,2025-09-27
XXL-Wraps,Goldähren,"€ 1,39",Kein vorheriger Preis,"€ 1,87 / kg -",26.09. - 27.09.,2025-09-26,2025-09-27
Tradition Feta,Salakis,"€ 3,69",Kein vorheriger Preis,"€ 14,76 / kg -",26.09. - 27.09.,2025-09-26,2025-09-27
Mozzarella Der Milde XXL,Milsani,"€ 3,49",Kein vorheriger Preis,"€ 6,98 / kg -",26.09. - 27.09.,2025-09-26,2025-09-27
Kinder Langarmshirt,Keine Marke,"€ 4,99",Kein vorheriger Preis,"€ 2,50 / Stk -",27.09. - 27.09.,2025-09-27,2025-09-27
Original Französischer Brie,Roi de Trefle,"€ 1,99",Kein vorheriger Preis,"€ 9,95 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Back-Camembert,Milsani,"€ 1,09",Kein vorheriger Preis,"€ 8,72 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Französischer Weichkäse,Roi de Trefle,"€ 1,89",Kein vorheriger Preis,"€ 9,45 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Primitivo Rosato Puglia,Mario Collina,"€ 2,29",Kein vorheriger Preis,"€ 3,05 / l -",22.09. - 27.09.,2025-09-22,2025-09-27
Chardonnay Garda,Mario Collina,"€ 2,19",Kein vorheriger Preis,"€ 2,92 / l -",22.09. - 27.09.,2025-09-22,2025-09-27
Salame Cremona,Gourmet Finest Cuisine,"€ 2,99",Kein vorheriger Preis,"€ 29,90 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Garnelen,Gourmet Finest Cuisine,"€ 3,29",Kein vorheriger Preis,"€ 27,42 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Dessert im Gläschen,Gourmet Finest Cuisine,"€ 1,19",Kein vorheriger Preis,"€ 19,83 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Aperitivo,Aperol,"€ 13,49",Kein vorheriger Preis,"€ 19,27 / l -",22.09. - 27.09.,2025-09-22,2025-09-27
Sekt,Stolzenfels,"€ 2,99",Kein vorheriger Preis,"€ 3,99 / l -",22.09. - 27.09.,2025-09-22,2025-09-27
Moto G,Motorola,"€ 89,99",Kein vorheriger Preis,"€ 89,99 / Stk -",25.09. - 27.09.,2025-09-25,2025-09-27
Butter,Bio Smiley,"€ 2,99","€ 3,49","€ 11,96 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Deutsche Markenbutter,Milsani,"€ 1,49","€ 1,79","€ 5,96 / kg -",26.09. - 11.10.,2025-09-26,2025-10-11
Streichfein Gesalzen,Milsani,"€ 1,59","€ 1,79","€ 6,36 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Eisbergsalat,Bestes aus der Region,"€ 0,79",Kein vorheriger Preis,"€ 0,79 / Stk -",22.09. - 27.09.,2025-09-22,2025-09-27
Spitzkohl,Keine Marke,"€ 0,89","€ 1,19","€ 0,89 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Minutensteaks,Meine Metzgerei,"€ 2,99","€ 3,79","€ 7,48 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Hähnchen-Geschnetzeltes,Meine Metzgerei,"€ 4,39","€ 4,99","€ 10,97 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Leberwurst,Gut Drei Eichen,"€ 1,11","€ 1,39","€ 6,34 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Geflügel-Frischwurst-Aufschnitt,Güldenhof,"€ 0,99","€ 1,29","€ 4,95 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
High Protein Pudding,Milsani,"€ 0,69","€ 0,99","€ 3,45 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Das Pure,Nur Nur Natur,"€ 1,45","€ 1,75","€ 4,83 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Kartoffeltaschen,Speise Zeit,"€ 2,29","€ 2,49","€ 3,82 / kg -",26.09. - 11.10.,2025-09-26,2025-10-11
Bio-Müsli,Nur Nur Natur,"€ 2,59","€ 3,29","€ 5,18 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
BIo Kimchi,Nur Nur Natur,"€ 3,39","€ 3,99","€ 15,41 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Golden Longs Vegan,McCain,"€ 1,99","€ 3,69","€ 2,65 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Tafelschokolade,Milka,"€ 0,99","€ 1,99","€ 9,90 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Heizkörperfolie,Tesamoll,"€ 12,99","€ 16,29","€ 12,99 / Stk -",22.09. - 27.09.,2025-09-22,2025-09-27
Cross Fries,Speise Zeit,"€ 1,89","€ 1,99","€ 3,15 / kg -",26.09. - 11.10.,2025-09-26,2025-10-11
LED-Leuchtmittel,Casalux,"€ 1,99",Kein vorheriger Preis,"€ 0,99 / Stk -",22.09. - 27.09.,2025-09-22,2025-09-27
Dampfbügeleisen,Ambiano,"€ 14,99",Kein vorheriger Preis,"€ 14,99 / Stk -",22.09. - 27.09.,2025-09-22,2025-09-27
Wäschepflegetücher,Tandil,"€ 1,49",Kein vorheriger Preis,"€ 0,07 / Stk -",22.09. - 27.09.,2025-09-22,2025-09-27
Badematte,Novitesse,"€ 6,99",Kein vorheriger Preis,"€ 6,99 / Stk -",22.09. - 27.09.,2025-09-22,2025-09-27
Waschschüssel,Home Creation,"€ 1,79",Kein vorheriger Preis,"€ 1,79 / Stk -",22.09. - 27.09.,2025-09-22,2025-09-27
Streichfein Gesalzen,Milsani,"€ 1,39","€ 1,59","€ 5,56 / kg -",26.09. - 11.10.,2025-09-26,2025-10-11
Regencape,Up2Fashion,"€ 7,99",Kein vorheriger Preis,"€ 7,99 / Stk -",22.09. - 27.09.,2025-09-22,2025-09-27
Damen Langarm-Shirts,Up2Fashion,"€ 7,99",Kein vorheriger Preis,"€ 4,00 / Stk -",22.09. - 27.09.,2025-09-22,2025-09-27
Streichfein Ungesalzen,Milsani,"€ 1,39","€ 1,59","€ 5,56 / kg -",26.09. - 11.10.,2025-09-26,2025-10-11
Damen Unterhemden 2er Set,Up2Fashion,"€ 4,99",Kein vorheriger Preis,"€ 2,50 / Stk -",22.09. - 27.09.,2025-09-22,2025-09-27
Calluna,Beauty Ladies,"€ 6,99",Kein vorheriger Preis,"€ 6,99 / Stk -",22.09. - 27.09.,2025-09-22,2025-09-27
Calluna-Mix,Gardenline,"€ 3,49",Kein vorheriger Preis,"€ 3,49 / Stk -",22.09. - 27.09.,2025-09-22,2025-09-27
Malerkrepp-Abdeckband,Deco Craft,"€ 3,49",Kein vorheriger Preis,"€ 1,16 / Stk -",25.09. - 27.09.,2025-09-25,2025-09-27
Alltagshelfer,Jes Collection,"€ 1,00",Kein vorheriger Preis,"€ 1,00 / Stk -",25.09. - 27.09.,2025-09-25,2025-09-27
Klemmbarer Akku-Strahler,Workzone,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",25.09. - 27.09.,2025-09-25,2025-09-27
