Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,source_market
Lauchzwiebeln,Keine Marke,"€ 0,55",,Kein Mengenpreis,je Bund,Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_018.jpg,bamberg
Bio Zitronen,Keine Marke,"€ 1,19",,"1 kg = 2,38","Sorte: siehe Etikett, Kl. I, je 500-g-Netz",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_019.jpg,bamberg
Bio Rispentomaten,Keine Marke,"€ 1,79",,"1 kg = 3,58","Kl. II, je 500-g-Schale",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_020.jpg,bamberg
Essreife Avocado,Keine Marke,"€ 1,99",,Kein Mengenpreis,"»Hass«, Kl. I, je St",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_021.jpg,bamberg
Orangen,Keine Marke,"€ 2,49",,"1 kg = 1,66","Sorte: siehe Etikett, Kl. I, je 1,5-kg-Netz",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_022.jpg,bamberg
ja Joghurt Drink,Keine Marke,"€ 0,95",,"1 kg = 1,90","versch. Sorten, je 500-g-Pckg",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_126.jpg,bamberg
Freilandkräuter,Keine Marke,"€ 1,99",,Kein Mengenpreis,"versch. Sorten, je Topf",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_024.jpg,bamberg
Feldsalat,Keine Marke,"€ 0,99",,"1 kg = 6,60","Kl. I, je 150-g-Pckg",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_025.jpg,bamberg
Bio Bananen,Keine Marke,"€ 1,79",,Kein Mengenpreis,"Ursprung: siehe Etikett, je 1 kg",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_026.jpg,bamberg
Rinderfilet,Keine Marke,"€ 5,55",,Kein Mengenpreis,"am Stück oder in Scheiben, je 100 g",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_027.jpg,bamberg
Schiller GQB Strohschwein Schinkenspeck,Keine Marke,"€ 1,59",,Kein Mengenpreis,je 100 g,Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_028.jpg,bamberg
Neuburger Österreichische Spezialität,Keine Marke,"€ 1,79",,Kein Mengenpreis,je 100 g,Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_029.jpg,bamberg
Bio Broccoli,Keine Marke,"€ 1,59",,"1 kg = 3,98","Kl. II, je 400-g-Pckg",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_016.jpg,bamberg
Violife Greek white,Keine Marke,"€ 1,99",,"1 kg = 13,27","Block, je 172-g-Pckg, 150-g-Abtropfgew.",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_063.jpg,bamberg
Speisekartoffeln,Keine Marke,"€ 1,59",,"1 kg = 0,64","Sorte und Kocheigenschaft: siehe Etikett, Qualität I, je 2,5-kg-Btl",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_023.jpg,bamberg
Wilhelm Brandenburg Wiener Würstchen,Keine Marke,"€ 0,88",,Kein Mengenpreis,"heiß und kalt zu genießen, je 100 g",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_065.jpg,bamberg
Vita Coco Kokosnusswasser,Keine Marke,"€ 2,99",,Kein Mengenpreis,"versch. Sorten, je 1-l-Pckg",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_097.jpg,bamberg
Obstsalat Classic,Keine Marke,"€ 3,99",,"1 kg = 7,98",je 500-g-Schale,Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_098.jpg,bamberg
Innocent Saft Orange,Keine Marke,"€ 1,69",,"1 l = 5,12","ohne Fruchtfleisch, je 330-ml-Fl, zzgl. 0,25 Pfand",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_099.jpg,bamberg
Karottini,Keine Marke,"€ 0,79",,"1 kg = 3,16",je 250-g-Btl,Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_100.jpg,bamberg
Dr Oetker Ristorante Pizza Salame,Keine Marke,"€ 1,88",,"1 kg = 5,88","tiefgefroren, je 320-g-Pckg",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_101.jpg,bamberg
Iglo Schlemmerfilet Bordelaise Classic,Keine Marke,"€ 2,99",,"1 kg = 7,87","tiefgefroren, je 380-g-Pckg",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_102.jpg,bamberg
Coppenrath Wiese Unsere Goldstücke 6 Dinkelbrötchen,Keine Marke,"€ 2,22",,"1 kg = 5,29","tiefgefroren, je 420-g-Btl",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_104.jpg,bamberg
Magnum Mini Mix Classic Almond White Chocolate,Keine Marke,"€ 2,79",,"1 l = 8,45",je 330-ml-Pckg,Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_105.jpg,bamberg
Frosta Gemüsepfanne,Keine Marke,"€ 2,22",,"1 kg = 4,63","versch. Sorten, tiefgefroren, je 480-g-Btl",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_106.jpg,bamberg
Iglo Pasta Carbonara,Keine Marke,"€ 2,99",,"1 kg = 7,04","tiefgefroren, je 425-g-Btl",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_107.jpg,bamberg
Dr Oetker Ristorante Pizza Spinaci,Keine Marke,"€ 1,88",,"1 kg = 4,82","tiefgefroren, je 390-g-Pckg",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_108.jpg,bamberg
Coppenrath Wiese Unsere Goldstücke 7 Roggenbrötchen,Keine Marke,"€ 2,22",,"1 kg = 4,53","tiefgefroren, je 490-g-Btl",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_109.jpg,bamberg
Homann Nudel- oder Pellkartoffelsalat,Keine Marke,"€ 1,79",,"1 kg = 4,48",je 400-g-Pckg,Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_096.jpg,bamberg
Iglo Filegro Ofen-Backfisch,Keine Marke,"€ 2,99",,"1 kg = 12,46","tiefgefroren, je 240-g-Pckg",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_110.jpg,bamberg
Magnum Utopia Double Hazelnut,Keine Marke,"€ 2,79",,"1 l = 10,94",je 255-ml-Pckg,Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_112.jpg,bamberg
Grüne Tafelbirnen,Keine Marke,"€ 1,49",,Kein Mengenpreis,"Sorte: siehe Etikett, Kl. I, je 1-kg-Schale",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_113.jpg,bamberg
REWE Bio Gemüsebrühe,Keine Marke,"€ 1,39",,"1 kg = 9,93",je 140-g-Glas,Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_115.jpg,bamberg
REWE Bio Haferpops,Keine Marke,"€ 2,45",,"1 kg = 6,53",je 375-g-Btl,Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_116.jpg,bamberg
REWE Bio Hafer Cookies,Keine Marke,"€ 3,29",,"1 kg = 10,97","Vollmilchschokolade, je 300-g-Pckg",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_117.jpg,bamberg
REWE Bio Frischkäse,Keine Marke,"€ 1,39",,"1 kg = 7,94","Doppelrahmstufe, je 175-g-Pckg",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_118.jpg,bamberg
Helle Tafeltrauben,Keine Marke,"€ 1,69",,"1 kg = 3,38","Sorte: siehe Etikett, Kl. I, je 500-g-Schale",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_119.jpg,bamberg
Speisemöhren,Keine Marke,"€ 0,95",,"1 kg = 0,63","Kl. I, je 1,5-kg-Btl",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_120.jpg,bamberg
Weiße Champignons,Keine Marke,"€ 1,59",,"1 kg = 3,98","Kl. I, je 400-g-Schale",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_121.jpg,bamberg
Mandarinen,Keine Marke,"€ 1,79",,Kein Mengenpreis,"Sorte siehe Etikett, Kl. I, je 1-kg-Netz",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_122.jpg,bamberg
ja Mandeln,Keine Marke,"€ 2,99",,"1 kg = 14,95","gemahlen, je 200-g-Btl",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_123.jpg,bamberg
