Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,source_market
Red Bull Energy Drink,Keine Marke,"€ 0,99",,"1 l = 3,96","versch. Sorten, koffeinhaltig, je 0,25-l-Dose, zzgl. 0,25 Pfand",Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_rewe/bamberg_offer_001.jpg,bamberg
Brändle Vita Sonnenblumenöl,Keine Marke,"€ 2,22",,"1 l = 2,96",je 750-ml-Fl,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_rewe/bamberg_offer_204.jpg,bamberg
Little Lunch Protein Bowl,Keine Marke,"€ 2,49",,"1 kg = 7,11",je 350-g-Glas,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_rewe/bamberg_offer_203.jpg,bamberg
Mondamin Soßenbinder,Keine Marke,"€ 1,29",,"1 kg = 5,16","versch. Sorten, je 250-g-Pckg",Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_rewe/bamberg_offer_202.jpg,bamberg
Knorr Feinschmecker Sauce,Keine Marke,"€ 0,79",,Kein Mengenpreis,"versch. Sorten, ausreichend für 250 ml, je Btl",Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_rewe/bamberg_offer_201.jpg,bamberg
Saupiquet Thunfisch-Salat,Keine Marke,"€ 2,29",,"1 kg = 14,31","versch. Sorten, je 160-g-Dosen-Pckg",Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_rewe/bamberg_offer_200.jpg,bamberg
Saupiquet Thunfisch Pesto,Keine Marke,"€ 2,49",,"1 kg = 19,15","versch. Sorten, je 130-g-Glas",Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_rewe/bamberg_offer_199.jpg,bamberg
Pfanni Knödel,Keine Marke,"€ 1,49",,"1 kg = 7,45","versch. Sorten, je 200-g-Pckg",Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_rewe/bamberg_offer_205.jpg,bamberg
Heinz Sauce,Keine Marke,"€ 1,59",,"1 l = 7,23","versch. Sorten, je 220-ml-Fl",Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_rewe/bamberg_offer_198.jpg,bamberg
Maggi Fix Hackbraten,Keine Marke,"€ 0,44",,"1 kg = 6,29",je 70-g-Btl,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_rewe/bamberg_offer_196.jpg,bamberg
Barilla Pasta Spezialitäten Collezione oder Al Bronzo,Keine Marke,"€ 1,69",,"1 kg = 3,38","versch. Ausformungen, je 500-g-Pckg",Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_rewe/bamberg_offer_195.jpg,bamberg
REWE Bio Vollkorn Knusperknäcke,Keine Marke,"€ 1,79",,"1 kg = 8,95","versch. Sorten, je 200-g-Btl",Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_rewe/bamberg_offer_193.jpg,bamberg
Jacobs Crema Pads,Keine Marke,"€ 2,99",,"1 kg = 25,34",je 118-g-Btl,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_rewe/bamberg_offer_192.jpg,bamberg
Schwartau Samt Fruchtaufstrich Erdbeere,Keine Marke,"€ 1,99",,"1 kg = 6,70",je 297-g-Glas,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_rewe/bamberg_offer_191.jpg,bamberg
Teekanne Früchtetee Waldbeere,Keine Marke,"€ 1,59",,"1 kg = 31,80",je 50-g-Pckg,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_rewe/bamberg_offer_190.jpg,bamberg
Maggi Guten Appetit Suppe,Keine Marke,"€ 0,69",,Kein Mengenpreis,"versch. Sorten, ausreichend für 1 Liter, je Btl",Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_rewe/bamberg_offer_197.jpg,bamberg
REWE Bio Leinsamen,Keine Marke,"€ 1,19",,"1 kg = 2,98","geschrotet, je 400-g-Pckg",Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_rewe/bamberg_offer_206.jpg,bamberg
REWE Bio Gartenerbsen,Keine Marke,"€ 1,09",,"1 kg = 4,74","je 330-g-Glas, 230-g-Abtropfgew.",Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_rewe/bamberg_offer_207.jpg,bamberg
REWE Bio Kokosmilch,Keine Marke,"€ 1,59",,"1 l = 3,98",je 400-ml-Dose,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_rewe/bamberg_offer_208.jpg,bamberg
REWE Bio Kesselchips,Keine Marke,"€ 1,59",,"1 kg = 12,72","Meersalz, je 125-g-Btl",Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_rewe/bamberg_offer_223.jpg,bamberg
REWE Bio Cashewkerne,Keine Marke,"€ 2,99",,"1 kg = 11,96",je 250-g-Btl,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_rewe/bamberg_offer_222.jpg,bamberg
