Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Keine Marke,Span Aubergine lose,"€ 1,99",3.49,Kein Mengenpreis,Kl. I,Nein,Dieses Angebot findest du vom 16.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-16,2026-03-18,images_kaufland/kaufland_offer_010.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food",,ref_000403,obs_0000009999|obs_0000002606|obs_0000012893,
Keine Marke,Span Bio-Zucchini,"€ 1,49",2.49,1 kg = 2.98,Kl. I,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_069.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food",,ref_000404,obs_0000010000|obs_0000012160|obs_0000012177|obs_0000013837|obs_0000013846|obs_0000006577|obs_0000014790|obs_0000017277|obs_0000020354|obs_0000005308|obs_0000012955,
Keine Marke,Span Erdbeeren,"€ 6,99",8.99,1 kg = 8.74,Kl. I,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_085.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food",,ref_000405,obs_0000011679|obs_0000010835|obs_0000025546|obs_0000027621|obs_0000028691|obs_0000028744|obs_0000029042|obs_0000029976|obs_0000000875|obs_0000021444,obs_0000011679
Keine Marke,Span Spargel,"€ 3,99",4.99,1 kg = 7.98,"grün, Kl. I",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_073.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food",,ref_000406,,
Keine Marke,Span ital Bio-Blumenkohl oder Bio-Broccoli,"€ 1,79",,Kein Mengenpreis,Kl. II,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_077.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,ref_000407,obs_0000011269|obs_0000013844|obs_0000013845|obs_0000010008|obs_0000011198|obs_0000012154|obs_0000013366|obs_0000028255|obs_0000028962|obs_0000000380|obs_0000003870|obs_0000004297|obs_0000004724|obs_0000006754|obs_0000006961|obs_0000009786|obs_0000009951|obs_0000012697|obs_0000012885|obs_0000024411|obs_0000024824|obs_0000028340|obs_0000018883|obs_0000019702|obs_0000023564|obs_0000025068|obs_0000025332|obs_0000025931|obs_0000031176|obs_0000032201,
Keine Marke,Span ital Bio-Orangen,"€ 1,99",2.49,Kein Mengenpreis,"Sorte laut Auszeichnung, Kl. I",Nein,Dieses Angebot findest du vom 16.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-16,2026-03-18,images_kaufland/kaufland_offer_779.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food",,ref_000408,obs_0000011262|obs_0000012191|obs_0000013405|obs_0000010419|obs_0000011269|obs_0000013404|obs_0000013844|obs_0000013845|obs_0000010422|obs_0000012188|obs_0000013402|obs_0000013835|obs_0000014236|obs_0000027718|obs_0000028070|obs_0000028247|obs_0000012907|obs_0000031180|obs_0000031998|obs_0000032204|obs_0000008201|obs_0000008423|obs_0000008762|obs_0000009233|obs_0000009610|obs_0000012886|obs_0000014982|obs_0000015530|obs_0000017644|obs_0000020431|obs_0000023119|obs_0000024681|obs_0000025482|obs_0000025985|obs_0000026175|obs_0000026183|obs_0000027258|obs_0000027404|obs_0000027719|obs_0000027950|obs_0000028692|obs_0000028954|obs_0000029523|obs_0000029787|obs_0000022988|obs_0000023895,obs_0000011262|obs_0000012191|obs_0000013405
Keine Marke,Span ital Bio-Zitronen,"€ 1,29",1.79,1 kg = 2.58,"Sorte laut Auszeichnung, Kl. I",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_066.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food",,ref_000409,obs_0000010419|obs_0000012907|obs_0000013837|obs_0000011262|obs_0000011269|obs_0000012191|obs_0000013404|obs_0000013405|obs_0000013844|obs_0000013845|obs_0000011623|obs_0000017465|obs_0000027251|obs_0000027708|obs_0000028951|obs_0000008089|obs_0000026917|obs_0000031179|obs_0000007767|obs_0000019373|obs_0000020192|obs_0000023214|obs_0000026184|obs_0000026389|obs_0000028263|obs_0000022987|obs_0000024669|obs_0000025604|obs_0000026038|obs_0000031581,obs_0000010419|obs_0000013837
Keine Marke,Speisefrühkartoffeln,"€ 1,79",2.49,1 kg = 1.20,"festkochend, ausgewählte Sorten und Ursprung laut Auszeichnung, Qualität I",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_071.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_kartoffeln,tag_ultra_processed,tag_whole_food",,ref_000410,obs_0000008304|obs_0000007970,obs_0000000006|obs_0000003502|obs_0000007970|obs_0000007985|obs_0000008304|obs_0000008634|obs_0000009118|obs_0000014849|obs_0000015551|obs_0000026526|obs_0000028267|obs_0000028742|obs_0000028964
PAULANER,Spezi,"€ 9,99",16.49,1 l = 1.00,"Orangenlimonade mit Cola, koffeinhaltig, auch als Zero (+ 3.10 Pfand)",Nein,Dieses Angebot findest du vom 16.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-16,2026-03-18,images_kaufland/kaufland_offer_019.jpg,"cat_getraenke,tag_ultra_processed",,ref_000411,obs_0000012309|obs_0000026030|obs_0000025279|obs_0000031300|obs_0000021337|obs_0000010353|obs_0000000637|obs_0000024448|obs_0000009653|obs_0000031903|obs_0000014187|obs_0000011633|obs_0000028812|obs_0000005242|obs_0000005043|obs_0000012867|obs_0000005598|obs_0000030184|obs_0000006526,obs_0000012309|obs_0000026030|obs_0000025279|obs_0000031300|obs_0000021337|obs_0000010353|obs_0000005242|obs_0000000637|obs_0000024448
C SAR NIETO,Spezialitäten vom Ib rico-Schwein,"€ 27,96",,entspr. z. B. für eine 300-g-Packg. 8.39,"Secreto, Presa vom Nacken ohne Knochen oder Tomahawksteak aus dem Kotelett",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_092.jpg,"cat_fleisch_wurst,sub_schwein,tag_ultra_processed",,ref_000412,obs_0000011281|obs_0000017774|obs_0000001728,obs_0000011281|obs_0000017774
NEWCENTIAL,Sport-Sneakersocken,"€ 3,99",,Kein Mengenpreis,"Aus Baumwolle, Polyamid und Elastan (LYCRA®) Größen 35/36 - 45/46",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_539.jpg,cat_non_food,,ref_000413,obs_0000012457|obs_0000013760|obs_0000012010,
