Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
KAISER,12er-Muffinform Gourmet,"€ 4,99",UVP 14.99,Kein Mengenpreis,Aus antihaftbeschichtetem Stahlblech Größe ca. 38 x 27 cm,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_478.jpg,"cat_fleisch_wurst,diet_vegetarian",,ref_000001,obs_0000013274,obs_0000013274
BESTRON,3-in-1-Sandwichmaker ASM8010,"€ 19,99",UVP 49.99,Kein Mengenpreis,"Sandwichmaker, Waffeleisen und Kontaktgrill Alu-Druckguss-Wechselplatten antihaftbeschichtet Platten spülmaschinengeeignet Mit Backampel Verriegelbarer Griff Anti-Rutsch-Füße Kabel ca. 1 m mit Aufwicklung Leistungsaufnahme 750 W Inkl. Rezeptvorschläge",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_411.jpg,cat_non_food,,ref_000002,,
EASYMAXX,5-in-1-Silikonentferner,"€ 7,99",,Kein Mengenpreis,Zum einfachen Silikonentfernung/-verarbeitung Erzeugt 28 versch. Fugen Messer zum einfachen Öffnen von Silikontuben Metallspitze zum Lösen von Silikonresten Inkl. je 5 Aufsteck-Fugenglätter und -spachtel,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_458.jpg,"cat_non_food,diet_vegetarian,tag_ultra_processed",,ref_000003,,
PARKSIDE,Akku-Bohrschrauber-Set 20 V PABS 20-Li I9 mit 2 Akkus,"€ 59,99",,Kein Mengenpreis,"25 Drehmomentstufen + Bohrstufe Drehmoment max. 45 Nm Drehzahl max. 430/1.500 min-1 Metall-Schnellspannbohrfutter 1,5 - 13 mm Automatische Spindel-Arretierung (Spindle Lock) Bohr-Ø Holz/Metall max. 30/13 mm Rutschhemmende Softgrip-Ausstattung Integrierte LED-Arbeitsleuchte 2 magnetische Bit-Halter am Gerät Gürtelclip inkl. Flaschenöffner-Funktion Kompatibel mit Akkus der Serie »X 20 V Team« Inkl. 2 Akkus (2 Ah), Ladegerät und Koffer Inkl. Zubehör-Set (u. a. 19 Bohrer, 14 Bits) 3 Jahre Garantie",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_440.jpg,cat_non_food,,ref_000004,obs_0000017891|obs_0000021958|obs_0000020723|obs_0000016679|obs_0000000133|obs_0000014740|obs_0000023610|obs_0000018038|obs_0000016364,
JACK DANIEL S,Alkoholisches Mixgetränk,"€ 2,00",2.99,1 l = 6.07,"Tennessee-Whiskey mit Coca-Cola, Lynchburg Lemonade, Berry oder Ginger, 10 Vol. % (+ 0.25 Pfand)",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_328.jpg,"cat_getraenke,tag_ultra_processed",,ref_000005,obs_0000013587|obs_0000011872|obs_0000024139|obs_0000013588|obs_0000011871,obs_0000013587|obs_0000011872
EHRMANN,Almighurt,"€ 0,39",,1 kg = 2.60,"Fruchtjoghurt, versch. Sorten, 3,5 - 3,8 % Fett im Milchanteil",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_135.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte",,ref_000006,obs_0000026652|obs_0000004688|obs_0000026768|obs_0000004261|obs_0000003834|obs_0000002879|obs_0000001348|obs_0000000360|obs_0000011640|obs_0000021430|obs_0000031163|obs_0000012742|obs_0000013795|obs_0000000497|obs_0000000513|obs_0000031379|obs_0000031978|obs_0000025867|obs_0000005122|obs_0000005687|obs_0000028243|obs_0000006781|obs_0000030019|obs_0000029545,obs_0000005122|obs_0000026652|obs_0000005687|obs_0000004688|obs_0000026768|obs_0000004261|obs_0000003834|obs_0000002879|obs_0000001348|obs_0000000360|obs_0000011640|obs_0000021430|obs_0000031163|obs_0000012742|obs_0000013795|obs_0000000497
RÜCKER,Alt-Mecklenburger oder Alter Schwede,"€ 1,69",2.19,1 kg = 16.90) / (1 kg = 12.90)**,"naturgereifter Schnittkäse, rahmig-kräftig oder nordisch-pikant, 50 - 60 % Fett i. Tr.",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_160.jpg,"cat_molkerei_kaese,sub_kaese",,ref_000007,obs_0000013831|obs_0000012767,obs_0000013831
HENGSTENBERG,Altmeister Essig,"€ 0,99",1.69,1 l = 1.32,weinwürzig,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_193.jpg,cat_grundnahrung,,ref_000008,obs_0000013065|obs_0000009169|obs_0000005156|obs_0000014375,obs_0000013065|obs_0000005156
3M,Aluminium-Klebeband,"€ 1,99",,1 m = 0.14,Schützt vor Hitzeeinstrahlung Temperaturbeständig bis 60 °C Von Hand abreißbar Größe ca. 50 mm x 15 m,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_436.jpg,cat_non_food,,ref_000009,obs_0000023408|obs_0000025019,
DR OETKER,Aromen,"€ 0,69",0.99,1 l = 86.25,"zum Verfeinern, versch. Sorten",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_229.jpg,"cat_grundnahrung,sub_tk_pizza,tag_ultra_processed",,ref_000010,obs_0000013101,obs_0000013101
LIV BO,Aufbewahrungsbox,"€ 4,99",,Kein Mengenpreis,"Aus Kunststoff und Bambus Für z. B. Kosmetik, Accessoires, Bad-Utensilien Größe ca. B 20 x H 11 x T 14 cm",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_487.jpg,cat_non_food,,ref_000011,obs_0000008371|obs_0000011985|obs_0000014550|obs_0000007949|obs_0000011538|obs_0000008037|obs_0000018295|obs_0000024984|obs_0000008117|obs_0000008135|obs_0000022000|obs_0000014544|obs_0000014558,obs_0000008371
ARGETA,Aufstrich,"€ 1,00",1.49,1 kg = 10.53,versch. Sorten,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_192.jpg,"cat_grundnahrung,diet_vegan,diet_vegetarian",BLS-S131100,ref_000012,obs_0000010127|obs_0000013778|obs_0000021843|obs_0000016471|obs_0000025465|obs_0000006274|obs_0000031267|obs_0000030140|obs_0000021917|obs_0000002524|obs_0000005917|obs_0000031279|obs_0000006790|obs_0000006247|obs_0000006987|obs_0000032301,obs_0000010127|obs_0000013778
ZENKER,Backform Hase,"€ 6,99",UVP 12.99,Kein Mengenpreis,"Mit Antihaftbeschichtung Hälften mit Klammern verschließbar Temperaturbeständig bis 230 °C Leichte Reinigung per Handwäsche Größe ca. B 22 x H 19 x T 6 cm (ca. 0,6 l)",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_482.jpg,"cat_knabbern_naschen,tag_ultra_processed",,ref_000013,obs_0000009675|obs_0000023251|obs_0000026601,
ZENKER,Backform Lamm,"€ 6,99",UVP 12.99,Kein Mengenpreis,"Mit Antihaftbeschichtung Hälften mit Klammern verschließbar Temperaturbeständig bis 230 °C Leichte Reinigung per Handwäsche Größe ca. B 28 x H 15 x T 6,5 cm (ca. 0,9 l)",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_481.jpg,"cat_non_food,tag_ultra_processed",,ref_000014,obs_0000009675|obs_0000023251|obs_0000026601,
DR OETKER,Backmischung,"€ 2,00",3.79,1 kg = 4.33 - 7.15,"für Cinnamon Rolls, Brookies, Muffins oder Brownies, versch. Sorten",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_224.jpg,"cat_grundnahrung,tag_ultra_processed",,ref_000015,obs_0000012917|obs_0000016011|obs_0000015223|obs_0000018358|obs_0000010545|obs_0000016932|obs_0000020474|obs_0000018534|obs_0000003196|obs_0000004769|obs_0000004342|obs_0000003915|obs_0000018362|obs_0000024583|obs_0000022147|obs_0000018349|obs_0000006464|obs_0000006099,obs_0000003118|obs_0000012917|obs_0000016011|obs_0000002251|obs_0000012531|obs_0000015223|obs_0000018354|obs_0000018358
K-CLASSIC,Backpapier-Zuschnitte,"€ 0,79",0.95,Kein Mengenpreis,mit Antihaftbeschichtung,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_368.jpg,"cat_drogerie,tag_ultra_processed",,ref_000016,obs_0000014476|obs_0000013192|obs_0000008504|obs_0000002765,obs_0000014476|obs_0000013192
K-CLASSIC,Bacon-Streifen,"€ 2,22",2.59,1 kg = 8.88) / (1 kg = 7.96)**,gepökelt und geräuchert,Nein,Dieses Angebot findest du vom 16.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-16,2026-03-18,images_kaufland/kaufland_offer_059.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",,ref_000017,obs_0000014289|obs_0000010454|obs_0000024941|obs_0000012671|obs_0000001018|obs_0000001019|obs_0000012221,obs_0000014289
LIV BO,Bad- und Duschabzieher,"€ 3,49",,Kein Mengenpreis,Aus Kunststoff und Bambus Mit Halterung für die Duschwand (bis 8 mm) Abzieher mit Gummilippe ca. 25 cm Größe ca. 22 cm,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_489.jpg,cat_drogerie,,ref_000018,obs_0000011545|obs_0000000544|obs_0000010820,obs_0000011545
LIV BO,Bad-Hochschrank Corfu,"€ 49,99",,Kein Mengenpreis,Mattweiß mit Wotan-Eiche-Nachbildung Pflegeleicht durch Melaminharzbeschichtung 2 offene Ablagefächer Türen beidseitig montierbar Einlegeböden höhenverstellbar Griffe aus Metall Mit 4 stabilen Standfüßen Größe ca. B 32 x H 180 x T 30 cm Inkl. Montagematerial und Anleitung Liv&Bo,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_404.jpg,"cat_non_food,tag_ultra_processed",,ref_000019,obs_0000016920|obs_0000018036|obs_0000023744,
LIV BO,Bad-Organizer,"€ 3,49",,Kein Mengenpreis,"Aus Kunststoff und Bambus 4 kleine Fächer und 1 großes Fach Mit herausnehmbarer Unterteilung Auch für elektrische Zahnbürsten geeignet Größe ca. B 17 x H 8,4 x T 10 cm",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_484.jpg,cat_non_food,,ref_000020,obs_0000030760|obs_0000001361|obs_0000014807,
LIV BO,Bad-Seitenschrank Corfu,"€ 34,99",,Kein Mengenpreis,Mattweiß mit Wotan-Eiche-Nachbildung Pflegeleicht durch Melaminharzbeschichtung Leichtgängige Schubladen mit Metallauszügen Großes Fach mit variablem Einlegeboden Tür beidseitig montierbar Griffe aus Metall Mit 4 stabilen Standfüßen Größe ca. B 32 x H 96 x T 28 cm Inkl. Montagematerial und Anleitung,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_406.jpg,cat_non_food,,ref_000021,obs_0000014931|obs_0000015553|obs_0000021973|obs_0000016517|obs_0000023737|obs_0000018250|obs_0000019010|obs_0000023544|obs_0000019829|obs_0000021987,
LIV BO,Bademantel,"€ 9,99",,Kein Mengenpreis,Aus Baumwolle und Polyester Weich und anschmiegsam Mit Bindegürtel und 2 aufgesetzten Taschen Größen M - XL,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_569.jpg,cat_non_food,,ref_000022,obs_0000015372|obs_0000023746|obs_0000019668|obs_0000016709|obs_0000015715|obs_0000016739|obs_0000001383|obs_0000018849|obs_0000021978|obs_0000020988|obs_0000017490|obs_0000014586|obs_0000011610|obs_0000009698|obs_0000024043|obs_0000003648|obs_0000000237|obs_0000011611|obs_0000004502|obs_0000003560|obs_0000004075|obs_0000027880|obs_0000025427,obs_0000015372|obs_0000010313|obs_0000023746|obs_0000019668|obs_0000016709|obs_0000015715|obs_0000016739|obs_0000001383|obs_0000018849|obs_0000021978|obs_0000020988
SMASHED,Bagels,"€ 1,59",1.99,1 kg = 5.30,"Mehrkorn oder Brioche, vorgeschnitten",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_203.jpg,cat_grundnahrung,,ref_000023,obs_0000014390|obs_0000013078|obs_0000020482|obs_0000022122|obs_0000016685|obs_0000024111|obs_0000031425,obs_0000020482|obs_0000022122|obs_0000016685|obs_0000024111|obs_0000014390|obs_0000013078
HARIBO,Baiser-Eier,"€ 0,89",1.13,1 kg = 5.09,bunte Schaumzucker-Eier in versch. fruchtigen Geschmacksrichtungen,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_287.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed",BLS-Y999242,ref_000024,obs_0000008016,
JACOBS,Barista Kaffee Crema,"€ 12,99",17.99,Kein Mengenpreis,"harmonische Röstung, ganze Bohnen",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_253.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",,ref_000025,obs_0000008314|obs_0000012302|obs_0000011821|obs_0000021042|obs_0000007805|obs_0000011400|obs_0000013118|obs_0000010165|obs_0000013804,
BRAUN,Barthaar-Trimmer BT3500,"€ 19,99",UVP 39.99,Kein Mengenpreis,"Stylen, trimmen, konturieren Trimmerkopf und Kammaufsatz abwaschbar Präzisionsrad für 20 Längeneinstellungen Schnittlänge min. 0,5 mm Akku-Laufzeit bis zu 50 min",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_428.jpg,cat_getraenke,,ref_000026,,
K-CLASSIC,Basmatireis,"€ 1,99",2.49,Kein Mengenpreis,"Spitzenqualität, fertig in ca. 10 Minuten",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_210.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_reis,tag_ultra_processed",,ref_000027,obs_0000010537|obs_0000027373|obs_0000000832,obs_0000010537
NESTL,Beba Junior 1 oder 2,"€ 11,99",15.95,1 kg = 14.99,Milchgetränk ab dem 1. oder 2. Geburtstag,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_376.jpg,"cat_drogerie,tag_ultra_processed",,ref_000028,obs_0000013196|obs_0000030299,obs_0000013196
JACK LINK S,Beef Jerky,"€ 3,49",4.69,1 kg = 58.17,Original oder Teriyaki,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_118.jpg,"cat_fleisch_wurst,tag_ultra_processed",,ref_000029,obs_0000004004|obs_0000003109|obs_0000004431|obs_0000000479|obs_0000016481|obs_0000022116|obs_0000020716|obs_0000004858|obs_0000009783|obs_0000031328,obs_0000004004|obs_0000003109|obs_0000004431|obs_0000000479|obs_0000016481|obs_0000022116|obs_0000020716|obs_0000004858
VITAKRAFT,Beef- oder Fish-Stick,"€ 0,35",,1 kg = 23.34 - 29.17,"Hundesnack, versch. Sorten",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_396.jpg,"cat_drogerie,tag_ultra_processed",,ref_000030,obs_0000010625|obs_0000031328|obs_0000002672|obs_0000025446,obs_0000010625
ORIGINAL OETTINGER,Bier oder Biermischgetränk,"€ 6,99",,1 l = 0.70,"Pils, Export, Schankbier Alkoholfrei, Radler, Radler Alkoholfrei, Hell oder Malz (+ 3.10 Pfand)",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_344.jpg,"cat_getraenke,tag_ultra_processed",,ref_000031,obs_0000013616|obs_0000011890|obs_0000010199|obs_0000010591|obs_0000026729|obs_0000012581|obs_0000026932|obs_0000024924|obs_0000008636|obs_0000008805|obs_0000029291|obs_0000008849|obs_0000025453|obs_0000009214|obs_0000021840|obs_0000026415|obs_0000026619,obs_0000010591|obs_0000013616|obs_0000011890|obs_0000010199
K-CLASSIC,Bierschinken oder Kräuter-Schinkenwurst,"€ 0,99",,1 kg = 6.60,Spitzenqualität,Nein,Dieses Angebot findest du vom 16.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-16,2026-03-18,images_kaufland/kaufland_offer_784.jpg,"cat_fleisch_wurst,sub_schwein,sub_wurst,tag_ultra_processed",,ref_000032,obs_0000012216|obs_0000009047|obs_0000009498|obs_0000000636|obs_0000008952|obs_0000009006|obs_0000001020|obs_0000001030|obs_0000009413|obs_0000001352|obs_0000002060|obs_0000010500|obs_0000002629|obs_0000019085|obs_0000019904|obs_0000012260|obs_0000021161|obs_0000022319|obs_0000022739|obs_0000031238|obs_0000023381|obs_0000032087,obs_0000012216
HIPP,Bio-Quetschbeutel,"€ 0,88",1.05,1 kg = 8.80,"Fruchtzubereitung, ab 1 Jahr, versch. Sorten",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_377.jpg,"cat_drogerie,diet_vegetarian",,ref_000033,obs_0000002868|obs_0000003931|obs_0000004358|obs_0000004785|obs_0000030324|obs_0000008811|obs_0000009272|obs_0000007419|obs_0000030362|obs_0000030997|obs_0000030495|obs_0000030974,obs_0000002868|obs_0000003931|obs_0000004358|obs_0000004785|obs_0000030324
CUPPER,Bio-Tee,"€ 1,99",2.95,1 kg = 39.80 - 66.34,"Kräuter- oder Früchtetee, versch. Sorten",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_258.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",BLS-G561100,ref_000034,obs_0000013547|obs_0000030963|obs_0000025371|obs_0000019006|obs_0000011042|obs_0000019825|obs_0000020311|obs_0000029259|obs_0000021396|obs_0000030432|obs_0000014469|obs_0000007442|obs_0000026439|obs_0000008483|obs_0000031863|obs_0000016579|obs_0000025021|obs_0000017485|obs_0000001487|obs_0000009781|obs_0000018953|obs_0000019772|obs_0000020654|obs_0000012802|obs_0000005058|obs_0000021770|obs_0000022186|obs_0000015166|obs_0000023539|obs_0000008133|obs_0000031157|obs_0000031697,obs_0000025371|obs_0000019006|obs_0000011042|obs_0000019825|obs_0000020311|obs_0000029259|obs_0000021396|obs_0000013547|obs_0000030432|obs_0000014469|obs_0000030963|obs_0000007442
K-BIO,Bioland Rinder-Burger,"€ 3,99",,1 kg = 15.35,zum Braten,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_098.jpg,"cat_fleisch_wurst,diet_vegetarian,sub_rind,tag_proteinreich",,ref_000035,obs_0000022134,
LOTUS,Biscoff,"€ 1,29",1.99,1 kg = 6.45,knuspriger Karamellkeks,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_307.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed",,ref_000036,obs_0000012906|obs_0000009192|obs_0000008729|obs_0000031813|obs_0000023428|obs_0000018213|obs_0000024581|obs_0000019341|obs_0000020160|obs_0000007529,obs_0000009192|obs_0000012906|obs_0000008729
PARKSIDE,Bit-Set 25 mm,"€ 2,99",,Kein Mengenpreis,Farbcodierte Bits Für gängige Schraubenkopfprofile Bitgröße 25 mm Mit magnetischem Bithalter Inkl. Aufbewahrungsbox,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_447.jpg,cat_non_food,,ref_000037,,
PARKSIDE,Bit-Set 50 mm,"€ 2,99",,Kein Mengenpreis,Farbcodierte Bits Für gängige Schraubenkopfprofile Bitgröße 50 mm Inkl. Aufbewahrungsbox,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_449.jpg,cat_non_food,,ref_000038,,
K-CLASSIC,Blanchierte Mandeln versch Sorten,"€ 1,11",1.49,1 kg = 11.10) / (1 kg = 9.90)**,"ganz, gehackt, gehobelt, gestiftelt oder gemahlen",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_231.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,ref_000039,obs_0000013108|obs_0000009521|obs_0000018531|obs_0000018746|obs_0000020954|obs_0000016863|obs_0000025239|obs_0000002763|obs_0000025339|obs_0000023372|obs_0000019565|obs_0000003312|obs_0000001641|obs_0000001672|obs_0000024347|obs_0000016173|obs_0000024457,
CHIVAS REGAL,Blended Scotch Whisky,"€ 22,99",,1 l = 32.85) / (1 l = 28.56)**,"12 Jahre gereift, mild und elegant, mit weichem Honigaroma, 40 Vol. %",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_332.jpg,cat_getraenke,,ref_000040,obs_0000012139|obs_0000009687|obs_0000014442|obs_0000013595|obs_0000021361|obs_0000001464|obs_0000018403|obs_0000007717|obs_0000017989|obs_0000016389|obs_0000020185|obs_0000018208|obs_0000020846|obs_0000019366|obs_0000023523|obs_0000017470|obs_0000009281|obs_0000023141|obs_0000014445|obs_0000008821|obs_0000018047|obs_0000015497|obs_0000007860|obs_0000019667|obs_0000028889|obs_0000025325|obs_0000006904|obs_0000011024|obs_0000020280|obs_0000018302|obs_0000006527|obs_0000018848|obs_0000017866|obs_0000010191|obs_0000005607|obs_0000017433|obs_0000015225|obs_0000018322|obs_0000006161|obs_0000029727|obs_0000017413|obs_0000016396|obs_0000020568|obs_0000019554|obs_0000017513|obs_0000023217|obs_0000019660|obs_0000018735|obs_0000021359|obs_0000018841,obs_0000014442|obs_0000013595|obs_0000012139|obs_0000021361|obs_0000001464|obs_0000009687|obs_0000018403
BRAUN,BodyGroomer BG3500,"€ 27,99",UVP 39.99,Kein Mengenpreis,Sanftes Rasieren und Trimmen Sensitiv-Aufsatz für sensible Stellen SkinGuard-Technologie 100 % wasserdicht Akkulaufzeit bis zu 80 min Inkl. Reinigungsbürste,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_427.jpg,cat_non_food,,ref_000041,obs_0000010265,obs_0000010265
DR OETKER,Bourbon-Vanillezucker Vanillinzucker Backin,"€ 0,99",1.29,1 kg = 6.19 - 41.25,"Bourbon-Vanille-, Vanillinzucker, Trockenhefe oder Backin",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_225.jpg,"cat_grundnahrung,tag_ultra_processed",,ref_000042,obs_0000013099|obs_0000001669,obs_0000013099
STEINHAUS,Bratenaufschnitt,"€ 1,99",,1 kg = 24.88,"Krusten-Karree, Kürbiskern- oder Thymian-Honig-Krustenbraten",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_109.jpg,"cat_fleisch_wurst,sub_schwein,sub_wurst,tag_ultra_processed",,ref_000043,obs_0000021351,obs_0000021351
Keine Marke,BREF POWER,"€ 1,99",2.35,1 l = 2.66) / (1 l = 2.39)**,gegen Kalk und Schmutz oder gegen Fett und Eingebranntes,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_370.jpg,"cat_drogerie,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,ref_000044,,
GÖLLER,Brotzeitseidla,"€ 10,99",13.99,1 l = 1.10,Landbier (+ 3.10 Pfand),Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_353.jpg,"cat_getraenke,diet_vegetarian,tag_ultra_processed",,ref_000045,obs_0000011443|obs_0000014031|obs_0000008139,obs_0000011443|obs_0000014031
KINDER,Bueno,"€ 2,22",,1 kg = 17.21 - 18.98,Original oder White,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_275.jpg,"cat_knabbern_naschen,tag_ultra_processed",,ref_000046,obs_0000011667|obs_0000010392|obs_0000013983|obs_0000021413|obs_0000021831|obs_0000006019|obs_0000005258|obs_0000016896|obs_0000017807|obs_0000021012|obs_0000029470|obs_0000014893|obs_0000009658|obs_0000015689|obs_0000020113|obs_0000006733|obs_0000028433|obs_0000019294|obs_0000013666|obs_0000023533|obs_0000030475|obs_0000027134|obs_0000008577|obs_0000009639|obs_0000017321|obs_0000015932|obs_0000024391|obs_0000026269,obs_0000006019|obs_0000005258|obs_0000011667|obs_0000010392|obs_0000013983|obs_0000021413|obs_0000021831
KAISER,Bundform Gourmet,"€ 4,99",UVP 19.99,Kein Mengenpreis,Aus antihaftbeschichtetem Stahlblech Größe ca. Ø 22 cm,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_479.jpg,"cat_fleisch_wurst,diet_vegetarian",,ref_000047,obs_0000013289,obs_0000013289
