Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
WEIHENSTEPHAN,Rahmjoghurt,"€ 0,44",0.99,1 kg = 2.94,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_001.jpg
Keine Marke,Miniromatomaten,"€ 1,11",2.29,1 kg = 2.22,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_002.jpg
DANONE,Activia,"€ 1,39",2.79,1 kg = 3.03,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_003.jpg
BAUER,Diplomat Kümmel oder Jalape o-Chili,"€ 0,99",1.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-12,2026-01-14,images_kaufland/kaufland_offer_004.jpg
Keine Marke,Peruan chil Tafeltrauben rot,"€ 1,49",2.99,1 kg = 2.98,,Nein,Dieses Angebot findest du vom 12.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-12,2026-01-14,images_kaufland/kaufland_offer_005.jpg
FROSTA,Fertiggericht,"€ 2,49",4.79,1 kg = 4.98 - 5.54,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_006.jpg
IGLO,Rahm-Spinat,"€ 1,79",3.49,1 kg = 2.39,,Nein,Dieses Angebot findest du vom 12.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-12,2026-01-14,images_kaufland/kaufland_offer_007.jpg
Keine Marke,Portug marokk Himbeeren,"€ 1,49",2.79,1 kg = 11.92,,Nein,Dieses Angebot findest du vom 12.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-12,2026-01-14,images_kaufland/kaufland_offer_008.jpg
ARLA,Finello,"€ 1,39",2.59,1 kg = 9.27,,Nein,Dieses Angebot findest du vom 12.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-12,2026-01-14,images_kaufland/kaufland_offer_009.jpg
BREE,Wein oder Free Alkoholfrei,"€ 2,99",5.49,1 l = 3.99) / (1 l = 3.72)**,,Nein,Dieses Angebot findest du vom 12.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-12,2026-01-14,images_kaufland/kaufland_offer_010.jpg
BÄRENMARKE,Haltbare Milch 3 8 Fett,"€ 0,99",1.79,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_011.jpg
